background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,baseline_equal_noshow_high,n_paired_seeds,mean_class1_arrivals,mean_class2_arrivals,estimated_class1_post_threshold_accepted_share,estimated_class2_post_threshold_accepted_share,exposure_active,mean_absolute_common_utilization_effect,mean_absolute_gap_utilization_effect,common_minus_gap_utilization_effect,common_minus_gap_utilization_effect_ci_low,common_minus_gap_utilization_effect_ci_high,mean_absolute_common_served_gap_effect,mean_absolute_between_gap_effect,gap_minus_common_served_gap_effect,gap_minus_common_served_gap_effect_ci_low,gap_minus_common_served_gap_effect_ci_high,utilization_component,served_gap_component,failure_component,classification
H9B0280,X027,asymmetric_stress,4.0,0.7,32,128.0,89.6,38.400000000000006,21,7,0.1,0.1,4,4,0.0,0.0,0.3,0.3,4,4,0.3,0.3,0.5,0.5,0.5,100,32687.23,13995.83,0.3034655804354044,0.20922586133362614,True,0.0659666095890411,0.02910830479452055,0.03685830479452056,0.03642321489886183,0.037293394690179296,0.01901163821138445,0.012558711137509792,-0.006452927073874653,-0.006639686750720305,-0.006266167397029,supported,reversed,served_gap_component_reversed,reversed
H9B0298,X048,asymmetric_stress,4.0,0.3,32,128.0,38.4,89.6,14,14,0.0,0.5,6,6,0.3,0.7,0.7,0.7,4,4,0.7,0.7,0.8,0.8,0.8,100,14029.31,32717.71,0.4944778289740352,0.026871096469346233,True,0.04363013698630138,0.01969477739726028,0.02393535958904109,0.023388183242098595,0.024482535935983585,0.03373003276600557,0.01778401168202531,-0.01594602108398027,-0.01634867589330843,-0.015543366274652104,supported,reversed,served_gap_component_reversed,reversed
H9B0302,X052,asymmetric_stress,4.0,0.7,32,128.0,89.6,38.400000000000006,21,14,0.1,0.1,12,12,0.3,0.3,0.3,0.7,12,12,0.0,0.0,0.3,0.3,0.3,100,32713.79,14019.73,0.13921208515693206,0.01732732877018893,True,0.028235445205479465,0.013413527397260276,0.014821917808219193,0.0145762156854099,0.015067619931028486,0.00918184193111276,0.005150538814039787,-0.004031303117072973,-0.004146205306822357,-0.003916400927323589,supported,reversed,served_gap_component_reversed,reversed
H9B0322,X073,asymmetric_stress,4.0,0.7,32,128.0,89.6,38.400000000000006,28,7,0.1,0.1,4,4,0.0,0.0,0.3,0.3,4,4,0.3,0.3,0.5,0.5,0.5,100,32687.23,13995.83,0.3034655804354044,0.20922586133362614,True,0.0659666095890411,0.02910830479452055,0.03685830479452056,0.03642321489886183,0.037293394690179296,0.01901163821138445,0.012558711137509792,-0.006452927073874653,-0.006639686750720305,-0.006266167397029,supported,reversed,served_gap_component_reversed,reversed
H9B0326,X077,asymmetric_stress,4.0,0.5,16,64.0,32.0,32.0,7,7,0.5,0.0,4,4,0.3,0.3,0.3,0.3,4,4,0.0,0.0,0.1,0.1,0.1,100,11671.12,11654.81,0.027086739170555717,0.7079199085200512,True,0.06476883561643837,0.029911815068493153,0.034857020547945206,0.03428290264948007,0.03543113844641034,0.03005765744700303,0.016149887377926858,-0.013907770069076173,-0.014189159613718366,-0.013626380524433981,supported,reversed,served_gap_component_reversed,reversed
H9B0347,X100,asymmetric_stress,3.1,0.5,32,99.2,49.6,49.6,21,21,0.0,0.1,12,12,0.1,0.3,0.3,0.3,6,6,0.5,0.5,0.7,0.7,0.7,100,18095.46,18104.04,0.8916325381114393,0.1636485632024688,True,0.08828082191780823,0.030869863013698633,0.0574109589041096,0.056930166633156795,0.0578917511750624,0.039205316384003534,0.02789597290389029,-0.011309343480113249,-0.011643017902379309,-0.01097566905784719,supported,reversed,served_gap_component_reversed,reversed
