scenario_id,scenario_type,parent_scenario_id,design_note,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,asymmetric_dimensions
A030,anchor,,low_cancel_high_noshow,3.1,0.7,32,99.2,69.44,29.760000000000005,14,14,0.0,0.0,9,9,0.0,0.0,0.5,0.5,6,6,0.5,0.5,0.7,0.7,
A031,anchor,,high_balk_low_noshow,3.1,0.5,32,99.2,49.6,49.6,14,14,0.1,0.1,6,6,0.3,0.3,0.7,0.7,9,9,0.0,0.0,0.1,0.1,
A032,anchor,,low_balk_high_noshow,3.1,0.5,32,99.2,49.6,49.6,14,14,0.1,0.1,6,6,0.0,0.0,0.1,0.1,9,9,0.3,0.3,0.7,0.7,
S001,sobol_symmetric,,scrambled_sobol,3.1,0.3,16,49.6,14.879999999999999,34.72,21,21,0.5,0.5,12,12,0.1,0.1,0.7,0.7,12,12,0.0,0.0,0.3,0.3,
S002,sobol_symmetric,,scrambled_sobol,1.25,0.7,64,80.0,56.0,24.000000000000004,7,7,0.1,0.1,4,4,0.0,0.0,0.7,0.7,4,4,0.3,0.3,0.7,0.7,
S003,sobol_symmetric,,scrambled_sobol,2.0,0.1,16,32.0,3.2,28.8,28,28,0.0,0.0,6,6,0.3,0.3,0.7,0.7,4,4,0.7,0.7,0.7,0.7,
S004,sobol_symmetric,,scrambled_sobol,4.0,0.9,64,256.0,230.4,25.599999999999994,14,14,0.3,0.3,9,9,0.0,0.0,0.0,0.0,9,9,0.3,0.3,0.3,0.3,
S005,sobol_symmetric,,scrambled_sobol,3.1,0.1,64,198.4,19.840000000000003,178.56,14,14,0.3,0.3,12,12,0.5,0.5,0.7,0.7,4,4,0.5,0.5,0.7,0.7,
S006,sobol_symmetric,,scrambled_sobol,1.25,0.9,16,20.0,18.0,1.9999999999999996,28,28,0.0,0.0,4,4,0.0,0.0,0.3,0.3,9,9,0.0,0.0,0.5,0.5,
S007,sobol_symmetric,,scrambled_sobol,0.8,0.5,32,25.6,12.8,12.8,7,7,0.1,0.1,4,4,0.3,0.3,0.5,0.5,4,4,0.0,0.0,0.0,0.0,
S008,sobol_symmetric,,scrambled_sobol,3.1,0.7,32,99.2,69.44,29.760000000000005,21,21,0.5,0.5,9,9,0.1,0.1,0.3,0.3,6,6,0.3,0.3,0.5,0.5,
S009,sobol_symmetric,,scrambled_sobol,2.0,0.3,32,64.0,19.2,44.8,28,28,0.1,0.1,9,9,0.7,0.7,0.7,0.7,4,4,0.5,0.5,0.5,0.5,
S010,sobol_symmetric,,scrambled_sobol,0.8,0.9,32,25.6,23.040000000000003,2.5599999999999996,14,14,0.5,0.5,6,6,0.0,0.0,0.3,0.3,9,9,0.0,0.0,0.7,0.7,
S011,sobol_symmetric,,scrambled_sobol,1.25,0.3,64,80.0,24.0,56.0,21,21,0.3,0.3,4,4,0.3,0.3,0.7,0.7,12,12,0.0,0.0,0.0,0.0,
S012,sobol_symmetric,,scrambled_sobol,4.0,0.7,16,64.0,44.8,19.200000000000003,7,7,0.0,0.0,4,4,0.1,0.1,0.5,0.5,4,4,0.3,0.3,0.5,0.5,
S013,sobol_symmetric,,scrambled_sobol,4.0,0.5,16,64.0,32.0,32.0,7,7,0.0,0.0,4,4,0.3,0.3,0.3,0.3,4,4,0.0,0.0,0.3,0.3,
S014,sobol_symmetric,,scrambled_sobol,2.0,0.5,64,128.0,64.0,64.0,21,21,0.3,0.3,6,6,0.1,0.1,0.1,0.1,6,6,0.3,0.3,0.7,0.7,
S015,sobol_symmetric,,scrambled_sobol,0.8,0.1,16,12.8,1.2800000000000002,11.520000000000001,14,14,0.5,0.5,4,4,0.5,0.5,0.5,0.5,4,4,0.7,0.7,0.7,0.7,
S016,sobol_symmetric,,scrambled_sobol,3.1,0.9,64,198.4,178.56,19.839999999999996,28,28,0.1,0.1,12,12,0.0,0.0,0.1,0.1,9,9,0.0,0.0,0.7,0.7,
S017,sobol_symmetric,,scrambled_sobol,3.1,0.1,32,99.2,9.920000000000002,89.28,7,7,0.3,0.3,4,4,0.0,0.0,0.7,0.7,4,4,0.0,0.0,0.5,0.5,
S018,sobol_symmetric,,scrambled_sobol,0.8,0.9,32,25.6,23.040000000000003,2.5599999999999996,21,21,0.0,0.0,9,9,0.1,0.1,0.5,0.5,9,9,0.5,0.5,0.5,0.5,
