weight_set,w1,w2,Q,rho_1,rho_2,tau_1,tau_2,weighted_utilization,weighted_offered_wait,fcfs_weighted_utilization,fcfs_weighted_offered_wait,delta_weighted_utilization,delta_weighted_offered_wait,served_rate_1,served_rate_2,overall_served_rate,fcfs_served_rate_1,fcfs_served_rate_2,fcfs_overall_served_rate,min_served_rate,served_rate_flag
"w1=1, w2=1",1.0,1.0,0,0.45885273972602736,0.45234589041095885,5.420387187309788,5.417746496996356,0.9111986301369864,5.4190628042046045,0.9111986301369864,5.4190628042046045,0.0,0.0,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.5822518148626945,False
"w1=1, w2=1",1.0,1.0,4,0.45960616438356167,0.45159246575342465,5.404223823863045,5.434055205853594,0.9111986301369864,5.4190628042046045,0.9111986301369864,5.4190628042046045,0.0,0.0,0.5865749661567066,0.5821905707467911,0.5843850685526365,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.5817682949677919,False
"w1=1, w2=1",1.0,1.0,8,0.4617123287671233,0.449486301369863,5.371112650554835,5.467539326510287,0.9111986301369864,5.419084805295886,0.9111986301369864,5.4190628042046045,0.0,2.2001091281254048e-05,0.5892694559686573,0.5794794343768854,0.5843850685526365,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.5794794343768854,False
"w1=1, w2=1",1.0,1.0,12,0.46749999999999997,0.4435273972602739,5.297898984060231,5.541814214498086,0.9110273972602739,5.419249420425471,0.9111986301369864,5.4190628042046045,-0.00017123287671236831,0.00018661622086604268,0.59664858104329,0.5717944904677434,0.5842749594771636,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.5717944904677434,False
"w1=1, w2=1",1.0,1.0,16,0.5252054794520549,0.3884760273972603,4.7640364791065135,6.2414345946406025,0.9136815068493152,5.4998220448757085,0.9111986301369864,5.4190628042046045,0.0024828767123287188,0.08075924067110343,0.668160395296686,0.4981708641338566,0.583494873393837,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.4981708641338566,True
"w1=1, w2=1",1.0,1.0,20,0.6374143835616438,0.3039554794520548,3.014408218082071,7.622842818110007,0.9413698630136986,5.317907632378718,0.9111986301369864,5.4190628042046045,0.030171232876712327,-0.10115517182588558,0.813939264832598,0.3884136494822938,0.6012302171138446,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.3884136494822938,True
"w1=1, w2=1",1.0,1.0,24,0.7500684931506849,0.20892123287671233,1.3413450917895893,9.371245424098928,0.9589897260273972,5.337238160953631,0.9111986301369864,5.4190628042046045,0.04779109589041095,-0.08182464325097313,0.9556596751241028,0.26743859568932266,0.6122736608107371,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.26743859568932266,True
"w1=1, w2=1",1.0,1.0,28,0.7740068493150685,0.10580479452054795,0.06988147678539305,10.581308854161334,0.8798116438356164,3.855597717858287,0.9111986301369864,5.4190628042046045,-0.031386986301369865,-1.563465086346317,1.0,0.13608925592634805,0.5670781912812594,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.13608925592634805,True
"w1=1, w2=1",1.0,1.0,32,0.781095890410959,0.0,0.008749072997816461,,0.781095890410959,0.008749072997816461,0.9111986301369864,5.4190628042046045,-0.1301027397260274,-5.410313731206788,1.0,0.0,0.5003965996037021,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.0,True
"w1=1.25, w2=1",1.25,1.0,0,0.45885273972602736,0.45234589041095885,5.420387187309788,5.417746496996356,1.0259118150684932,5.419209583028001,1.0259118150684932,5.419209583028001,0.0,0.0,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.5822518148626945,False
