policy,seed,Q,rho_1,rho_2,tau_1,tau_2,offered_1,offered_2,total_offered_delay_1,total_offered_delay_2,served_rate_1,served_rate_2,arrivals_1,arrivals_2,served_1,served_2,overall_served_rate,min_served_rate,served_rate_flag,w1,w2,weight_set,weighted_utilization,weighted_offered_wait,fcfs_weighted_utilization,fcfs_weighted_offered_wait,fcfs_served_rate_1,fcfs_served_rate_2,fcfs_overall_served_rate,delta_weighted_utilization,delta_weighted_offered_wait
Strict C1 reservation,5101,0,0.4657534246575342,0.4577054794520548,5.361535106846925,5.3316755083996465,9172.0,9048.0,49176.0,48241.0,0.5931094635848234,0.5908488063660478,9172.0,9048.0,5440.0,5346.0,0.59198682766191,0.5908488063660478,False,1.0,1.0,"w1=1, w2=1",0.9234589041095891,5.3467069154774975,0.9234589041095891,5.3467069154774975,0.5931094635848234,0.5908488063660478,0.59198682766191,0.0,0.0
Strict C1 reservation,5101,4,0.46678082191780823,0.4566780821917808,5.347361535106847,5.346043324491601,9172.0,9048.0,49046.0,48371.0,0.5944177932839075,0.5895225464190982,9172.0,9048.0,5452.0,5334.0,0.59198682766191,0.5895225464190982,False,1.0,1.0,"w1=1, w2=1",0.9234589041095891,5.3467069154774975,0.9234589041095891,5.3467069154774975,0.5931094635848234,0.5908488063660478,0.59198682766191,0.0,0.0
Strict C1 reservation,5101,8,0.46840753424657533,0.4550513698630137,5.311382468382032,5.38262599469496,9172.0,9048.0,48716.0,48702.0,0.5964893153074575,0.587422634836428,9172.0,9048.0,5471.0,5315.0,0.59198682766191,0.587422634836428,False,1.0,1.0,"w1=1, w2=1",0.9234589041095891,5.346761800219539,0.9234589041095891,5.3467069154774975,0.5931094635848234,0.5908488063660478,0.59198682766191,0.0,5.488474204184968e-05
Strict C1 reservation,5101,12,0.4750856164383562,0.4482020547945205,5.239969472307021,5.4552387267904505,9172.0,9048.0,48061.0,49359.0,0.6049934583515045,0.5785809018567639,9172.0,9048.0,5549.0,5235.0,0.5918770581778265,0.5785809018567639,False,1.0,1.0,"w1=1, w2=1",0.9232876712328767,5.346871569703622,0.9234589041095891,5.3467069154774975,0.5931094635848234,0.5908488063660478,0.59198682766191,-0.00017123287671239051,0.00016465422612466085
Strict C1 reservation,5101,16,0.5315924657534247,0.3881849315068493,4.647550908090259,6.089283743516169,9085.0,9061.0,42223.0,55175.0,0.6834342322509631,0.5003862708310342,9085.0,9061.0,6209.0,4534.0,0.5920313016642786,0.5003862708310342,False,1.0,1.0,"w1=1, w2=1",0.919777397260274,5.367463903890664,0.9234589041095891,5.3467069154774975,0.5931094635848234,0.5908488063660478,0.59198682766191,-0.0036815068493151193,0.020756988413166866
Strict C1 reservation,5101,20,0.6357876712328767,0.3026541095890411,3.1084520831067115,7.576876712328767,9193.0,9125.0,28576.0,69139.0,0.8077885347547047,0.3873972602739726,9193.0,9125.0,7426.0,3535.0,0.5983731848455072,0.3873972602739726,True,1.0,1.0,"w1=1, w2=1",0.9384417808219179,5.334370564472104,0.9234589041095891,5.3467069154774975,0.5931094635848234,0.5908488063660478,0.59198682766191,0.014982876712328785,-0.012336351005393986
Strict C1 reservation,5101,24,0.7462328767123287,0.20779109589041095,1.1711881297752187,9.376763217400667,9031.0,9287.0,10577.0,87082.0,0.9651201417340273,0.2609958060006452,9031.0,9299.0,8716.0,2427.0,0.607910529187125,0.2609958060006452,True,1.0,1.0,"w1=1, w2=1",0.9540239726027397,5.331313462168359,0.9234589041095891,5.3467069154774975,0.5931094635848234,0.5908488063660478,0.59198682766191,0.03056506849315066,-0.015393453309138216
Strict C1 reservation,5101,28,0.781763698630137,0.10342465753424658,0.06538166684919505,10.560570535365377,9131.0,5118.0,597.0,54049.0,1.0,0.13287867121328786,9131.0,9091.0,9131.0,1208.0,0.5673910657447042,0.13287867121328786,True,1.0,1.0,"w1=1, w2=1",0.8851883561643835,3.8350761456944347,0.9234589041095891,5.3467069154774975,0.5931094635848234,0.5908488063660478,0.59198682766191,-0.03827054794520557,-1.5116307697830629
Strict C1 reservation,5101,32,0.7746575342465754,0.0,0.007957559681697613,,9048.0,0.0,72.0,0.0,1.0,0.0,9048.0,9030.0,9048.0,0.0,0.5004978426817126,0.0,True,1.0,1.0,"w1=1, w2=1",0.7746575342465754,0.007957559681697613,0.9234589041095891,5.3467069154774975,0.5931094635848234,0.5908488063660478,0.59198682766191,-0.14880136986301373,-5.3387493557958
Strict C1 reservation,5102,0,0.45188356164383564,0.44666095890410956,5.491321908088636,5.488626325088339,9161.0,9056.0,50306.0,49705.0,0.5761379762034713,0.5760821554770318,9161.0,9056.0,5278.0,5217.0,0.5761102267113136,0.5760821554770318,False,1.0,1.0,"w1=1, w2=1",0.8985445205479452,5.489981885052424,0.8985445205479452,5.489981885052424,0.5761379762034713,0.5760821554770318,0.5761102267113136,0.0,0.0
