lambda_per_day,demand_ratio,high_balk,mean,std,n,se,ci95
20,1.25,0.0,3.1497468939269226,0.08685115651039163,30,0.01585677918871772,0.03107928720988673
20,1.25,0.1,3.1497468939269226,0.08685115651039163,30,0.01585677918871772,0.03107928720988673
20,1.25,0.2,3.1497468939269226,0.08685115651039163,30,0.01585677918871772,0.03107928720988673
20,1.25,0.3,3.1497468939269226,0.08685115651039163,30,0.01585677918871772,0.03107928720988673
20,1.25,0.4,3.1497468939269226,0.08685115651039163,30,0.01585677918871772,0.03107928720988673
20,1.25,0.5,3.1497468939269226,0.08685115651039163,30,0.01585677918871772,0.03107928720988673
20,1.25,0.6,3.1497468939269226,0.08685115651039163,30,0.01585677918871772,0.03107928720988673
20,1.25,0.7,3.1497468939269226,0.08685115651039163,30,0.01585677918871772,0.03107928720988673
20,1.25,0.8,3.1497468939269226,0.08685115651039163,30,0.01585677918871772,0.03107928720988673
20,1.25,0.9,3.1497468939269226,0.08685115651039163,30,0.01585677918871772,0.03107928720988673
35,2.1875,0.0,9.143366210551523,0.0866124411857186,30,0.01581319593266919,0.03099386402803161
35,2.1875,0.1,8.779449141923765,0.1012652337989319,30,0.018488417614236523,0.03623729852390358
35,2.1875,0.2,8.179222785016464,0.07138110050270406,30,0.013032346308291455,0.02554339876425125
35,2.1875,0.3,7.866646474490659,0.037958208967232676,30,0.006930189097949404,0.01358317063198083
35,2.1875,0.4,7.738811900544439,0.03952486447373664,30,0.0072162199515333715,0.014143791105005408
35,2.1875,0.5,7.684203270266143,0.028615102551801677,30,0.005224379050981807,0.01023978293992434
35,2.1875,0.6,7.632860105312849,0.033315494344668746,30,0.0060825492556702875,0.011921796541113763
35,2.1875,0.7,7.589295306419615,0.0368525628690386,30,0.006728326661749915,0.013187520257029833
35,2.1875,0.8,7.5702432829154525,0.037204825684795016,30,0.006792640758536607,0.013313575886731748
35,2.1875,0.9,7.5362701018900555,0.034200198615991495,30,0.006244073417711835,0.012238383898715196
50,3.125,0.0,9.453054687468134,0.019441695501441338,30,0.0035495517274287108,0.006957121385760273
50,3.125,0.1,9.64185670504971,0.022952373990280224,30,0.004190510994257113,0.008213401548743941
50,3.125,0.2,9.851442629009357,0.02103628639717542,30,0.0038406828619573525,0.007527738409436411
50,3.125,0.3,10.05426323991873,0.01974780080671006,30,0.0036054386543179387,0.00706665976246316
50,3.125,0.4,10.152198938340877,0.03166707111154001,30,0.005781589725970219,0.011331915862901628
50,3.125,0.5,9.31450773248306,0.08424927123103297,30,0.015381742102202597,0.03014821452031709
50,3.125,0.6,8.539844850863403,0.023511778682649986,30,0.004292643850518832,0.008413581947016911
50,3.125,0.7,8.426099219709991,0.021493232467559197,30,0.003924109418728198,0.007691254460707268
50,3.125,0.8,8.366853399692985,0.020520891702100464,30,0.003746585095120336,0.007343306786435858
50,3.125,0.9,8.308788207714407,0.016940297808267352,30,0.003092861080147785,0.006062007717089658
65,4.0625,0.0,9.454673705258722,0.02172195831033111,30,0.0039658688532517175,0.007773102952373366
65,4.0625,0.1,9.642744407751904,0.02400418894562372,30,0.0043825452533780875,0.008589788696621052
65,4.0625,0.2,9.845549229765634,0.020997875804932963,30,0.003833670079351244,0.0075139933555284375
65,4.0625,0.3,10.076349580147395,0.020325679536682857,30,0.003710944392954118,0.007273451010190071
65,4.0625,0.4,10.318717189157152,0.018340776897285905,30,0.003348552409604367,0.00656316272282456
65,4.0625,0.5,10.589226176469401,0.016641225861854646,30,0.0030382582630253795,0.005954986195529744
65,4.0625,0.6,10.531492187896406,0.055057081638393485,30,0.010052001854583867,0.019701923634984377
65,4.0625,0.7,8.957641232568506,0.026540458838407787,30,0.004845602664111101,0.009497381221657759
65,4.0625,0.8,8.791455838463156,0.015717950439867453,30,0.002869692004554551,0.0056245963289269195
65,4.0625,0.9,8.725389816093953,0.014256109751191914,30,0.0026027976309990573,0.005101483356758152
