class1_cancel_prob,mean,std,n,se,ci95,metric
0.0,0.7516395547945206,0.004207504411071522,100,0.0004207504411071522,0.0008246708645700183,average_utilization
0.05,0.8061994863013698,0.003270813151168486,100,0.00032708131511684864,0.0006410793776290233,average_utilization
0.1,0.8408467465753425,0.003391724848073015,100,0.0003391724848073015,0.0006647780702223109,average_utilization
0.15,0.8621078767123288,0.0032428060931761617,100,0.00032428060931761614,0.0006355899942625277,average_utilization
0.2,0.8761746575342465,0.002900181703793415,100,0.0002900181703793415,0.0005684356139435094,average_utilization
0.25,0.8840154109589041,0.003196312284843439,100,0.0003196312284843439,0.0006264772078293139,average_utilization
0.3,0.8889623287671233,0.0031542972130322623,100,0.00031542972130322623,0.0006182422537543234,average_utilization
0.0,0.23940856814548386,0.0017845846863111196,100,0.00017845846863111196,0.00034977859851697944,overall_percent_serviced
0.05,0.2574112701900638,0.0016507534165186822,100,0.00016507534165186822,0.0003235476696376617,overall_percent_serviced
0.1,0.26873068333974687,0.0018875263833138555,100,0.00018875263833138556,0.0003699551711295157,overall_percent_serviced
0.15,0.27587349596475236,0.00188114989079588,100,0.000188114989079588,0.0003687053785959925,overall_percent_serviced
0.2,0.2807403528766263,0.0018595551075199562,100,0.00018595551075199562,0.00036447280107391143,overall_percent_serviced
0.25,0.28258254518973375,0.001884978877037315,100,0.0001884978877037315,0.00036945585989931373,overall_percent_serviced
0.3,0.2845987481517632,0.001776095947538108,100,0.0001776095947538108,0.00034811480571746915,overall_percent_serviced
0.0,11.13127272167116,0.024240804036817578,100,0.0024240804036817576,0.004751197591216245,mean_accepted_booking_delay
0.05,9.809918926171306,0.043493680384402975,100,0.004349368038440297,0.008524761355342983,mean_accepted_booking_delay
0.1,8.348896180117288,0.0804270879653375,100,0.00804270879653375,0.01576370924120615,mean_accepted_booking_delay
0.15,7.544142022352991,0.042145332128455164,100,0.004214533212845517,0.008260485097177212,mean_accepted_booking_delay
0.2,7.1812926548431255,0.02447249117621853,100,0.0024472491176218527,0.004796608270538831,mean_accepted_booking_delay
0.25,6.987348078107735,0.022383326721578042,100,0.0022383326721578042,0.004387132037429296,mean_accepted_booking_delay
0.3,6.849493368684957,0.019379172935347043,100,0.0019379172935347043,0.0037983178953280203,mean_accepted_booking_delay
0.0,11.836835281001521,0.016325321977431872,100,0.0016325321977431872,0.003199763107576647,mean_offered_booking_delay
0.05,10.819545424276882,0.042895786512801404,100,0.0042895786512801405,0.008407574156509076,mean_offered_booking_delay
0.1,9.311627705753912,0.08877866952326995,100,0.008877866952326995,0.017400619226560908,mean_offered_booking_delay
0.15,8.415621900334418,0.04666651085323832,100,0.004666651085323832,0.00914663612723471,mean_offered_booking_delay
0.2,7.970904080047352,0.031317895881901335,100,0.0031317895881901336,0.006138307592852662,mean_offered_booking_delay
0.25,7.697487626011862,0.028286001932552207,100,0.0028286001932552205,0.005544056378780232,mean_offered_booking_delay
0.3,7.473321330254484,0.02853398921054943,100,0.0028533989210549433,0.005592661885267689,mean_offered_booking_delay
0.0,0.43902636794486943,0.0030868306790329575,100,0.00030868306790329575,0.0006050188130904597,overall_balking_rate
0.05,0.39399033701365416,0.002951336954480299,100,0.00029513369544802994,0.0005784620430781387,overall_balking_rate
0.1,0.3557390597167697,0.0026226615795566966,100,0.00026226615795566963,0.0005140416695931124,overall_balking_rate
0.15,0.31613685506011213,0.0031822538473066215,100,0.00031822538473066215,0.0006237217540720978,overall_balking_rate
0.2,0.27187057718112867,0.00438452097250601,100,0.000438452097250601,0.000859366110611178,overall_balking_rate
0.25,0.23333362352180867,0.004139783351078918,100,0.0004139783351078918,0.0008113975368114679,overall_balking_rate
0.3,0.19728972327156236,0.0046924548139792065,100,0.00046924548139792063,0.0009197211435399244,overall_balking_rate
0.0,8736.66,50.254347015351705,100,5.02543470153517,9.849852015008933,total_served
0.05,9391.09,39.438507306766255,100,3.9438507306766253,7.729947432126186,total_served
0.1,9814.18,40.01852601286582,100,4.001852601286582,7.8436310985217,total_served
0.15,10068.39,40.14415815960578,100,4.014415815960578,7.868254999282732,total_served
0.2,10234.36,35.796709966761725,100,3.5796709966761724,7.016155153485298,total_served
0.25,10325.58,38.97297172724361,100,3.897297172724361,7.638702458539748,total_served
0.3,10383.83,37.618514407969705,100,3.7618514407969705,7.373228823962062,total_served
0.0,36493.52,179.0094788980563,100,17.90094788980563,35.08585786401903,total_arrivals
0.05,36483.68,178.52509542630156,100,17.852509542630155,34.9909187035551,total_arrivals
0.1,36521.64,200.34165363652625,100,20.034165363652626,39.26696411275915,total_arrivals
0.15,36497.4,181.40785010800337,100,18.140785010800336,35.55593862116866,total_arrivals
0.2,36455.98,194.4165048902412,100,19.44165048902412,38.10563495848727,total_arrivals
0.25,36541.12,196.71423564411822,100,19.67142356441182,38.55599018624717,total_arrivals
0.3,36486.83,192.70645782871128,100,19.270645782871128,37.77046573442741,total_arrivals
0.0,17040.9,73.16212797408869,100,7.316212797408869,14.339777082921383,total_booked
0.05,21528.8,91.10910320527026,100,9.110910320527026,17.85738422823297,total_booked
0.1,23529.24,132.4694834307292,100,13.246948343072921,25.964018752422923,total_booked
0.15,24958.84,96.70351648730224,100,9.670351648730223,18.953889231511237,total_booked
0.2,26544.05,110.8726974980996,100,11.087269749809959,21.73104870962752,total_booked
0.25,28014.27,113.550047258128,100,11.355004725812801,22.25580926259309,total_booked
0.3,29287.69,118.50028299842609,100,11.85002829984261,23.226055467691513,total_booked
0.0,30378.13,189.93936592310888,100,18.993936592310888,37.22811572092934,total_offered
0.05,35525.97,161.1417880581756,100,16.11417880581756,31.583790459402415,total_offered
0.1,36521.56,200.39402196773187,100,20.03940219677319,39.27722830567545,total_offered
0.15,36497.4,181.40785010800337,100,18.140785010800336,35.55593862116866,total_offered
0.2,36455.98,194.4165048902412,100,19.44165048902412,38.10563495848727,total_offered
0.25,36541.12,196.71423564411822,100,19.67142356441182,38.55599018624717,total_offered
0.3,36486.83,192.70645782871128,100,19.270645782871128,37.77046573442741,total_offered
0.0,13337.23,165.4568731382499,100,16.545687313824992,32.42954713509698,total_balked
0.05,13997.17,151.53944414347438,100,15.153944414347439,29.70173105212098,total_balked
0.1,12992.32,137.39009418367155,100,13.739009418367155,26.928458459999625,total_balked
0.15,11538.56,160.57317284772023,100,16.057317284772022,31.472341878153163,total_balked
0.2,9911.93,201.93744681024967,100,20.193744681024967,39.57973957480893,total_balked
0.25,8526.85,186.9843279231949,100,18.69843279231949,36.6489282729462,total_balked
0.3,7199.14,201.27828968617035,100,20.127828968617035,39.45054477848939,total_balked
