class1_cancel_prob,class_id,mean,std,n,se,ci95,metric
0.0,1,11.132870080131067,0.0370365393665465,100,0.00370365393665465,0.007259161715843114,mean_accepted_booking_delay
0.0,2,11.12965890336646,0.034007368554186616,100,0.003400736855418662,0.006665444236620577,mean_accepted_booking_delay
0.05,1,9.810662538785312,0.05066383605249353,100,0.005066383605249353,0.009930111866288732,mean_accepted_booking_delay
0.05,2,9.809148182085057,0.054361596181336444,100,0.005436159618133644,0.010654872851541942,mean_accepted_booking_delay
0.1,1,8.350183612461322,0.08201680685626332,100,0.008201680685626333,0.016075294143827613,mean_accepted_booking_delay
0.1,2,8.347558429266552,0.08579954462625618,100,0.008579954462625617,0.01681671074674621,mean_accepted_booking_delay
0.15,1,7.543499658495033,0.048612488486789,100,0.0048612488486789,0.009528047743410643,mean_accepted_booking_delay
0.15,2,7.544813945430251,0.04626431172866215,100,0.004626431172866215,0.00906780509881778,mean_accepted_booking_delay
0.2,1,7.183132025113782,0.030232112015703343,100,0.0030232112015703342,0.005925493955077855,mean_accepted_booking_delay
0.2,2,7.179455634373593,0.03197993495302006,100,0.003197993495302006,0.006268067250791932,mean_accepted_booking_delay
0.25,1,6.986684457038385,0.02754312877521584,100,0.002754312877521584,0.005398453239942305,mean_accepted_booking_delay
0.25,2,6.988016289588902,0.03073501446154748,100,0.003073501446154748,0.006024062834463306,mean_accepted_booking_delay
0.3,1,6.852044213699621,0.025445064974896268,100,0.002544506497489627,0.0049872327350796684,mean_accepted_booking_delay
0.3,2,6.846948891131623,0.02494858543224011,100,0.002494858543224011,0.004889922744719061,mean_accepted_booking_delay
0.0,1,11.838177741426167,0.02177344537202727,100,0.002177344537202727,0.004267595292917345,mean_offered_booking_delay
0.0,2,11.83550110695967,0.023234649004323142,100,0.002323464900432314,0.0045539912048473356,mean_offered_booking_delay
0.05,1,10.820038592334152,0.045619842117081914,100,0.004561984211708192,0.008941489054948055,mean_offered_booking_delay
0.05,2,10.819060046207074,0.04819805441641965,100,0.004819805441641965,0.00944681866561825,mean_offered_booking_delay
0.1,1,9.3130393634939,0.08911706212608536,100,0.008911706212608537,0.017466944176712733,mean_offered_booking_delay
0.1,2,9.31019668845032,0.09139205364769944,100,0.009139205364769944,0.017912842514949092,mean_offered_booking_delay
0.15,1,8.415549974076367,0.05103188397203037,100,0.005103188397203038,0.010002249258517953,mean_offered_booking_delay
0.15,2,8.41569332986792,0.04851936651558887,100,0.004851936651558887,0.009509795837055418,mean_offered_booking_delay
0.2,1,7.972945100652838,0.0345003778529186,100,0.00345003778529186,0.006762074059172046,mean_offered_booking_delay
0.2,2,7.9688548569790205,0.036033449279416783,100,0.0036033449279416784,0.00706255605876569,mean_offered_booking_delay
0.25,1,7.696841014970767,0.03146260527924883,100,0.003146260527924883,0.006166670634732771,mean_offered_booking_delay
0.25,2,7.698160596412299,0.032759875850037964,100,0.0032759875850037964,0.006420935666607441,mean_offered_booking_delay
0.3,1,7.4746737669248775,0.03432575375404572,100,0.0034325753754045722,0.006727847735792962,mean_offered_booking_delay
