scenario_id,scenario_type,scenario_label,lambda_total,Q,mean_delta,std_delta,count,strict_objective,fcfs_objective,booked_utilization,fcfs_booked_utilization,delta_booked_utilization,attended_utilization,fcfs_attended_utilization,delta_attended_utilization,class_1_served_rate,class_2_served_rate,min_class_served_rate,delta_class_1_served_rate,delta_class_2_served_rate,mean_offered_booking_delay,fcfs_mean_offered_booking_delay,delta_mean_offered_booking_delay,feasible_seed_share,sem_delta,ci_low,ci_high,feasible,classification
s005,class_1_advantaged,Class 1 advantaged,40.0,0,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.9733390410958904,0.9733390410958904,0.0,0.8979097199153561,0.657456154061119,0.657456154061119,0.0,0.0,3.1349755290868453,3.1349755290868453,0.0,1.0,0.0,0.0,0.0,True,loss
s005,class_1_advantaged,Class 1 advantaged,40.0,4,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.9730650684931508,0.9733390410958904,-0.0002739726027396916,0.8954243625381316,0.658354096376738,0.658354096376738,-0.0024853573772243066,0.0008979423156191046,3.146147932889708,3.1349755290868453,0.011172403802862529,1.0,0.0,0.0,0.0,True,loss
s005,class_1_advantaged,Class 1 advantaged,40.0,8,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.977208904109589,0.9733390410958904,0.0038698630136986267,0.9026086859201939,0.6737770918512748,0.6737770918512748,0.0046989660048380125,0.016320937790155775,3.0449318185128615,3.1349755290868453,-0.09004371057398411,1.0,0.0,0.0,0.0,True,loss
s005,class_1_advantaged,Class 1 advantaged,40.0,12,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.9760787671232876,0.9733390410958904,0.002739726027397271,0.9007328296153345,0.6735893970598439,0.6735893970598439,0.0028231096999784986,0.016133242998724918,3.061635141930238,3.1349755290868453,-0.07334038715660762,1.0,0.0,0.0,0.0,True,loss
s005,class_1_advantaged,Class 1 advantaged,40.0,16,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.9726883561643834,0.9733390410958904,-0.0006506849315068619,0.9059314091953568,0.6497224208285797,0.6497224208285797,0.008021689280000754,-0.0077337332325393415,3.0648373445931534,3.1349755290868453,-0.07013818449369236,1.0,0.0,0.0,0.0,True,loss
s005,class_1_advantaged,Class 1 advantaged,40.0,20,-0.007808219178082188,0.0049355481918640955,5,0.9921917808219177,1.0,0.9921917808219177,1.0,-0.007808219178082188,0.9206164383561644,0.9733390410958904,-0.052722602739726024,0.9884575515798876,0.48677019259770027,0.48677019259770027,0.09054783166453155,-0.1706859614634187,2.555572685339135,3.1349755290868453,-0.5794028437477106,0.0,0.0022072442526468584,-0.01213441791327003,-0.003482020442894345,False,loss
s005,class_1_advantaged,Class 1 advantaged,40.0,24,-0.12409246575342466,0.005238228924810182,5,0.8759075342465753,1.0,0.8759075342465753,1.0,-0.12409246575342466,0.818390410958904,0.9733390410958904,-0.1549486301369863,1.0,0.3071112918546341,0.3071112918546341,0.102090280084644,-0.35034486220648486,3.028492789458721,3.1349755290868453,-0.10648273962812453,0.0,0.00234260719151624,-0.12868397584879648,-0.11950095565805283,False,loss
s005,class_1_advantaged,Class 1 advantaged,40.0,28,-0.24736301369863015,0.00274867438494642,5,0.7526369863013699,1.0,0.7526369863013699,1.0,-0.24736301369863015,0.7235273972602739,0.9733390410958904,-0.24981164383561644,1.0,0.15281067402923507,0.15281067402923507,0.102090280084644,-0.5046454800318839,4.353144932125486,3.1349755290868453,1.2181694030386396,0.0,0.0012292445545505238,-0.2497723330255492,-0.2449536943717111,False,loss
s005,class_1_advantaged,Class 1 advantaged,40.0,32,-0.36962328767123287,0.010628238581190818,5,0.6303767123287671,1.0,0.6303767123287671,1.0,-0.36962328767123287,0.6303767123287671,0.9733390410958904,-0.3429623287671233,1.0,0.0,0.0,0.102090280084644,-0.657456154061119,0.0009658776864837305,3.1349755290868453,-3.134009651400362,0.0,0.004753092789725717,-0.37893934953909525,-0.3603072258033705,False,loss
s006,class_1_advantaged,Class 1 advantaged,50.0,0,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.8988013698630137,0.8988013698630137,0.0,0.7963586765113939,0.35518272625524205,0.35518272625524205,0.0,0.0,5.5239780234303755,5.5239780234303755,0.0,0.0,0.0,0.0,0.0,False,loss
s006,class_1_advantaged,Class 1 advantaged,50.0,4,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.8979965753424658,0.8988013698630137,-0.0008047945205479357,0.7936390576371707,0.35449535405611343,0.35449535405611343,-0.0027196188742231843,-0.0006873721991285997,5.546646632573265,5.5239780234303755,0.022668609142889727,0.0,0.0,0.0,0.0,False,loss
s006,class_1_advantaged,Class 1 advantaged,50.0,8,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.8989383561643836,0.8988013698630137,0.0001369863013698458,0.7969440909653538,0.35374508329047966,0.35374508329047966,0.0005854144539598982,-0.0014376429647623868,5.532208988327778,5.5239780234303755,0.008230964897402871,0.0,0.0,0.0,0.0,False,loss
s006,class_1_advantaged,Class 1 advantaged,50.0,12,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.8987328767123287,0.8988013698630137,-6.84931506849118e-05,0.797509212791737,0.3480262360642108,0.3480262360642108,0.0011505362803431395,-0.007156490191031284,5.5863013429519235,5.5239780234303755,0.06232331952154855,0.0,0.0,0.0,0.0,False,loss
s006,class_1_advantaged,Class 1 advantaged,50.0,16,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.8986472602739726,0.8988013698630137,-0.00015410958904109594,0.8068500963810503,0.3467078444703865,0.3467078444703865,0.010491419869656404,-0.008474881784855549,5.466739537430247,5.5239780234303755,-0.057238486000127334,0.0,0.0,0.0,0.0,False,loss
s006,class_1_advantaged,Class 1 advantaged,50.0,20,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.9151712328767123,0.8988013698630137,0.016369863013698648,0.8648908887279086,0.31050183170027507,0.31050183170027507,0.0685322122165148,-0.04468089455496702,4.938268857257883,5.5239780234303755,-0.5857091661724916,0.0,0.0,0.0,0.0,False,loss
s006,class_1_advantaged,Class 1 advantaged,50.0,24,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.9415068493150685,0.8988013698630137,0.04270547945205481,0.9597741631937018,0.2389016384552755,0.2389016384552755,0.16341548668230785,-0.11628108779996656,4.1953078635315375,5.5239780234303755,-1.328670159898838,0.0,0.0,0.0,0.0,False,loss
s006,class_1_advantaged,Class 1 advantaged,50.0,28,-0.09549657534246576,0.004352398189935409,5,0.9045034246575343,1.0,0.9045034246575343,1.0,-0.09549657534246576,0.8761815068493151,0.8988013698630137,-0.022619863013698605,1.0,0.12398549357750029,0.12398549357750029,0.20364132348860614,-0.23119723267774175,4.796185066122538,5.5239780234303755,-0.7277929573078369,0.0,0.001946451643568523,-0.09931162056386007,-0.09168153012107146,False,loss
s006,class_1_advantaged,Class 1 advantaged,50.0,32,-0.21890410958904108,0.007295354557120079,5,0.781095890410959,1.0,0.781095890410959,1.0,-0.21890410958904108,0.781095890410959,0.8988013698630137,-0.11770547945205476,1.0,0.0,0.0,0.20364132348860614,-0.35518272625524205,0.008749072997816461,5.5239780234303755,-5.515228950432558,0.0,0.0032625817419366736,-0.22529876980323696,-0.2125094493748452,False,loss
s007,class_1_advantaged,Class 1 advantaged,70.0,0,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.8851883561643836,0.8851883561643836,0.0,0.6403640659788187,0.16675400985631525,0.16675400985631525,0.0,0.0,8.290087464050247,8.290087464050247,0.0,0.0,0.0,0.0,0.0,False,loss
s007,class_1_advantaged,Class 1 advantaged,70.0,4,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.8813356164383561,0.8851883561643836,-0.0038527397260273988,0.6362416477394479,0.16555318134401564,0.16555318134401564,-0.0041224182393707395,-0.0012008285122996176,8.336420638199606,8.290087464050247,0.04633317414935902,0.0,0.0,0.0,0.0,False,loss
s007,class_1_advantaged,Class 1 advantaged,70.0,8,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.896763698630137,0.8851883561643836,0.011575342465753424,0.6544066269380452,0.16412893653252617,0.16412893653252617,0.014042560959226536,-0.0026250733237891065,8.127204711286764,8.290087464050247,-0.1628827527634833,0.0,0.0,0.0,0.0,False,loss
s007,class_1_advantaged,Class 1 advantaged,70.0,12,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.8892465753424658,0.8851883561643836,0.004058219178082178,0.6534995761711083,0.1589152216527115,0.1589152216527115,0.013135510192289646,-0.007838788203603769,8.221208715241712,8.290087464050247,-0.06887874880853566,0.0,0.0,0.0,0.0,False,loss
s007,class_1_advantaged,Class 1 advantaged,70.0,16,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.8975856164383561,0.8851883561643836,0.012397260273972588,0.6609611699579901,0.15827238103649643,0.15827238103649643,0.020597103979171517,-0.008481628819818832,8.102928025195846,8.290087464050247,-0.18715943885440164,0.0,0.0,0.0,0.0,False,loss
s007,class_1_advantaged,Class 1 advantaged,70.0,20,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.9055650684931507,0.8851883561643836,0.020376712328767123,0.6733887553118016,0.15215159323385577,0.15215159323385577,0.03302468933298301,-0.014602416622459497,8.020592745810465,8.290087464050247,-0.26949471823978344,0.0,0.0,0.0,0.0,False,loss
s007,class_1_advantaged,Class 1 advantaged,70.0,24,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.9327568493150684,0.8851883561643836,0.04756849315068492,0.7125102657957754,0.13893556601201892,0.13893556601201892,0.07214619981695666,-0.027818443844296343,8.035271682648826,8.290087464050247,-0.254815781401421,0.0,0.0,0.0,0.0,False,loss
s007,class_1_advantaged,Class 1 advantaged,70.0,28,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.9699486301369863,0.8851883561643836,0.08476027397260273,0.8165028523022336,0.07720837062413846,0.07720837062413846,0.17613878632341484,-0.0895456392321768,7.203773917943766,8.290087464050247,-1.0863135461064808,0.0,0.0,0.0,0.0,False,loss
s007,class_1_advantaged,Class 1 advantaged,70.0,32,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,1.0,0.8851883561643836,0.11481164383561644,0.914848742485254,0.0,0.0,0.2744846765064353,-0.16675400985631525,2.7600985248968586,8.290087464050247,-5.529988939153388,0.0,0.0,0.0,0.0,False,loss
s008,class_1_advantaged,Class 1 advantaged,100.0,0,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.8517979452054794,0.8517979452054794,0.0,0.4298901052884346,0.11700342052345244,0.11700342052345244,0.0,0.0,10.813099323588638,10.813099323588638,0.0,0.0,0.0,0.0,0.0,False,loss
s008,class_1_advantaged,Class 1 advantaged,100.0,4,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.8507534246575343,0.8517979452054794,-0.0010445205479452158,0.4277322635578923,0.1160307980643918,0.1160307980643918,-0.002157841730542309,-0.0009726224590606459,10.79844319232001,10.813099323588638,-0.014656131268628414,0.0,0.0,0.0,0.0,False,loss
s008,class_1_advantaged,Class 1 advantaged,100.0,8,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.8551369863013699,0.8517979452054794,0.003339041095890405,0.4313828734887826,0.11452012972312553,0.11452012972312553,0.0014927682003480157,-0.0024832908003269262,10.809811694544456,10.813099323588638,-0.0032876290441809174,0.0,0.0,0.0,0.0,False,loss
s008,class_1_advantaged,Class 1 advantaged,100.0,12,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.8544863013698631,0.8517979452054794,0.002688356164383543,0.4355865818799608,0.11248304215486919,0.11248304215486919,0.005696476591526267,-0.00452037836858325,10.796549330971317,10.813099323588638,-0.016549992617321506,0.0,0.0,0.0,0.0,False,loss
s008,class_1_advantaged,Class 1 advantaged,100.0,16,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.8538698630136986,0.8517979452054794,0.002071917808219181,0.4391270512093068,0.1073017813411501,0.1073017813411501,0.009236945920872264,-0.009701639182302357,10.80055187621737,10.813099323588638,-0.01254744737126785,0.0,0.0,0.0,0.0,False,loss
s008,class_1_advantaged,Class 1 advantaged,100.0,20,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.8536815068493151,0.8517979452054794,0.0018835616438356295,0.4428150657592151,0.10184891591509397,0.10184891591509397,0.0129249604707805,-0.015154504608358474,10.794595895639812,10.813099323588638,-0.018503427948825292,0.0,0.0,0.0,0.0,False,loss
s008,class_1_advantaged,Class 1 advantaged,100.0,24,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.8582020547945206,0.8517979452054794,0.006404109589041096,0.4656353540834859,0.08523337446299753,0.08523337446299753,0.035745248795051365,-0.031770046060454915,10.70390290649097,10.813099323588638,-0.10919641709766807,0.0,0.0,0.0,0.0,False,loss
s008,class_1_advantaged,Class 1 advantaged,100.0,28,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.8609931506849314,0.8517979452054794,0.009195205479452028,0.5046049963410512,0.04961551849851799,0.04961551849851799,0.0747148910526166,-0.06738790202493447,10.433154145730388,10.813099323588638,-0.37994517785824866,0.0,0.0,0.0,0.0,False,loss
s008,class_1_advantaged,Class 1 advantaged,100.0,32,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.8787842465753425,0.8517979452054794,0.02698630136986302,0.5640452312529358,0.0,0.0,0.13415512596450124,-0.11700342052345244,9.632552273968315,10.813099323588638,-1.1805470496203216,0.0,0.0,0.0,0.0,False,loss
s009,class_1_disadvantaged,Class 1 disadvantaged,40.0,0,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.9761986301369863,0.9761986301369863,0.0,0.6660356584306946,0.8983138416282017,0.6660356584306946,0.0,0.0,3.104298006818067,3.104298006818067,0.0,1.0,0.0,0.0,0.0,True,loss
s009,class_1_disadvantaged,Class 1 disadvantaged,40.0,4,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.9760958904109589,0.9761986301369863,-0.0001027397260274121,0.6731012696672518,0.8997755568857355,0.6731012696672518,0.007065611236557112,0.0014617152575338687,3.0603843376008077,3.104298006818067,-0.0439136692172589,1.0,0.0,0.0,0.0,True,loss
s009,class_1_disadvantaged,Class 1 disadvantaged,40.0,8,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.9735616438356164,0.9761986301369863,-0.0026369863013699034,0.6614599845978519,0.8962502276967166,0.6614599845978519,-0.004575673832842675,-0.002063613931484998,3.1441274295184902,3.104298006818067,0.039829422700423577,1.0,0.0,0.0,0.0,True,loss
s009,class_1_disadvantaged,Class 1 disadvantaged,40.0,12,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.974417808219178,0.9761986301369863,-0.0017808219178082618,0.6699748886809452,0.8889073863776537,0.6699748886809452,0.0039392302502506025,-0.009406455250548063,3.1838746761831516,3.104298006818067,0.07957666936508448,1.0,0.0,0.0,0.0,True,loss
s009,class_1_disadvantaged,Class 1 disadvantaged,40.0,16,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.974931506849315,0.9761986301369863,-0.0012671232876712458,0.7681748066529425,0.7957940386293207,0.7681748066529425,0.10213914822224776,-0.10251980299888082,3.905935413790157,3.104298006818067,0.8016374069720902,1.0,0.0,0.0,0.0,True,loss
s009,class_1_disadvantaged,Class 1 disadvantaged,40.0,20,-0.015821917808219198,0.0031483109728249487,5,0.9841780821917808,1.0,0.9841780821917808,1.0,-0.015821917808219198,0.9072602739726028,0.9761986301369863,-0.06893835616438357,0.9244989477548764,0.5297021512289053,0.5297021512289053,0.2584632893241817,-0.3686116903992963,5.242262700806738,3.104298006818067,2.137964693988671,0.0,0.0014079674699090155,-0.01858153404924087,-0.013062301567197527,False,loss
s009,class_1_disadvantaged,Class 1 disadvantaged,40.0,24,-0.13513698630136986,0.009839485707237102,5,0.8648630136986302,1.0,0.8648630136986302,1.0,-0.13513698630136986,0.8034931506849314,0.9761986301369863,-0.17270547945205483,0.933393331801563,0.34528938903334694,0.34528938903334694,0.2673576733708683,-0.5530244525948547,5.041535093269368,3.104298006818067,1.9372370864513009,0.0,0.004400351781003951,-0.1437616757921376,-0.1265122968106021,False,loss
s009,class_1_disadvantaged,Class 1 disadvantaged,40.0,28,-0.26143835616438355,0.007310962080435456,5,0.7385616438356164,1.0,0.7385616438356164,1.0,-0.26143835616438355,0.6913356164383562,0.9761986301369863,-0.2848630136986302,0.929729096693217,0.17376363011250567,0.17376363011250567,0.26369343826252234,-0.724550211515696,3.330256240494389,3.104298006818067,0.2259582336763221,0.0,0.003269561638555393,-0.2678466969759521,-0.255030015352815,False,loss
s009,class_1_disadvantaged,Class 1 disadvantaged,40.0,32,-0.38952054794520546,0.006761693390978675,5,0.6104794520547945,1.0,0.6104794520547945,1.0,-0.38952054794520546,0.5798116438356165,0.9761986301369863,-0.39638698630136987,0.9303457539609683,0.0,0.0,0.26431009553027374,-0.8983138416282017,0.00035491743952964847,3.104298006818067,-3.103943089378537,0.0,0.003023921213047876,-0.3954474335227793,-0.38359366236763165,False,loss
s010,class_1_disadvantaged,Class 1 disadvantaged,50.0,0,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.8996404109589042,0.8996404109589042,0.0,0.35390555211261654,0.7988947032694037,0.35390555211261654,0.0,0.0,5.575515255255086,5.575515255255086,0.0,0.0,0.0,0.0,0.0,False,loss
s010,class_1_disadvantaged,Class 1 disadvantaged,50.0,4,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.9006849315068493,0.8996404109589042,0.0010445205479451935,0.35989479913133804,0.794802073849108,0.35989479913133804,0.005989247018721544,-0.004092629420295824,5.540230587948597,5.575515255255086,-0.035284667306488514,0.0,0.0,0.0,0.0,False,loss
s010,class_1_disadvantaged,Class 1 disadvantaged,50.0,8,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.9014554794520547,0.8996404109589042,0.0018150684931506512,0.3712385231992441,0.7867494498248786,0.3712385231992441,0.01733297108662758,-0.012145253444525151,5.60144672013281,5.575515255255086,0.025931464877724686,0.0,0.0,0.0,0.0,False,loss
s010,class_1_disadvantaged,Class 1 disadvantaged,50.0,12,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.9085958904109589,0.8996404109589042,0.008955479452054771,0.39778564261867755,0.765787598504531,0.39778564261867755,0.04388009050606108,-0.033107104764872664,5.7734988452787785,5.575515255255086,0.1979835900236937,0.0,0.0,0.0,0.0,False,loss
s010,class_1_disadvantaged,Class 1 disadvantaged,50.0,16,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.8710958904109589,0.8996404109589042,-0.028544520547945207,0.5628441530815932,0.5532398999745026,0.5523937465862614,0.2089386009689767,-0.24565480329490114,6.732683766170659,5.575515255255086,1.1571685109155738,0.8,0.0,0.0,0.0,True,loss
s010,class_1_disadvantaged,Class 1 disadvantaged,50.0,20,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.9199143835616439,0.8996404109589042,0.02027397260273973,0.7638697956607102,0.41413351709641744,0.41413351709641744,0.4099642435480938,-0.3847611861729863,6.479979953153789,5.575515255255086,0.9044646978987029,0.0,0.0,0.0,0.0,False,loss
s010,class_1_disadvantaged,Class 1 disadvantaged,50.0,24,-0.004845890410958909,0.002834149825874405,5,0.995154109589041,1.0,0.995154109589041,1.0,-0.004845890410958909,0.9258219178082191,0.8996404109589042,0.02618150684931504,0.9065101280559918,0.27949039156946476,0.27949039156946476,0.5526045759433753,-0.519404311699939,5.073085830202256,5.575515255255086,-0.5024294250528291,0.0,0.0012674703338148724,-0.007330132265236058,-0.002361648556681759,False,loss
s010,class_1_disadvantaged,Class 1 disadvantaged,50.0,28,-0.10743150684931506,0.01252773592979756,5,0.8925684931506849,1.0,0.8925684931506849,1.0,-0.10743150684931506,0.8378082191780821,0.8996404109589042,-0.06183219178082196,0.931635187461961,0.13951467400759526,0.13951467400759526,0.5777296353493444,-0.6593800292618085,2.897046173559519,5.575515255255086,-2.6784690816955665,0.0,0.005602573828638775,-0.11841255155344706,-0.09645046214518306,False,loss
s010,class_1_disadvantaged,Class 1 disadvantaged,50.0,32,-0.23356164383561645,0.003509751882323591,5,0.7664383561643835,1.0,0.7664383561643835,1.0,-0.23356164383561645,0.7279109589041096,0.8996404109589042,-0.17172945205479453,0.9301629421849948,0.0,0.0,0.5762573900723783,-0.7988947032694037,0.00864997041460019,5.575515255255086,-5.566865284840485,0.0,0.0015696087586066785,-0.23663807700248554,-0.23048521066874736,False,loss
s011,class_1_disadvantaged,Class 1 disadvantaged,70.0,0,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.8845719178082192,0.8845719178082192,0.0,0.16618064287224085,0.6390793348689444,0.16618064287224085,0.0,0.0,8.305568022933262,8.305568022933262,0.0,0.0,0.0,0.0,0.0,False,loss
s011,class_1_disadvantaged,Class 1 disadvantaged,70.0,4,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.8853767123287671,0.8845719178082192,0.0008047945205479134,0.17474724569397437,0.635200894261154,0.17474724569397437,0.008566602821733504,-0.003878440607790368,8.27203055053049,8.305568022933262,-0.03353747240277265,0.0,0.0,0.0,0.0,False,loss
s011,class_1_disadvantaged,Class 1 disadvantaged,70.0,8,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.8425513698630137,0.8845719178082192,-0.04202054794520551,0.20477170142503165,0.5672491389989456,0.20477170142503165,0.03859105855279078,-0.07183019586999881,8.382183036627097,8.305568022933262,0.07661501369383465,0.0,0.0,0.0,0.0,False,loss
s011,class_1_disadvantaged,Class 1 disadvantaged,70.0,12,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.8318493150684931,0.8845719178082192,-0.052722602739726045,0.2771718415970883,0.48773886134476657,0.2771718415970883,0.11099119872484745,-0.15134047352417784,8.420717831205799,8.305568022933262,0.11514980827253751,0.0,0.0,0.0,0.0,False,loss
s011,class_1_disadvantaged,Class 1 disadvantaged,70.0,16,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.8207876712328768,0.8845719178082192,-0.0637842465753425,0.3552535763284889,0.3953016418958272,0.3552535763284889,0.18907293345624804,-0.24377769297311716,8.257703329452692,8.305568022933262,-0.047864693480569896,0.0,0.0,0.0,0.0,False,loss
s011,class_1_disadvantaged,Class 1 disadvantaged,70.0,20,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.8149143835616439,0.8845719178082192,-0.06965753424657536,0.4478154090688329,0.29646129468988397,0.29646129468988397,0.281634766196592,-0.34261804017906045,7.320278611581881,8.305568022933262,-0.9852894113513802,0.0,0.0,0.0,0.0,False,loss
s011,class_1_disadvantaged,Class 1 disadvantaged,70.0,24,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.9154623287671233,0.8845719178082192,0.03089041095890408,0.6370758757850242,0.19782518647313185,0.19782518647313185,0.47089523291278335,-0.4412541483958125,5.891299180363136,8.305568022933262,-2.4142688425701264,0.0,0.0,0.0,0.0,False,loss
s011,class_1_disadvantaged,Class 1 disadvantaged,70.0,28,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.9399486301369862,0.8845719178082192,0.055376712328767085,0.7557464847478255,0.0989417322769141,0.0989417322769141,0.5895658418755846,-0.5401376025920304,4.072360804230432,8.305568022933262,-4.23320721870283,0.0,0.0,0.0,0.0,False,loss
s011,class_1_disadvantaged,Class 1 disadvantaged,70.0,32,-0.00015410958904109594,0.0003445995170804472,5,0.9998458904109591,1.0,0.9998458904109591,1.0,-0.00015410958904109594,0.9506849315068493,0.8845719178082192,0.06611301369863012,0.8673858875148038,0.0,0.0,0.7012052446425631,-0.6390793348689444,1.4258598644258673,8.305568022933262,-6.879708158507396,0.0,0.00015410958904109597,-0.00045616438356164404,0.00014794520547945216,False,loss
s012,class_1_disadvantaged,Class 1 disadvantaged,100.0,0,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.8518835616438356,0.8518835616438356,0.0,0.11476748101468126,0.430588878674771,0.11476748101468126,0.0,0.0,10.81359491051239,10.81359491051239,0.0,0.0,0.0,0.0,0.0,False,loss
s012,class_1_disadvantaged,Class 1 disadvantaged,100.0,4,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.8501027397260273,0.8518835616438356,-0.0017808219178082174,0.12324240945690504,0.41949324385830344,0.12324240945690504,0.008474928442223775,-0.011095634816467548,10.758705247981977,10.81359491051239,-0.05488966253041276,0.0,0.0,0.0,0.0,False,loss
s012,class_1_disadvantaged,Class 1 disadvantaged,100.0,8,0.0,0.0,5,1.0,1.0,1.0,1.0,0.0,0.8417123287671233,0.8518835616438356,-0.010171232876712311,0.144875787699266,0.39478289927038934,0.144875787699266,0.03010830668458475,-0.0358059794043817,10.46521008390785,10.81359491051239,-0.3483848266045403,0.0,0.0,0.0,0.0,False,loss
