policy,median_delta_u_pp,median_boot_ci_low_pp,median_boot_ci_high_pp,meaningful_gain_pct,supported_neutral_pct,uncertain_pct
Horizon only,0.37643835616435495,0.29479452054794,0.40091324200909995,45.5,49.72222222222222,4.777777777777778
Reservation only,0.22785388127851997,0.16072831050226763,0.30958904109588997,42.72222222222222,53.083333333333336,4.194444444444445
Both flexible,0.364840182648385,0.29260273972599005,0.39342465753424,46.166666666666664,50.416666666666664,3.4166666666666665
