policy,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked,measured_total_slots,measured_booked_slots,measured_served_slots,measured_no_show_slots,measured_booked_slot_utilization,measured_served_slot_utilization,measured_no_show_slot_share,balked_rate,no_offer_rate,canceled_rate,no_show_rate,unresolved_booked_rate,served_rate,booked_arrival_rate,offered_rate
Pooled FCFS,5116,0.8966609589041096,0.5717255717255717,10450,11704.0,5.562917168180326,5.562917168180326,0.0,18278,18278,18278,0,0,6609,1219,0,11680,11680,10473,1207,1.0,0.8966609589041096,0.10333904109589041,0.0,0.0,0.36158223000328266,0.06669219827114564,0.0,0.5717255717255717,1.0,1.0
Pooled FCFS,5117,0.8903253424657535,0.5678918093576181,10414,11667.0,5.5491329479768785,5.5491329479768785,0.0,18338,18338,18338,0,0,6677,1247,0,11680,11680,10399,1281,1.0,0.8903253424657535,0.10967465753424657,0.0,0.0,0.36410731813720143,0.0680008725051805,0.0,0.5678918093576181,1.0,1.0
Pooled FCFS,5118,0.8946917808219178,0.5649371750433275,10431,11676.0,5.525400779896014,5.525400779896014,0.0,18464,18464,18464,0,0,6790,1243,0,11680,11680,10450,1230,1.0,0.8946917808219178,0.1053082191780822,0.0,0.0,0.3677426343154246,0.06732019064124783,0.0,0.5649371750433275,1.0,1.0
Pooled FCFS,5119,0.9061643835616439,0.5734440284334473,10568,11825.0,5.520863855879321,5.520863855879321,0.0,18429,18429,18429,0,0,6737,1124,0,11680,11680,10584,1096,1.0,0.9061643835616439,0.09383561643835617,0.0,0.0,0.3655651418959249,0.060990829670627814,0.0,0.5734440284334473,1.0,1.0
Pooled FCFS,5120,0.9043664383561644,0.5769293879560248,10548,11794.0,5.476891101022808,5.476891101022808,0.0,18283,18283,18283,0,0,6606,1129,0,11680,11680,10563,1117,1.0,0.9043664383561644,0.09563356164383562,0.0,0.0,0.36131925832740797,0.0617513537165673,0.0,0.5769293879560248,1.0,1.0
Pooled FCFS,5121,0.9234589041095891,0.5927840721592784,10778,12017.0,5.3466065339346605,5.3466065339346605,0.0,18182,18182,18182,0,0,6502,902,0,11680,11680,10786,894,1.0,0.9234589041095891,0.07654109589041096,0.0,0.0,0.35760642393576064,0.04960950390496095,0.0,0.5927840721592784,1.0,1.0
Pooled FCFS,5122,0.9188356164383562,0.5912191901408451,10746,12001.0,5.410926496478873,5.410926496478873,0.0,18176,18176,18176,0,0,6484,946,0,11680,11680,10732,948,1.0,0.9188356164383562,0.08116438356164384,0.0,0.0,0.35673415492957744,0.05204665492957746,0.0,0.5912191901408451,1.0,1.0
Pooled FCFS,5123,0.9201198630136986,0.5919426048565122,10726,11993.0,5.383388520971303,5.383388520971303,0.0,18120,18120,18120,0,0,6437,957,0,11680,11680,10747,933,1.0,0.9201198630136986,0.07988013698630136,0.0,0.0,0.355242825607064,0.05281456953642384,0.0,0.5919426048565122,1.0,1.0
Pooled FCFS,5124,0.9110445205479452,0.5794351760985715,10628,11876.0,5.43092356340639,5.43092356340639,0.0,18342,18342,18342,0,0,6666,1048,0,11680,11680,10641,1039,1.0,0.9110445205479452,0.0889554794520548,0.0,0.0,0.36342819757932615,0.05713662632210228,0.0,0.5794351760985715,1.0,1.0
Pooled FCFS,5125,0.8956335616438356,0.5717959943088541,10449,11700.0,5.509521724854985,5.509521724854985,0.0,18274,18274,18274,0,0,6590,1235,0,11680,11680,10461,1219,1.0,0.8956335616438356,0.10436643835616438,0.0,0.0,0.3606216482434059,0.06758235744773995,0.0,0.5717959943088541,1.0,1.0
Pooled FCFS,5126,0.9048801369863013,0.5764416507242416,10546,11805.0,5.505930582126264,5.505930582126264,0.0,18295,18295,18295,0,0,6601,1148,0,11680,11680,10569,1111,1.0,0.9048801369863013,0.09511986301369862,0.0,0.0,0.3608089641978683,0.06274938507789013,0.0,0.5764416507242416,1.0,1.0
Pooled FCFS,5127,0.8972602739726028,0.5728956136996777,10488,11748.0,5.497077620582291,5.497077620582291,0.0,18307,18307,18307,0,0,6643,1176,0,11680,11680,10480,1200,1.0,0.8972602739726028,0.10273972602739725,0.0,0.0,0.36286666302507237,0.0642377232752499,0.0,0.5728956136996777,1.0,1.0
Pooled FCFS,5128,0.9149828767123288,0.5861463307536089,10679,11909.0,5.385586475657281,5.385586475657281,0.0,18219,18219,18219,0,0,6539,1001,0,11680,11680,10687,993,1.0,0.9149828767123288,0.08501712328767123,0.0,0.0,0.35891102694988747,0.05494264229650365,0.0,0.5861463307536089,1.0,1.0
Pooled FCFS,5129,0.9061643835616439,0.5789071038251367,10594,11822.0,5.421857923497268,5.421857923497268,0.0,18300,18300,18300,0,0,6610,1096,0,11680,11680,10584,1096,1.0,0.9061643835616439,0.09383561643835617,0.0,0.0,0.36120218579234975,0.05989071038251366,0.0,0.5789071038251367,1.0,1.0
Pooled FCFS,5130,0.900513698630137,0.575317009182335,10526,11742.0,5.542686926104066,5.542686926104066,0.0,18296,18296,18296,0,0,6585,1185,0,11680,11680,10518,1162,1.0,0.900513698630137,0.09948630136986301,0.0,0.0,0.35991473546130304,0.06476825535636205,0.0,0.575317009182335,1.0,1.0
Strict C1 reservation,5101,0.9224315068493151,0.59198682766191,10786,12016.0,5.34681668496158,5.34681668496158,0.0,18220,18220,18220,0,0,6525,909,0,11680,11680,10774,906,1.0,0.9224315068493151,0.07756849315068493,0.0,0.0,0.3581229418221734,0.049890230515916574,0.0,0.59198682766191,1.0,1.0
Strict C1 reservation,5102,0.9007705479452055,0.5761102267113136,10495,11759.0,5.489981885052424,5.489981885052424,0.0,18217,18217,18217,0,0,6540,1182,0,11680,11680,10521,1159,1.0,0.9007705479452055,0.09922945205479453,0.0,0.0,0.35900532469671187,0.06488444859197454,0.0,0.5761102267113136,1.0,1.0
Strict C1 reservation,5103,0.8936643835616438,0.5690839694656489,10437,11680.0,5.4922028353326064,5.4922028353326064,0.0,18340,18340,18340,0,0,6638,1265,0,11680,11680,10438,1242,1.0,0.8936643835616438,0.10633561643835616,0.0,0.0,0.3619411123227917,0.06897491821155943,0.0,0.5690839694656489,1.0,1.0
Strict C1 reservation,5104,0.9198630136986301,0.5925476794179253,10750,12001.0,5.372560908389373,5.372560908389373,0.0,18142,18142,18142,0,0,6443,949,0,11680,11680,10744,936,1.0,0.9198630136986301,0.08013698630136987,0.0,0.0,0.35514276265020395,0.052309557931870795,0.0,0.5925476794179253,1.0,1.0
Strict C1 reservation,5105,0.9213184931506849,0.5921415187920203,10745,12017.0,5.394026231676403,5.394026231676403,0.0,18146,18146,18146,0,0,6470,931,0,11680,11680,10761,919,1.0,0.9213184931506849,0.07868150684931507,0.0,0.0,0.35655240824424117,0.05130607296373856,0.0,0.5921415187920203,1.0,1.0
Strict C1 reservation,5106,0.939041095890411,0.6120142523104332,10993,12244.0,5.251308317559292,5.251308317559292,0.0,17962,17962,17962,0,0,6264,705,0,11680,11680,10968,712,1.0,0.939041095890411,0.06095890410958904,0.0,0.0,0.3487362209108117,0.03924952677875515,0.0,0.6120142523104332,1.0,1.0
Strict C1 reservation,5107,0.8966609589041096,0.5680434782608695,10452,11706.0,5.573695652173913,5.573695652173913,0.0,18400,18400,18400,0,0,6728,1220,0,11680,11680,10473,1207,1.0,0.8966609589041096,0.10333904109589041,0.0,0.0,0.3656521739130435,0.06630434782608696,0.0,0.5680434782608695,1.0,1.0
Strict C1 reservation,5108,0.8966609589041096,0.5686925295173839,10452,11675.0,5.566570542466946,5.566570542466946,0.0,18379,18379,18379,0,0,6690,1237,0,11680,11680,10473,1207,1.0,0.8966609589041096,0.10333904109589041,0.0,0.0,0.3640023940366723,0.06730507644594375,0.0,0.5686925295173839,1.0,1.0
Strict C1 reservation,5109,0.9113869863013698,0.5825620242072402,10637,11915.0,5.382496303192946,5.382496303192946,0.0,18259,18259,18259,0,0,6584,1038,0,11680,11680,10645,1035,1.0,0.9113869863013698,0.08861301369863013,0.0,0.0,0.3605892984281724,0.056848677364587326,0.0,0.5825620242072402,1.0,1.0
Strict C1 reservation,5110,0.9101883561643835,0.581715476582209,10607,11892.0,5.463200614237139,5.463200614237139,0.0,18234,18234,18234,0,0,6569,1058,0,11680,11680,10631,1049,1.0,0.9101883561643835,0.08981164383561643,0.0,0.0,0.3602610507842492,0.05802347263354173,0.0,0.581715476582209,1.0,1.0
Strict C1 reservation,5111,0.907791095890411,0.582159109600307,10618,11840.0,5.465266736114919,5.465266736114919,0.0,18239,18239,18239,0,0,6520,1101,0,11680,11680,10603,1077,1.0,0.907791095890411,0.09220890410958904,0.0,0.0,0.3574757388014694,0.06036515159822359,0.0,0.582159109600307,1.0,1.0
Strict C1 reservation,5112,0.9041095890410958,0.5743765653925732,10549,11771.0,5.503103560927801,5.503103560927801,0.0,18366,18366,18366,0,0,6699,1118,0,11680,11680,10560,1120,1.0,0.9041095890410958,0.0958904109589041,0.0,0.0,0.364750081672656,0.06087335293477077,0.0,0.5743765653925732,1.0,1.0
Strict C1 reservation,5113,0.8931506849315068,0.5665653165381692,10435,11661.0,5.546530567922685,5.546530567922685,0.0,18418,18418,18418,0,0,6714,1269,0,11680,11680,10432,1248,1.0,0.8931506849315068,0.10684931506849316,0.0,0.0,0.3645346943207732,0.06889998914105766,0.0,0.5665653165381692,1.0,1.0
Strict C1 reservation,5114,0.8988869863013699,0.5723723723723724,10483,11725.0,5.6274092274092276,5.6274092274092276,0.0,18315,18315,18315,0,0,6623,1209,0,11680,11680,10499,1181,1.0,0.8988869863013699,0.10111301369863014,0.0,0.0,0.3616161616161616,0.06601146601146601,0.0,0.5723723723723724,1.0,1.0
Strict C1 reservation,5115,0.9281678082191781,0.6012644188110027,10842,12118.0,5.301242236024844,5.301242236024844,0.0,18032,18032,18032,0,0,6356,834,0,11680,11680,10841,839,1.0,0.9281678082191781,0.07183219178082192,0.0,0.0,0.35248447204968947,0.0462511091393079,0.0,0.6012644188110027,1.0,1.0
Strict C1 reservation,5116,0.8965753424657534,0.5716708611445454,10449,11703.0,5.562917168180326,5.562917168180326,0.0,18278,18278,18278,0,0,6609,1220,0,11680,11680,10472,1208,1.0,0.8965753424657534,0.10342465753424658,0.0,0.0,0.36158223000328266,0.06674690885217201,0.0,0.5716708611445454,1.0,1.0
