policy,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay,no_offer_rate,booked_rate
Pooled FCFS,5115,2,8987,8987,0,8987,0,3191,423,5373,5.3016579503727606,5.3016579503727606,0.5978635807277178,0.46001712328767125,0.0,47646.0,47646.0,0.0,1.0
Pooled FCFS,5116,1,9010,9010,0,9010,0,3264,611,5135,5.578912319644839,5.578912319644839,0.56992230854606,0.4396404109589041,0.0,50266.0,50266.0,0.0,1.0
Pooled FCFS,5116,2,9268,9268,0,9268,0,3345,608,5315,5.547367285282693,5.547367285282693,0.5734786361674579,0.4550513698630137,0.0,51413.0,51413.0,0.0,1.0
Pooled FCFS,5117,1,9149,9149,0,9149,0,3358,585,5206,5.550005465078151,5.550005465078151,0.5690239370422997,0.4457191780821918,0.0,50777.0,50777.0,0.0,1.0
Pooled FCFS,5117,2,9189,9189,0,9189,0,3319,662,5208,5.54826422896942,5.54826422896942,0.5667646098596147,0.4458904109589041,0.0,50983.0,50983.0,0.0,1.0
Pooled FCFS,5118,1,9275,9275,0,9275,0,3396,634,5245,5.539407008086253,5.539407008086253,0.5654986522911051,0.4490582191780822,0.0,51378.0,51378.0,0.0,1.0
Pooled FCFS,5118,2,9189,9189,0,9189,0,3394,609,5186,5.51126346718903,5.51126346718903,0.5643704429208837,0.4440068493150685,0.0,50643.0,50643.0,0.0,1.0
Pooled FCFS,5119,1,9144,9144,0,9144,0,3340,575,5229,5.513670166229221,5.513670166229221,0.5718503937007874,0.44768835616438357,0.0,50417.0,50417.0,0.0,1.0
Pooled FCFS,5119,2,9285,9285,0,9285,0,3397,549,5339,5.527948303715671,5.527948303715671,0.5750134625740442,0.45710616438356166,0.0,51327.0,51327.0,0.0,1.0
Pooled FCFS,5120,1,9172,9172,0,9172,0,3278,579,5315,5.483863933711295,5.483863933711295,0.5794810292193633,0.4550513698630137,0.0,50298.0,50298.0,0.0,1.0
Pooled FCFS,5120,2,9111,9111,0,9111,0,3328,550,5233,5.469871583799803,5.469871583799803,0.5743606629349138,0.44803082191780824,0.0,49836.0,49836.0,0.0,1.0
Pooled FCFS,5121,1,9051,9051,0,9051,0,3212,436,5403,5.363495746326373,5.363495746326373,0.5969506131919124,0.46258561643835616,0.0,48545.0,48545.0,0.0,1.0
Pooled FCFS,5121,2,9131,9131,0,9131,0,3290,466,5375,5.329865294053225,5.329865294053225,0.5886540357025517,0.4601883561643836,0.0,48667.0,48667.0,0.0,1.0
Pooled FCFS,5122,1,9240,9240,0,9240,0,3288,465,5487,5.368398268398268,5.368398268398268,0.5938311688311688,0.46977739726027395,0.0,49604.0,49604.0,0.0,1.0
Pooled FCFS,5122,2,8936,8936,0,8936,0,3196,481,5259,5.454901521933751,5.454901521933751,0.5885183527305282,0.4502568493150685,0.0,48745.0,48745.0,0.0,1.0
