policy,lambda_total,seed,total_arrivals,served_share,balked_share,canceled_share,no_show_share,no_offer_share,unresolved_booked_share,lost_share
Strict C1 reservation,40,6107,14476,0.8070599613152805,0.0,0.19294003868471954,0.0,0.0,0.0,0.19294003868471954
Strict C1 reservation,40,6108,14556,0.8051662544655125,0.0,0.19483374553448748,0.0,0.0,0.0,0.19483374553448748
Strict C1 reservation,40,6109,14686,0.7947024376957647,0.0,0.20529756230423532,0.0,0.0,0.0,0.20529756230423532
Strict C1 reservation,40,6110,14808,0.7904511075094544,0.0,0.20954889249054565,0.0,0.0,0.0,0.20954889249054565
Class-1-first backfill reservation,40,6101,14710,0.7127124405166554,0.046974847042828005,0.20197144799456151,0.038341264445955134,0.0,0.0,0.28728755948334467
Class-1-first backfill reservation,40,6102,14616,0.7155856595511768,0.042692939244663386,0.2006704980842912,0.041050903119868636,0.0,0.0,0.2844143404488232
Class-1-first backfill reservation,40,6103,14422,0.7178616003328249,0.03584800998474553,0.20572736097628622,0.040563028706143395,0.0,0.0,0.28213839966717513
Class-1-first backfill reservation,40,6104,14654,0.7043810563668623,0.05834584413811929,0.19434966562030845,0.042923433874709975,0.0,0.0,0.29561894363313773
Class-1-first backfill reservation,40,6105,14429,0.7172361216993555,0.04560260586319218,0.19841984891537875,0.038741423522073604,0.0,0.0,0.28276387830064453
Class-1-first backfill reservation,40,6106,14514,0.7146203665426485,0.04037481052776629,0.20525010334849111,0.03975471958109412,0.0,0.0,0.2853796334573515
Class-1-first backfill reservation,40,6107,14451,0.7180125942841326,0.04601757663829493,0.19638779323230227,0.03958203584527022,0.0,0.0,0.2819874057158674
Class-1-first backfill reservation,40,6108,14474,0.7115517479618626,0.04352632306204228,0.2058173276219428,0.03910460135415227,0.0,0.0,0.28844825203813734
Class-1-first backfill reservation,40,6109,14611,0.7082335226883855,0.0500307987132982,0.1999863116829786,0.04174936691533776,0.0,0.0,0.29176647731161454
Class-1-first backfill reservation,40,6110,14494,0.7018076445425694,0.05167655581619981,0.2050503656685525,0.04146543397267835,0.0,0.0,0.29819235545743067
Strict C1 reservation,50,6101,18174,0.590513920986024,0.0,0.35721360184879497,0.052272477165181026,0.0,0.0,0.409486079013976
Strict C1 reservation,50,6102,18134,0.5855850887835006,0.0,0.3560163229293041,0.058398588287195324,0.0,0.0,0.41441491121649937
Strict C1 reservation,50,6103,18084,0.6021897810218978,0.0,0.35312983853129837,0.04468038044680381,0.0,0.0,0.3978102189781022
Strict C1 reservation,50,6104,18393,0.560648072636329,0.0,0.3638340673082151,0.07551786005545588,0.0,0.0,0.43935192736367096
Strict C1 reservation,50,6105,18238,0.5805461125123369,0.0,0.3592499177541397,0.06020396973352341,0.0,0.0,0.4194538874876631
Strict C1 reservation,50,6106,18488,0.5671787105149286,0.0,0.36786023366508,0.06496105581999134,0.0,0.0,0.4328212894850714
Strict C1 reservation,50,6107,18336,0.5741164921465969,0.0,0.362401832460733,0.06348167539267016,0.0,0.0,0.4258835078534031
Strict C1 reservation,50,6108,18049,0.596764363676658,0.0,0.35165383123718763,0.051581805086154356,0.0,0.0,0.40323563632334203
Strict C1 reservation,50,6109,17976,0.6107587894971073,0.0,0.34913217623498,0.04010903426791277,0.0,0.0,0.38924121050289273
Strict C1 reservation,50,6110,18123,0.5994040721734812,0.0,0.3541356287590355,0.04646029906748331,0.0,0.0,0.40059592782651876
Class-1-first backfill reservation,50,6101,18242,0.6105690165552022,0.11429667799583379,0.24438109856375398,0.030753206885209956,0.0,0.0,0.3894309834447977
Class-1-first backfill reservation,50,6102,18122,0.6127359011146672,0.12487584151859618,0.2307140492219402,0.031508663502924625,0.0,0.00016554464187175808,0.38726409888533275
