scenario_id,arrival_rate_class_1,arrival_rate_class_2,tau_1,tau_2,post_threshold_balking_rate,w1,w2,objective_name,direction,near_tie_tolerance,fcfs_mean,exact_best_q_values,exact_best_value,near_tie_q_values,near_tie_q_ranges,best_strict_q_values,best_strict_near_tie_q_values,best_strict_q_ranges,best_strict_value,best_strict_delta_vs_fcfs,composition_effect_likely,class_1_service_rate_delta_min,class_1_service_rate_delta_max,class_2_service_rate_delta_min,class_2_service_rate_delta_max,class_1_no_offer_rate_delta_min,class_1_no_offer_rate_delta_max,class_2_no_offer_rate_delta_min,class_2_no_offer_rate_delta_max
t05_09_b03_l50,50,50,5,9,0.3,0.5,1.0,Obj_service_norm,maximize,0.01,0.2726083012780514,2,0.2726168661170912,"0,2,4,6,8","0-8 [0,2,4,6,8]",2,"2,4,6,8","2-8 [2,4,6,8]",0.2726168661170912,8.564839039770789e-06,False,0.000356924571504,0.005688932771058,-0.0065803302156038,-0.0001656150271922,-0.0021233690814916,-0.0004732556766254,-0.0020316355229848,-0.0001764740604205
t05_09_b03_l50,50,50,5,9,0.3,0.5,1.0,T_wait_offered,minimize,0.01,9.966697326704564,32,4.620508313477343,32,32,32,32,32,4.620508313477343,-5.346189013227221,False,0.3798168015400541,0.3798168015400541,-0.2788086708075611,-0.2788086708075611,-0.0980169428331746,-0.0980169428331746,0.9021944206519914,0.9021944206519914
t05_09_b03_l50,50,50,5,9,0.3,1.0,1.0,Obj_util_norm,maximize,0.01,0.4209289383561644,32,0.4999614726027397,32,32,32,32,32,0.4999614726027397,0.0790325342465753,False,0.3798168015400541,0.3798168015400541,-0.2788086708075611,-0.2788086708075611,-0.0980169428331746,-0.0980169428331746,0.9021944206519914,0.9021944206519914
t05_09_b03_l50,50,50,5,9,0.3,1.0,1.0,Obj_service_norm,maximize,0.01,0.2695081165132965,32,0.320012181879543,32,32,32,32,32,0.320012181879543,0.0505040653662464,False,0.3798168015400541,0.3798168015400541,-0.2788086708075611,-0.2788086708075611,-0.0980169428331746,-0.0980169428331746,0.9021944206519914,0.9021944206519914
t05_09_b03_l50,50,50,5,9,0.3,1.0,1.0,T_wait_offered,minimize,0.01,9.967537118944588,32,4.620508313477343,32,32,32,32,32,4.620508313477343,-5.347028805467245,False,0.3798168015400541,0.3798168015400541,-0.2788086708075611,-0.2788086708075611,-0.0980169428331746,-0.0980169428331746,0.9021944206519914,0.9021944206519914
t05_09_b03_l50,50,50,5,9,0.3,1.5,1.0,Obj_util_norm,maximize,0.01,0.4181755136986302,32,0.5999537671232877,32,32,32,32,32,0.5999537671232877,0.1817782534246575,False,0.3798168015400541,0.3798168015400541,-0.2788086708075611,-0.2788086708075611,-0.0980169428331746,-0.0980169428331746,0.9021944206519914,0.9021944206519914
t05_09_b03_l50,50,50,5,9,0.3,1.5,1.0,Obj_service_norm,maximize,0.01,0.2676480056544436,32,0.3840146182554516,32,32,32,32,32,0.3840146182554516,0.1163666126010079,False,0.3798168015400541,0.3798168015400541,-0.2788086708075611,-0.2788086708075611,-0.0980169428331746,-0.0980169428331746,0.9021944206519914,0.9021944206519914
t05_09_b03_l50,50,50,5,9,0.3,1.5,1.0,T_wait_offered,minimize,0.01,9.968040520971355,32,4.620508313477343,32,32,32,32,32,4.620508313477343,-5.347532207494012,False,0.3798168015400541,0.3798168015400541,-0.2788086708075611,-0.2788086708075611,-0.0980169428331746,-0.0980169428331746,0.9021944206519914,0.9021944206519914
t05_09_b03_l50,50,50,5,9,0.3,2.0,1.0,Obj_util_norm,maximize,0.01,0.416339897260274,32,0.666615296803653,32,32,32,32,32,0.666615296803653,0.2502753995433789,False,0.3798168015400541,0.3798168015400541,-0.2788086708075611,-0.2788086708075611,-0.0980169428331746,-0.0980169428331746,0.9021944206519914,0.9021944206519914
t05_09_b03_l50,50,50,5,9,0.3,2.0,1.0,Obj_service_norm,maximize,0.01,0.2664079317485416,32,0.4266829091727239,32,32,32,32,32,0.4266829091727239,0.1602749774241823,False,0.3798168015400541,0.3798168015400541,-0.2788086708075611,-0.2788086708075611,-0.0980169428331746,-0.0980169428331746,0.9021944206519914,0.9021944206519914
t05_09_b03_l50,50,50,5,9,0.3,2.0,1.0,T_wait_offered,minimize,0.01,9.96837591674095,32,4.620508313477343,32,32,32,32,32,4.620508313477343,-5.347867603263607,False,0.3798168015400541,0.3798168015400541,-0.2788086708075611,-0.2788086708075611,-0.0980169428331746,-0.0980169428331746,0.9021944206519914,0.9021944206519914
t05_09_b05_l25,25,25,5,9,0.5,0.5,1.0,Obj_util_norm,maximize,0.01,0.5117208904109589,0,0.5117208904109589,"0,2,4,6,8,10,12","0-12 [0,2,4,6,8,10,12]",6,"2,4,6,8,10,12","2-12 [2,4,6,8,10,12]",0.5116395547945205,-8.133561643841603e-05,False,5.235694795499013e-05,0.0107263177723379,-0.0129790793773763,-0.0007725224347653,0.0,0.0,0.0,0.0
t05_09_b05_l25,25,25,5,9,0.5,0.5,1.0,Obj_service_norm,maximize,0.01,0.6555318100181974,4,0.6556968368563191,"0,2,4,6,8,10,12","0-12 [0,2,4,6,8,10,12]",4,"2,4,6,8,10,12","2-12 [2,4,6,8,10,12]",0.6556968368563191,0.0001650268381216,False,5.235694795499013e-05,0.0107263177723379,-0.0129790793773763,-0.0007725224347653,0.0,0.0,0.0,0.0
t05_09_b05_l25,25,25,5,9,0.5,0.5,1.0,T_wait_offered,minimize,0.01,4.665750981850815,32,0.0100505019649588,32,32,32,32,32,0.0100505019649588,-4.655700479885856,False,0.4066032787644401,0.4066032787644401,-0.6865993544095161,-0.6865993544095161,0.0,0.0,1.0,1.0
t05_09_b05_l25,25,25,5,9,0.5,1.0,1.0,Obj_util_norm,maximize,0.01,0.4997581335616438,6,0.4998244863013698,"0,2,4,6,8,10,12","0-12 [0,2,4,6,8,10,12]",6,"2,4,6,8,10,12","2-12 [2,4,6,8,10,12]",0.4998244863013698,6.635273972604994e-05,False,5.235694795499013e-05,0.0107263177723379,-0.0129790793773763,-0.0007725224347653,0.0,0.0,0.0,0.0
t05_09_b05_l25,25,25,5,9,0.5,1.0,1.0,Obj_service_norm,maximize,0.01,0.6399980378225381,4,0.6406395337482375,"0,2,4,6,8,10,12","0-12 [0,2,4,6,8,10,12]",4,"2,4,6,8,10,12","2-12 [2,4,6,8,10,12]",0.6406395337482375,0.0006414959256993,False,5.235694795499013e-05,0.0107263177723379,-0.0129790793773763,-0.0007725224347653,0.0,0.0,0.0,0.0
t05_09_b05_l25,25,25,5,9,0.5,1.0,1.0,T_wait_offered,minimize,0.01,4.665447795163353,32,0.0100505019649588,32,32,32,32,32,0.0100505019649588,-4.655397293198394,False,0.4066032787644401,0.4066032787644401,-0.6865993544095161,-0.6865993544095161,0.0,0.0,1.0,1.0
t05_09_b05_l25,25,25,5,9,0.5,1.5,1.0,Obj_util_norm,maximize,0.01,0.4925804794520548,24,0.5337140410958905,24,24,24,24,24,0.5337140410958905,0.0411335616438356,False,0.3632035790480978,0.3632035790480978,-0.4173750551773333,-0.4173750551773333,0.0,0.0,0.0039099453908911,0.0039099453908911
t05_09_b05_l25,25,25,5,9,0.5,1.5,1.0,Obj_service_norm,maximize,0.01,0.6306777745051424,24,0.6816498998630677,24,24,24,24,24,0.6816498998630677,0.0509721253579252,False,0.3632035790480978,0.3632035790480978,-0.4173750551773333,-0.4173750551773333,0.0,0.0,0.0039099453908911,0.0039099453908911
t05_09_b05_l25,25,25,5,9,0.5,1.5,1.0,T_wait_offered,minimize,0.01,4.665265715881392,32,0.0100505019649588,32,32,32,32,32,0.0100505019649588,-4.655215213916433,False,0.4066032787644401,0.4066032787644401,-0.6865993544095161,-0.6865993544095161,0.0,0.0,1.0,1.0
t05_09_b05_l25,25,25,5,9,0.5,2.0,1.0,Obj_util_norm,maximize,0.01,0.4877953767123286,24,0.5697388698630137,24,24,24,24,24,0.5697388698630137,0.081943493150685,False,0.3632035790480978,0.3632035790480978,-0.4173750551773333,-0.4173750551773333,0.0,0.0,0.0039099453908911,0.0039099453908911
t05_09_b05_l25,25,25,5,9,0.5,2.0,1.0,Obj_service_norm,maximize,0.01,0.6244642656268786,24,0.7274749665998326,24,24,24,24,24,0.7274749665998326,0.1030107009729539,False,0.3632035790480978,0.3632035790480978,-0.4173750551773333,-0.4173750551773333,0.0,0.0,0.0039099453908911,0.0039099453908911
t05_09_b05_l25,25,25,5,9,0.5,2.0,1.0,T_wait_offered,minimize,0.01,4.665144262081138,32,0.0100505019649588,32,32,32,32,32,0.0100505019649588,-4.655093760116179,False,0.4066032787644401,0.4066032787644401,-0.6865993544095161,-0.6865993544095161,0.0,0.0,1.0,1.0
t05_09_b05_l50,50,50,5,9,0.5,0.5,1.0,Obj_util_norm,maximize,0.01,0.4290325342465753,2,0.429783105022831,"0,2,4,6,8","0-8 [0,2,4,6,8]",2,"2,4,6,8","2-8 [2,4,6,8]",0.429783105022831,0.0007505707762557,False,0.0003370312525665,0.0061030407778303,-0.0077063768661949,0.0013138542627787,0.0,0.0,0.0,0.0
t05_09_b05_l50,50,50,5,9,0.5,0.5,1.0,Obj_service_norm,maximize,0.01,0.274686436458236,2,0.2756746830509439,"0,2,4,6","0-6 [0,2,4,6]",2,"2,4,6","2-6 [2,4,6]",0.2756746830509439,0.0009882465927079,False,0.0003370312525665,0.0032205461410157,-0.0037574386619994,0.0013138542627787,0.0,0.0,0.0,0.0
t05_09_b05_l50,50,50,5,9,0.5,0.5,1.0,T_wait_offered,minimize,0.01,8.804245006483082,32,4.533999150483735,32,32,32,32,32,4.533999150483735,-4.270245855999347,False,0.3869877191757713,0.3869877191757713,-0.2861452788670267,-0.2861452788670267,0.0,0.0,1.0,1.0
t05_09_b05_l50,50,50,5,9,0.5,1.0,1.0,Obj_util_norm,maximize,0.01,0.4203531678082192,32,0.5000321061643834,32,32,32,32,32,0.5000321061643834,0.0796789383561642,False,0.3869877191757713,0.3869877191757713,-0.2861452788670267,-0.2861452788670267,0.0,0.0,1.0,1.0
t05_09_b05_l50,50,50,5,9,0.5,1.0,1.0,Obj_service_norm,maximize,0.01,0.2689570152538407,32,0.319378235408213,32,32,32,32,32,0.319378235408213,0.0504212201543723,False,0.3869877191757713,0.3869877191757713,-0.2861452788670267,-0.2861452788670267,0.0,0.0,1.0,1.0
t05_09_b05_l50,50,50,5,9,0.5,1.0,1.0,T_wait_offered,minimize,0.01,8.803566521325306,32,4.533999150483735,32,32,32,32,32,4.533999150483735,-4.269567370841571,False,0.3869877191757713,0.3869877191757713,-0.2861452788670267,-0.2861452788670267,0.0,0.0,1.0,1.0
t05_09_b05_l50,50,50,5,9,0.5,1.5,1.0,Obj_util_norm,maximize,0.01,0.4151455479452055,32,0.6000385273972603,32,32,32,32,32,0.6000385273972603,0.1848929794520547,False,0.3869877191757713,0.3869877191757713,-0.2861452788670267,-0.2861452788670267,0.0,0.0,1.0,1.0
