class1_xi_high,class_id,mean,std,n,se,ci95,metric
0.0,1,0.31958228466134964,0.003239330001121161,100,0.0003239330001121161,0.0006349086802197475,percent_serviced
0.0,2,0.2685650027559174,0.002671576875694467,100,0.0002671576875694467,0.0005236290676361155,percent_serviced
0.1,1,0.3025770150203353,0.0032257317662371717,100,0.00032257317662371716,0.0006322434261824857,percent_serviced
0.1,2,0.2685650027559174,0.002671576875694467,100,0.0002671576875694467,0.0005236290676361155,percent_serviced
0.2,1,0.2857295751279622,0.0031169715092109946,100,0.00031169715092109945,0.0006109264158053549,percent_serviced
0.2,2,0.2685650027559174,0.002671576875694467,100,0.0002671576875694467,0.0005236290676361155,percent_serviced
0.3,1,0.2688976243790122,0.0030578761420701796,100,0.00030578761420701795,0.0005993437238457552,percent_serviced
0.3,2,0.2685650027559174,0.002671576875694467,100,0.0002671576875694467,0.0005236290676361155,percent_serviced
0.4,1,0.25190456974923636,0.0032055199048418538,100,0.00032055199048418537,0.0006282819013490033,percent_serviced
0.4,2,0.2685650027559174,0.002671576875694467,100,0.0002671576875694467,0.0005236290676361155,percent_serviced
0.5,1,0.23478503516756025,0.003110374645204563,100,0.0003110374645204563,0.0006096334304600943,percent_serviced
0.5,2,0.2685650027559174,0.002671576875694467,100,0.0002671576875694467,0.0005236290676361155,percent_serviced
0.6,1,0.2177258821399831,0.0029875370555313857,100,0.00029875370555313855,0.0005855572628841515,percent_serviced
0.6,2,0.2685650027559174,0.002671576875694467,100,0.0002671576875694467,0.0005236290676361155,percent_serviced
0.7,1,0.20071317191112367,0.003034631230484625,100,0.0003034631230484625,0.0005947877211749865,percent_serviced
0.7,2,0.2685650027559174,0.002671576875694467,100,0.0002671576875694467,0.0005236290676361155,percent_serviced
0.8,1,0.18352331997210097,0.0027780639380735046,100,0.00027780639380735046,0.0005445005318624069,percent_serviced
0.8,2,0.2685650027559174,0.002671576875694467,100,0.0002671576875694467,0.0005236290676361155,percent_serviced
0.9,1,0.16664447536714924,0.002514701057302354,100,0.0002514701057302354,0.0004928814072312613,percent_serviced
0.9,2,0.2685650027559174,0.002671576875694467,100,0.0002671576875694467,0.0005236290676361155,percent_serviced
0.0,1,0.5000162671232876,0.004315030314254966,100,0.0004315030314254966,0.0008457459415939733,slot_utilization
0.0,2,0.4195393835616439,0.0041619652391149875,100,0.00041619652391149874,0.0008157451868665375,slot_utilization
0.1,1,0.473410102739726,0.004395082545652225,100,0.00043950825456522244,0.000861436178947836,slot_utilization
0.1,2,0.4195393835616439,0.0041619652391149875,100,0.00041619652391149874,0.0008157451868665375,slot_utilization
0.2,1,0.4470513698630137,0.0043462776307166264,100,0.00043462776307166264,0.0008518704156204587,slot_utilization
0.2,2,0.4195393835616439,0.0041619652391149875,100,0.00041619652391149874,0.0008157451868665375,slot_utilization
0.3,1,0.42071575342465756,0.00427048218565983,100,0.00042704821856598304,0.0008370145083893267,slot_utilization
0.3,2,0.4195393835616439,0.0041619652391149875,100,0.00041619652391149874,0.0008157451868665375,slot_utilization
