background_id,variant,policy,comparison,average_optimal_horizon_days,average_optimal_Q,average_optimal_window,weighted_optimal_horizon_days,weighted_optimal_Q,weighted_optimal_window,same_horizon,same_Q,same_window,same_policy_cell,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,average_utilization_change_status,delta_weighted_utilization,delta_weighted_utilization_ci_low,delta_weighted_utilization_ci_high,weighted_utilization_change_status,delta_class_1_percent_serviced,delta_class_1_percent_serviced_ci_low,delta_class_1_percent_serviced_ci_high,class_1_percent_serviced_change_status,delta_class_2_percent_serviced,delta_class_2_percent_serviced_ci_low,delta_class_2_percent_serviced_ci_high,class_2_percent_serviced_change_status,delta_class_1_slot_utilization,delta_class_1_slot_utilization_ci_low,delta_class_1_slot_utilization_ci_high,class_1_slot_utilization_change_status,delta_class_2_slot_utilization,delta_class_2_slot_utilization_ci_low,delta_class_2_slot_utilization_ci_high,class_2_slot_utilization_change_status,n_paired_seeds,capacity_tradeoff,priority_weighted_access_tradeoff,class_1_served_rate_direction,class_2_served_rate_direction,patient_group_tradeoff,patient_group_supported_tradeoff,design_note,horizon_days,rho,class1_share,slots_per_day,lambda_1,lambda_2,cancel_1,cancel_2,balk_threshold_1,balk_low_1,balk_high_1,balk_threshold_2,balk_low_2,balk_high_2,noshow_threshold_1,noshow_low_1,noshow_high_1,noshow_threshold_2,noshow_low_2,noshow_high_2
BG00439,release,horizon_only,weighted_optimal_minus_average_optimal,2,0,-1,2,0,-1,True,True,True,True,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,10,tie,tie,tie,tie,both_groups_tied,both_groups_tied,sobol,14,0.8,0.3,20,4.8,11.2,0.1,0.1,16,0.05,0.3,24,0.05,0.3,4,0.05,0.2,14,0.2,0.4
BG00439,release,reservation_only,weighted_optimal_minus_average_optimal,14,17,3,14,20,2,True,False,False,False,-0.006876712328766932,-0.012411301369862938,-0.0018208904109586288,supported_decrease,0.004225353540670618,0.002514323781291242,0.006100389058413084,practical_tie,0.005552425311071807,0.0023273765528433153,0.009134541319924597,supported_increase,0.001571209999868195,-0.001969443547513672,0.005179187606759984,practical_tie,0.0002876712328767156,-0.004521232876712341,0.004739726027397265,practical_tie,-0.007178082191780832,-0.01154794520547946,-0.0030270547945205613,supported_decrease,10,decrease,tie,increase,tie,priority_gains_general_tied,priority_gains_general_tied,sobol,14,0.8,0.3,20,4.8,11.2,0.1,0.1,16,0.05,0.3,24,0.05,0.3,4,0.05,0.2,14,0.2,0.4
BG00439,release,both_flexible,weighted_optimal_minus_average_optimal,6,17,3,6,20,2,True,False,False,False,-0.006876712328766932,-0.012370547945205309,-0.001629452054794123,supported_decrease,0.004225353540670618,0.0024292412711227245,0.006126036617167971,practical_tie,0.005552425311071807,0.0023584017426010236,0.009079655761809155,supported_increase,0.001571209999868195,-0.0020021739198846106,0.0051371219843176635,practical_tie,0.0002876712328767156,-0.004452054794520521,0.004714726027397256,practical_tie,-0.007178082191780832,-0.011808219178082197,-0.0028904109589041214,supported_decrease,10,decrease,tie,increase,tie,priority_gains_general_tied,priority_gains_general_tied,sobol,14,0.8,0.3,20,4.8,11.2,0.1,0.1,16,0.05,0.3,24,0.05,0.3,4,0.05,0.2,14,0.2,0.4
BG00440,release,baseline,weighted_optimal_minus_average_optimal,14,0,-1,14,0,-1,True,True,True,True,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,10,tie,tie,tie,tie,both_groups_tied,both_groups_tied,sobol,14,1.6,0.9,30,43.2,4.799999999999999,0.3,0.2,24,0.1,0.2,24,0.05,0.4,22,0.1,0.4,22,0.3,0.4
BG00440,release,horizon_only,weighted_optimal_minus_average_optimal,2,0,-1,6,0,-1,False,True,True,False,-0.0016073059360728447,-0.0035342465753421147,0.00024703196347067606,practical_tie,0.0023366935139338407,-0.0010803617925264656,0.005502186051325967,practical_tie,-0.003807755285457304,-0.005948121997166138,-0.0017745425556743902,practical_tie,0.014625591112716085,0.006341535075720628,0.022888235722878923,supported_increase,-0.004785388127853873,-0.007698858447488567,-0.0016981735159817479,practical_tie,0.003424657534246582,0.0014611872146118698,0.005214611872146123,practical_tie,10,tie,tie,tie,increase,priority_tied_general_gains,priority_tied_general_gains,sobol,14,1.6,0.9,30,43.2,4.799999999999999,0.3,0.2,24,0.1,0.2,24,0.05,0.4,22,0.1,0.4,22,0.3,0.4
BG00440,release,reservation_only,weighted_optimal_minus_average_optimal,14,30,13,14,19,3,True,False,False,False,-0.015360730593606809,-0.016803652968035692,-0.014127625570775895,supported_decrease,0.07976719179139487,0.07751850328772979,0.08217376282701894,supported_increase,-0.04901883306483399,-0.051760005801186774,-0.04590777998507419,supported_decrease,0.33733924150385247,0.32899045177139524,0.3469058022741679,supported_increase,-0.06873972602739722,-0.07122397260273969,-0.06632876712328764,supported_decrease,0.053616438356164385,0.05213698630136987,0.05512374429223743,supported_increase,10,decrease,increase,decrease,increase,priority_loses_general_gains,priority_loses_general_gains,sobol,14,1.6,0.9,30,43.2,4.799999999999999,0.3,0.2,24,0.1,0.2,24,0.05,0.4,22,0.1,0.4,22,0.3,0.4
BG00440,release,both_flexible,weighted_optimal_minus_average_optimal,22,30,18,6,19,3,False,False,False,False,-0.016273972602739238,-0.018054794520547333,-0.014438127853880862,supported_decrease,0.08188371251618973,0.07830945456455889,0.08521565504973753,supported_increase,-0.051971269472139495,-0.0551574931672549,-0.04822087014256948,supported_decrease,0.34959367649284817,0.3408791992240389,0.35866017715803333,supported_increase,-0.07223744292237443,-0.07443858447488585,-0.07003630136986301,supported_decrease,0.05614611872146119,0.05473059360730592,0.05752557077625573,supported_increase,10,decrease,increase,decrease,increase,priority_loses_general_gains,priority_loses_general_gains,sobol,14,1.6,0.9,30,43.2,4.799999999999999,0.3,0.2,24,0.1,0.2,24,0.05,0.4,22,0.1,0.4,22,0.3,0.4
BG00441,release,baseline,weighted_optimal_minus_average_optimal,14,0,-1,14,0,-1,True,True,True,True,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,10,tie,tie,tie,tie,both_groups_tied,both_groups_tied,sobol,14,1.2,0.5,30,18.0,18.0,0.1,0.3,5,0.05,0.4,16,0.05,0.1,4,0.2,0.4,14,0.2,0.3
BG00441,release,horizon_only,weighted_optimal_minus_average_optimal,2,0,-1,2,0,-1,True,True,True,True,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,10,tie,tie,tie,tie,both_groups_tied,both_groups_tied,sobol,14,1.2,0.5,30,18.0,18.0,0.1,0.3,5,0.05,0.4,16,0.05,0.1,4,0.2,0.4,14,0.2,0.3
BG00441,release,reservation_only,weighted_optimal_minus_average_optimal,14,18,3,14,27,13,True,False,False,False,-0.0034155251141549936,-0.0056716894977165925,-0.001104794520547953,practical_tie,0.007670491557008818,0.005748675046614732,0.009587937732162537,supported_increase,0.018577029252814257,0.016025180129760716,0.021722242910533634,supported_increase,-0.014142583834602119,-0.019170771948988866,-0.00868958203364091,supported_decrease,0.007260273972602749,0.0041826484018265,0.010475114155251142,supported_increase,-0.01102283105022831,-0.01345228310502283,-0.00796347031963469,supported_decrease,10,tie,increase,increase,decrease,priority_gains_general_loses,priority_gains_general_loses,sobol,14,1.2,0.5,30,18.0,18.0,0.1,0.3,5,0.05,0.4,16,0.05,0.1,4,0.2,0.4,14,0.2,0.3
BG00441,release,both_flexible,weighted_optimal_minus_average_optimal,2,22,2,2,28,2,True,False,True,False,-0.005114155251141561,-0.009005022831049887,-0.000684018264840287,supported_decrease,0.0021156912413260788,-0.003954429911810356,0.008853441611856238,practical_tie,0.013272538194308191,0.008198889952173908,0.018442015582725905,supported_increase,-0.02019800266463807,-0.030363659037025557,-0.009196950542244188,supported_decrease,0.0066210045662100534,0.0014968036529680255,0.010228767123287687,supported_increase,-0.01192694063926939,-0.016666666666666642,-0.006803424657534235,supported_decrease,10,decrease,tie,increase,decrease,priority_gains_general_loses,priority_gains_general_loses,sobol,14,1.2,0.5,30,18.0,18.0,0.1,0.3,5,0.05,0.4,16,0.05,0.1,4,0.2,0.4,14,0.2,0.3
BG00442,release,baseline,weighted_optimal_minus_average_optimal,14,0,-1,14,0,-1,True,True,True,True,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,10,tie,tie,tie,tie,both_groups_tied,both_groups_tied,sobol,14,1.4,0.5,30,21.0,21.0,0.3,0.1,16,0.1,0.3,22,0.1,0.2,7,0.1,0.2,14,0.05,0.4
BG00442,release,horizon_only,weighted_optimal_minus_average_optimal,2,0,-1,2,0,-1,True,True,True,True,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,10,tie,tie,tie,tie,both_groups_tied,both_groups_tied,sobol,14,1.4,0.5,30,21.0,21.0,0.3,0.1,16,0.1,0.3,22,0.1,0.2,7,0.1,0.2,14,0.05,0.4
BG00442,release,reservation_only,weighted_optimal_minus_average_optimal,14,5,4,14,30,14,True,False,False,False,-0.009780821917807736,-0.011598173515981292,-0.008018264840182483,supported_decrease,0.0504132649935376,0.04603216272986831,0.05506649280456248,supported_increase,0.16749507826420026,0.16216586884589707,0.1726150318100603,supported_increase,-0.18375036154778773,-0.18872157852738972,-0.17850683758744637,supported_decrease,0.11826484018264842,0.11409109589041097,0.12270456621004566,supported_increase,-0.12782648401826485,-0.13166210045662102,-0.12393584474885846,supported_decrease,10,decrease,increase,increase,decrease,priority_gains_general_loses,priority_gains_general_loses,sobol,14,1.4,0.5,30,21.0,21.0,0.3,0.1,16,0.1,0.3,22,0.1,0.2,7,0.1,0.2,14,0.05,0.4
BG00442,release,both_flexible,weighted_optimal_minus_average_optimal,2,0,-1,2,30,2,True,False,False,False,-0.010283105022830585,-0.011717123287670545,-0.008794520547944627,supported_decrease,0.04307275540125026,0.038680720855655014,0.047011399615759335,supported_increase,0.14370099203987602,0.13910740385595702,0.14801383656586903,supported_increase,-0.15818371787600122,-0.1648437519497117,-0.15192034878974536,supported_decrease,0.09808219178082193,0.0923191780821918,0.10293173515981739,supported_increase,-0.10825570776255711,-0.11351666666666674,-0.1020182648401827,supported_decrease,10,decrease,increase,increase,decrease,priority_gains_general_loses,priority_gains_general_loses,sobol,14,1.4,0.5,30,21.0,21.0,0.3,0.1,16,0.1,0.3,22,0.1,0.2,7,0.1,0.2,14,0.05,0.4
