background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,gap_magnitude_focal,n_paired_seeds,mean_class2_low_regime_offer_share,mean_class2_high_regime_offer_share,exposure_active,pre_minus_post_absolute_served_gap,pre_minus_post_absolute_served_gap_ci_low,pre_minus_post_absolute_served_gap_ci_high,failure_component,classification
H7B0038,S006,sobol_symmetric,1.25,0.9,16,20.0,18.0,2.0,28,28,0.0,0.0,4,4,0.0,0.0,0.3,0.3,9,9,0.0,0.0,0.5,0.5,0.05,100,0.3335296703193751,0.6664703296806249,True,-0.012526471173070574,-0.016642340004197488,-0.008410602341943662,pre_minus_post_gap_effect,reversed
H7B0038,S006,sobol_symmetric,1.25,0.9,16,20.0,18.0,2.0,28,28,0.0,0.0,4,4,0.0,0.0,0.3,0.3,9,9,0.0,0.0,0.5,0.5,0.1,100,0.3287566936166611,0.6712433063833391,True,-0.03050557260091128,-0.03439299557623056,-0.026618149625592,pre_minus_post_gap_effect,reversed
H7B0038,S006,sobol_symmetric,1.25,0.9,16,20.0,18.0,2.0,28,28,0.0,0.0,4,4,0.0,0.0,0.3,0.3,9,9,0.0,0.0,0.5,0.5,0.2,100,0.319696555200294,0.680303444799706,True,-0.06916038360734986,-0.07352631147587402,-0.0647944557388257,pre_minus_post_gap_effect,reversed
H7B0038,S006,sobol_symmetric,1.25,0.9,16,20.0,18.0,2.0,28,28,0.0,0.0,4,4,0.0,0.0,0.3,0.3,9,9,0.0,0.0,0.5,0.5,0.3,100,0.3158668291036849,0.6841331708963151,True,-0.10958033680310615,-0.11538011638786243,-0.10378055721834988,pre_minus_post_gap_effect,reversed
H7B0060,S028,sobol_symmetric,3.1,0.9,32,99.2,89.28,9.919999999999998,21,21,0.1,0.1,6,6,0.3,0.3,0.5,0.5,9,9,0.5,0.5,0.7,0.7,0.05,100,0.27771590135841073,0.7222840986415892,True,-0.002687041517793963,-0.004091631228673739,-0.001282451806914187,pre_minus_post_gap_effect,reversed
H7B0060,S028,sobol_symmetric,3.1,0.9,32,99.2,89.28,9.919999999999998,21,21,0.1,0.1,6,6,0.3,0.3,0.5,0.5,9,9,0.5,0.5,0.7,0.7,0.1,100,0.278848921324019,0.7211510786759809,True,-0.0054056181513298576,-0.007228814256158493,-0.003582422046501222,pre_minus_post_gap_effect,reversed
H7B0060,S028,sobol_symmetric,3.1,0.9,32,99.2,89.28,9.919999999999998,21,21,0.1,0.1,6,6,0.3,0.3,0.5,0.5,9,9,0.5,0.5,0.7,0.7,0.2,100,0.28154924080051325,0.7184507591994866,True,-0.009407797243934018,-0.011381943243637827,-0.0074336512442302076,pre_minus_post_gap_effect,reversed
H7B0061,S029,sobol_symmetric,4.0,0.1,16,64.0,6.4,57.6,21,21,0.1,0.1,4,4,0.0,0.0,0.7,0.7,4,4,0.0,0.0,0.3,0.3,0.05,100,0.1036670658441909,0.8963329341558091,True,-0.009650867834650028,-0.011497620179360717,-0.0078041154899393395,pre_minus_post_gap_effect,reversed
H7B0061,S029,sobol_symmetric,4.0,0.1,16,64.0,6.4,57.6,21,21,0.1,0.1,4,4,0.0,0.0,0.7,0.7,4,4,0.0,0.0,0.3,0.3,0.1,100,0.10680823976757062,0.8931917602324293,True,-0.01816808173492147,-0.0203511658834633,-0.01598499758637964,pre_minus_post_gap_effect,reversed
H7B0061,S029,sobol_symmetric,4.0,0.1,16,64.0,6.4,57.6,21,21,0.1,0.1,4,4,0.0,0.0,0.7,0.7,4,4,0.0,0.0,0.3,0.3,0.2,100,0.11442144939188402,0.8855785506081159,True,-0.027010104964295012,-0.02933200935617462,-0.024688200572415404,pre_minus_post_gap_effect,reversed
