background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,valid_h7_gaps,n_active_gaps,n_supported_gap_comparisons,n_reversed_gap_comparisons,n_inconclusive_gap_comparisons,n_complete_paired_seeds,average_pre_minus_post_absolute_served_gap,average_pre_minus_post_absolute_served_gap_ci_low,average_pre_minus_post_absolute_served_gap_ci_high,failure_component,classification
H7B0184,S152,sobol_symmetric,2.0,0.7,16,32.0,22.4,9.6,7,7,0.1,0.1,4,4,0.0,0.0,0.5,0.5,4,4,0.7,0.7,0.7,0.7,0.05;0.10;0.20;0.30;0.50,5,0,4,1,100,-0.006454397530815847,-0.0073125980170682305,-0.005596197044563463,average_pre_minus_post_effect_reversed,reversed
H7B0275,X023,asymmetric_stress,3.1,0.9,32,99.2,89.28,9.919999999999998,21,21,0.1,0.1,4,6,0.3,0.3,0.5,0.5,9,9,0.5,0.5,0.7,0.7,0.05;0.10;0.20,3,0,3,0,100,-0.017644717956861903,-0.01860330882013022,-0.016686127093593586,average_pre_minus_post_effect_reversed,reversed
H7B0277,X025,asymmetric_stress,1.25,0.1,32,40.0,4.0,36.0,14,21,0.0,0.0,4,6,0.0,0.0,0.7,0.7,12,12,0.5,0.3,0.5,0.5,0.05;0.10;0.20;0.30;0.50,5,0,4,1,100,-0.21181877677750904,-0.21389631020774597,-0.20974124334727212,average_pre_minus_post_effect_reversed,reversed
H7B0278,X026,asymmetric_stress,3.1,0.7,32,99.2,69.44,29.760000000000005,28,14,0.0,0.0,6,6,0.5,0.5,0.7,0.7,6,6,0.0,0.0,0.1,0.1,0.05;0.10;0.20,3,0,3,0,100,-0.049081648457689656,-0.05016424213709052,-0.047999054778288794,average_pre_minus_post_effect_reversed,reversed
H7B0281,X030,asymmetric_stress,4.0,0.9,64,256.0,230.4,25.599999999999994,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.3,0.0,0.3,0.3,0.05;0.10;0.20;0.30;0.50,5,0,5,0,100,-0.043723977054082146,-0.04433683070095558,-0.04311112340720871,average_pre_minus_post_effect_reversed,reversed
H7B0310,X064,asymmetric_stress,4.0,0.7,16,64.0,44.8,19.200000000000003,7,7,0.3,0.5,4,4,0.3,0.3,0.5,0.5,4,4,0.7,0.3,0.7,0.7,0.05;0.10;0.20,3,0,3,0,100,-0.01966225507595245,-0.020451017151327473,-0.018873493000577425,average_pre_minus_post_effect_reversed,reversed
H7B0317,X071,asymmetric_stress,1.25,0.3,16,20.0,6.0,14.0,21,21,0.0,0.0,6,6,0.1,0.1,0.3,0.3,6,6,0.7,0.5,0.7,0.5,0.05;0.10;0.20,3,0,3,0,100,-0.07427244462406768,-0.07653240801805757,-0.0720124812300778,average_pre_minus_post_effect_reversed,reversed
H7B0329,X085,asymmetric_stress,2.0,0.3,16,32.0,9.6,22.4,14,21,0.1,0.1,4,9,0.0,0.0,0.1,0.1,6,6,0.0,0.0,0.3,0.3,0.05;0.10,2,0,2,0,100,-0.009852442481805258,-0.011596716529966817,-0.0081081684336437,average_pre_minus_post_effect_reversed,reversed
H7B0332,X089,asymmetric_stress,4.0,0.3,64,256.0,76.8,179.2,28,28,0.1,0.1,4,4,0.0,0.0,0.7,0.7,12,12,0.3,0.3,0.5,0.5,0.05;0.10;0.20;0.30;0.50,5,0,5,0,100,-0.02847260013789403,-0.028807519999796687,-0.028137680275991374,average_pre_minus_post_effect_reversed,reversed
H7B0344,X101,asymmetric_stress,3.1,0.9,16,49.6,44.64,4.959999999999999,28,28,0.0,0.0,12,12,0.1,0.1,0.7,0.7,12,12,0.7,0.7,0.7,0.7,0.05;0.10;0.20;0.30;0.50,5,0,5,0,100,-0.05859500029913902,-0.059526005095264664,-0.05766399550301338,average_pre_minus_post_effect_reversed,reversed
H7B0353,X111,asymmetric_stress,4.0,0.5,32,128.0,64.0,64.0,14,14,0.3,0.3,4,6,0.0,0.0,0.7,0.7,6,12,0.7,0.7,0.7,0.7,0.05;0.10;0.20;0.30;0.50,5,1,4,0,100,-0.0042044339668827185,-0.004499459613770262,-0.003909408319995175,average_pre_minus_post_effect_reversed,reversed
H7B0362,X120,asymmetric_stress,3.1,0.5,32,99.2,49.6,49.6,14,21,0.0,0.0,4,4,0.5,0.5,0.7,0.7,4,4,0.3,0.5,0.5,0.5,0.05;0.10;0.20,3,0,3,0,100,-0.060269324009432766,-0.061179642440275656,-0.05935900557858988,average_pre_minus_post_effect_reversed,reversed
H7B0364,X122,asymmetric_stress,2.0,0.7,64,128.0,89.6,38.400000000000006,28,28,0.1,0.0,9,9,0.0,0.0,0.5,0.5,9,12,0.7,0.7,0.7,0.7,0.05;0.10;0.20;0.30;0.50,5,0,5,0,100,-0.08277165224360548,-0.08325276362792669,-0.08229054085928428,average_pre_minus_post_effect_reversed,reversed
H7B0366,X124,asymmetric_stress,3.1,0.9,64,198.4,178.56,19.84,14,28,0.1,0.1,12,12,0.0,0.0,0.1,0.1,9,9,0.0,0.0,0.7,0.7,0.05;0.10,2,0,2,0,100,-0.015666389548246597,-0.016561407413040595,-0.014771371683452598,average_pre_minus_post_effect_reversed,reversed
