background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,valid_h6_thresholds,n_transitions,n_exposed_transitions,spearman_bucket_mass_vs_jump,median_bucket_mass,largest_jump_lower_threshold,largest_jump_higher_threshold,largest_jump_bucket_delay,largest_jump_bucket_mass,largest_absolute_served_rate_jump,largest_jump_material,largest_jump_in_upper_mass_half,failure_component,classification
H6B0048,S016,sobol_symmetric,3.1,0.9,64,198.4,178.56,19.84,28,28,0.1,0.1,0,12,0.0,0.0,0.1,0.1,9,9,0.0,0.0,0.7,0.7,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26,26,23,0.10017094017094016,0.03391560005623585,16.0,17.0,17.0,0.034255115908544236,0.0007834232519387003,False,True,spearman_below_support_threshold;largest_jump_not_material_and_precise,inconclusive
H6B0049,S017,sobol_symmetric,3.1,0.1,32,99.2,9.920000000000002,89.28,7,7,0.3,0.3,0,4,0.0,0.0,0.7,0.7,4,4,0.0,0.0,0.5,0.5,0;1;2;3;4;5,5,5,-0.09999999999999999,0.1016025693788506,0.0,1.0,1.0,0.1016025693788506,0.06308905911486909,True,True,spearman_below_support_threshold,inconclusive
H6B0062,S030,sobol_symmetric,1.25,0.9,64,80.0,72.0,7.999999999999998,7,7,0.5,0.5,0,4,0.1,0.1,0.7,0.7,4,4,0.5,0.5,0.7,0.7,0;1;2;3;4;5,5,2,0.9999999999999999,0.0,0.0,1.0,1.0,0.5202241865709075,0.004059549379078417,False,True,largest_jump_not_material_and_precise,inconclusive
H6B0064,S032,sobol_symmetric,3.1,0.7,32,99.2,69.44,29.760000000000005,14,14,0.0,0.0,0,6,0.5,0.5,0.7,0.7,6,6,0.0,0.0,0.1,0.1,0;1;2;3;4;5;6;7;8;9;10;11;12,12,7,0.30986683868975945,0.3517759434837596,5.0,6.0,6.0,0.23782304755175362,0.014642312517132688,True,False,spearman_below_support_threshold;largest_jump_not_in_upper_mass_half,inconclusive
H6B0071,S039,sobol_symmetric,0.8,0.1,16,12.8,1.2800000000000002,11.52,21,21,0.1,0.1,0,12,0.0,0.0,0.3,0.3,6,6,0.7,0.7,0.7,0.7,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19,19,1,0.9999999999999998,0.0,0.0,1.0,1.0,0.04874976941946333,0.0038352665565977288,False,True,largest_jump_not_material_and_precise,inconclusive
H6B0080,S048,sobol_symmetric,3.1,0.5,16,49.6,24.8,24.8,14,14,0.1,0.1,0,6,0.1,0.1,0.7,0.7,4,4,0.3,0.3,0.3,0.3,0;1;2;3;4;5;6;7;8;9;10;11;12,12,12,-0.17482517482517487,0.187842445928166,5.0,6.0,6.0,0.23215145388962685,0.03846320510564181,True,True,spearman_below_support_threshold,inconclusive
H6B0092,S060,sobol_symmetric,4.0,0.5,32,128.0,64.0,64.0,7,7,0.1,0.1,0,4,0.0,0.0,0.5,0.5,4,4,0.0,0.0,0.0,0.0,0;1;2;3;4;5,5,5,-0.8999999999999998,0.04408545867889009,1.0,2.0,2.0,0.04358459597378716,0.008757381569426442,True,False,bucket_mass_jump_relationship_reversed,reversed
H6B0099,S067,sobol_symmetric,2.0,0.5,64,128.0,64.0,64.0,7,7,0.3,0.3,0,4,0.0,0.0,0.3,0.3,4,4,0.0,0.0,0.5,0.5,0;1;2;3;4;5,5,5,0.09999999999999999,0.16429730648760024,0.0,1.0,1.0,0.16265264630338694,0.02590928624715656,True,False,spearman_below_support_threshold;largest_jump_not_in_upper_mass_half,inconclusive
H6B0100,S068,sobol_symmetric,4.0,0.7,16,64.0,44.8,19.200000000000003,21,21,0.0,0.0,0,12,0.5,0.5,0.7,0.7,9,9,0.5,0.5,0.5,0.5,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19,19,1,-0.019237614156586574,0.0,11.0,12.0,12.0,0.0,0.0010470330267593046,False,True,spearman_below_support_threshold;largest_jump_not_material_and_precise,inconclusive
H6B0104,S072,sobol_symmetric,3.1,0.9,64,198.4,178.56,19.84,14,14,0.1,0.1,0,12,0.1,0.1,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0;1;2;3;4;5;6;7;8;9;10;11;12,12,12,0.35664335664335667,0.04801716225685454,11.0,12.0,12.0,0.29735549046714577,0.0034613482565883256,False,True,spearman_below_support_threshold;largest_jump_not_material_and_precise,inconclusive
H6B0110,S078,sobol_symmetric,2.0,0.7,16,32.0,22.4,9.6,14,14,0.0,0.0,0,4,0.3,0.3,0.5,0.5,6,6,0.0,0.0,0.1,0.1,0;1;2;3;4;5;6;7;8;9;10;11;12,12,9,0.03152369107522559,0.13057767267972362,4.0,5.0,5.0,0.12598870215894653,0.01117062474530631,True,False,spearman_below_support_threshold;largest_jump_not_in_upper_mass_half,inconclusive
