h1,h2,tau1,tau2,balk_high,arrival_rate,mean,std,n,se,ci95,metric
2,4,9,5,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,4,9,5,0.3,50,1.0,0.0,30,0.0,0.0,average_utilization
2,4,9,5,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,4,9,5,0.5,50,1.0,0.0,30,0.0,0.0,average_utilization
2,4,9,5,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,4,9,5,0.7,50,1.0,0.0,30,0.0,0.0,average_utilization
2,4,9,9,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,4,9,9,0.3,50,1.0,0.0,30,0.0,0.0,average_utilization
2,4,9,9,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,4,9,9,0.5,50,1.0,0.0,30,0.0,0.0,average_utilization
2,4,9,9,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,4,9,9,0.7,50,1.0,0.0,30,0.0,0.0,average_utilization
2,4,12,12,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,4,12,12,0.3,50,1.0,0.0,30,0.0,0.0,average_utilization
2,4,12,12,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,4,12,12,0.5,50,1.0,0.0,30,0.0,0.0,average_utilization
2,4,12,12,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,4,12,12,0.7,50,1.0,0.0,30,0.0,0.0,average_utilization
2,5,5,9,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,5,5,9,0.3,50,1.0,0.0,30,0.0,0.0,average_utilization
2,5,5,9,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,5,5,9,0.5,50,1.0,0.0,30,0.0,0.0,average_utilization
2,5,5,9,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,5,5,9,0.7,50,1.0,0.0,30,0.0,0.0,average_utilization
2,5,5,12,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,5,5,12,0.3,50,1.0,0.0,30,0.0,0.0,average_utilization
2,5,5,12,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,5,5,12,0.5,50,1.0,0.0,30,0.0,0.0,average_utilization
2,5,5,12,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,5,5,12,0.7,50,1.0,0.0,30,0.0,0.0,average_utilization
2,5,9,5,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,5,9,5,0.3,50,1.0,0.0,30,0.0,0.0,average_utilization
2,5,9,5,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,5,9,5,0.5,50,1.0,0.0,30,0.0,0.0,average_utilization
2,5,9,5,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,5,9,5,0.7,50,1.0,0.0,30,0.0,0.0,average_utilization
2,5,9,9,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,5,9,9,0.3,50,1.0,0.0,30,0.0,0.0,average_utilization
2,5,9,9,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,5,9,9,0.5,50,1.0,0.0,30,0.0,0.0,average_utilization
2,5,9,9,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,5,9,9,0.7,50,1.0,0.0,30,0.0,0.0,average_utilization
2,5,12,12,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,5,12,12,0.3,50,1.0,0.0,30,0.0,0.0,average_utilization
2,5,12,12,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,5,12,12,0.5,50,1.0,0.0,30,0.0,0.0,average_utilization
2,5,12,12,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,5,12,12,0.7,50,1.0,0.0,30,0.0,0.0,average_utilization
2,6,5,9,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,6,5,9,0.3,50,1.0,0.0,30,0.0,0.0,average_utilization
2,6,5,9,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,6,5,9,0.5,50,1.0,0.0,30,0.0,0.0,average_utilization
2,6,5,9,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,6,5,9,0.7,50,1.0,0.0,30,0.0,0.0,average_utilization
2,6,5,12,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,6,5,12,0.3,50,1.0,0.0,30,0.0,0.0,average_utilization
2,6,5,12,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,6,5,12,0.5,50,1.0,0.0,30,0.0,0.0,average_utilization
2,6,5,12,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,6,5,12,0.7,50,1.0,0.0,30,0.0,0.0,average_utilization
2,6,9,5,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,6,9,5,0.3,50,1.0,0.0,30,0.0,0.0,average_utilization
2,6,9,5,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,6,9,5,0.5,50,1.0,0.0,30,0.0,0.0,average_utilization
2,6,9,5,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,6,9,5,0.7,50,1.0,0.0,30,0.0,0.0,average_utilization
2,6,9,9,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,6,9,9,0.3,50,1.0,0.0,30,0.0,0.0,average_utilization
2,6,9,9,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,6,9,9,0.5,50,1.0,0.0,30,0.0,0.0,average_utilization
2,6,9,9,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,6,9,9,0.7,50,1.0,0.0,30,0.0,0.0,average_utilization
2,6,12,12,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,6,12,12,0.3,50,1.0,0.0,30,0.0,0.0,average_utilization
2,6,12,12,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,6,12,12,0.5,50,1.0,0.0,30,0.0,0.0,average_utilization
2,6,12,12,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,6,12,12,0.7,50,1.0,0.0,30,0.0,0.0,average_utilization
