h1,h2,tau1,tau2,balk_high,arrival_rate,mean,std,n,se,ci95,metric
2,7,5,9,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,7,5,9,0.3,50,1.0,0.0,30,0.0,0.0,average_utilization
2,7,5,9,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,7,5,9,0.5,50,1.0,0.0,30,0.0,0.0,average_utilization
2,7,5,9,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,7,5,9,0.7,50,1.0,0.0,30,0.0,0.0,average_utilization
2,7,5,12,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,7,5,12,0.3,50,1.0,0.0,30,0.0,0.0,average_utilization
2,7,5,12,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,7,5,12,0.5,50,1.0,0.0,30,0.0,0.0,average_utilization
2,7,5,12,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,7,5,12,0.7,50,1.0,0.0,30,0.0,0.0,average_utilization
2,7,9,5,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,7,9,5,0.3,50,1.0,0.0,30,0.0,0.0,average_utilization
2,7,9,5,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,7,9,5,0.5,50,1.0,0.0,30,0.0,0.0,average_utilization
2,7,9,5,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,7,9,5,0.7,50,1.0,0.0,30,0.0,0.0,average_utilization
2,7,9,9,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,7,9,9,0.3,50,1.0,0.0,30,0.0,0.0,average_utilization
2,7,9,9,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,7,9,9,0.5,50,1.0,0.0,30,0.0,0.0,average_utilization
2,7,9,9,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,7,9,9,0.7,50,1.0,0.0,30,0.0,0.0,average_utilization
2,7,12,12,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,7,12,12,0.3,50,1.0,0.0,30,0.0,0.0,average_utilization
2,7,12,12,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,7,12,12,0.5,50,1.0,0.0,30,0.0,0.0,average_utilization
2,7,12,12,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,7,12,12,0.7,50,1.0,0.0,30,0.0,0.0,average_utilization
2,8,5,9,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,8,5,9,0.3,50,0.8896175799086757,0.00900064100327494,30,0.001643284703166538,0.0032208380182064144,average_utilization
2,8,5,9,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,8,5,9,0.5,50,0.8896175799086757,0.00900064100327494,30,0.001643284703166538,0.0032208380182064144,average_utilization
2,8,5,9,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,8,5,9,0.7,50,0.8896175799086757,0.00900064100327494,30,0.001643284703166538,0.0032208380182064144,average_utilization
2,8,5,12,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,8,5,12,0.3,50,0.8896175799086757,0.00900064100327494,30,0.001643284703166538,0.0032208380182064144,average_utilization
2,8,5,12,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,8,5,12,0.5,50,0.8896175799086757,0.00900064100327494,30,0.001643284703166538,0.0032208380182064144,average_utilization
2,8,5,12,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,8,5,12,0.7,50,0.8896175799086757,0.00900064100327494,30,0.001643284703166538,0.0032208380182064144,average_utilization
2,8,9,5,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,8,9,5,0.3,50,0.9998373287671233,0.00014803612450627073,30,2.7027574905909266e-05,5.2974046815582164e-05,average_utilization
2,8,9,5,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,8,9,5,0.5,50,1.0,0.0,30,0.0,0.0,average_utilization
2,8,9,5,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,8,9,5,0.7,50,1.0,0.0,30,0.0,0.0,average_utilization
2,8,9,9,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,8,9,9,0.3,50,0.8896175799086757,0.00900064100327494,30,0.001643284703166538,0.0032208380182064144,average_utilization
2,8,9,9,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,8,9,9,0.5,50,0.8896175799086757,0.00900064100327494,30,0.001643284703166538,0.0032208380182064144,average_utilization
2,8,9,9,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,8,9,9,0.7,50,0.8896175799086757,0.00900064100327494,30,0.001643284703166538,0.0032208380182064144,average_utilization
2,8,12,12,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,8,12,12,0.3,50,0.8896175799086757,0.00900064100327494,30,0.001643284703166538,0.0032208380182064144,average_utilization
2,8,12,12,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,8,12,12,0.5,50,0.8896175799086757,0.00900064100327494,30,0.001643284703166538,0.0032208380182064144,average_utilization
2,8,12,12,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,8,12,12,0.7,50,0.8896175799086757,0.00900064100327494,30,0.001643284703166538,0.0032208380182064144,average_utilization
2,9,5,9,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,9,5,9,0.3,50,0.8663070776255708,0.00935270616361131,30,0.0017075627131758393,0.003346822917824645,average_utilization
2,9,5,9,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,9,5,9,0.5,50,0.8663070776255708,0.00935270616361131,30,0.0017075627131758393,0.003346822917824645,average_utilization
2,9,5,9,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,9,5,9,0.7,50,0.8663070776255708,0.00935270616361131,30,0.0017075627131758393,0.003346822917824645,average_utilization
2,9,5,12,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,9,5,12,0.3,50,0.8663070776255708,0.00935270616361131,30,0.0017075627131758393,0.003346822917824645,average_utilization
2,9,5,12,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,9,5,12,0.5,50,0.8663070776255708,0.00935270616361131,30,0.0017075627131758393,0.003346822917824645,average_utilization
2,9,5,12,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,9,5,12,0.7,50,0.8663070776255708,0.00935270616361131,30,0.0017075627131758393,0.003346822917824645,average_utilization
2,9,9,5,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,9,9,5,0.3,50,0.9998373287671233,0.00014803612450627073,30,2.7027574905909266e-05,5.2974046815582164e-05,average_utilization
2,9,9,5,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,9,9,5,0.5,50,1.0,0.0,30,0.0,0.0,average_utilization
2,9,9,5,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,9,9,5,0.7,50,1.0,0.0,30,0.0,0.0,average_utilization
2,9,9,9,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,9,9,9,0.3,50,0.8663070776255708,0.00935270616361131,30,0.0017075627131758393,0.003346822917824645,average_utilization
2,9,9,9,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,9,9,9,0.5,50,0.8663070776255708,0.00935270616361131,30,0.0017075627131758393,0.003346822917824645,average_utilization
2,9,9,9,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,9,9,9,0.7,50,0.8663070776255708,0.00935270616361131,30,0.0017075627131758393,0.003346822917824645,average_utilization
2,9,12,12,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,9,12,12,0.3,50,0.8663070776255708,0.00935270616361131,30,0.0017075627131758393,0.003346822917824645,average_utilization
2,9,12,12,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,9,12,12,0.5,50,0.8663070776255708,0.00935270616361131,30,0.0017075627131758393,0.003346822917824645,average_utilization
2,9,12,12,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,9,12,12,0.7,50,0.8663070776255708,0.00935270616361131,30,0.0017075627131758393,0.003346822917824645,average_utilization
2,10,5,9,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,10,5,9,0.3,50,0.8706877853881279,0.008900148190565211,30,0.0016249373097037847,0.003184877127019418,average_utilization
2,10,5,9,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,10,5,9,0.5,50,0.8706877853881279,0.008900148190565211,30,0.0016249373097037847,0.003184877127019418,average_utilization
2,10,5,9,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,10,5,9,0.7,50,0.8706877853881279,0.008900148190565211,30,0.0016249373097037847,0.003184877127019418,average_utilization
2,10,5,12,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,10,5,12,0.3,50,0.8706877853881279,0.008900148190565211,30,0.0016249373097037847,0.003184877127019418,average_utilization
2,10,5,12,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
