source_background_id,standby_prob,average_utilization,class_1_no_show_rate,class_2_no_show_rate
BG00001,0.0,0.7206894977168947,0.045836695823427545,0.04766987714976248
BG00001,0.1,0.7262420091324201,0.04648661925703974,0.04779786433047896
BG00001,0.2,0.7262420091324201,0.04648661925703974,0.04779786433047896
BG00001,0.3,0.7262420091324201,0.04648661925703974,0.04779786433047896
BG00001,0.4,0.7262420091324201,0.04648661925703974,0.04779786433047896
BG00002,0.0,0.7199315068493151,0.04716359609413797,0.04751012490597981
BG00002,0.1,0.7212328767123286,0.04663679563060645,0.04894637696631541
BG00002,0.2,0.7212328767123286,0.04663679563060645,0.04894637696631541
BG00002,0.3,0.7212328767123286,0.04663679563060645,0.04894637696631541
BG00002,0.4,0.7212328767123286,0.04663679563060645,0.04894637696631541
BG00003,0.0,0.7195981735159815,0.04751824958837449,0.04986101259350933
BG00003,0.1,0.7240684931506848,0.0471796133767349,0.04743463075393618
BG00003,0.2,0.7240684931506848,0.0471796133767349,0.04743463075393618
BG00003,0.3,0.7240684931506848,0.0471796133767349,0.04743463075393618
BG00003,0.4,0.7240684931506848,0.0471796133767349,0.04743463075393618
BG00004,0.0,0.9163013698630135,0.02747114188452992,0.027911982622542138
BG00004,0.1,0.9174840182648399,0.02706585144562732,0.02752010262203201
BG00004,0.2,0.9172374429223741,0.026916982914506542,0.02764904672074856
BG00004,0.3,0.9175570776255704,0.026726057139557124,0.02752576353926443
BG00004,0.4,0.9175251141552507,0.02762916907986359,0.0274152335419326
BG00005,0.0,0.9180319634703192,0.027090688836437983,0.027555369685843156
BG00005,0.1,0.9167716894977167,0.027670479129113877,0.02789524548074946
BG00005,0.2,0.916442922374429,0.027863595719721957,0.027912006435861142
BG00005,0.3,0.9174520547945202,0.027573246378504012,0.027414909336305155
BG00005,0.4,0.9173105022831047,0.027483283344668923,0.027672381837497446
BG00006,0.0,0.9165525114155247,0.027897289853451135,0.026874266090306864
BG00006,0.1,0.9159360730593604,0.02804059066305496,0.027215740660956094
BG00006,0.2,0.9171187214611868,0.027451713909605564,0.028495384316245227
BG00006,0.3,0.9167625570776254,0.02762403039120196,0.027973079759715976
BG00006,0.4,0.9166666666666666,0.027662662012330547,0.028058578481386785
BG00241,0.0,0.7206894977168947,0.045836695823427545,0.04766987714976248
BG00241,0.1,0.7262420091324201,0.04648661925703974,0.04779786433047896
BG00241,0.2,0.7262420091324201,0.04648661925703974,0.04779786433047896
BG00241,0.3,0.7262420091324201,0.04648661925703974,0.04779786433047896
BG00241,0.4,0.7262420091324201,0.04648661925703974,0.04779786433047896
BG00242,0.0,0.7199315068493151,0.04716359609413797,0.04751012490597981
BG00242,0.1,0.7212328767123286,0.04663679563060645,0.04894637696631541
BG00242,0.2,0.7212328767123286,0.04663679563060645,0.04894637696631541
BG00242,0.3,0.7212328767123286,0.04663679563060645,0.04894637696631541
BG00242,0.4,0.7212328767123286,0.04663679563060645,0.04894637696631541
BG00243,0.0,0.7195981735159815,0.04751824958837449,0.04986101259350933
BG00243,0.1,0.7240684931506848,0.0471796133767349,0.04743463075393618
BG00243,0.2,0.7240684931506848,0.0471796133767349,0.04743463075393618
BG00243,0.3,0.7240684931506848,0.0471796133767349,0.04743463075393618
BG00243,0.4,0.7240684931506848,0.0471796133767349,0.04743463075393618
BG00244,0.0,0.9174520547945203,0.027430192197999574,0.027434652915476598
BG00244,0.1,0.9164977168949768,0.027159186807955444,0.027816900056173023
BG00244,0.2,0.9164931506849312,0.027272859517899893,0.02778577970563085
BG00244,0.3,0.917091324200913,0.028078464785274333,0.02749813441585257
BG00244,0.4,0.9168310502283102,0.028417564546622105,0.027595635905204707
BG00245,0.0,0.9170593607305932,0.02782868654564454,0.02736556143412921
BG00245,0.1,0.9162876712328766,0.027995608807164073,0.02767516632315814
BG00245,0.2,0.9164794520547941,0.02809624038115537,0.027606163640090987
BG00245,0.3,0.9168675799086756,0.02754930545250675,0.027583933481537058
BG00245,0.4,0.9175662100456619,0.027199889358986817,0.0275220907204763
BG00246,0.0,0.9162831050228306,0.027968930775973323,0.0272658300255053
BG00246,0.1,0.9168447488584471,0.027732201270722272,0.027849949886025765
BG00246,0.2,0.9175936073059358,0.027327770276543272,0.028287718744774183
BG00246,0.3,0.9172146118721459,0.027388179089348604,0.029442152828661645
BG00246,0.4,0.9166484018264835,0.02759916410723076,0.02817795924319973
