class1_xi_high,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked
0.0,1,0.9185787671232877,0.2920797472491557,10724,11920.0,8.373185784209406,9.338707920252752,0.3600882449068526,36716,23495,36716,13221,0,11815,954,2
0.0,2,0.9173801369863014,0.29404657293497366,10708,11924.0,8.423729532535845,9.382222100175747,0.35264718804920914,36416,23574,36416,12842,0,11902,957,7
0.0,3,0.9224315068493151,0.2961365135194548,10777,11982.0,8.355521485456327,9.318586502528028,0.35477577489558143,36392,23481,36392,12911,0,11786,902,16
0.0,4,0.9161815068493151,0.29042608151834026,10681,11903.0,8.392910147139888,9.355004486499714,0.35875683171547434,36777,23583,36777,13194,0,11913,981,8
0.0,5,0.9185787671232877,0.29577853144732125,10727,11930.0,8.25201862690648,9.195136074116967,0.35459232911462213,36267,23407,36267,12860,0,11723,947,10
0.0,6,0.9232876712328767,0.2967181095430662,10786,11977.0,8.379796264855688,9.330142224422987,0.35187477648482846,36351,23560,36351,12791,0,11863,882,29
0.0,7,0.9184075342465754,0.294796734559248,10725,11932.0,8.408399710354816,9.361644814601028,0.35469063522168165,36381,23477,36381,12904,0,11793,940,19
0.0,8,0.9200342465753425,0.2955008535712319,10732,11951.0,8.32797552357149,9.291067790076546,0.3610330965361529,36318,23206,36318,13112,0,11515,937,22
0.0,9,0.9173801369863014,0.29267693315858456,10719,11920.0,8.276792141254182,9.222012887723897,0.35514962865880295,36624,23617,36624,13007,0,11923,963,12
0.0,10,0.9230308219178082,0.29454495614035087,10745,11976.0,8.310518670426386,9.283991228070175,0.3583881578947368,36480,23406,36480,13074,0,11743,913,5
0.0,11,0.9199486301369864,0.2917414721723519,10725,11934.0,8.518009780990857,9.502148958163321,0.36034492138621405,36762,23515,36762,13247,0,11844,933,13
0.0,12,0.9225171232876712,0.2971570521667127,10766,11989.0,8.35020934803042,9.307673199006349,0.35396080596191004,36230,23406,36230,12824,0,11748,890,2
0.0,13,0.925,0.2963613895372786,10792,12002.0,8.27007486631016,9.231607853906358,0.35809419195386516,36415,23375,36415,13040,0,11698,871,14
