measure,mean,std,n,se,ci95,ci_low,ci_high
Within-class step: signed effect,0.012297553480492818,0.00038656702929374217,100,3.865670292937422e-05,7.576713774157346e-05,0.012221786342751244,0.012373320618234393
Between-class post-threshold gap: signed effect,-0.005582572945397181,0.0003218248342539863,100,3.218248342539863e-05,6.30776675137813e-05,-0.005645650612910962,-0.0055194952778834
Within-class step: absolute effect,0.012305528322006615,0.00038554782741316953,100,3.855478274131695e-05,7.556737417298122e-05,0.012229960947833634,0.012381095696179597
Between-class post-threshold gap: absolute effect,0.0058751193670131315,0.0003115977904661383,100,3.115977904661383e-05,6.10731669313631e-05,0.005814046200081769,0.005936192533944494
Between minus within: absolute-effect difference,-0.0064304089549934865,0.0005443487583557652,100,5.4434875835576516e-05,0.00010669235663772997,-0.0065371013116312165,-0.0063237165983557565
Share of comparisons where between-class effect is larger,0.16879999999999998,0.05470360909926187,100,0.005470360909926187,0.010721907383455326,0.15807809261654465,0.1795219073834553
