class_1_share,metric,mean,std,se,ci95,n
0.3,average_utilization,0.9201598173515961,0.0032833547741369954,0.000599455824695704,0.0011749334164035798,30
0.3,overall_percent_serviced,0.7778714309838505,0.009273313177685923,0.0016930676034094976,0.0033184125026826153,30
0.3,class_1_served_rate,0.7791208256901264,0.012007063007261086,0.0021921797528209044,0.004296672315528972,30
0.3,class_2_served_rate,0.7773281288654538,0.009306239678191603,0.0016990791324317195,0.00333019509956617,30
0.3,access_gap,0.0017926968246726757,0.009235919749855555,0.0016862405287677862,0.003305031436384861,30
0.3,mean_offered_booking_delay,10.196123800338913,0.8019403885016606,0.1464136135189387,0.2869706824971198,30
0.4,average_utilization,0.9191917808219159,0.0034919880992539593,0.0006375468841669942,0.0012495918929673086,30
0.4,overall_percent_serviced,0.7755316620909866,0.008815563742225526,0.0016094943729138592,0.003154608970911164,30
0.4,class_1_served_rate,0.7755997942160557,0.011055836488533212,0.0020185103456194487,0.003956280277414119,30
0.4,class_2_served_rate,0.775466212378256,0.009196615927855166,0.0016790646654658591,0.003290966744313084,30
0.4,access_gap,0.000133581837799653,0.00956162150542131,0.0017457052616152522,0.003421582312765894,30
0.4,mean_offered_booking_delay,10.316825858200126,0.7225294553051008,0.1319152270441748,0.2585538450065826,30
0.5,average_utilization,0.9194840182648379,0.0033370336411086363,0.0006092562001295996,0.0011941421522540152,30
0.5,overall_percent_serviced,0.7750795102358574,0.009338693504454461,0.0017050043633388932,0.003341808552144231,30
0.5,class_1_served_rate,0.7760614210672089,0.010584385479199088,0.001932435561429156,0.0037875737004011453,30
0.5,class_2_served_rate,0.7740907697799795,0.009718042404214733,0.0017742636798600488,0.0034775568125256957,30
0.5,access_gap,0.001970651287229445,0.008051879298496633,0.0014700653073651596,0.002881328002435713,30
0.5,mean_offered_booking_delay,10.370052921196036,0.732605476540563,0.13375484841769603,0.2621595028986842,30
0.6,average_utilization,0.9201552511415506,0.0033584980912600053,0.0006131750546403829,0.0012018231070951505,30
0.6,overall_percent_serviced,0.7782047978221538,0.008694296672276818,0.0015873541363493713,0.0031112141072447675,30
0.6,class_1_served_rate,0.7775243435988002,0.009528154072590073,0.0017395949723140998,0.0034096061457356357,30
0.6,class_2_served_rate,0.7792241889167593,0.011375436934790022,0.0020768611368873063,0.00407064782829912,30
0.6,access_gap,-0.0016998453179591145,0.011268307941918453,0.00205730214823445,0.004032312210539521,30
0.6,mean_offered_booking_delay,10.208492806724747,0.6587662824736299,0.12027371767820909,0.2357364866492898,30
0.7,average_utilization,0.9195388127853862,0.0032848128286817246,0.000599722027817111,0.0011754551745215376,30
0.7,overall_percent_serviced,0.775222698207111,0.006644966758320143,0.0012131993958013072,0.002377870815770562,30
0.7,class_1_served_rate,0.7749116122511561,0.0071163677598520625,0.001299265049857827,0.002546559497721341,30
0.7,class_2_served_rate,0.775970370968116,0.009506833640371287,0.0017357024117601032,0.0034019767270498024,30
0.7,access_gap,-0.0010587587169599325,0.009340540739872522,0.0017053416208413915,0.0033424695768491273,30
0.7,mean_offered_booking_delay,10.308811035111548,0.7148199448935596,0.13050766945760078,0.2557950321368975,30
