weight_set,w1,w2,Q,rho_1,rho_2,tau_1,tau_2,weighted_utilization,weighted_offered_wait,fcfs_weighted_utilization,fcfs_weighted_offered_wait,delta_weighted_utilization,delta_weighted_offered_wait,served_rate_1,served_rate_2,overall_served_rate,fcfs_served_rate_1,fcfs_served_rate_2,fcfs_overall_served_rate,min_served_rate,served_rate_flag
"w1=1, w2=1",1.0,1.0,0,0.5033732876712329,0.4974657534246575,5.420387187309788,5.417746496996356,1.0008390410958905,5.4190628042046045,1.0008390410958905,5.4190628042046045,0.0,0.0,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.5822518148626945,False
"w1=1, w2=1",1.0,1.0,4,0.5040410958904109,0.49679794520547943,5.404223823863045,5.434055205853594,1.0008390410958903,5.4190628042046045,1.0008390410958905,5.4190628042046045,-4.4408920985006264e-17,0.0,0.5865749661567066,0.5821905707467911,0.5843850685526365,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.5817682949677919,False
"w1=1, w2=1",1.0,1.0,8,0.5057534246575343,0.4950856164383562,5.371112650554835,5.467539326510287,1.0008390410958905,5.419084805295886,1.0008390410958905,5.4190628042046045,4.4408920985006264e-17,2.2001091281254048e-05,0.5892694559686573,0.5794794343768854,0.5843850685526365,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.5794794343768854,False
"w1=1, w2=1",1.0,1.0,12,0.5102739726027398,0.4905479452054794,5.297898984060231,5.541814214498086,1.0008219178082194,5.419249420425471,1.0008390410958905,5.4190628042046045,-1.712328767118354e-05,0.00018661622086604268,0.59664858104329,0.5717944904677434,0.5842749594771636,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.5717944904677434,False
"w1=1, w2=1",1.0,1.0,16,0.5400856164383562,0.4605993150684931,4.7640364791065135,6.2414345946406025,1.0006849315068493,5.4998220448757085,1.0008390410958905,5.4190628042046045,-0.00015410958904105154,0.08075924067110343,0.668160395296686,0.4981708641338566,0.583494873393837,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.4981708641338566,True
"w1=1, w2=1",1.0,1.0,20,0.6375,0.3628253424657534,3.014408218082071,7.622842818110007,1.0003253424657532,5.317907632378718,1.0008390410958905,5.4190628042046045,-0.0005136986301370383,-0.10115517182588558,0.813939264832598,0.3884136494822938,0.6012302171138446,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.3884136494822938,True
"w1=1, w2=1",1.0,1.0,24,0.7500684931506849,0.24931506849315072,1.3413450917895893,9.371245424098928,0.9993835616438357,5.337238160953631,1.0008390410958905,5.4190628042046045,-0.0014554794520547532,-0.08182464325097313,0.9556596751241028,0.26743859568932266,0.6122736608107371,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.26743859568932266,True
"w1=1, w2=1",1.0,1.0,28,0.7740068493150685,0.12513698630136988,0.06988147678539305,10.581308854161334,0.8991438356164384,3.855597717858287,1.0008390410958905,5.4190628042046045,-0.10169520547945206,-1.563465086346317,1.0,0.13608925592634805,0.5670781912812594,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.13608925592634805,True
"w1=1, w2=1",1.0,1.0,32,0.781095890410959,0.0,0.008749072997816461,,0.781095890410959,0.008749072997816461,1.0008390410958905,5.4190628042046045,-0.21974315068493144,-5.410313731206788,1.0,0.0,0.5003965996037021,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.0,True
"w1=1.25, w2=1",1.25,1.0,0,0.5033732876712329,0.4974657534246575,5.420387187309788,5.417746496996356,1.1266823630136986,5.419209583028001,1.1266823630136986,5.419209583028001,0.0,0.0,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.5822518148626945,False
