target,target_label,feature,feature_label,coefficient,abs_coefficient,hc3_standard_error,ci_low_95_hc3,ci_high_95_hc3,p_value_hc3,significant_05_hc3
average_utilization,Average utilization,lambda_total,total arrival rate,-0.10916769779687704,0.10916769779687704,0.03998158826574533,-0.1875301708424471,-0.030805224751306967,0.0063248069877221485,True
average_utilization,Average utilization,class_1_share,class 1 arrival share,0.0634008146758434,0.0634008146758434,0.04066937368828056,-0.0163096930269874,0.1431113223786742,0.1190123205893265,False
average_utilization,Average utilization,class_1_balk_step,C1 balking step,-0.02873675397134315,0.02873675397134315,0.04168261186091325,-0.1104331720002952,0.05295966405760891,0.49056009223486596,False
average_utilization,Average utilization,class_2_balk_step,C2 balking step,0.05366398982046906,0.05366398982046906,0.042169597773542754,-0.02898690305821519,0.13631488269915332,0.20316877723501003,False
average_utilization,Average utilization,class_1_balk_threshold,C1 balking threshold,-0.04006599073944994,0.04006599073944994,0.04125412728104671,-0.1209225944239328,0.04079061294503292,0.33144890721220677,False
average_utilization,Average utilization,class_2_balk_threshold,C2 balking threshold,-0.08579991851299007,0.08579991851299007,0.037181450362905266,-0.15867422211724813,-0.012925614908732022,0.021021389046232127,True
average_utilization,Average utilization,class_1_no_show_step,C1 no-show step,-0.2893134600749872,0.2893134600749872,0.0399347402681825,-0.36758411273258634,-0.21104280741738807,4.3353779898887755e-13,True
average_utilization,Average utilization,class_2_no_show_step,C2 no-show step,-0.2940826850725333,0.2940826850725333,0.04003806479654674,-0.3725558500844459,-0.2156095200606207,2.0564005625480754e-13,True
average_utilization,Average utilization,class_1_no_show_threshold,C1 no-show threshold,0.34222341382795274,0.34222341382795274,0.042378050096691496,0.25916396190340324,0.42528286575250224,6.720759251173742e-16,True
average_utilization,Average utilization,class_2_no_show_threshold,C2 no-show threshold,0.36552830000387654,0.36552830000387654,0.04346816659293283,0.28033225900774106,0.450724341000012,4.131573769040803e-17,True
average_utilization,Average utilization,class_1_cancel_prob,C1 cancellation prob.,0.28104096127171835,0.28104096127171835,0.037885899651627336,0.2067859624326302,0.3552959601108065,1.1882258490668152e-13,True
average_utilization,Average utilization,class_2_cancel_prob,C2 cancellation prob.,0.18543619487291826,0.18543619487291826,0.04276301246185932,0.10162223057723649,0.26925015916860007,1.4485579462845406e-05,True
overall_percent_serviced,Overall percent serviced,lambda_total,total arrival rate,-0.7744236319540957,0.7744236319540957,0.04086622301091868,-0.8545199572396783,-0.6943273066685131,4.397993272714084e-80,True
overall_percent_serviced,Overall percent serviced,class_1_share,class 1 arrival share,0.032871874195355734,0.032871874195355734,0.03113779525461384,-0.028157083061669592,0.09390083145238107,0.2911096453608002,False
overall_percent_serviced,Overall percent serviced,class_1_balk_step,C1 balking step,0.001635905254476551,0.001635905254476551,0.032718448884122744,-0.06249107618841875,0.06576288669737185,0.960122806994889,False
overall_percent_serviced,Overall percent serviced,class_2_balk_step,C2 balking step,0.03544492669394769,0.03544492669394769,0.03382778728984824,-0.030856318070836664,0.10174617145873205,0.29472843069750077,False
overall_percent_serviced,Overall percent serviced,class_1_balk_threshold,C1 balking threshold,-0.049166538460974525,0.049166538460974525,0.033144670963388766,-0.11412889982864699,0.015795822906697947,0.13797030200853028,False
overall_percent_serviced,Overall percent serviced,class_2_balk_threshold,C2 balking threshold,-0.02318866844246629,0.02318866844246629,0.03132278875310734,-0.08458020629391294,0.03820286940898036,0.45911008045175494,False
overall_percent_serviced,Overall percent serviced,class_1_no_show_step,C1 no-show step,-0.10845566863689593,0.10845566863689593,0.031417307340942544,-0.17003245951636917,-0.04687887775742269,0.0005562427176508066,True
overall_percent_serviced,Overall percent serviced,class_2_no_show_step,C2 no-show step,-0.13360081564765677,0.13360081564765677,0.030347540437407304,-0.19308090192434801,-0.07412072937096553,1.0707940081321718e-05,True
overall_percent_serviced,Overall percent serviced,class_1_no_show_threshold,C1 no-show threshold,0.19453734125255506,0.19453734125255506,0.030299075635435258,0.1351522442422469,0.2539224382628632,1.3576486947345863e-10,True
overall_percent_serviced,Overall percent serviced,class_2_no_show_threshold,C2 no-show threshold,0.1527979798759826,0.1527979798759826,0.03255205479846518,0.08899712484821659,0.2165988349037486,2.679689991999665e-06,True
overall_percent_serviced,Overall percent serviced,class_1_cancel_prob,C1 cancellation prob.,0.11561426623147453,0.11561426623147453,0.031005378186973187,0.05484484165796328,0.17638369080498578,0.0001923590069019937,True
overall_percent_serviced,Overall percent serviced,class_2_cancel_prob,C2 cancellation prob.,0.05594063953095724,0.05594063953095724,0.03252714995988858,-0.007811402910157833,0.1196926819720723,0.08546630362624423,False
mean_offered_booking_delay,Mean offered delay,lambda_total,total arrival rate,0.5761556903590805,0.5761556903590805,0.039159668415199515,0.4994041506187588,0.6529072300994023,5.320609031945304e-49,True
mean_offered_booking_delay,Mean offered delay,class_1_share,class 1 arrival share,-0.004063282821631563,0.004063282821631563,0.037342271287083395,-0.07725278964523918,0.06912622400197607,0.9133516992072782,False
mean_offered_booking_delay,Mean offered delay,class_1_balk_step,C1 balking step,-0.14453972165456,0.14453972165456,0.04049729272017936,-0.22391295685748766,-0.06516648645163234,0.0003581815254537206,True
mean_offered_booking_delay,Mean offered delay,class_2_balk_step,C2 balking step,-0.14843940724748728,0.14843940724748728,0.042016847501468634,-0.23079091509427757,-0.066087899400697,0.0004110987128728037,True
mean_offered_booking_delay,Mean offered delay,class_1_balk_threshold,C1 balking threshold,0.20316776968243017,0.20316776968243017,0.04028730326490012,0.124206106248983,0.28212943311587735,4.5835471622514727e-07,True
mean_offered_booking_delay,Mean offered delay,class_2_balk_threshold,C2 balking threshold,0.20039971211571417,0.20039971211571417,0.03910837554494908,0.12374870455374697,0.27705071967768136,2.9878040662105533e-07,True
mean_offered_booking_delay,Mean offered delay,class_1_no_show_step,C1 no-show step,-0.032009739803833176,0.032009739803833176,0.036547848523224034,-0.10364220662177769,0.039622727014111334,0.38112189857185863,False
mean_offered_booking_delay,Mean offered delay,class_2_no_show_step,C2 no-show step,-0.030312106226767107,0.030312106226767107,0.03675492890862862,-0.10235044314200929,0.04172623068847507,0.4095370439370697,False
mean_offered_booking_delay,Mean offered delay,class_1_no_show_threshold,C1 no-show threshold,-0.07567330203472308,0.07567330203472308,0.041174346000587274,-0.15637353728286496,0.005026933213418794,0.06608082360476855,False
mean_offered_booking_delay,Mean offered delay,class_2_no_show_threshold,C2 no-show threshold,-0.02741118586841822,0.02741118586841822,0.03836094962077162,-0.10259726553788603,0.0477748938010496,0.47488119908020154,False
mean_offered_booking_delay,Mean offered delay,class_1_cancel_prob,C1 cancellation prob.,-0.358519244796237,0.358519244796237,0.036598911200949595,-0.4302517926234778,-0.28678669696899617,1.1724947685445182e-22,True
mean_offered_booking_delay,Mean offered delay,class_2_cancel_prob,C2 cancellation prob.,-0.2845580389147743,0.2845580389147743,0.0379102122018807,-0.3588606894767314,-0.21025538835281726,6.091249820555551e-14,True
access_advantage_class_1,Class 1 access advantage,lambda_total,total arrival rate,0.04119048762509724,0.04119048762509724,0.05008462664087623,-0.05697357677015547,0.13935455202034996,0.41083916155914113,False
access_advantage_class_1,Class 1 access advantage,class_1_share,class 1 arrival share,-0.11994553777361683,0.11994553777361683,0.04564241017493559,-0.2094030178840951,-0.03048805766313857,0.008590354227456345,True
access_advantage_class_1,Class 1 access advantage,class_1_balk_step,C1 balking step,-0.20745483528113445,0.20745483528113445,0.0386513036599047,-0.28320999841006883,-0.13169967215220008,7.990465368688739e-08,True
access_advantage_class_1,Class 1 access advantage,class_2_balk_step,C2 balking step,0.2848441947587052,0.2848441947587052,0.04730800569176185,0.19212220742243608,0.37756618209497433,1.732818093930365e-09,True
access_advantage_class_1,Class 1 access advantage,class_1_balk_threshold,C1 balking threshold,0.3030760789690654,0.3030760789690654,0.04942857097081509,0.20619786005898583,0.399954297879145,8.700124633525651e-10,True
access_advantage_class_1,Class 1 access advantage,class_2_balk_threshold,C2 balking threshold,-0.287044816797632,0.287044816797632,0.046219483560200975,-0.377633339959667,-0.19645629363559697,5.282562863784483e-10,True
access_advantage_class_1,Class 1 access advantage,class_1_no_show_step,C1 no-show step,-0.15733996981326623,0.15733996981326623,0.04228509967486481,-0.24021724225868762,-0.07446269736784485,0.00019848908343359848,True
access_advantage_class_1,Class 1 access advantage,class_2_no_show_step,C2 no-show step,0.14922816672684325,0.14922816672684325,0.03736283571166317,0.07599835437169647,0.22245797908199003,6.496051935409937e-05,True
access_advantage_class_1,Class 1 access advantage,class_1_no_show_threshold,C1 no-show threshold,0.1446343290511897,0.1446343290511897,0.051336364037095183,0.04401690444124588,0.2452517536611335,0.0048416370338228544,True
access_advantage_class_1,Class 1 access advantage,class_2_no_show_threshold,C2 no-show threshold,-0.24190990133237322,0.24190990133237322,0.04038756295070904,-0.3210680701391072,-0.16275173252563926,2.1021196344513136e-09,True
access_advantage_class_1,Class 1 access advantage,class_1_cancel_prob,C1 cancellation prob.,-0.27634369558646016,0.27634369558646016,0.045975662368721755,-0.36645433799452826,-0.18623305317839206,1.847789509381821e-09,True
access_advantage_class_1,Class 1 access advantage,class_2_cancel_prob,C2 cancellation prob.,0.3448894725762707,0.3448894725762707,0.04757931382821194,0.25163573106384673,0.4381432140886946,4.207058495271665e-13,True
