balk_step,noshow_step,average_utilization,overall_percent_serviced,mean_accepted_booking_delay,mean_offered_booking_delay,class_1_percent_serviced,class_2_percent_serviced,overall_balking_rate,class_1_balking_rate,class_2_balking_rate,class_1_slot_utilization,class_2_slot_utilization,class_1_mean_offered_booking_delay,class_2_mean_offered_booking_delay,access_advantage_class_1,balking_rate_gap_class_1,delay_advantage_class_1,total_arrivals,total_booked,served_rate,balked_rate,no_offer_rate,canceled_rate,no_show_rate,unresolved_booked_rate,lost_after_booking_rate
0.0,0.0,1.0,0.31630130660364547,9.45594867807154,9.45594867807154,0.31364750749114684,0.3189402968902373,0.0,0.0,0.0,0.49289383561643835,0.5040239726027397,9.467413283558875,9.444487638003421,-0.005292789399090447,0.0,-0.0229256455554534,36813,25720,0.31630130660364547,0.0,0.3013337679624046,0.3815771602423057,0.0,0.0007877651916442561,0.38236492543394995
0.0,0.1,0.9482020547945206,0.3001113736995083,9.45594867807154,9.45594867807154,0.29812040315990196,0.3020912341532127,0.0,0.0,0.0,0.4684931506849315,0.4773972602739726,9.467413283558875,9.444487638003421,-0.003970830993310748,0.0,-0.0229256455554534,36813,25720,0.3001113736995083,0.0,0.3013337679624046,0.3815771602423057,0.016189932904137127,0.0007877651916442561,0.39855485833808707
0.0,0.2,0.8948630136986301,0.2833781544563062,9.45594867807154,9.45594867807154,0.28183056387905203,0.2849171091125799,0.0,0.0,0.0,0.44289383561643836,0.4502568493150685,9.467413283558875,9.444487638003421,-0.00308654523352786,0.0,-0.0229256455554534,36813,25720,0.2833781544563062,0.0,0.3013337679624046,0.3815771602423057,0.032923152147339256,0.0007877651916442561,0.4152880775812892
0.0,0.30000000000000004,0.8399828767123287,0.2660744845570858,9.45594867807154,9.45594867807154,0.2651048760555707,0.26703868241412937,0.0,0.0,0.0,0.4166095890410959,0.42200342465753427,9.467413283558875,9.444487638003421,-0.0019338063585586651,0.0,-0.0229256455554534,36813,25720,0.2660744845570858,0.0,0.3013337679624046,0.3815771602423057,0.05022682204655964,0.0007877651916442561,0.4325917474805096
0.0,0.4,0.7841609589041096,0.24817319968489393,9.45594867807154,9.45594867807154,0.24761645328248433,0.24872683931086792,0.0,0.0,0.0,0.3891267123287671,0.3930650684931507,9.467413283558875,9.444487638003421,-0.001110386028383592,0.0,-0.0229256455554534,36813,25720,0.24817319968489393,0.0,0.3013337679624046,0.3815771602423057,0.06812810691875153,0.0007877651916442561,0.4504930323527015
0.0,0.5,0.7332191780821918,0.23201043109771005,9.45594867807154,9.45594867807154,0.2321983110868973,0.23182359952324194,0.0,0.0,0.0,0.3648972602739726,0.3663527397260274,9.467413283558875,9.444487638003421,0.00037471156365537217,0.0,-0.0229256455554534,36813,25720,0.23201043109771005,0.0,0.3013337679624046,0.3815771602423057,0.0842908755059354,0.0007877651916442561,0.46665580093988535
0.0,0.6000000000000001,0.6805650684931507,0.21557601934099366,9.45594867807154,9.45594867807154,0.2151457368564424,0.2160039007476433,0.0,0.0,0.0,0.33809931506849317,0.3413527397260274,9.467413283558875,9.444487638003421,-0.0008581638912009137,0.0,-0.0229256455554534,36813,25720,0.21557601934099366,0.0,0.3013337679624046,0.3815771602423057,0.10072528726265179,0.0007877651916442561,0.48309021269660174
0.0,0.7000000000000001,0.6321917808219178,0.20014668731154756,9.45594867807154,9.45594867807154,0.20027240533914464,0.20002167082024055,0.0,0.0,0.0,0.3147260273972603,0.3160958904109589,9.467413283558875,9.444487638003421,0.0002507345189040888,0.0,-0.0229256455554534,36813,25720,0.20014668731154756,0.0,0.3013337679624046,0.3815771602423057,0.1161546192920979,0.0007877651916442561,0.49851954472604787
0.0,0.8,0.5804794520547946,0.18398391872436368,9.45594867807154,9.45594867807154,0.18425497139743938,0.1837143785892296,0.0,0.0,0.0,0.28955479452054794,0.2903253424657534,9.467413283558875,9.444487638003421,0.0005405928082097833,0.0,-0.0229256455554534,36813,25720,0.18398391872436368,0.0,0.3013337679624046,0.3815771602423057,0.13231738787928177,0.0007877651916442561,0.5146823133132318
0.0,0.9,0.5285102739726028,0.1674408496998343,9.45594867807154,9.45594867807154,0.16829201852356307,0.16659443059919818,0.0,0.0,0.0,0.2644691780821918,0.2632705479452055,9.467413283558875,9.444487638003421,0.0016975879243648906,0.0,-0.0229256455554534,36813,25720,0.1674408496998343,0.0,0.3013337679624046,0.3815771602423057,0.14886045690381117,0.0007877651916442561,0.5312253823377611
