balk_threshold,noshow_threshold,average_utilization,overall_percent_serviced,mean_accepted_booking_delay,mean_offered_booking_delay,class_1_percent_serviced,class_2_percent_serviced,overall_balking_rate,class_1_balking_rate,class_2_balking_rate,class_1_slot_utilization,class_2_slot_utilization,class_1_mean_offered_booking_delay,class_2_mean_offered_booking_delay,access_advantage_class_1,balking_rate_gap_class_1,delay_advantage_class_1,total_arrivals,total_booked,served_rate,balked_rate,no_offer_rate,canceled_rate,no_show_rate,unresolved_booked_rate,lost_after_booking_rate
0,0,0.6961472602739726,0.22277078361995667,5.520347582037997,5.518719657697688,0.2235229759299781,0.22201441223389626,0.49181272113881347,0.4903172866520788,0.493316464051928,0.3498287671232877,0.34554794520547943,5.533424507658643,5.503933109631993,0.0015085636960818494,-0.002999177399849229,-0.029491398026650018,36459,18528,0.22277078361995667,0.49181272113881347,0.0,0.1880194190734798,0.09739707616775008,0.0,0.28541649524122986
0,1,0.7276541095890411,0.23280945719849694,5.520347582037997,5.518719657697688,0.23320568927789934,0.23241102370867484,0.49181272113881347,0.4903172866520788,0.493316464051928,0.36498287671232876,0.3617294520547945,5.533424507658643,5.503933109631993,0.0007946655692245008,-0.002999177399849229,-0.029491398026650018,36459,18528,0.23280945719849694,0.49181272113881347,0.0,0.1880194190734798,0.0873584025892098,0.0,0.2753778216626896
0,2,0.758818493150685,0.2428207027071505,5.520347582037997,5.518719657697688,0.24327133479212254,0.2423675669728808,0.49181272113881347,0.4903172866520788,0.493316464051928,0.38073630136986303,0.3772260273972603,5.533424507658643,5.503933109631993,0.0009037678192417298,-0.002999177399849229,-0.029491398026650018,36459,18528,0.2428207027071505,0.49181272113881347,0.0,0.1880194190734798,0.07734715708055624,0.0,0.265366576154036
0,3,0.7854452054794521,0.2512959763021476,5.520347582037997,5.518719657697688,0.25065645514223195,0.25193905055283566,0.49181272113881347,0.4903172866520788,0.493316464051928,0.3922945205479452,0.3921232876712329,5.533424507658643,5.503933109631993,-0.0012825954106037152,-0.002999177399849229,-0.029491398026650018,36459,18528,0.2512959763021476,0.49181272113881347,0.0,0.1880194190734798,0.06887188348555912,0.0,0.2568913025590389
0,4,0.8059075342465754,0.2578512850050742,5.520347582037997,5.518719657697688,0.2574945295404814,0.2582100225534958,0.49181272113881347,0.4903172866520788,0.493316464051928,0.40299657534246575,0.4018835616438356,5.533424507658643,5.503933109631993,-0.0007154930130143788,-0.002999177399849229,-0.029491398026650018,36459,18528,0.2578512850050742,0.49181272113881347,0.0,0.1880194190734798,0.06231657478263255,0.0,0.2503359938561123
0,5,0.8273116438356164,0.26473573054664146,5.520347582037997,5.518719657697688,0.26460612691466084,0.264866054238407,0.49181272113881347,0.4903172866520788,0.493316464051928,0.41412671232876713,0.4122431506849315,5.533424507658643,5.503933109631993,-0.00025992732374613414,-0.002999177399849229,-0.029491398026650018,36459,18528,0.26473573054664146,0.49181272113881347,0.0,0.1880194190734798,0.0554321292410653,0.0,0.2434515483145451
0,6,0.8915239726027397,0.2862393373378315,5.520347582037997,5.518719657697688,0.287417943107221,0.28505418339842675,0.49181272113881347,0.4903172866520788,0.493316464051928,0.4498287671232877,0.44366438356164384,5.533424507658643,5.503933109631993,0.0023637597087942663,-0.002999177399849229,-0.029491398026650018,36459,18528,0.2862393373378315,0.49181272113881347,0.0,0.1880194190734798,0.0339285224498752,0.0,0.221947941523355
0,7,0.9824486301369864,0.31495652650922956,5.520347582037997,5.518719657697688,0.3149890590809628,0.3149238131910446,0.49181272113881347,0.4903172866520788,0.493316464051928,0.49297945205479454,0.4901541095890411,5.533424507658643,5.503933109631993,6.524588991818625e-05,-0.002999177399849229,-0.029491398026650018,36459,18528,0.31495652650922956,0.49181272113881347,0.0,0.1880194190734798,0.005211333278477194,0.0,0.193230752351957
0,8,1.0,0.32016785978770673,5.520347582037997,5.518719657697688,0.3203501094091904,0.31998459761263,0.49181272113881347,0.4903172866520788,0.493316464051928,0.5013698630136987,0.49803082191780823,5.533424507658643,5.503933109631993,0.00036551179656041377,-0.002999177399849229,-0.029491398026650018,36459,18528,0.32016785978770673,0.49181272113881347,0.0,0.1880194190734798,0.0,0.0,0.1880194190734798
0,9,1.0,0.32016785978770673,5.520347582037997,5.518719657697688,0.3203501094091904,0.31998459761263,0.49181272113881347,0.4903172866520788,0.493316464051928,0.5013698630136987,0.49803082191780823,5.533424507658643,5.503933109631993,0.00036551179656041377,-0.002999177399849229,-0.029491398026650018,36459,18528,0.32016785978770673,0.49181272113881347,0.0,0.1880194190734798,0.0,0.0,0.1880194190734798
0,10,1.0,0.32016785978770673,5.520347582037997,5.518719657697688,0.3203501094091904,0.31998459761263,0.49181272113881347,0.4903172866520788,0.493316464051928,0.5013698630136987,0.49803082191780823,5.533424507658643,5.503933109631993,0.00036551179656041377,-0.002999177399849229,-0.029491398026650018,36459,18528,0.32016785978770673,0.49181272113881347,0.0,0.1880194190734798,0.0,0.0,0.1880194190734798
0,11,1.0,0.32016785978770673,5.520347582037997,5.518719657697688,0.3203501094091904,0.31998459761263,0.49181272113881347,0.4903172866520788,0.493316464051928,0.5013698630136987,0.49803082191780823,5.533424507658643,5.503933109631993,0.00036551179656041377,-0.002999177399849229,-0.029491398026650018,36459,18528,0.32016785978770673,0.49181272113881347,0.0,0.1880194190734798,0.0,0.0,0.1880194190734798
