hypothesis,background_id,selected_for_stage2,selection_reason,stage1_classification,stage2_classification,final_classification,stage_used,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,horizon_class1,horizon_class2
H1,H1B0066,False,,inconclusive,,inconclusive,1,S034,sobol_symmetric,1.25,0.9,16,21,21
H1,H1B0067,False,,inactive,,inactive,1,S035,sobol_symmetric,1.25,0.3,32,14,14
H1,H1B0068,False,,supported,,supported,1,S036,sobol_symmetric,4.0,0.7,32,28,28
H1,H1B0069,False,,supported,,supported,1,S037,sobol_symmetric,3.1,0.5,16,28,28
H1,H1B0070,False,,inconclusive,,inconclusive,1,S038,sobol_symmetric,1.25,0.5,64,14,14
H1,H1B0071,False,,inconclusive,,inconclusive,1,S039,sobol_symmetric,0.8,0.1,16,21,21
H1,H1B0072,False,,inconclusive,,inconclusive,1,S040,sobol_symmetric,2.0,0.9,32,7,7
H1,H1B0073,False,,supported,,supported,1,S041,sobol_symmetric,2.0,0.3,16,14,14
H1,H1B0074,False,,inconclusive,,inconclusive,1,S042,sobol_symmetric,0.8,0.7,64,28,28
H1,H1B0075,False,,inactive,,inactive,1,S043,sobol_symmetric,1.25,0.3,16,7,7
H1,H1B0076,False,,supported,,supported,1,S044,sobol_symmetric,4.0,0.7,64,21,21
H1,H1B0077,False,,inconclusive,,inconclusive,1,S045,sobol_symmetric,4.0,0.1,32,21,21
H1,H1B0078,False,,supported,,supported,1,S046,sobol_symmetric,2.0,0.9,32,7,7
H1,H1B0079,False,,inconclusive,,inconclusive,1,S047,sobol_symmetric,0.8,0.5,64,28,28
H1,H1B0080,False,,supported,,supported,1,S048,sobol_symmetric,3.1,0.5,16,14,14
H1,H1B0081,False,,supported,,supported,1,S049,sobol_symmetric,3.1,0.5,64,21,21
H1,H1B0082,False,,inconclusive,,inconclusive,1,S050,sobol_symmetric,0.8,0.5,32,7,7
H1,H1B0083,False,,supported,,supported,1,S051,sobol_symmetric,2.0,0.1,64,28,28
H1,H1B0084,False,,supported,,supported,1,S052,sobol_symmetric,4.0,0.9,16,14,14
H1,H1B0085,False,,supported,,supported,1,S053,sobol_symmetric,4.0,0.1,32,14,14
H1,H1B0086,False,,inactive,,inactive,1,S054,sobol_symmetric,1.25,0.7,32,28,28
H1,H1B0087,False,,inconclusive,,inconclusive,1,S055,sobol_symmetric,0.8,0.3,16,7,7
H1,H1B0088,False,,supported,,supported,1,S056,sobol_symmetric,2.0,0.7,64,21,21
H1,H1B0089,False,,supported,,supported,1,S057,sobol_symmetric,3.1,0.1,16,28,28
H1,H1B0090,False,,inconclusive,,inconclusive,1,S058,sobol_symmetric,0.8,0.9,64,14,14
H1,H1B0091,False,,inconclusive,,inconclusive,1,S059,sobol_symmetric,1.25,0.3,32,21,21
H1,H1B0092,False,,supported,,supported,1,S060,sobol_symmetric,4.0,0.5,32,7,7
H1,H1B0093,False,,supported,,supported,1,S061,sobol_symmetric,4.0,0.3,64,7,7
