hypothesis,background_id,selected_for_stage2,selection_reason,stage1_classification,stage2_classification,final_classification,stage_used,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,horizon_class1,horizon_class2
H2,H2B0171,False,,supported,,supported,1,S139,sobol_symmetric,1.25,0.1,32,21,21
H2,H2B0172,False,,inconclusive,,inconclusive,1,S140,sobol_symmetric,4.0,0.9,32,7,7
H2,H2B0173,False,,supported,,supported,1,S141,sobol_symmetric,4.0,0.1,16,7,7
H2,H2B0174,False,,supported,,supported,1,S142,sobol_symmetric,2.0,0.9,64,21,21
H2,H2B0175,False,,inconclusive,,inconclusive,1,S143,sobol_symmetric,0.8,0.5,16,14,14
H2,H2B0176,False,,supported,,supported,1,S144,sobol_symmetric,3.1,0.5,32,28,28
H2,H2B0177,False,,supported,,supported,1,S145,sobol_symmetric,3.1,0.3,16,7,7
H2,H2B0178,False,,inconclusive,,inconclusive,1,S146,sobol_symmetric,0.8,0.5,64,21,21
H2,H2B0179,False,,supported,,supported,1,S147,sobol_symmetric,2.0,0.1,32,14,14
H2,H2B0180,False,,inconclusive,,inconclusive,1,S148,sobol_symmetric,4.0,0.9,32,28,28
H2,H2B0181,False,,supported,,supported,1,S149,sobol_symmetric,4.0,0.1,64,28,28
H2,H2B0182,False,,supported,,supported,1,S150,sobol_symmetric,1.25,0.9,16,14,14
H2,H2B0183,False,,inconclusive,,inconclusive,1,S151,sobol_symmetric,0.8,0.3,64,21,21
H2,H2B0184,False,,supported,,supported,1,S152,sobol_symmetric,2.0,0.7,16,7,7
H2,H2B0185,False,,supported,,supported,1,S153,sobol_symmetric,2.0,0.1,64,14,14
H2,H2B0186,False,,inconclusive,,inconclusive,1,S154,sobol_symmetric,0.8,0.9,32,28,28
H2,H2B0187,False,,inconclusive,,inconclusive,1,S155,sobol_symmetric,1.25,0.5,64,7,7
H2,H2B0188,False,,supported,,supported,1,S156;X097,sobol_symmetric,3.1,0.5,16,21,21
H2,H2B0189,False,,supported,,supported,1,S157,sobol_symmetric,4.0,0.3,32,21,21
H2,H2B0190,False,,supported,,supported,1,S158,sobol_symmetric,1.25,0.7,32,7,7
H2,H2B0191,True,stage1_reversed,reversed,,reversed,1,S159,sobol_symmetric,0.8,0.3,16,28,28
H2,H2B0192,False,,supported,,supported,1,S160;X117,sobol_symmetric,3.1,0.7,64,14,14
H2,H2B0193,False,,supported,,supported,1,S161,sobol_symmetric,3.1,0.3,32,7,7
H2,H2B0194,False,,supported,,supported,1,S162,sobol_symmetric,1.25,0.7,32,21,21
H2,H2B0195,False,,supported,,supported,1,S163,sobol_symmetric,2.0,0.3,64,14,14
H2,H2B0196,False,,supported,,supported,1,S164,sobol_symmetric,4.0,0.7,16,28,28
H2,H2B0197,False,,supported,,supported,1,S165,sobol_symmetric,3.1,0.1,16,28,28
H2,H2B0198,False,,supported,,supported,1,S166;X090,sobol_symmetric,1.25,0.9,32,14,14
H2,H2B0199,False,,inconclusive,,inconclusive,1,S167,sobol_symmetric,0.8,0.5,16,21,21
H2,H2B0200,False,,supported,,supported,1,S168,sobol_symmetric,2.0,0.5,64,7,7
H2,H2B0201,False,,inconclusive,,inconclusive,1,S169,sobol_symmetric,2.0,0.1,16,14,14
H2,H2B0202,False,,inconclusive,,inconclusive,1,S170,sobol_symmetric,0.8,0.9,64,28,28
H2,H2B0203,False,,inconclusive,,inconclusive,1,S171,sobol_symmetric,1.25,0.3,32,7,7
H2,H2B0204,False,,supported,,supported,1,S172,sobol_symmetric,4.0,0.7,64,21,21
H2,H2B0205,False,,supported,,supported,1,S173,sobol_symmetric,4.0,0.5,64,21,21
H2,H2B0206,False,,supported,,supported,1,S174,sobol_symmetric,2.0,0.7,16,7,7
H2,H2B0207,False,,inconclusive,,inconclusive,1,S175,sobol_symmetric,0.8,0.1,32,28,28
H2,H2B0208,False,,inconclusive,,inconclusive,1,S176,sobol_symmetric,3.1,0.9,32,14,14
H2,H2B0209,False,,supported,,supported,1,S177,sobol_symmetric,3.1,0.1,64,21,21
H2,H2B0210,False,,inconclusive,,inconclusive,1,S178,sobol_symmetric,0.8,0.9,16,7,7
H2,H2B0211,False,,supported,,supported,1,S179,sobol_symmetric,2.0,0.5,64,28,28
H2,H2B0212,False,,supported,,supported,1,S180,sobol_symmetric,4.0,0.5,16,14,14
H2,H2B0213,False,,supported,,supported,1,S181,sobol_symmetric,4.0,0.3,16,14,14
H2,H2B0214,False,,inconclusive,,inconclusive,1,S182,sobol_symmetric,1.25,0.7,64,28,28
H2,H2B0215,False,,inconclusive,,inconclusive,1,S183,sobol_symmetric,0.8,0.1,32,7,7
H2,H2B0216,False,,inconclusive,,inconclusive,1,S184,sobol_symmetric,2.0,0.9,32,21,21
H2,H2B0217,False,,supported,,supported,1,S185,sobol_symmetric,3.1,0.5,32,28,28
H2,H2B0218,False,,inconclusive,,inconclusive,1,S186,sobol_symmetric,0.8,0.5,32,14,14
H2,H2B0219,False,,supported,,supported,1,S187,sobol_symmetric,1.25,0.1,16,21,21
H2,H2B0220,False,,inconclusive,,inconclusive,1,S188,sobol_symmetric,3.1,0.9,64,7,7
H2,H2B0221,False,,supported,,supported,1,S189,sobol_symmetric,4.0,0.3,64,7,7
H2,H2B0222,False,,supported,,supported,1,S190;X057,sobol_symmetric,2.0,0.7,16,21,21
H2,H2B0223,False,,supported,,supported,1,S191;X033,sobol_symmetric,1.25,0.3,64,14,14
H2,H2B0224,False,,supported,,supported,1,S192;X066,sobol_symmetric,3.1,0.7,16,28,28
H2,H2B0225,False,,supported,,supported,1,S193,sobol_symmetric,3.1,0.5,64,14,14
H2,H2B0226,False,,supported,,supported,1,S194,sobol_symmetric,1.25,0.5,16,28,28
H2,H2B0227,False,,supported,,supported,1,S195,sobol_symmetric,2.0,0.1,32,7,7
H2,H2B0228,False,,inconclusive,,inconclusive,1,S196,sobol_symmetric,4.0,0.9,16,21,21
H2,H2B0229,False,,supported,,supported,1,S197,sobol_symmetric,4.0,0.3,16,21,21
H2,H2B0230,False,,supported,,supported,1,S198,sobol_symmetric,1.25,0.9,64,7,7
H2,H2B0231,False,,inconclusive,,inconclusive,1,S199,sobol_symmetric,0.8,0.3,32,28,28
H2,H2B0232,False,,supported,,supported,1,S200,sobol_symmetric,3.1,0.7,32,14,14
H2,H2B0233,False,,supported,,supported,1,S201,sobol_symmetric,2.0,0.1,32,7,7
H2,H2B0234,False,,inconclusive,,inconclusive,1,S202,sobol_symmetric,0.8,0.9,32,21,21
H2,H2B0235,False,,supported,,supported,1,S203,sobol_symmetric,1.25,0.5,16,14,14
H2,H2B0236,False,,supported,,supported,1,S204,sobol_symmetric,4.0,0.7,64,28,28
H2,H2B0237,False,,supported,,supported,1,S205;X089,sobol_symmetric,4.0,0.3,64,28,28
H2,H2B0238,False,,supported,,supported,1,S206,sobol_symmetric,2.0,0.7,32,14,14
H2,H2B0239,False,,inconclusive,,inconclusive,1,S207;X114,sobol_symmetric,0.8,0.1,64,21,21
H2,H2B0240,False,,inconclusive,,inconclusive,1,S208,sobol_symmetric,3.1,0.9,16,7,7
H2,H2B0241,False,,supported,,supported,1,S209,sobol_symmetric,3.1,0.1,32,28,28
H2,H2B0242,False,,inconclusive,,inconclusive,1,S210,sobol_symmetric,0.8,0.9,32,14,14
H2,H2B0243,False,,supported,,supported,1,S211,sobol_symmetric,2.0,0.3,64,21,21
H2,H2B0244,False,,supported,,supported,1,S212,sobol_symmetric,4.0,0.7,16,7,7
H2,H2B0245,False,,supported,,supported,1,S213,sobol_symmetric,4.0,0.3,32,7,7
H2,H2B0246,False,,supported,,supported,1,S214;X002,sobol_symmetric,1.25,0.5,64,21,21
H2,H2B0247,False,,inconclusive,,inconclusive,1,S215,sobol_symmetric,0.8,0.1,16,14,14
H2,H2B0248,False,,inconclusive,,inconclusive,1,S216,sobol_symmetric,2.0,0.9,64,28,28
H2,H2B0249,False,,supported,,supported,1,S217,sobol_symmetric,2.0,0.3,16,21,21
H2,H2B0250,False,,inconclusive,,inconclusive,1,S218,sobol_symmetric,0.8,0.7,64,7,7
H2,H2B0251,False,,supported,,supported,1,S219,sobol_symmetric,1.25,0.3,16,28,28
H2,H2B0252,False,,supported,,supported,1,S220,sobol_symmetric,3.1,0.7,64,14,14
H2,H2B0253,False,,supported,,supported,1,S221,sobol_symmetric,4.0,0.1,64,14,14
H2,H2B0254,True,uncertainty_limited_inconclusive,supported,,supported,1,S222,sobol_symmetric,1.25,0.9,16,28,28
H2,H2B0255,False,,supported,,supported,1,S223,sobol_symmetric,1.25,0.5,32,7,7
H2,H2B0256,False,,supported,,supported,1,S224,sobol_symmetric,3.1,0.5,32,21,21
H2,H2B0257,False,,supported,,supported,1,X001,asymmetric_stress,4.0,0.3,32,21,21
H2,H2B0258,False,,inconclusive,,inconclusive,1,X003,asymmetric_stress,1.25,0.1,32,14,14
H2,H2B0259,False,,supported,,supported,1,X004,asymmetric_stress,1.25,0.1,32,21,21
H2,H2B0260,False,,supported,,supported,1,X005,asymmetric_stress,4.0,0.5,32,21,28
H2,H2B0261,False,,supported,,supported,1,X006,asymmetric_stress,2.0,0.1,32,7,21
H2,H2B0262,False,,supported,,supported,1,X007;X080,asymmetric_stress,2.0,0.5,32,14,28
H2,H2B0263,False,,supported,,supported,1,X008,asymmetric_stress,3.1,0.1,32,14,14
H2,H2B0264,False,,inconclusive,,inconclusive,1,X009,asymmetric_stress,0.8,0.1,16,28,28
H2,H2B0265,False,,supported,,supported,1,X010,asymmetric_stress,3.1,0.5,64,21,21
H2,H2B0266,False,,inconclusive,,inconclusive,1,X011,asymmetric_stress,0.8,0.9,32,21,21
H2,H2B0267,False,,supported,,supported,1,X012,asymmetric_stress,3.1,0.3,32,7,7
H2,H2B0268,False,,inconclusive,,inconclusive,1,X013,asymmetric_stress,0.8,0.5,32,14,21
H2,H2B0269,False,,supported,,supported,1,X014,asymmetric_stress,2.0,0.7,16,21,28
H2,H2B0270,False,,supported,,supported,1,X015,asymmetric_stress,1.25,0.5,16,14,14
H2,H2B0271,False,,supported,,supported,1,X016,asymmetric_stress,1.25,0.3,16,28,28
H2,H2B0272,False,,supported,,supported,1,X017,asymmetric_stress,2.0,0.5,32,14,14
H2,H2B0273,False,,supported,,supported,1,X018,asymmetric_stress,1.25,0.9,64,7,7
H2,H2B0274,False,,supported,,supported,1,X019,asymmetric_stress,1.25,0.1,64,14,14
H2,H2B0275,False,,supported,,supported,1,X020,asymmetric_stress,4.0,0.1,32,28,28
H2,H2B0276,False,,inconclusive,,inconclusive,1,X021,asymmetric_stress,3.1,0.9,16,28,21
H2,H2B0277,False,,inconclusive,,inconclusive,1,X022,asymmetric_stress,0.8,0.5,32,7,7
H2,H2B0278,False,,inconclusive,,inconclusive,1,X024,asymmetric_stress,0.8,0.5,32,14,14
H2,H2B0279,False,,supported,,supported,1,X025,asymmetric_stress,1.25,0.1,32,14,21
H2,H2B0280,False,,inconclusive,,inconclusive,1,X026,asymmetric_stress,3.1,0.7,32,28,14
H2,H2B0281,False,,inconclusive,,inconclusive,1,X027,asymmetric_stress,4.0,0.7,32,21,7
H2,H2B0282,False,,inconclusive,,inconclusive,1,X028,asymmetric_stress,3.1,0.9,64,28,14
H2,H2B0283,False,,supported,,supported,1,X029,asymmetric_stress,3.1,0.3,32,7,7
H2,H2B0284,False,,supported,,supported,1,X031,asymmetric_stress,1.25,0.3,32,28,28
H2,H2B0285,False,,inconclusive,,inconclusive,1,X034,asymmetric_stress,1.25,0.9,16,28,28
H2,H2B0286,False,,inconclusive,,inconclusive,1,X035,asymmetric_stress,0.8,0.1,16,28,28
H2,H2B0287,False,,inconclusive,,inconclusive,1,X036,asymmetric_stress,4.0,0.9,64,14,14
H2,H2B0288,False,,supported,,supported,1,X037,asymmetric_stress,3.1,0.1,64,14,14
H2,H2B0289,False,,inconclusive,,inconclusive,1,X038,asymmetric_stress,0.8,0.1,64,28,28
H2,H2B0290,False,,supported,,supported,1,X039,asymmetric_stress,1.25,0.3,32,28,28
H2,H2B0291,False,,supported,,supported,1,X040,asymmetric_stress,3.1,0.5,32,14,21
H2,H2B0292,False,,inconclusive,,inconclusive,1,X041,asymmetric_stress,0.8,0.9,64,28,28
H2,H2B0293,False,,inconclusive,,inconclusive,1,X042,asymmetric_stress,0.8,0.5,16,21,21
H2,H2B0294,True,stage1_reversed,inconclusive,,inconclusive,1,X044,asymmetric_stress,4.0,0.3,32,28,21
H2,H2B0295,False,,supported,,supported,1,X045,asymmetric_stress,3.1,0.1,32,28,28
H2,H2B0296,False,,supported,,supported,1,X047,asymmetric_stress,1.25,0.3,16,28,21
H2,H2B0297,False,,inconclusive,,inconclusive,1,X048,asymmetric_stress,4.0,0.3,32,14,14
H2,H2B0298,False,,supported,,supported,1,X049,asymmetric_stress,4.0,0.3,16,14,21
H2,H2B0299,False,,inconclusive,,inconclusive,1,X050,asymmetric_stress,3.1,0.9,16,21,28
H2,H2B0300,False,,inconclusive,,inconclusive,1,X051,asymmetric_stress,1.25,0.1,16,14,21
H2,H2B0301,False,,supported,,supported,1,X052,asymmetric_stress,4.0,0.7,32,21,14
H2,H2B0302,False,,inconclusive,,inconclusive,1,X053,asymmetric_stress,0.8,0.9,32,14,14
H2,H2B0303,False,,supported,,supported,1,X054,asymmetric_stress,1.25,0.5,16,21,21
H2,H2B0304,False,,supported,,supported,1,X055,asymmetric_stress,4.0,0.3,64,7,7
H2,H2B0305,False,,inconclusive,,inconclusive,1,X056,asymmetric_stress,1.25,0.1,64,7,14
H2,H2B0306,False,,inconclusive,,inconclusive,1,X058,asymmetric_stress,3.1,0.9,64,28,28
H2,H2B0307,False,,supported,,supported,1,X061,asymmetric_stress,2.0,0.9,64,14,28
H2,H2B0308,False,,supported,,supported,1,X062,asymmetric_stress,4.0,0.5,16,14,14
H2,H2B0309,False,,inconclusive,,inconclusive,1,X063,asymmetric_stress,0.8,0.3,64,21,21
H2,H2B0310,False,,supported,,supported,1,X064,asymmetric_stress,4.0,0.7,16,7,7
H2,H2B0311,False,,inconclusive,,inconclusive,1,X068,asymmetric_stress,2.0,0.9,64,28,21
H2,H2B0312,False,,inconclusive,,inconclusive,1,X069,asymmetric_stress,0.8,0.9,16,7,7
H2,H2B0313,False,,supported,,supported,1,X070,asymmetric_stress,4.0,0.3,16,14,14
H2,H2B0314,False,,inconclusive,,inconclusive,1,X071,asymmetric_stress,1.25,0.3,16,21,21
H2,H2B0315,False,,inconclusive,,inconclusive,1,X073,asymmetric_stress,4.0,0.7,32,28,7
H2,H2B0316,False,,supported,,supported,1,X074,asymmetric_stress,2.0,0.7,32,14,28
H2,H2B0317,False,,supported,,supported,1,X075,asymmetric_stress,3.1,0.7,64,14,14
H2,H2B0318,False,,inconclusive,,inconclusive,1,X076,asymmetric_stress,0.8,0.9,16,7,14
H2,H2B0319,False,,supported,,supported,1,X077,asymmetric_stress,4.0,0.5,16,7,7
H2,H2B0320,False,,inconclusive,,inconclusive,1,X078,asymmetric_stress,0.8,0.1,16,14,14
H2,H2B0321,False,,supported,,supported,1,X079,asymmetric_stress,3.1,0.5,64,28,7
H2,H2B0322,False,,supported,,supported,1,X081,asymmetric_stress,1.25,0.9,16,21,21
H2,H2B0323,False,,supported,,supported,1,X082,asymmetric_stress,4.0,0.3,32,28,21
H2,H2B0324,False,,supported,,supported,1,X084,asymmetric_stress,2.0,0.7,16,28,28
H2,H2B0325,False,,supported,,supported,1,X085,asymmetric_stress,2.0,0.3,16,14,21
H2,H2B0326,False,,inconclusive,,inconclusive,1,X086,asymmetric_stress,1.25,0.5,64,7,7
H2,H2B0327,False,,supported,,supported,1,X087,asymmetric_stress,1.25,0.9,16,28,28
H2,H2B0328,False,,inconclusive,,inconclusive,1,X088,asymmetric_stress,4.0,0.7,32,21,14
H2,H2B0329,False,,supported,,supported,1,X091,asymmetric_stress,2.0,0.3,64,14,14
H2,H2B0330,False,,supported,,supported,1,X092,asymmetric_stress,1.25,0.5,32,14,28
H2,H2B0331,False,,supported,,supported,1,X093,asymmetric_stress,1.25,0.9,16,14,14
H2,H2B0332,False,,inconclusive,,inconclusive,1,X094,asymmetric_stress,0.8,0.9,16,7,7
H2,H2B0333,False,,supported,,supported,1,X095,asymmetric_stress,2.0,0.7,32,14,14
H2,H2B0334,False,,supported,,supported,1,X096,asymmetric_stress,3.1,0.3,16,28,21
H2,H2B0335,False,,inconclusive,,inconclusive,1,X098,asymmetric_stress,0.8,0.5,16,28,14
H2,H2B0336,False,,supported,,supported,1,X100,asymmetric_stress,3.1,0.5,32,21,21
H2,H2B0337,False,,supported,,supported,1,X102,asymmetric_stress,4.0,0.3,32,28,14
H2,H2B0338,False,,inconclusive,,inconclusive,1,X103,asymmetric_stress,3.1,0.7,64,14,14
H2,H2B0339,False,,supported,,supported,1,X104,asymmetric_stress,3.1,0.5,32,28,21
H2,H2B0340,False,,supported,,supported,1,X105,asymmetric_stress,4.0,0.1,16,14,21
H2,H2B0341,False,,inconclusive,,inconclusive,1,X106,asymmetric_stress,0.8,0.5,64,14,28
H2,H2B0342,False,,supported,,supported,1,X107,asymmetric_stress,2.0,0.3,64,14,14
H2,H2B0343,False,,inconclusive,,inconclusive,1,X108,asymmetric_stress,0.8,0.5,32,28,7
H2,H2B0344,False,,inconclusive,,inconclusive,1,X110,asymmetric_stress,2.0,0.1,16,21,21
H2,H2B0345,False,,supported,,supported,1,X111,asymmetric_stress,4.0,0.5,32,14,14
H2,H2B0346,True,uncertainty_limited_inconclusive,inconclusive,,inconclusive,1,X112,asymmetric_stress,0.8,0.7,16,28,14
H2,H2B0347,False,,inconclusive,,inconclusive,1,X113,asymmetric_stress,2.0,0.7,16,21,21
H2,H2B0348,False,,inconclusive,,inconclusive,1,X115,asymmetric_stress,2.0,0.9,32,14,7
H2,H2B0349,False,,supported,,supported,1,X116,asymmetric_stress,2.0,0.3,16,28,28
H2,H2B0350,False,,supported,,supported,1,X118,asymmetric_stress,4.0,0.5,16,14,14
H2,H2B0351,False,,inconclusive,,inconclusive,1,X119,asymmetric_stress,4.0,0.7,32,7,7
H2,H2B0352,False,,inconclusive,,inconclusive,1,X120,asymmetric_stress,3.1,0.5,32,14,21
H2,H2B0353,False,,inconclusive,,inconclusive,1,X121,asymmetric_stress,0.8,0.3,32,28,14
H2,H2B0354,False,,supported,,supported,1,X122,asymmetric_stress,2.0,0.7,64,28,28
H2,H2B0355,False,,inactive,,inactive,1,X123,asymmetric_stress,3.1,0.3,32,14,14
H2,H2B0356,False,,inconclusive,,inconclusive,1,X124,asymmetric_stress,3.1,0.9,64,14,28
H2,H2B0357,False,,supported,,supported,1,X125,asymmetric_stress,1.25,0.7,16,14,28
H2,H2B0358,False,,supported,,supported,1,X126,asymmetric_stress,3.1,0.1,16,28,28
H2,H2B0359,False,,inconclusive,,inconclusive,1,X127,asymmetric_stress,0.8,0.1,32,28,28
H2,H2B0360,False,,inconclusive,,inconclusive,1,X128,asymmetric_stress,0.8,0.7,32,28,21
H3,H3B0001,False,,inactive,,inactive,1,A001,anchor,0.8,0.1,16,14,14
H3,H3B0002,False,,inactive,,inactive,1,A002,anchor,0.8,0.3,32,14,14
H3,H3B0003,False,,inactive,,inactive,1,A003,anchor,0.8,0.5,64,14,14
H3,H3B0004,False,,inactive,,inactive,1,A004,anchor,1.25,0.7,16,14,14
H3,H3B0005,False,,inactive,,inactive,1,A005,anchor,1.25,0.9,32,14,14
H3,H3B0006,False,,inactive,,inactive,1,A006,anchor,1.25,0.1,64,14,14
H3,H3B0007,False,,supported,,supported,1,A007,anchor,2.0,0.3,16,14,14
H3,H3B0008,False,,supported,,supported,1,A008,anchor,2.0,0.5,32,14,14
H3,H3B0009,False,,supported,,supported,1,A009,anchor,2.0,0.7,64,14,14
H3,H3B0010,False,,supported,,supported,1,A010,anchor,3.1,0.9,16,14,14
H3,H3B0011,False,,supported,,supported,1,A011,anchor,3.1,0.1,32,14,14
H3,H3B0012,False,,supported,,supported,1,A012,anchor,3.1,0.3,64,14,14
H3,H3B0013,False,,supported,,supported,1,A013,anchor,4.0,0.5,16,14,14
H3,H3B0014,False,,supported,,supported,1,A014,anchor,4.0,0.7,32,14,14
H3,H3B0015,False,,supported,,supported,1,A015,anchor,4.0,0.9,64,14,14
H3,H3B0016,False,,inactive,,inactive,1,A016,anchor,0.8,0.5,32,7,7
H3,H3B0017,False,,inactive,,inactive,1,A017,anchor,1.25,0.3,64,21,21
H3,H3B0018,False,,inactive,,inactive,1,A018,anchor,2.0,0.7,16,28,28
H3,H3B0019,False,,inactive,,inactive,1,A019,anchor,3.1,0.5,32,14,14
H3,H3B0020,False,,inactive,,inactive,1,A020,anchor,4.0,0.5,32,14,14
H3,H3B0021,False,,inactive,,inactive,1,A021,anchor,0.8,0.1,64,28,28
H3,H3B0022,False,,inactive,,inactive,1,A022,anchor,4.0,0.9,16,7,7
H3,H3B0023,False,,inactive,,inactive,1,A023,anchor,3.1,0.1,32,21,21
H3,H3B0024,False,,inactive,,inactive,1,A024,anchor,3.1,0.9,32,21,21
H3,H3B0025,False,,supported,,supported,1,A025,anchor,4.0,0.5,32,28,28
H3,H3B0026,False,,supported,,supported,1,A026,anchor,2.0,0.5,32,14,14
H3,H3B0027,False,,supported,,supported,1,A027,anchor,1.25,0.5,16,21,21
H3,H3B0028,False,,supported,,supported,1,A028,anchor,1.25,0.5,64,21,21
H3,H3B0029,False,,inactive,,inactive,1,A029,anchor,3.1,0.3,32,14,14
H3,H3B0030,False,,inconclusive,,inconclusive,1,A030,anchor,3.1,0.7,32,14,14
H3,H3B0031,False,,supported,,supported,1,A031,anchor,3.1,0.5,32,14,14
H3,H3B0032,False,,supported,,supported,1,A032,anchor,3.1,0.5,32,14,14
H3,H3B0033,False,,inactive,,inactive,1,S001,sobol_symmetric,3.1,0.3,16,21,21
H3,H3B0034,False,,inactive,,inactive,1,S002,sobol_symmetric,1.25,0.7,64,7,7
H3,H3B0035,False,,inactive,,inactive,1,S003,sobol_symmetric,2.0,0.1,16,28,28
H3,H3B0036,False,,supported,,supported,1,S004,sobol_symmetric,4.0,0.9,64,14,14
H3,H3B0037,False,,inactive,,inactive,1,S005,sobol_symmetric,3.1,0.1,64,14,14
H3,H3B0038,False,,inactive,,inactive,1,S006,sobol_symmetric,1.25,0.9,16,28,28
H3,H3B0039,False,,inactive,,inactive,1,S007,sobol_symmetric,0.8,0.5,32,7,7
H3,H3B0040,False,,inactive,,inactive,1,S008,sobol_symmetric,3.1,0.7,32,21,21
H3,H3B0041,False,,inactive,,inactive,1,S009,sobol_symmetric,2.0,0.3,32,28,28
H3,H3B0042,False,,inactive,,inactive,1,S010,sobol_symmetric,0.8,0.9,32,14,14
H3,H3B0043,False,,inactive,,inactive,1,S011,sobol_symmetric,1.25,0.3,64,21,21
H3,H3B0044,False,,inactive,,inactive,1,S012,sobol_symmetric,4.0,0.7,16,7,7
H3,H3B0045,False,,inactive,,inactive,1,S013,sobol_symmetric,4.0,0.5,16,7,7
H3,H3B0046,False,,inactive,,inactive,1,S014,sobol_symmetric,2.0,0.5,64,21,21
H3,H3B0047,False,,inactive,,inactive,1,S015,sobol_symmetric,0.8,0.1,16,14,14
H3,H3B0048,False,,supported,,supported,1,S016,sobol_symmetric,3.1,0.9,64,28,28
H3,H3B0049,False,,inactive,,inactive,1,S017,sobol_symmetric,3.1,0.1,32,7,7
H3,H3B0050,False,,inactive,,inactive,1,S018,sobol_symmetric,0.8,0.9,32,21,21
H3,H3B0051,False,,supported,,supported,1,S019,sobol_symmetric,2.0,0.5,16,14,14
H3,H3B0052,False,,inactive,,inactive,1,S020,sobol_symmetric,4.0,0.5,64,28,28
H3,H3B0053,False,,inactive,,inactive,1,S021,sobol_symmetric,4.0,0.3,32,28,28
H3,H3B0054,False,,inactive,,inactive,1,S022,sobol_symmetric,1.25,0.7,16,14,14
H3,H3B0055,False,,inactive,,inactive,1,S023,sobol_symmetric,0.8,0.3,64,21,21
H3,H3B0056,False,,inactive,,inactive,1,S024,sobol_symmetric,2.0,0.7,16,7,7
H3,H3B0057,False,,supported,,supported,1,S025,sobol_symmetric,2.0,0.3,64,14,14
H3,H3B0058,False,,inactive,,inactive,1,S026,sobol_symmetric,0.8,0.5,16,28,28
H3,H3B0059,False,,inactive,,inactive,1,S027,sobol_symmetric,1.25,0.1,64,7,7
H3,H3B0060,False,,supported,,supported,1,S028,sobol_symmetric,3.1,0.9,32,21,21
H3,H3B0061,False,,supported,,supported,1,S029,sobol_symmetric,4.0,0.1,16,21,21
H3,H3B0062,False,,inactive,,inactive,1,S030,sobol_symmetric,1.25,0.9,64,7,7
H3,H3B0063,False,,inactive,,inactive,1,S031,sobol_symmetric,1.25,0.3,32,28,28
H3,H3B0064,False,,supported,,supported,1,S032,sobol_symmetric,3.1,0.7,32,14,14
H3,H3B0065,False,,inactive,,inactive,1,S033,sobol_symmetric,3.1,0.1,64,7,7
H3,H3B0066,False,,inactive,,inactive,1,S034,sobol_symmetric,1.25,0.9,16,21,21
H3,H3B0067,False,,supported,,supported,1,S035,sobol_symmetric,1.25,0.3,32,14,14
H3,H3B0068,False,,inactive,,inactive,1,S036,sobol_symmetric,4.0,0.7,32,28,28
H3,H3B0069,False,,supported,,supported,1,S037,sobol_symmetric,3.1,0.5,16,28,28
H3,H3B0070,False,,inactive,,inactive,1,S038,sobol_symmetric,1.25,0.5,64,14,14
H3,H3B0071,False,,inactive,,inactive,1,S039,sobol_symmetric,0.8,0.1,16,21,21
H3,H3B0072,False,,inactive,,inactive,1,S040,sobol_symmetric,2.0,0.9,32,7,7
H3,H3B0073,False,,supported,,supported,1,S041,sobol_symmetric,2.0,0.3,16,14,14
H3,H3B0074,False,,inactive,,inactive,1,S042,sobol_symmetric,0.8,0.7,64,28,28
H3,H3B0075,False,,inactive,,inactive,1,S043,sobol_symmetric,1.25,0.3,16,7,7
H3,H3B0076,False,,supported,,supported,1,S044,sobol_symmetric,4.0,0.7,64,21,21
H3,H3B0077,False,,inconclusive,,inconclusive,1,S045,sobol_symmetric,4.0,0.1,32,21,21
H3,H3B0078,False,,inactive,,inactive,1,S046,sobol_symmetric,2.0,0.9,32,7,7
H3,H3B0079,False,,inactive,,inactive,1,S047,sobol_symmetric,0.8,0.5,64,28,28
H3,H3B0080,False,,supported,,supported,1,S048,sobol_symmetric,3.1,0.5,16,14,14
H3,H3B0081,False,,inactive,,inactive,1,S049,sobol_symmetric,3.1,0.5,64,21,21
H3,H3B0082,False,,inactive,,inactive,1,S050,sobol_symmetric,0.8,0.5,32,7,7
H3,H3B0083,False,,supported,,supported,1,S051,sobol_symmetric,2.0,0.1,64,28,28
H3,H3B0084,False,,inactive,,inactive,1,S052,sobol_symmetric,4.0,0.9,16,14,14
H3,H3B0085,False,,inactive,,inactive,1,S053,sobol_symmetric,4.0,0.1,32,14,14
H3,H3B0086,False,,inactive,,inactive,1,S054,sobol_symmetric,1.25,0.7,32,28,28
H3,H3B0087,False,,inactive,,inactive,1,S055,sobol_symmetric,0.8,0.3,16,7,7
H3,H3B0088,False,,inactive,,inactive,1,S056,sobol_symmetric,2.0,0.7,64,21,21
H3,H3B0089,False,,inconclusive,,inconclusive,1,S057,sobol_symmetric,3.1,0.1,16,28,28
H3,H3B0090,False,,inactive,,inactive,1,S058,sobol_symmetric,0.8,0.9,64,14,14
H3,H3B0091,False,,inactive,,inactive,1,S059,sobol_symmetric,1.25,0.3,32,21,21
H3,H3B0092,False,,inactive,,inactive,1,S060,sobol_symmetric,4.0,0.5,32,7,7
H3,H3B0093,False,,inactive,,inactive,1,S061,sobol_symmetric,4.0,0.3,64,7,7
H3,H3B0094,False,,inactive,,inactive,1,S062,sobol_symmetric,2.0,0.7,16,21,21
H3,H3B0095,False,,inactive,,inactive,1,S063,sobol_symmetric,1.25,0.1,32,14,14
