background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,baseline_equal_noshow_high,n_paired_seeds,mean_class1_arrivals,mean_class2_arrivals,estimated_class1_post_threshold_accepted_share,estimated_class2_post_threshold_accepted_share,exposure_active,mean_absolute_common_utilization_effect,mean_absolute_gap_utilization_effect,common_minus_gap_utilization_effect,common_minus_gap_utilization_effect_ci_low,common_minus_gap_utilization_effect_ci_high,mean_absolute_common_served_gap_effect,mean_absolute_between_gap_effect,gap_minus_common_served_gap_effect,gap_minus_common_served_gap_effect_ci_low,gap_minus_common_served_gap_effect_ci_high,utilization_component,served_gap_component,failure_component,classification
H9B0013,A013,anchor,4.0,0.5,16,64.0,32.0,32.0,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.5,0.5,0.5,20,11731.9,11685.35,0.23521662357018808,0.24700362355314218,True,0.0531164383561644,0.0016095890410958908,0.05150684931506849,0.05017938832483347,0.052834310305303514,0.0015077875062011615,0.013420170198678322,0.01191238269247716,0.011297275856503787,0.012527489528450533,supported,supported,,supported
H9B0014,A014,anchor,4.0,0.7,32,128.0,89.6,38.400000000000006,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.7,0.7,0.7,20,32755.5,14039.35,0.23733896194690546,0.24072453896400497,True,0.052628424657534256,0.010303938356164388,0.042324486301369854,0.041496381736829464,0.043152590865910244,0.0011085406461937507,0.013051363345773217,0.011942822699579468,0.011594826937648182,0.012290818461510753,supported,supported,,supported
H9B0015,A015,anchor,4.0,0.9,64,256.0,230.4,25.599999999999994,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.8,0.8,0.8,20,83988.8,9349.9,0.23853058830900573,0.23735666977190006,True,0.05270547945205478,0.02109482020547945,0.03161065924657533,0.030993312015627845,0.03222800647752281,0.000869617986200389,0.013160221546126024,0.012290603559925636,0.011775261761057351,0.01280594535879392,supported,supported,,supported
H9B0016,A016;S050,anchor,0.8,0.5,32,25.6,12.8,12.8,7,7,0.0,0.0,4,4,0.0,0.0,0.0,0.0,4,4,0.0,0.0,0.1,0.1,0.1,20,4666.7,4690.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,inconclusive,class1_post_threshold_exposure_below_1pct;class2_post_threshold_exposure_below_1pct,inactive
H9B0017,A017,anchor,1.25,0.3,64,80.0,24.0,56.0,21,21,0.3,0.3,6,6,0.1,0.1,0.1,0.1,9,9,0.0,0.0,0.3,0.3,0.3,20,8745.85,20452.05,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,inconclusive,class1_post_threshold_exposure_below_1pct;class2_post_threshold_exposure_below_1pct,inactive
H9B0018,A018,anchor,2.0,0.7,16,32.0,22.4,9.6,28,28,0.5,0.5,12,12,0.3,0.3,0.3,0.3,12,12,0.3,0.3,0.8,0.8,0.8,20,8191.05,3469.6,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,inconclusive,class1_post_threshold_exposure_below_1pct;class2_post_threshold_exposure_below_1pct,inactive
H9B0019,A019,anchor,3.1,0.5,32,99.2,49.6,49.6,14,14,0.0,0.0,4,4,0.5,0.5,0.7,0.7,4,4,0.5,0.5,0.7,0.7,0.7,20,18045.9,18138.35,0.8190727861561996,0.8157972259565108,True,0.08178510273972606,0.001577482876712337,0.0802076198630137,0.07910469103772655,0.08131054868830084,0.0012925766605998775,0.026428779289393012,0.025136202628793135,0.024527285784007195,0.025745119473579076,supported,supported,,supported
H9B0020,A020,anchor,4.0,0.5,32,128.0,64.0,64.0,14,14,0.3,0.3,6,6,0.7,0.7,0.7,0.7,6,6,0.7,0.7,0.8,0.8,0.8,20,23403.7,23405.3,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,inconclusive,class1_post_threshold_exposure_below_1pct;class2_post_threshold_exposure_below_1pct,inactive
H9B0021,A021,anchor,0.8,0.1,64,51.2,5.120000000000001,46.080000000000005,28,28,0.1,0.1,12,12,0.0,0.0,0.1,0.1,12,12,0.0,0.0,0.1,0.1,0.1,20,1876.05,16834.35,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,inconclusive,class1_post_threshold_exposure_below_1pct;class2_post_threshold_exposure_below_1pct,inactive
H9B0022,A022,anchor,4.0,0.9,16,64.0,57.6,6.399999999999999,7,7,0.5,0.5,4,4,0.5,0.5,0.7,0.7,4,4,0.5,0.5,0.8,0.8,0.8,20,21009.65,2335.45,9.495871297583944e-05,0.0004306632213608957,False,2.5684931506847473e-05,8.561643835619526e-06,1.712328767122795e-05,-7.543115553978345e-06,4.178969089643424e-05,2.1237104303045035e-05,1.1827430468952493e-05,-9.40967383409254e-06,-2.4700070534521553e-05,5.880722866336474e-06,inconclusive,inconclusive,class1_post_threshold_exposure_below_1pct;class2_post_threshold_exposure_below_1pct,inactive
