background_id,selection_objective,comparison,first_policy,second_policy,n_paired_seeds,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,average_utilization_status,delta_priority_weighted_utilization,delta_priority_weighted_utilization_ci_low,delta_priority_weighted_utilization_ci_high,priority_weighted_utilization_status,delta_class_1_percent_serviced,delta_class_1_percent_serviced_ci_low,delta_class_1_percent_serviced_ci_high,class_1_percent_serviced_status,delta_class_2_percent_serviced,delta_class_2_percent_serviced_ci_low,delta_class_2_percent_serviced_ci_high,class_2_percent_serviced_status,delta_class_1_slot_utilization,delta_class_1_slot_utilization_ci_low,delta_class_1_slot_utilization_ci_high,class_1_slot_utilization_status,delta_class_2_slot_utilization,delta_class_2_slot_utilization_ci_low,delta_class_2_slot_utilization_ci_high,class_2_slot_utilization_status,reservation_outcome,target_objective_practical_tie,baseline_equivalent,policy,average_optimal_horizon_days,average_optimal_Q,average_optimal_window,priority_optimal_horizon_days,priority_optimal_Q,priority_optimal_window,same_policy_cell,design_note,patient_characteristic,class2_reference,contrast_level,profile_id,clinic_context_id,clinic_block,native_horizon_days,rho,class1_share,slots_per_day,lambda_1,lambda_2,cancel_1,cancel_2,balk_threshold_1,balk_low_1,balk_high_1,balk_threshold_2,balk_low_2,balk_high_2,noshow_threshold_1,noshow_low_1,noshow_high_1,noshow_threshold_2,noshow_low_2,noshow_high_2,cap_thresholds_to_horizon
PCF_BK_LOW_SAME_C037,priority_weighted_utilization,priority_optimal_minus_average_optimal,horizon_only,horizon_only,10,-2.7397260273842594e-05,-0.0013700913242006268,0.0012424657534248057,supported_neutral,0.001109589041095893,-0.0005707762557077287,0.002808219178082183,supported_neutral,0.0040187064317629305,-0.003476319261015798,0.009582225656165903,uncertain,0.002778112287544654,-0.0006135268921347558,0.006300664621261934,uncertain,0.002301369863013708,-0.0004931506849314821,0.005251141552511435,uncertain,-0.0023835616438356187,-0.005479908675799086,0.0005394977168949773,uncertain,uncertain,True,False,horizon_only,6,0,-1,2,0,-1,False,patient_characteristics_full_confirmatory,balking_sensitivity,low,same,BK_LOW_SAME,C037,fully_crossed_confirmatory,10,1.4,0.3,30,12.6,29.4,0.2,0.2,16,0.05,0.15,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_SAME_C037,priority_weighted_utilization,priority_optimal_minus_average_optimal,reservation_only,reservation_only,10,-0.0015616438356167105,-0.0027034246575346923,-0.0004107305936074339,supported_neutral,0.03531963470319636,0.03371198630136986,0.03705936073059359,meaningful_gain,0.1702753111830943,0.16484744589279682,0.17501525317194855,meaningful_gain,-0.07172125981702795,-0.07600300032854833,-0.06719524168681562,meaningful_harm,0.07230136986301372,0.06874885844748861,0.07570821917808221,meaningful_gain,-0.07396347031963471,-0.07746141552511418,-0.06984452054794521,meaningful_harm,priority_tradeoff,False,False,reservation_only,10,0,-1,10,30,10,False,patient_characteristics_full_confirmatory,balking_sensitivity,low,same,BK_LOW_SAME,C037,fully_crossed_confirmatory,10,1.4,0.3,30,12.6,29.4,0.2,0.2,16,0.05,0.15,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_SAME_C037,priority_weighted_utilization,priority_optimal_minus_average_optimal,both_flexible,both_flexible,10,-0.0008493150684931283,-0.0031965753424657065,0.0013242009132416644,supported_neutral,0.012657534246575342,0.010803652968036537,0.014429566210045654,meaningful_gain,0.05690478208017256,0.052620038652567085,0.06052502156417366,meaningful_gain,-0.028276490646452313,-0.033073902867830525,-0.023648153750482032,meaningful_harm,0.026337899543379013,0.022611872146118726,0.029945433789954352,meaningful_gain,-0.02736073059360732,-0.03221940639269407,-0.021944977168949775,meaningful_harm,priority_tradeoff,False,False,both_flexible,4,20,3,26,30,25,False,patient_characteristics_full_confirmatory,balking_sensitivity,low,same,BK_LOW_SAME,C037,fully_crossed_confirmatory,10,1.4,0.3,30,12.6,29.4,0.2,0.2,16,0.05,0.15,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_SAME_C038,priority_weighted_utilization,priority_optimal_minus_average_optimal,baseline,baseline,10,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,no_demonstrated_priority_benefit,True,True,baseline,14,0,-1,14,0,-1,True,patient_characteristics_full_confirmatory,balking_sensitivity,low,same,BK_LOW_SAME,C038,fully_crossed_confirmatory,14,1.4,0.3,30,12.6,29.4,0.2,0.2,16,0.05,0.15,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_SAME_C038,priority_weighted_utilization,priority_optimal_minus_average_optimal,horizon_only,horizon_only,10,-2.7397260273842594e-05,-0.0013698630136984137,0.0012328767123287918,supported_neutral,0.001109589041095893,-0.00051175799086757,0.002771917808219171,supported_neutral,0.0040187064317629305,-0.0033695258070962383,0.009449234884153253,uncertain,0.002778112287544654,-0.0006683107580601127,0.00629874474198351,uncertain,0.002301369863013708,-0.00039292237442920664,0.005297260273972599,uncertain,-0.0023835616438356187,-0.005726255707762574,0.0005664383561643783,uncertain,uncertain,True,False,horizon_only,6,0,-1,2,0,-1,False,patient_characteristics_full_confirmatory,balking_sensitivity,low,same,BK_LOW_SAME,C038,fully_crossed_confirmatory,14,1.4,0.3,30,12.6,29.4,0.2,0.2,16,0.05,0.15,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_SAME_C038,priority_weighted_utilization,priority_optimal_minus_average_optimal,reservation_only,reservation_only,10,-0.0015616438356167105,-0.0027399543378998966,-0.00042899543379010154,supported_neutral,0.03531963470319636,0.033725684931506864,0.03690422374429225,meaningful_gain,0.1702753111830943,0.1648489660368883,0.1748791130328286,meaningful_gain,-0.07172125981702795,-0.07605575987370006,-0.06699667046945648,meaningful_harm,0.07230136986301372,0.06884885844748859,0.07539726027397262,meaningful_gain,-0.07396347031963471,-0.07751621004566213,-0.06977168949771691,meaningful_harm,priority_tradeoff,False,False,reservation_only,14,0,-1,14,30,14,False,patient_characteristics_full_confirmatory,balking_sensitivity,low,same,BK_LOW_SAME,C038,fully_crossed_confirmatory,14,1.4,0.3,30,12.6,29.4,0.2,0.2,16,0.05,0.15,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_SAME_C038,priority_weighted_utilization,priority_optimal_minus_average_optimal,both_flexible,both_flexible,10,-0.0008493150684931283,-0.0031331050228311885,0.0013515981735157557,supported_neutral,0.012657534246575342,0.010835616438356187,0.014379109589041072,meaningful_gain,0.05690478208017256,0.05280442871570089,0.06073777333894968,meaningful_gain,-0.028276490646452313,-0.032963228066919786,-0.02364076950656078,meaningful_harm,0.026337899543379013,0.0229221461187215,0.029726027397260275,meaningful_gain,-0.02736073059360732,-0.03225730593607306,-0.022053881278538835,meaningful_harm,priority_tradeoff,False,False,both_flexible,4,20,3,26,30,25,False,patient_characteristics_full_confirmatory,balking_sensitivity,low,same,BK_LOW_SAME,C038,fully_crossed_confirmatory,14,1.4,0.3,30,12.6,29.4,0.2,0.2,16,0.05,0.15,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_SAME_C039,priority_weighted_utilization,priority_optimal_minus_average_optimal,baseline,baseline,10,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,no_demonstrated_priority_benefit,True,True,baseline,22,0,-1,22,0,-1,True,patient_characteristics_full_confirmatory,balking_sensitivity,low,same,BK_LOW_SAME,C039,fully_crossed_confirmatory,22,1.4,0.3,30,12.6,29.4,0.2,0.2,16,0.05,0.15,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_SAME_C039,priority_weighted_utilization,priority_optimal_minus_average_optimal,horizon_only,horizon_only,10,-2.7397260273842594e-05,-0.0013335616438354275,0.0012146118721463328,supported_neutral,0.001109589041095893,-0.000479452054794505,0.002826484018264841,supported_neutral,0.0040187064317629305,-0.0027568142677213293,0.009427172671355939,uncertain,0.002778112287544654,-0.0005808616671044159,0.006286484008609462,uncertain,0.002301369863013708,-0.00044771689497716965,0.005360958904109592,uncertain,-0.0023835616438356187,-0.005671461187214634,0.0004936073059360727,uncertain,uncertain,True,False,horizon_only,6,0,-1,2,0,-1,False,patient_characteristics_full_confirmatory,balking_sensitivity,low,same,BK_LOW_SAME,C039,fully_crossed_confirmatory,22,1.4,0.3,30,12.6,29.4,0.2,0.2,16,0.05,0.15,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_SAME_C039,priority_weighted_utilization,priority_optimal_minus_average_optimal,reservation_only,reservation_only,10,-0.0018904109589041429,-0.0030867579908677063,-0.0008490867579907156,supported_neutral,0.03395890410958905,0.03196792237442925,0.03593150684931505,meaningful_gain,0.17021578873266824,0.16352314743572033,0.17650740970486817,meaningful_gain,-0.06777621458190113,-0.07429700434908768,-0.06116032627603227,meaningful_harm,0.06957990867579911,0.06615502283105025,0.0732054794520548,meaningful_gain,-0.0712420091324201,-0.07505936073059363,-0.06785342465753426,meaningful_harm,priority_tradeoff,False,False,reservation_only,22,0,-1,22,30,15,False,patient_characteristics_full_confirmatory,balking_sensitivity,low,same,BK_LOW_SAME,C039,fully_crossed_confirmatory,22,1.4,0.3,30,12.6,29.4,0.2,0.2,16,0.05,0.15,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
