background_id,scenario_id,scenario_type,parent_scenario_id,design_note,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,asymmetric_dimensions,source_scenario_id,source_scenario_ids,source_scenario_count,start_within_step,start_post_gap,baseline_class1_low,baseline_class1_high,baseline_class2_low,baseline_class2_high,h8_design_active,h8_design_inactive_reason
H8B0125,S094,sobol_symmetric,,scrambled_sobol,2.0,0.5,32,64.0,32.0,32.0,28,28,0.1,0.1,9,9,0.1,0.0,0.5,0.1,9,9,0.0,0.0,0.7,0.7,,S094,S094,1,0.4,0.4,0.1,0.5,0.0,0.1,True,
H8B0126,S095,sobol_symmetric,,scrambled_sobol,1.25,0.1,64,80.0,8.0,72.0,7,7,0.0,0.0,4,4,0.5,0.0,0.5,0.5,4,4,0.0,0.0,0.3,0.3,,S095,S095,1,0.0,0.0,0.5,0.5,0.0,0.5,True,
H8B0127,S096,sobol_symmetric,,scrambled_sobol,3.1,0.9,16,49.6,44.64,4.959999999999999,21,21,0.3,0.3,4,4,0.5,0.0,0.5,0.4,6,6,0.3,0.3,0.7,0.7,,S096,S096,1,0.0,0.1,0.5,0.5,0.0,0.4,True,
H8B0135,S104,sobol_symmetric,,scrambled_sobol,2.0,0.7,16,32.0,22.4,9.6,28,28,0.1,0.1,6,6,0.4,0.0,0.5,0.1,12,12,0.5,0.5,0.7,0.7,,S104,S104,1,0.1,0.4,0.4,0.5,0.0,0.1,True,
H8B0138,S107,sobol_symmetric,,scrambled_sobol,1.25,0.5,32,40.0,20.0,20.0,28,28,0.0,0.0,12,12,0.3,0.0,0.5,0.3,6,6,0.0,0.0,0.5,0.5,,S107,S107,1,0.2,0.2,0.3,0.5,0.0,0.3,True,
H8B0140,S109,sobol_symmetric,,scrambled_sobol,4.0,0.3,16,64.0,19.2,44.8,14,14,0.3,0.3,6,6,0.3,0.0,0.5,0.1,6,6,0.0,0.0,0.7,0.7,,S109,S109,1,0.2,0.4,0.3,0.5,0.0,0.1,True,
H8B0147,S116,sobol_symmetric,,scrambled_sobol,4.0,0.7,32,128.0,89.6,38.400000000000006,21,21,0.1,0.1,12,12,0.1,0.0,0.5,0.4,12,12,0.0,0.0,0.5,0.5,,S116,S116,1,0.4,0.1,0.1,0.5,0.0,0.4,True,
H8B0151,S120,sobol_symmetric,,scrambled_sobol,2.0,0.9,32,64.0,57.6,6.399999999999999,14,14,0.0,0.0,12,12,0.5,0.0,0.5,0.5,4,4,0.3,0.3,0.7,0.7,,S120,S120,1,0.0,0.0,0.5,0.5,0.0,0.5,True,
H8B0152,S121,sobol_symmetric,,scrambled_sobol,3.1,0.3,32,99.2,29.76,69.44,7,7,0.3,0.3,4,4,0.5,0.0,0.5,0.4,4,4,0.5,0.5,0.7,0.7,,S121,S121;X012,2,0.0,0.1,0.5,0.5,0.0,0.4,True,
H8B0157,S126,sobol_symmetric,,scrambled_sobol,2.0,0.9,64,128.0,115.2,12.799999999999995,14,14,0.1,0.1,4,4,0.4,0.0,0.5,0.4,4,4,0.3,0.3,0.3,0.3,,S126,S126,1,0.1,0.1,0.4,0.5,0.0,0.4,True,
H8B0158,S127,sobol_symmetric,,scrambled_sobol,1.25,0.3,16,20.0,6.0,14.0,21,21,0.0,0.0,6,6,0.4,0.0,0.5,0.3,6,6,0.5,0.5,0.7,0.7,,S127,S127,1,0.1,0.2,0.4,0.5,0.0,0.3,True,
H8B0159,S128,sobol_symmetric,,scrambled_sobol,3.1,0.5,64,198.4,99.2,99.2,7,7,0.3,0.3,4,4,0.4,0.0,0.5,0.2,4,4,0.0,0.0,0.3,0.3,,S128,S128,1,0.1,0.3,0.4,0.5,0.0,0.2,True,
H8B0172,S141,sobol_symmetric,,scrambled_sobol,4.0,0.1,16,64.0,6.4,57.6,7,7,0.5,0.5,4,4,0.1,0.0,0.5,0.4,4,4,0.0,0.0,0.1,0.1,,S141,S141,1,0.4,0.1,0.1,0.5,0.0,0.4,True,
H8B0175,S144,sobol_symmetric,,scrambled_sobol,3.1,0.5,32,99.2,49.6,49.6,28,28,0.3,0.3,4,4,0.1,0.0,0.5,0.1,9,9,0.3,0.3,0.3,0.3,,S144,S144,1,0.4,0.4,0.1,0.5,0.0,0.1,True,
H8B0178,S147,sobol_symmetric,,scrambled_sobol,2.0,0.1,32,64.0,6.4,57.6,14,14,0.3,0.3,4,4,0.5,0.0,0.5,0.3,12,12,0.3,0.3,0.5,0.5,,S147,S147,1,0.0,0.2,0.5,0.5,0.0,0.3,True,
H8B0215,S184,sobol_symmetric,,scrambled_sobol,2.0,0.9,32,64.0,57.6,6.399999999999999,21,21,0.1,0.1,6,6,0.3,0.0,0.5,0.1,4,4,0.0,0.0,0.0,0.0,,S184,S184,1,0.2,0.4,0.3,0.5,0.0,0.1,True,
H8B0218,S187,sobol_symmetric,,scrambled_sobol,1.25,0.1,16,20.0,2.0,18.0,21,21,0.0,0.0,12,12,0.2,0.0,0.5,0.3,9,9,0.3,0.3,0.3,0.3,,S187,S187,1,0.3,0.2,0.2,0.5,0.0,0.3,True,
H8B0220,S189,sobol_symmetric,,scrambled_sobol,4.0,0.3,64,256.0,76.8,179.2,7,7,0.3,0.3,4,4,0.2,0.0,0.5,0.1,4,4,0.5,0.5,0.5,0.5,,S189,S189,1,0.3,0.4,0.2,0.5,0.0,0.1,True,
H8B0224,S193,sobol_symmetric,,scrambled_sobol,3.1,0.5,64,198.4,99.2,99.2,14,14,0.3,0.3,6,6,0.1,0.0,0.5,0.2,12,12,0.3,0.3,0.3,0.3,,S193,S193,1,0.4,0.3,0.1,0.5,0.0,0.2,True,
H8B0226,S195,sobol_symmetric,,scrambled_sobol,2.0,0.1,32,64.0,6.4,57.6,7,7,0.1,0.1,4,4,0.5,0.0,0.5,0.5,4,4,0.0,0.0,0.5,0.5,,S195,S195,1,0.0,0.0,0.5,0.5,0.0,0.5,True,
H8B0227,S196,sobol_symmetric,,scrambled_sobol,4.0,0.9,16,64.0,57.6,6.399999999999999,21,21,0.5,0.5,4,4,0.5,0.0,0.5,0.4,9,9,0.5,0.5,0.5,0.5,,S196,S196,1,0.0,0.1,0.5,0.5,0.0,0.4,True,
H8B0228,S197,sobol_symmetric,,scrambled_sobol,4.0,0.3,16,64.0,19.2,44.8,21,21,0.5,0.5,6,6,0.5,0.0,0.5,0.3,4,4,0.0,0.0,0.7,0.7,,S197,S197,1,0.0,0.2,0.5,0.5,0.0,0.3,True,
H8B0231,S200,sobol_symmetric,,scrambled_sobol,3.1,0.7,32,99.2,69.44,29.760000000000005,14,14,0.3,0.3,4,4,0.4,0.0,0.5,0.5,6,6,0.0,0.0,0.1,0.1,,S200,S200,1,0.1,0.0,0.4,0.5,0.0,0.5,True,
H8B0235,S204,sobol_symmetric,,scrambled_sobol,4.0,0.7,64,256.0,179.2,76.80000000000001,28,28,0.1,0.1,6,6,0.4,0.0,0.5,0.1,6,6,0.0,0.0,0.3,0.3,,S204,S204,1,0.1,0.4,0.4,0.5,0.0,0.1,True,
H8B0243,S212,sobol_symmetric,,scrambled_sobol,4.0,0.7,16,64.0,44.8,19.200000000000003,7,7,0.3,0.3,4,4,0.2,0.0,0.5,0.3,4,4,0.3,0.3,0.7,0.7,,S212,S212,1,0.3,0.2,0.2,0.5,0.0,0.3,True,
H8B0244,S213,sobol_symmetric,,scrambled_sobol,4.0,0.3,32,128.0,38.4,89.6,7,7,0.3,0.3,4,4,0.2,0.0,0.5,0.2,4,4,0.0,0.0,0.0,0.0,,S213,S213,1,0.3,0.3,0.2,0.5,0.0,0.2,True,
H8B0248,S217,sobol_symmetric,,scrambled_sobol,2.0,0.3,16,32.0,9.6,22.4,21,21,0.1,0.1,9,9,0.1,0.0,0.5,0.3,12,12,0.0,0.0,0.1,0.1,,S217,S217,1,0.4,0.2,0.1,0.5,0.0,0.3,True,
H8B0255,S224,sobol_symmetric,,scrambled_sobol,3.1,0.5,32,99.2,49.6,49.6,21,21,0.1,0.1,12,12,0.5,0.0,0.5,0.1,6,6,0.5,0.5,0.5,0.5,,S224,S224,1,0.0,0.4,0.5,0.5,0.0,0.1,True,
H8B0256,X001,asymmetric_stress,S157,sparse_asymmetry_2_dimension,4.0,0.3,32,128.0,38.4,89.6,21,21,0.1,0.3,12,12,0.4,0.0,0.5,0.5,12,4,0.0,0.0,0.7,0.7,class1:noshow_threshold;class1:cancel,X001,X001,1,0.1,0.0,0.4,0.5,0.0,0.5,True,
H8B0259,X005,asymmetric_stress,A025,sparse_asymmetry_2_dimension,4.0,0.5,32,128.0,64.0,64.0,21,28,0.1,0.1,4,4,0.4,0.0,0.5,0.2,4,4,0.0,0.0,0.7,0.7,class1:horizon;class1:balk_low,X005,X005,1,0.1,0.3,0.4,0.5,0.0,0.2,True,
H8B0260,X006,asymmetric_stress,S195,sparse_asymmetry_1_dimension,2.0,0.1,32,64.0,6.4,57.6,7,21,0.1,0.1,4,4,0.4,0.0,0.5,0.1,4,4,0.0,0.0,0.5,0.5,class2:horizon,X006,X006,1,0.1,0.4,0.4,0.5,0.0,0.1,True,
H8B0262,X008,asymmetric_stress,A011,sparse_asymmetry_1_dimension,3.1,0.1,32,99.2,9.920000000000002,89.28,14,14,0.1,0.1,9,9,0.3,0.0,0.5,0.4,6,6,0.0,0.3,0.3,0.3,class2:noshow_low,X008,X008,1,0.2,0.1,0.3,0.5,0.0,0.4,True,
H8B0278,X027,asymmetric_stress,S084,sparse_asymmetry_1_dimension,4.0,0.7,32,128.0,89.6,38.400000000000006,21,7,0.1,0.1,4,4,0.5,0.0,0.5,0.3,4,4,0.3,0.3,0.7,0.7,class1:horizon,X027,X027,1,0.0,0.2,0.5,0.5,0.0,0.3,True,
H8B0287,X040,asymmetric_stress,S224,sparse_asymmetry_1_dimension,3.1,0.5,32,99.2,49.6,49.6,14,21,0.1,0.1,12,12,0.3,0.0,0.5,0.4,6,6,0.5,0.5,0.5,0.5,class1:horizon,X040,X040,1,0.2,0.1,0.3,0.5,0.0,0.4,True,
H8B0293,X048,asymmetric_stress,S093,sparse_asymmetry_2_dimension,4.0,0.3,32,128.0,38.4,89.6,14,14,0.0,0.5,6,6,0.2,0.0,0.5,0.3,4,4,0.7,0.7,0.7,0.7,class2:balk_low;class1:cancel,X048,X048,1,0.3,0.2,0.2,0.5,0.0,0.3,True,
H8B0294,X049,asymmetric_stress,S109,sparse_asymmetry_2_dimension,4.0,0.3,16,64.0,19.2,44.8,14,21,0.3,0.3,6,6,0.2,0.0,0.5,0.2,6,6,0.0,0.0,0.7,0.7,class2:horizon;class1:balk_low,X049,X049,1,0.3,0.3,0.2,0.5,0.0,0.2,True,
H8B0297,X052,asymmetric_stress,S116,sparse_asymmetry_2_dimension,4.0,0.7,32,128.0,89.6,38.400000000000006,21,14,0.1,0.1,12,12,0.1,0.0,0.5,0.4,12,12,0.0,0.0,0.5,0.5,class2:balk_high;class2:horizon,X052,X052,1,0.4,0.1,0.1,0.5,0.0,0.4,True,
H8B0299,X055,asymmetric_stress,S189,sparse_asymmetry_1_dimension,4.0,0.3,64,256.0,76.8,179.2,7,7,0.3,0.3,4,4,0.1,0.0,0.5,0.2,4,4,0.5,0.5,0.5,0.7,class2:noshow_high,X055,X055,1,0.4,0.3,0.1,0.5,0.0,0.2,True,
H8B0312,X071,asymmetric_stress,S127,sparse_asymmetry_3_dimension,1.25,0.3,16,20.0,6.0,14.0,21,21,0.0,0.0,6,6,0.3,0.0,0.5,0.4,6,6,0.7,0.5,0.7,0.5,class1:noshow_low;class2:noshow_high;class2:balk_low,X071,X071,1,0.2,0.1,0.3,0.5,0.0,0.4,True,
H8B0318,X079,asymmetric_stress,S128,sparse_asymmetry_1_dimension,3.1,0.5,64,198.4,99.2,99.2,28,7,0.3,0.3,4,4,0.2,0.0,0.5,0.3,4,4,0.0,0.0,0.3,0.3,class1:horizon,X079,X079,1,0.3,0.2,0.2,0.5,0.0,0.3,True,
H8B0319,X080,asymmetric_stress,S094,sparse_asymmetry_1_dimension,2.0,0.5,32,64.0,32.0,32.0,14,28,0.1,0.1,9,9,0.2,0.0,0.5,0.2,9,9,0.0,0.0,0.7,0.7,class1:horizon,X080,X080,1,0.3,0.3,0.2,0.5,0.0,0.2,True,
H8B0322,X085,asymmetric_stress,A007,sparse_asymmetry_3_dimension,2.0,0.3,16,32.0,9.6,22.4,14,21,0.1,0.1,4,9,0.1,0.0,0.5,0.4,6,6,0.0,0.0,0.3,0.3,class1:balk_high;class1:balk_threshold;class2:horizon,X085,X085,1,0.4,0.1,0.1,0.5,0.0,0.4,True,
H8B0324,X088,asymmetric_stress,S116,sparse_asymmetry_3_dimension,4.0,0.7,32,128.0,89.6,38.400000000000006,21,14,0.1,0.5,9,12,0.1,0.0,0.5,0.2,12,12,0.0,0.0,0.5,0.5,class2:horizon;class2:cancel;class1:balk_threshold,X088,X088,1,0.4,0.3,0.1,0.5,0.0,0.2,True,
H8B0326,X091,asymmetric_stress,S163,sparse_asymmetry_3_dimension,2.0,0.3,64,128.0,38.4,89.6,14,14,0.5,0.1,4,4,0.5,0.0,0.5,0.5,9,4,0.0,0.0,0.0,0.3,class2:cancel;class2:noshow_high;class2:noshow_threshold,X091,X091,1,0.0,0.0,0.5,0.5,0.0,0.5,True,
H8B0336,X102,asymmetric_stress,S021,sparse_asymmetry_3_dimension,4.0,0.3,32,128.0,38.4,89.6,28,14,0.1,0.5,4,6,0.3,0.0,0.5,0.5,12,12,0.3,0.3,0.7,0.7,class1:balk_threshold;class2:horizon;class1:cancel,X102,X102,1,0.2,0.0,0.3,0.5,0.0,0.5,True,
H8B0337,X103,asymmetric_stress,S092,sparse_asymmetry_2_dimension,3.1,0.7,64,198.4,138.88,59.52000000000001,14,14,0.1,0.5,4,4,0.3,0.0,0.5,0.4,9,9,0.0,0.0,0.5,0.7,class1:cancel;class2:noshow_high,X103,X103,1,0.2,0.1,0.3,0.5,0.0,0.4,True,
H8B0351,X119,asymmetric_stress,S084,sparse_asymmetry_2_dimension,4.0,0.7,32,128.0,89.6,38.400000000000006,7,7,0.1,0.3,4,4,0.5,0.0,0.5,0.5,4,4,0.3,0.3,0.7,0.7,class1:balk_low;class2:cancel,X119,X119,1,0.0,0.0,0.5,0.5,0.0,0.5,True,
