background_id,scenario_id,scenario_type,parent_scenario_id,design_note,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,asymmetric_dimensions,source_scenario_id,source_scenario_ids,source_scenario_count,demand_regime,h4_scope_active,h4_scope_inactive_reason
H4B0020,A020,anchor,,maximum_common_risk,4.0,0.5,32,128.0,64.0,64.0,14,14,0.3,0.3,6,6,0.0,0.0,0.0,0.0,6,6,0.7,0.7,0.7,0.7,,A020,A020,1,high,True,
H4B0021,A021,anchor,,low_pressure_long_horizon,0.8,0.1,64,51.2,5.120000000000001,46.080000000000005,28,28,0.1,0.1,12,12,0.0,0.0,0.0,0.0,12,12,0.0,0.0,0.1,0.1,,A021,A021,1,low,False,outside_heavy_oversubscription_scope
H4B0022,A022,anchor,,high_pressure_short_horizon,4.0,0.9,16,64.0,57.6,6.399999999999999,7,7,0.5,0.5,4,4,0.0,0.0,0.0,0.0,4,4,0.5,0.5,0.7,0.7,,A022,A022,1,high,True,
H4B0023,A023,anchor,,class1_minority_high_risk,3.1,0.1,32,99.2,9.920000000000002,89.28,21,21,0.3,0.3,9,9,0.0,0.0,0.0,0.0,6,6,0.3,0.3,0.7,0.7,,A023,A023,1,high,True,
H4B0024,A024,anchor,,class1_majority_high_risk,3.1,0.9,32,99.2,89.28,9.919999999999998,21,21,0.3,0.3,9,9,0.0,0.0,0.0,0.0,6,6,0.3,0.3,0.7,0.7,,A024,A024,1,high,True,
H4B0025,A025,anchor,,high_post_threshold_exposure,4.0,0.5,32,128.0,64.0,64.0,28,28,0.1,0.1,4,4,0.0,0.0,0.0,0.0,4,4,0.0,0.0,0.7,0.7,,A025,A025,1,high,True,
H4B0026,A026,anchor,,low_post_threshold_exposure,2.0,0.5,32,64.0,32.0,32.0,14,14,0.1,0.1,12,12,0.0,0.0,0.0,0.0,12,12,0.0,0.0,0.7,0.7,,A026,A026,1,boundary,False,outside_heavy_oversubscription_scope
H4B0027,A027,anchor,,small_scale_balanced,1.25,0.5,16,20.0,10.0,10.0,21,21,0.0,0.0,6,6,0.0,0.0,0.0,0.0,9,9,0.0,0.0,0.3,0.3,,A027,A027,1,low,False,outside_heavy_oversubscription_scope
H4B0028,A028,anchor,,large_scale_balanced,1.25,0.5,64,80.0,40.0,40.0,21,21,0.0,0.0,6,6,0.0,0.0,0.0,0.0,9,9,0.0,0.0,0.3,0.3,,A028,A028,1,low,False,outside_heavy_oversubscription_scope
H4B0029,A029,anchor,,high_cancel_low_noshow,3.1,0.3,32,99.2,29.76,69.44,14,14,0.5,0.5,9,9,0.0,0.0,0.0,0.0,6,6,0.0,0.0,0.0,0.0,,A029,A029,1,high,True,
H4B0030,A030,anchor,,low_cancel_high_noshow,3.1,0.7,32,99.2,69.44,29.760000000000005,14,14,0.0,0.0,9,9,0.0,0.0,0.0,0.0,6,6,0.5,0.5,0.7,0.7,,A030,A030,1,high,True,
H4B0031,A031,anchor,,high_balk_low_noshow,3.1,0.5,32,99.2,49.6,49.6,14,14,0.1,0.1,6,6,0.0,0.0,0.0,0.0,9,9,0.0,0.0,0.1,0.1,,A031,A031,1,high,True,
H4B0032,A032,anchor,,low_balk_high_noshow,3.1,0.5,32,99.2,49.6,49.6,14,14,0.1,0.1,6,6,0.0,0.0,0.0,0.0,9,9,0.3,0.3,0.7,0.7,,A032,A032,1,high,True,
H4B0033,S001,sobol_symmetric,,scrambled_sobol,3.1,0.3,16,49.6,14.88,34.72,21,21,0.5,0.5,12,12,0.0,0.0,0.0,0.0,12,12,0.0,0.0,0.3,0.3,,S001,S001,1,high,True,
H4B0034,S002,sobol_symmetric,,scrambled_sobol,1.25,0.7,64,80.0,56.0,24.000000000000004,7,7,0.1,0.1,4,4,0.0,0.0,0.0,0.0,4,4,0.3,0.3,0.7,0.7,,S002,S002,1,low,False,outside_heavy_oversubscription_scope
H4B0035,S003,sobol_symmetric,,scrambled_sobol,2.0,0.1,16,32.0,3.2,28.8,28,28,0.0,0.0,6,6,0.0,0.0,0.0,0.0,4,4,0.7,0.7,0.7,0.7,,S003,S003,1,boundary,False,outside_heavy_oversubscription_scope
H4B0036,S004,sobol_symmetric,,scrambled_sobol,4.0,0.9,64,256.0,230.4,25.599999999999994,14,14,0.3,0.3,9,9,0.0,0.0,0.0,0.0,9,9,0.3,0.3,0.3,0.3,,S004,S004,1,high,True,
H4B0037,S005,sobol_symmetric,,scrambled_sobol,3.1,0.1,64,198.4,19.840000000000003,178.56,14,14,0.3,0.3,12,12,0.0,0.0,0.0,0.0,4,4,0.5,0.5,0.7,0.7,,S005,S005,1,high,True,
H4B0038,S006,sobol_symmetric,,scrambled_sobol,1.25,0.9,16,20.0,18.0,2.0,28,28,0.0,0.0,4,4,0.0,0.0,0.0,0.0,9,9,0.0,0.0,0.5,0.5,,S006,S006,1,low,False,outside_heavy_oversubscription_scope
H4B0039,S007,sobol_symmetric,,scrambled_sobol,0.8,0.5,32,25.6,12.8,12.8,7,7,0.1,0.1,4,4,0.0,0.0,0.0,0.0,4,4,0.0,0.0,0.0,0.0,,S007,S007;X083,2,low,False,outside_heavy_oversubscription_scope
H4B0040,S008,sobol_symmetric,,scrambled_sobol,3.1,0.7,32,99.2,69.44,29.760000000000005,21,21,0.5,0.5,9,9,0.0,0.0,0.0,0.0,6,6,0.3,0.3,0.5,0.5,,S008,S008,1,high,True,
H4B0041,S009,sobol_symmetric,,scrambled_sobol,2.0,0.3,32,64.0,19.2,44.8,28,28,0.1,0.1,9,9,0.0,0.0,0.0,0.0,4,4,0.5,0.5,0.5,0.5,,S009,S009,1,boundary,False,outside_heavy_oversubscription_scope
H4B0042,S010,sobol_symmetric,,scrambled_sobol,0.8,0.9,32,25.6,23.040000000000003,2.56,14,14,0.5,0.5,6,6,0.0,0.0,0.0,0.0,9,9,0.0,0.0,0.7,0.7,,S010,S010;X053,2,low,False,outside_heavy_oversubscription_scope
H4B0043,S011,sobol_symmetric,,scrambled_sobol,1.25,0.3,64,80.0,24.0,56.0,21,21,0.3,0.3,4,4,0.0,0.0,0.0,0.0,12,12,0.0,0.0,0.0,0.0,,S011,S011,1,low,False,outside_heavy_oversubscription_scope
H4B0044,S012,sobol_symmetric,,scrambled_sobol,4.0,0.7,16,64.0,44.8,19.200000000000003,7,7,0.0,0.0,4,4,0.0,0.0,0.0,0.0,4,4,0.3,0.3,0.5,0.5,,S012,S012,1,high,True,
H4B0045,S013,sobol_symmetric,,scrambled_sobol,4.0,0.5,16,64.0,32.0,32.0,7,7,0.0,0.0,4,4,0.0,0.0,0.0,0.0,4,4,0.0,0.0,0.3,0.3,,S013,S013,1,high,True,
H4B0046,S014,sobol_symmetric,,scrambled_sobol,2.0,0.5,64,128.0,64.0,64.0,21,21,0.3,0.3,6,6,0.0,0.0,0.0,0.0,6,6,0.3,0.3,0.7,0.7,,S014,S014,1,boundary,False,outside_heavy_oversubscription_scope
H4B0047,S015,sobol_symmetric,,scrambled_sobol,0.8,0.1,16,12.8,1.2800000000000002,11.52,14,14,0.5,0.5,4,4,0.0,0.0,0.0,0.0,4,4,0.7,0.7,0.7,0.7,,S015,S015;X078,2,low,False,outside_heavy_oversubscription_scope
H4B0048,S016,sobol_symmetric,,scrambled_sobol,3.1,0.9,64,198.4,178.56,19.84,28,28,0.1,0.1,12,12,0.0,0.0,0.0,0.0,9,9,0.0,0.0,0.7,0.7,,S016,S016,1,high,True,
H4B0049,S017,sobol_symmetric,,scrambled_sobol,3.1,0.1,32,99.2,9.920000000000002,89.28,7,7,0.3,0.3,4,4,0.0,0.0,0.0,0.0,4,4,0.0,0.0,0.5,0.5,,S017,S017,1,high,True,
H4B0050,S018,sobol_symmetric,,scrambled_sobol,0.8,0.9,32,25.6,23.040000000000003,2.56,21,21,0.0,0.0,9,9,0.0,0.0,0.0,0.0,9,9,0.5,0.5,0.5,0.5,,S018,S018,1,low,False,outside_heavy_oversubscription_scope
H4B0051,S019,sobol_symmetric,,scrambled_sobol,2.0,0.5,16,32.0,16.0,16.0,14,14,0.1,0.1,12,12,0.0,0.0,0.0,0.0,12,12,0.3,0.3,0.5,0.5,,S019,S019,1,boundary,False,outside_heavy_oversubscription_scope
H4B0052,S020,sobol_symmetric,,scrambled_sobol,4.0,0.5,64,256.0,128.0,128.0,28,28,0.5,0.5,4,4,0.0,0.0,0.0,0.0,6,6,0.0,0.0,0.0,0.0,,S020,S020,1,high,True,
H4B0053,S021,sobol_symmetric,,scrambled_sobol,4.0,0.3,32,128.0,38.4,89.6,28,28,0.5,0.5,6,6,0.0,0.0,0.0,0.0,12,12,0.3,0.3,0.7,0.7,,S021,S021,1,high,True,
H4B0054,S023,sobol_symmetric,,scrambled_sobol,0.8,0.3,64,51.2,15.36,35.84,21,21,0.0,0.0,12,12,0.0,0.0,0.0,0.0,4,4,0.0,0.0,0.7,0.7,,S023,S023,1,low,False,outside_heavy_oversubscription_scope
H4B0055,S024,sobol_symmetric,,scrambled_sobol,2.0,0.7,16,32.0,22.4,9.6,7,7,0.3,0.3,4,4,0.0,0.0,0.0,0.0,4,4,0.7,0.7,0.7,0.7,,S024,S024,1,boundary,False,outside_heavy_oversubscription_scope
H4B0056,S025,sobol_symmetric,,scrambled_sobol,2.0,0.3,64,128.0,38.4,89.6,14,14,0.0,0.0,4,4,0.0,0.0,0.0,0.0,12,12,0.3,0.3,0.7,0.7,,S025,S025,1,boundary,False,outside_heavy_oversubscription_scope
H4B0057,S026,sobol_symmetric,,scrambled_sobol,0.8,0.5,16,12.8,6.4,6.4,28,28,0.3,0.3,12,12,0.0,0.0,0.0,0.0,6,6,0.0,0.0,0.1,0.1,,S026,S026,1,low,False,outside_heavy_oversubscription_scope
H4B0058,S027,sobol_symmetric,,scrambled_sobol,1.25,0.1,64,80.0,8.0,72.0,7,7,0.5,0.5,4,4,0.0,0.0,0.0,0.0,4,4,0.3,0.3,0.3,0.3,,S027,S027,1,low,False,outside_heavy_oversubscription_scope
H4B0059,S028,sobol_symmetric,,scrambled_sobol,3.1,0.9,32,99.2,89.28,9.919999999999998,21,21,0.1,0.1,6,6,0.0,0.0,0.0,0.0,9,9,0.5,0.5,0.7,0.7,,S028,S028,1,high,True,
H4B0060,S029,sobol_symmetric,,scrambled_sobol,4.0,0.1,16,64.0,6.4,57.6,21,21,0.1,0.1,4,4,0.0,0.0,0.0,0.0,4,4,0.0,0.0,0.3,0.3,,S029,S029,1,high,True,
H4B0061,S030,sobol_symmetric,,scrambled_sobol,1.25,0.9,64,80.0,72.0,7.999999999999998,7,7,0.5,0.5,4,4,0.0,0.0,0.0,0.0,4,4,0.5,0.5,0.7,0.7,,S030,S030,1,low,False,outside_heavy_oversubscription_scope
H4B0062,S031,sobol_symmetric,,scrambled_sobol,1.25,0.3,32,40.0,12.0,28.0,28,28,0.3,0.3,9,9,0.0,0.0,0.0,0.0,12,12,0.3,0.3,0.3,0.3,,S031,S031;X031;X039,3,low,False,outside_heavy_oversubscription_scope
H4B0063,S032,sobol_symmetric,,scrambled_sobol,3.1,0.7,32,99.2,69.44,29.760000000000005,14,14,0.0,0.0,6,6,0.0,0.0,0.0,0.0,6,6,0.0,0.0,0.1,0.1,,S032,S032,1,high,True,
H4B0064,S033,sobol_symmetric,,scrambled_sobol,3.1,0.1,64,198.4,19.840000000000003,178.56,7,7,0.5,0.5,4,4,0.0,0.0,0.0,0.0,4,4,0.5,0.5,0.5,0.5,,S033,S033,1,high,True,
H4B0065,S034,sobol_symmetric,,scrambled_sobol,1.25,0.9,16,20.0,18.0,2.0,21,21,0.1,0.1,9,9,0.0,0.0,0.0,0.0,12,12,0.0,0.0,0.5,0.5,,S034,S034;X081,2,low,False,outside_heavy_oversubscription_scope
H4B0066,S035,sobol_symmetric,,scrambled_sobol,1.25,0.3,32,40.0,12.0,28.0,14,14,0.0,0.0,12,12,0.0,0.0,0.0,0.0,9,9,0.0,0.0,0.0,0.0,,S035,S035,1,low,False,outside_heavy_oversubscription_scope
H4B0067,S036,sobol_symmetric,,scrambled_sobol,4.0,0.7,32,128.0,89.6,38.400000000000006,28,28,0.3,0.3,4,4,0.0,0.0,0.0,0.0,4,4,0.3,0.3,0.5,0.5,,S036,S036,1,high,True,
H4B0068,S037,sobol_symmetric,,scrambled_sobol,3.1,0.5,16,49.6,24.8,24.8,28,28,0.3,0.3,6,6,0.0,0.0,0.0,0.0,9,9,0.0,0.0,0.3,0.3,,S037,S037,1,high,True,
H4B0069,S038,sobol_symmetric,,scrambled_sobol,1.25,0.5,64,80.0,40.0,40.0,14,14,0.0,0.0,9,9,0.0,0.0,0.0,0.0,4,4,0.3,0.3,0.7,0.7,,S038,S038,1,low,False,outside_heavy_oversubscription_scope
H4B0070,S039,sobol_symmetric,,scrambled_sobol,0.8,0.1,16,12.8,1.2800000000000002,11.52,21,21,0.1,0.1,12,12,0.0,0.0,0.0,0.0,6,6,0.7,0.7,0.7,0.7,,S039,S039,1,low,False,outside_heavy_oversubscription_scope
H4B0071,S040,sobol_symmetric,,scrambled_sobol,2.0,0.9,32,64.0,57.6,6.399999999999999,7,7,0.5,0.5,4,4,0.0,0.0,0.0,0.0,4,4,0.0,0.0,0.7,0.7,,S040,S040,1,boundary,False,outside_heavy_oversubscription_scope
H4B0072,S041,sobol_symmetric,,scrambled_sobol,2.0,0.3,16,32.0,9.6,22.4,14,14,0.1,0.1,4,4,0.0,0.0,0.0,0.0,9,9,0.0,0.0,0.1,0.1,,S041,S041,1,boundary,False,outside_heavy_oversubscription_scope
H4B0073,S042,sobol_symmetric,,scrambled_sobol,0.8,0.7,64,51.2,35.84,15.360000000000005,28,28,0.5,0.5,12,12,0.0,0.0,0.0,0.0,4,4,0.5,0.5,0.5,0.5,,S042,S042,1,low,False,outside_heavy_oversubscription_scope
H4B0074,S043,sobol_symmetric,,scrambled_sobol,1.25,0.3,16,20.0,6.0,14.0,7,7,0.3,0.3,4,4,0.0,0.0,0.0,0.0,4,4,0.5,0.5,0.7,0.7,,S043,S043,1,low,False,outside_heavy_oversubscription_scope
H4B0075,S044,sobol_symmetric,,scrambled_sobol,4.0,0.7,64,256.0,179.2,76.80000000000001,21,21,0.0,0.0,6,6,0.0,0.0,0.0,0.0,12,12,0.3,0.3,0.3,0.3,,S044,S044,1,high,True,
H4B0076,S045,sobol_symmetric,,scrambled_sobol,4.0,0.1,32,128.0,12.8,115.2,21,21,0.0,0.0,4,4,0.0,0.0,0.0,0.0,6,6,0.5,0.5,0.7,0.7,,S045,S045,1,high,True,
H4B0077,S046,sobol_symmetric,,scrambled_sobol,2.0,0.9,32,64.0,57.6,6.399999999999999,7,7,0.3,0.3,4,4,0.0,0.0,0.0,0.0,4,4,0.0,0.0,0.5,0.5,,S046,S046,1,boundary,False,outside_heavy_oversubscription_scope
H4B0078,S047,sobol_symmetric,,scrambled_sobol,0.8,0.5,64,51.2,25.6,25.6,28,28,0.5,0.5,9,9,0.0,0.0,0.0,0.0,9,9,0.0,0.0,0.1,0.1,,S047,S047,1,low,False,outside_heavy_oversubscription_scope
H4B0079,S048,sobol_symmetric,,scrambled_sobol,3.1,0.5,16,49.6,24.8,24.8,14,14,0.1,0.1,6,6,0.0,0.0,0.0,0.0,4,4,0.3,0.3,0.3,0.3,,S048,S048,1,high,True,
H4B0080,S049,sobol_symmetric,,scrambled_sobol,3.1,0.5,64,198.4,99.2,99.2,21,21,0.3,0.3,12,12,0.0,0.0,0.0,0.0,9,9,0.3,0.3,0.7,0.7,,S049,S049;X010,2,high,True,
H4B0081,S050,sobol_symmetric,,scrambled_sobol,0.8,0.5,32,25.6,12.8,12.8,7,7,0.0,0.0,4,4,0.0,0.0,0.0,0.0,4,4,0.0,0.0,0.1,0.1,,S050,S050,1,low,False,outside_heavy_oversubscription_scope
H4B0082,S051,sobol_symmetric,,scrambled_sobol,2.0,0.1,64,128.0,12.8,115.2,28,28,0.1,0.1,6,6,0.0,0.0,0.0,0.0,6,6,0.0,0.0,0.7,0.7,,S051,S051,1,boundary,False,outside_heavy_oversubscription_scope
H4B0083,S052,sobol_symmetric,,scrambled_sobol,4.0,0.9,16,64.0,57.6,6.399999999999999,14,14,0.5,0.5,9,9,0.0,0.0,0.0,0.0,12,12,0.7,0.7,0.7,0.7,,S052,S052,1,high,True,
H4B0084,S053,sobol_symmetric,,scrambled_sobol,4.0,0.1,32,128.0,12.8,115.2,14,14,0.5,0.5,12,12,0.0,0.0,0.0,0.0,6,6,0.0,0.0,0.5,0.5,,S053,S053,1,high,True,
H4B0085,S054,sobol_symmetric,,scrambled_sobol,1.25,0.7,32,40.0,28.0,12.000000000000002,28,28,0.1,0.1,4,4,0.0,0.0,0.0,0.0,12,12,0.5,0.5,0.5,0.5,,S054,S054,1,low,False,outside_heavy_oversubscription_scope
H4B0086,S055,sobol_symmetric,,scrambled_sobol,0.8,0.3,16,12.8,3.84,8.959999999999999,7,7,0.0,0.0,4,4,0.0,0.0,0.0,0.0,4,4,0.3,0.3,0.3,0.3,,S055,S055,1,low,False,outside_heavy_oversubscription_scope
H4B0087,S056,sobol_symmetric,,scrambled_sobol,2.0,0.7,64,128.0,89.6,38.400000000000006,21,21,0.3,0.3,9,9,0.0,0.0,0.0,0.0,4,4,0.0,0.0,0.0,0.0,,S056,S056,1,boundary,False,outside_heavy_oversubscription_scope
H4B0088,S057,sobol_symmetric,,scrambled_sobol,3.1,0.1,16,49.6,4.960000000000001,44.64,28,28,0.0,0.0,9,9,0.0,0.0,0.0,0.0,6,6,0.0,0.0,0.5,0.5,,S057,S057,1,high,True,
H4B0089,S058,sobol_symmetric,,scrambled_sobol,0.8,0.9,64,51.2,46.080000000000005,5.119999999999999,14,14,0.3,0.3,6,6,0.0,0.0,0.0,0.0,12,12,0.5,0.5,0.5,0.5,,S058,S058,1,low,False,outside_heavy_oversubscription_scope
H4B0090,S059,sobol_symmetric,,scrambled_sobol,1.25,0.3,32,40.0,12.0,28.0,21,21,0.5,0.5,4,4,0.0,0.0,0.0,0.0,9,9,0.3,0.3,0.5,0.5,,S059,S059,1,low,False,outside_heavy_oversubscription_scope
H4B0091,S060,sobol_symmetric,,scrambled_sobol,4.0,0.5,32,128.0,64.0,64.0,7,7,0.1,0.1,4,4,0.0,0.0,0.0,0.0,4,4,0.0,0.0,0.0,0.0,,S060,S060,1,high,True,
H4B0092,S061,sobol_symmetric,,scrambled_sobol,4.0,0.3,64,256.0,76.8,179.2,7,7,0.1,0.1,4,4,0.0,0.0,0.0,0.0,4,4,0.3,0.3,0.5,0.5,,S061,S061,1,high,True,
H4B0093,S062,sobol_symmetric,,scrambled_sobol,2.0,0.7,16,32.0,22.4,9.6,21,21,0.5,0.5,6,6,0.0,0.0,0.0,0.0,4,4,0.0,0.0,0.3,0.3,,S062,S062,1,boundary,False,outside_heavy_oversubscription_scope
H4B0094,S063,sobol_symmetric,,scrambled_sobol,1.25,0.1,32,40.0,4.0,36.0,14,14,0.3,0.3,4,4,0.0,0.0,0.0,0.0,6,6,0.0,0.0,0.7,0.7,,S063,S063;X065,2,low,False,outside_heavy_oversubscription_scope
H4B0095,S064,sobol_symmetric,,scrambled_sobol,3.1,0.9,16,49.6,44.64,4.959999999999999,28,28,0.0,0.0,12,12,0.0,0.0,0.0,0.0,12,12,0.7,0.7,0.7,0.7,,S064,S064;X101,2,high,True,
H4B0096,S065,sobol_symmetric,,scrambled_sobol,3.1,0.1,64,198.4,19.840000000000003,178.56,14,14,0.1,0.1,9,9,0.0,0.0,0.0,0.0,12,12,0.3,0.3,0.5,0.5,,S065,S065,1,high,True,
H4B0097,S066,sobol_symmetric,,scrambled_sobol,1.25,0.9,16,20.0,18.0,2.0,28,28,0.5,0.5,6,6,0.0,0.0,0.0,0.0,6,6,0.0,0.0,0.0,0.0,,S066,S066,1,low,False,outside_heavy_oversubscription_scope
H4B0098,S067,sobol_symmetric,,scrambled_sobol,2.0,0.5,64,128.0,64.0,64.0,7,7,0.3,0.3,4,4,0.0,0.0,0.0,0.0,4,4,0.0,0.0,0.5,0.5,,S067,S067,1,boundary,False,outside_heavy_oversubscription_scope
H4B0099,S068,sobol_symmetric,,scrambled_sobol,4.0,0.7,16,64.0,44.8,19.200000000000003,21,21,0.0,0.0,12,12,0.0,0.0,0.0,0.0,9,9,0.5,0.5,0.5,0.5,,S068,S068,1,high,True,
H4B0100,S069,sobol_symmetric,,scrambled_sobol,4.0,0.3,32,128.0,38.4,89.6,21,21,0.0,0.0,9,9,0.0,0.0,0.0,0.0,4,4,0.0,0.0,0.7,0.7,,S069,S069,1,high,True,
H4B0101,S070,sobol_symmetric,,scrambled_sobol,1.25,0.7,32,40.0,28.0,12.000000000000002,7,7,0.3,0.3,4,4,0.0,0.0,0.0,0.0,4,4,0.7,0.7,0.7,0.7,,S070,S070,1,low,False,outside_heavy_oversubscription_scope
H4B0102,S071,sobol_symmetric,,scrambled_sobol,0.8,0.1,16,12.8,1.2800000000000002,11.52,28,28,0.5,0.5,4,4,0.0,0.0,0.0,0.0,12,12,0.3,0.3,0.7,0.7,,S071,S071,1,low,False,outside_heavy_oversubscription_scope
H4B0103,S072,sobol_symmetric,,scrambled_sobol,3.1,0.9,64,198.4,178.56,19.84,14,14,0.1,0.1,12,12,0.0,0.0,0.0,0.0,6,6,0.0,0.0,0.3,0.3,,S072,S072,1,high,True,
H4B0104,S073,sobol_symmetric,,scrambled_sobol,2.0,0.5,16,32.0,16.0,16.0,7,7,0.5,0.5,4,4,0.0,0.0,0.0,0.0,4,4,0.3,0.3,0.3,0.3,,S073,S073,1,boundary,False,outside_heavy_oversubscription_scope
H4B0105,S074,sobol_symmetric,,scrambled_sobol,0.8,0.5,64,51.2,25.6,25.6,21,21,0.1,0.1,4,4,0.0,0.0,0.0,0.0,9,9,0.5,0.5,0.7,0.7,,S074,S074,1,low,False,outside_heavy_oversubscription_scope
