study,w1,c,gamma,served_rate_min,best Q,strict beats FCFS?,binding constraint or main failure mode,mean strict-minus-FCFS objective
B: wait-adjusted,1.0,0.1,0.05,0.65,0,False,service-rate guardrail,0.0
B: wait-adjusted,1.0,0.1,0.05,0.7,0,False,service-rate guardrail,0.0
B: wait-adjusted,1.0,0.1,0.1,0.45,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.0,0.1,0.1,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.0,0.1,0.1,0.65,0,False,service-rate guardrail,0.0
B: wait-adjusted,1.0,0.1,0.1,0.7,0,False,service-rate guardrail,0.0
B: wait-adjusted,1.25,0.0,0.0,0.45,16,True,none,0.009023972602739683
B: wait-adjusted,1.25,0.0,0.0,0.55,12,True,none,0.0017080479452054487
B: wait-adjusted,1.25,0.0,0.0,0.65,24,False,service-rate guardrail,0.06021832191780811
B: wait-adjusted,1.25,0.0,0.0,0.7,24,False,service-rate guardrail,0.06021832191780811
B: wait-adjusted,1.25,0.0,0.02,0.45,16,True,none,0.009026011453360638
B: wait-adjusted,1.25,0.0,0.02,0.55,12,True,none,0.0017273372566614764
B: wait-adjusted,1.25,0.0,0.02,0.65,24,False,service-rate guardrail,0.06097228367271144
B: wait-adjusted,1.25,0.0,0.02,0.7,24,False,service-rate guardrail,0.06097228367271144
B: wait-adjusted,1.25,0.0,0.05,0.45,16,True,none,0.009029069729292027
B: wait-adjusted,1.25,0.0,0.05,0.55,12,True,none,0.0017562712238454292
B: wait-adjusted,1.25,0.0,0.05,0.65,24,False,service-rate guardrail,0.06210322630506635
B: wait-adjusted,1.25,0.0,0.05,0.7,24,False,service-rate guardrail,0.06210322630506635
B: wait-adjusted,1.25,0.0,0.1,0.45,16,True,none,0.00903416685584455
B: wait-adjusted,1.25,0.0,0.1,0.55,12,True,none,0.0018044945024854985
B: wait-adjusted,1.25,0.0,0.1,0.65,24,False,service-rate guardrail,0.06398813069232467
B: wait-adjusted,1.25,0.0,0.1,0.7,24,False,service-rate guardrail,0.06398813069232467
B: wait-adjusted,1.25,0.02,0.0,0.45,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.25,0.02,0.0,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.25,0.02,0.0,0.65,24,False,service-rate guardrail,0.04521832191780821
B: wait-adjusted,1.25,0.02,0.0,0.7,24,False,service-rate guardrail,0.04521832191780821
B: wait-adjusted,1.25,0.02,0.02,0.45,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.25,0.02,0.02,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.25,0.02,0.02,0.65,24,False,service-rate guardrail,0.045972283672711535
B: wait-adjusted,1.25,0.02,0.02,0.7,24,False,service-rate guardrail,0.045972283672711535
