policy,Q,booked utilization,attended utilization,Class 1 served rate,Class 2 served rate,minimum class served rate,average offered delay,Study A objective,Study B objective,feasible under served-rate threshold?
Pooled FCFS,0,1.0,0.911626712328767,0.5856168523932497,0.5831648769911886,0.5822518148626945,5.419062804204605,1.0,1.2331709453722237,yes
Study A/B selected Q=0 (same booking rule as FCFS),0,1.0,0.911626712328767,0.5856168523932497,0.5831648769911886,0.5822518148626945,5.419062804204605,1.0,1.2331709453722237,yes
"Strict reservation, smallest positive Q=4",4,1.0,0.911626712328767,0.5865749661567066,0.5821905707467911,0.5817682949677919,5.419062804204605,1.0,1.2272664354930367,yes
