background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,start_within_step,start_post_gap,baseline_class1_low,baseline_class1_high,baseline_class2_low,baseline_class2_high,n_paired_seeds,mean_class1_low_regime_offer_share,mean_class1_high_regime_offer_share,mean_class2_high_regime_offer_share,exposure_active,delta_step_effect,delta_step_effect_ci_low,delta_step_effect_ci_high,absolute_step_effect,delta_gap_effect,delta_gap_effect_ci_low,delta_gap_effect_ci_high,absolute_gap_effect,absolute_effect_difference,absolute_effect_difference_ci_low,absolute_effect_difference_ci_high,share_seeds_gap_effect_larger,failure_component,classification
H8B0041,S009,sobol_symmetric,2.0,0.3,32,64.0,19.2,44.8,28,28,0.1,0.1,9,9,0.2,0.0,0.5,0.5,4,4,0.5,0.5,0.5,0.5,0.3,0.0,0.2,0.5,0.0,0.5,20,0.8794690899409054,0.12053091005909451,0.10209424492310055,True,0.016644624458300582,0.013887162182180278,0.019402086734420884,0.016644624458300582,-0.0030287295832489166,-0.005770147718822237,-0.0002873114476755964,0.005506844427077974,-0.01113778003122261,-0.014979840428968825,-0.007295719633476394,0.1,within_class_effect_larger,reversed
H8B0048,S016,sobol_symmetric,3.1,0.9,64,198.4,178.56,19.84,28,28,0.1,0.1,12,12,0.1,0.0,0.5,0.3,9,9,0.0,0.0,0.7,0.7,0.4,0.2,0.1,0.5,0.0,0.3,20,0.44053448978855236,0.5594655102114476,0.5257108281784878,True,0.002376143872848878,0.0014066956035975395,0.0033455921421002167,0.0025369292470144565,0.0004412608626025341,-0.00020117551315691854,0.0010836972383619868,0.0010527217094779314,-0.0014842075375365248,-0.002255747991046512,-0.0007126670840265377,0.25,absolute_effect_difference_inconclusive,inconclusive
H8B0049,S017,sobol_symmetric,3.1,0.1,32,99.2,9.920000000000002,89.28,7,7,0.3,0.3,4,4,0.1,0.0,0.5,0.2,4,4,0.0,0.0,0.5,0.5,0.4,0.3,0.1,0.5,0.0,0.2,20,0.422697248244946,0.577302751755054,0.5652319941655485,True,0.018789478176255918,0.014974136241382614,0.02260482011112922,0.018789478176255918,-0.003116061017296162,-0.0069126522382352475,0.0006805302036429228,0.006927457911344073,-0.011862020264911843,-0.016781784084134208,-0.0069422564456894775,0.15,within_class_effect_larger,reversed
H8B0052,S020,sobol_symmetric,4.0,0.5,64,256.0,128.0,128.0,28,28,0.5,0.5,4,4,0.5,0.0,0.5,0.4,6,6,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.5,0.0,0.4,20,0.7033531717758302,0.29664682822416977,0.26956051902567435,True,0.02067231751820898,0.019520247699625435,0.02182438733679252,0.02067231751820898,0.00012136384917172394,-0.0010660571471562408,0.0013087848454996888,0.001835155823170362,-0.018837161695038608,-0.020136128108460296,-0.01753819528161692,0.0,within_class_effect_larger,reversed
H8B0053,S021,sobol_symmetric,4.0,0.3,32,128.0,38.4,89.6,28,28,0.5,0.5,6,6,0.5,0.0,0.5,0.3,12,12,0.3,0.3,0.7,0.7,0.0,0.2,0.5,0.5,0.0,0.3,20,0.9628918138415987,0.037108186158401266,0.025356542617999207,True,0.01674647832577556,0.014933129780577273,0.01855982687097385,0.01674647832577556,0.0006175612100557795,-0.0008551586981409403,0.002090281118252499,0.002773466346876782,-0.013973011978898778,-0.01599320819102157,-0.011952815766775989,0.0,within_class_effect_larger,reversed
H8B0059,S028,sobol_symmetric,3.1,0.9,32,99.2,89.28,9.919999999999998,21,21,0.1,0.1,6,6,0.4,0.0,0.5,0.2,9,9,0.5,0.5,0.7,0.7,0.1,0.3,0.4,0.5,0.0,0.2,20,0.2848353255680073,0.7151646744319927,0.6950099281956688,True,-0.0026193849344056234,-0.003951241597840005,-0.0012875282709712416,0.0028796121693920136,-0.0027211520581313167,-0.004168083681723824,-0.00127422043453881,0.003455547801701715,0.0005759356323097014,-0.0007526716806323715,0.0019045429452517744,0.6,absolute_effect_difference_inconclusive,inconclusive
H8B0060,S029,sobol_symmetric,4.0,0.1,16,64.0,6.4,57.6,21,21,0.1,0.1,4,4,0.4,0.0,0.5,0.1,4,4,0.0,0.0,0.3,0.3,0.1,0.4,0.4,0.5,0.0,0.1,20,0.1252823321227697,0.8747176678772302,0.8687966898935697,True,0.004374464230871331,0.0004285118389831602,0.008320416622759503,0.00801164970592208,-0.007514136658102332,-0.012023910309784273,-0.0030043630064203923,0.010201948834833302,0.002190299128911223,-0.0014023592483343923,0.005782957506156839,0.75,absolute_effect_difference_inconclusive,inconclusive
H8B0064,S033,sobol_symmetric,3.1,0.1,64,198.4,19.840000000000003,178.56,7,7,0.5,0.5,4,4,0.3,0.0,0.5,0.2,4,4,0.5,0.5,0.5,0.5,0.2,0.3,0.3,0.5,0.0,0.2,20,0.7150759917042807,0.28492400829571923,0.28898584333844984,True,0.01506102783635509,0.012310738977058828,0.017811316695651353,0.01506102783635509,-0.0035644750414223552,-0.00680606931376368,-0.0003228807690810304,0.006162134934435565,-0.008898892901919525,-0.013036712298709383,-0.0047610735051296675,0.1,within_class_effect_larger,reversed
H8B0066,S035,sobol_symmetric,1.25,0.3,32,40.0,12.0,28.0,14,14,0.0,0.0,12,12,0.2,0.0,0.5,0.5,9,9,0.0,0.0,0.0,0.0,0.3,0.0,0.2,0.5,0.0,0.5,20,0.6877740057050905,0.31222599429490944,0.3152620672020614,True,0.053349992283376446,0.0492502291803645,0.05744975538638839,0.053349992283376446,-0.016649940799049266,-0.02124272838865078,-0.012057153209447752,0.016721186827517033,-0.036628805455859406,-0.043867283312015115,-0.029390327599703697,0.0,within_class_effect_larger,reversed
H8B0067,S036,sobol_symmetric,4.0,0.7,32,128.0,89.6,38.400000000000006,28,28,0.3,0.3,4,4,0.2,0.0,0.5,0.4,4,4,0.3,0.3,0.5,0.5,0.3,0.1,0.2,0.5,0.0,0.4,20,0.33589687275393604,0.6641031272460639,0.6514950127861632,True,0.004944585280576293,0.003785692668781298,0.0061034778923712875,0.004944585280576293,-0.0013250242679652441,-0.00252047068842902,-0.0001295778475014686,0.0022040947361499003,-0.0027404905444263924,-0.0045947450887922165,-0.000886236000060568,0.15,within_class_effect_larger,reversed
