comparison,n_paired_seeds,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,average_utilization_status,delta_weighted_utilization,delta_weighted_utilization_ci_low,delta_weighted_utilization_ci_high,weighted_utilization_status,background_id,variant
both_flexible_vs_reservation_only,10,0.025568493150685056,0.02374640410958875,0.02727431506849372,supported,0.002359499132808751,-0.0025402684580751876,0.007137028619125552,inconclusive,BG00012,strict
both_flexible_vs_horizon_only,10,-0.039308219178081936,-0.04191797945205489,-0.036828595890410605,contradicted,0.1915586492765391,0.18474496582338676,0.19758849317032498,supported,BG00012,strict
both_flexible_vs_baseline,10,-0.01427945205479425,-0.016745342465753543,-0.011977808219177424,contradicted,0.08215410505640673,0.07907030706577467,0.08524381692044927,supported,BG00013,strict
both_flexible_vs_reservation_only,10,0.006909589041095709,0.00455328767123261,0.009742602739726424,supported,0.0003841859480836485,-0.001673182977102196,0.002726268523924894,inconclusive,BG00013,strict
both_flexible_vs_horizon_only,10,-0.01427945205479425,-0.016674246575342236,-0.011873972602739178,contradicted,0.08215410505640673,0.07909185442198216,0.08518292878813909,supported,BG00013,strict
both_flexible_vs_baseline,10,0.0005547945205476746,-0.0034657534246580494,0.004308390410958831,inconclusive,0.0015034190277936732,-0.0031427236532100325,0.00546769674654404,inconclusive,BG00014,strict
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00014,strict
both_flexible_vs_horizon_only,10,0.0005547945205476746,-0.003383561643836032,0.004178253424657444,inconclusive,0.0015034190277936732,-0.002968815960331907,0.005392901485720435,inconclusive,BG00014,strict
both_flexible_vs_baseline,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00015,strict
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00015,strict
both_flexible_vs_horizon_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00015,strict
both_flexible_vs_baseline,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00016,strict
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00016,strict
both_flexible_vs_horizon_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00016,strict
both_flexible_vs_baseline,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00017,strict
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00017,strict
both_flexible_vs_horizon_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00017,strict
both_flexible_vs_baseline,10,-0.0028584474885846923,-0.008648401826484364,0.003251369863013666,inconclusive,0.0015144612293705561,-0.0004146337702118146,0.003433043237225086,inconclusive,BG00018,strict
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00018,strict
both_flexible_vs_horizon_only,10,-0.0028584474885846923,-0.008913470319635065,0.00331529680365282,inconclusive,0.0015144612293705561,-0.000429064478857927,0.0034404404813256294,inconclusive,BG00018,strict
both_flexible_vs_baseline,10,0.001106849315068692,-0.0013645205479447982,0.003665753424657452,inconclusive,0.00339258084780415,-0.0015128029409197357,0.00805795464298124,inconclusive,BG00019,strict
both_flexible_vs_reservation_only,10,0.0004657534246577333,-0.0016275342465751636,0.002569863013698597,inconclusive,0.0015308241493350526,-0.0022906286773674528,0.0049749142156386515,inconclusive,BG00019,strict
both_flexible_vs_horizon_only,10,0.0013589041095891097,-0.0007452054794518492,0.0034412328767125296,inconclusive,0.0030809662018327576,-0.0006680704130644201,0.007076343297583414,inconclusive,BG00019,strict
both_flexible_vs_baseline,10,-0.0013561643835614313,-0.004294691780821714,0.001294691780822276,inconclusive,0.0014260575841013924,-0.000558533382821009,0.003331174881442463,inconclusive,BG00020,strict
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00020,strict
both_flexible_vs_horizon_only,10,-0.0013561643835614313,-0.004226027397260036,0.0013356164383563462,inconclusive,0.0014260575841013924,-0.0005827743984837616,0.0033478819117482737,inconclusive,BG00020,strict
both_flexible_vs_baseline,10,0.0009223744292236269,-0.00030136986301386947,0.0022102739726026156,inconclusive,0.005010793071047415,0.00015303945265511467,0.010122609006340981,supported,BG00021,strict
both_flexible_vs_reservation_only,10,0.0009223744292236269,-0.00027420091324225563,0.0022559360730592336,inconclusive,0.005010793071047415,0.00014737633258115164,0.009907892649880044,supported,BG00021,strict
both_flexible_vs_horizon_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00021,strict
both_flexible_vs_baseline,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00022,strict
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00022,strict
both_flexible_vs_horizon_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00022,strict
both_flexible_vs_baseline,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00023,strict
