class1_low_balk,mean,std,n,se,ci95,metric
0.0,0.8408467465753425,0.003391724848073015,100,0.0003391724848073015,0.0006647780702223109,average_utilization
0.05,0.8410171232876712,0.0038777034361159018,100,0.0003877703436115902,0.0007600298734787168,average_utilization
0.1,0.8406455479452055,0.0031760977034823836,100,0.0003176097703482384,0.0006225151498825473,average_utilization
0.15,0.840375,0.0032928573687639835,100,0.00032928573687639835,0.0006454000442777407,average_utilization
0.2,0.8407577054794522,0.0033469895735260056,100,0.00033469895735260054,0.0006560099564110971,average_utilization
0.25,0.8406729452054794,0.0034611702891172436,100,0.00034611702891172437,0.0006783893766669798,average_utilization
0.3,0.8406840753424657,0.0034530933184510984,100,0.00034530933184510985,0.0006768062904164153,average_utilization
0.35,0.8405273972602739,0.0035597889950417976,100,0.00035597889950417976,0.0006977186430281923,average_utilization
0.4,0.840556506849315,0.0034391018723302926,100,0.00034391018723302927,0.0006740639669767373,average_utilization
0.45,0.8406686643835616,0.003078910833687495,100,0.00030789108336874954,0.0006034665234027491,average_utilization
0.5,0.8407388698630137,0.0031992657156639493,100,0.0003199265715663949,0.000627056080270134,average_utilization
0.0,0.26873068333974687,0.0018875263833138555,100,0.00018875263833138556,0.0003699551711295157,overall_percent_serviced
0.05,0.2690960285282443,0.001991352043921889,100,0.0001991352043921889,0.00039030500060869026,overall_percent_serviced
0.1,0.2686531588294915,0.001794034673740446,100,0.0001794034673740446,0.0003516307960531274,overall_percent_serviced
0.15,0.2688503500957488,0.0016676905199421172,100,0.0001667690519942117,0.0003268673419086549,overall_percent_serviced
0.2,0.26882955750281357,0.0018944683569218166,100,0.00018944683569218165,0.00037131579795667604,overall_percent_serviced
0.25,0.2689192976763299,0.0019614549110442965,100,0.00019614549110442964,0.00038444516256468206,overall_percent_serviced
0.3,0.26883785566771107,0.00188530281305915,100,0.000188530281305915,0.0003695193513595934,overall_percent_serviced
0.35,0.26886007061118916,0.0018813125513766403,100,0.00018813125513766403,0.0003687372600698215,overall_percent_serviced
0.4,0.2689092911186706,0.0017462759916464328,100,0.00017462759916464328,0.0003422700943627008,overall_percent_serviced
0.45,0.26888707914043,0.0016684747709485653,100,0.00016684747709485654,0.0003270210551059188,overall_percent_serviced
0.5,0.2688966241808496,0.0017877537998959613,100,0.00017877537998959613,0.0003503997447796084,overall_percent_serviced
0.0,8.348896180117288,0.0804270879653375,100,0.00804270879653375,0.01576370924120615,mean_accepted_booking_delay
0.05,8.265103678631414,0.07933232360472722,100,0.007933232360472723,0.015549135426526537,mean_accepted_booking_delay
0.1,8.2106970910608,0.0735437551407845,100,0.00735437551407845,0.01441457600759376,mean_accepted_booking_delay
0.15,8.130640460298283,0.07025584443191571,100,0.007025584443191571,0.013770145508655478,mean_accepted_booking_delay
0.2,8.066771175621417,0.07733330283923175,100,0.007733330283923175,0.015157327356489423,mean_accepted_booking_delay
0.25,7.998462396064918,0.07248179062259107,100,0.007248179062259106,0.014206430962027849,mean_accepted_booking_delay
0.3,7.918297038556184,0.06050501431371308,100,0.006050501431371308,0.011858982805487764,mean_accepted_booking_delay
0.35,7.850619689183633,0.055082264000677304,100,0.00550822640006773,0.010796123744132751,mean_accepted_booking_delay
