class1_low_balk,class_id,mean,std,n,se,ci95,metric
0.0,1,8.350183612461322,0.08201680685626332,100,0.008201680685626333,0.016075294143827613,mean_accepted_booking_delay
0.0,2,8.347558429266552,0.08579954462625618,100,0.008579954462625617,0.01681671074674621,mean_accepted_booking_delay
0.05,1,8.304973456130305,0.08513651737569754,100,0.008513651737569754,0.01668675740563672,mean_accepted_booking_delay
0.05,2,8.226188777837834,0.07809632379418859,100,0.007809632379418859,0.015306879463660963,mean_accepted_booking_delay
0.1,1,8.286794282168847,0.07502184968385843,100,0.007502184968385843,0.014704282538036252,mean_accepted_booking_delay
0.1,2,8.13811386758416,0.07749686839837525,100,0.007749686839837525,0.015189386206081549,mean_accepted_booking_delay
0.15,1,8.247429780326089,0.07593776560243432,100,0.0075937765602434315,0.014883802058077126,mean_accepted_booking_delay
0.15,2,8.021852780557253,0.07086313099709234,100,0.007086313099709233,0.013889173675430097,mean_accepted_booking_delay
0.2,1,8.227058637213906,0.08414710054671279,100,0.008414710054671279,0.016492831707155705,mean_accepted_booking_delay
0.2,2,7.922244169710482,0.07564686577490187,100,0.007564686577490187,0.014826785691880767,mean_accepted_booking_delay
0.25,1,8.206672252134823,0.07796595405129368,100,0.007796595405129368,0.015281326994053561,mean_accepted_booking_delay
0.25,2,7.816295640103871,0.07295705862288256,100,0.007295705862288256,0.01429958349008498,mean_accepted_booking_delay
0.3,1,8.1771869496592,0.06726916368809392,100,0.006726916368809392,0.013184756082866409,mean_accepted_booking_delay
0.3,2,7.699723033843508,0.06182327990332255,100,0.006182327990332255,0.01211736286105122,mean_accepted_booking_delay
0.35,1,8.160736262901946,0.06252923233849889,100,0.006252923233849889,0.012255729538345781,mean_accepted_booking_delay
0.35,2,7.5984599962127,0.05481755421677748,100,0.005481755421677748,0.010744240626488386,mean_accepted_booking_delay
0.4,1,8.14223154721555,0.0645678869994637,100,0.00645678869994637,0.012655305851894885,mean_accepted_booking_delay
0.4,2,7.499099812801632,0.047052515931620076,100,0.004705251593162008,0.009222293122597536,mean_accepted_booking_delay
0.45,1,8.140592937406193,0.06281226962191211,100,0.006281226962191211,0.012311204845894774,mean_accepted_booking_delay
0.45,2,7.413924747094672,0.04619157704613247,100,0.004619157704613247,0.009053549101041964,mean_accepted_booking_delay
0.5,1,8.12895768093501,0.058436202613976265,100,0.0058436202613976265,0.011453495712339348,mean_accepted_booking_delay
0.5,2,7.327929130624081,0.04561868779859195,100,0.004561868779859195,0.008941262808524022,mean_accepted_booking_delay
0.0,1,9.3130393634939,0.08911706212608536,100,0.008911706212608537,0.017466944176712733,mean_offered_booking_delay
0.0,2,9.31019668845032,0.09139205364769944,100,0.009139205364769944,0.017912842514949092,mean_offered_booking_delay
0.05,1,9.183396836393783,0.08920336956215907,100,0.008920336956215908,0.01748386043418318,mean_offered_booking_delay
