class1_balk_threshold,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay
3,10,2,18145,12490,5655,18145,0,6009,1007,5468,7.677181745396317,8.499751997795537,0.30135023422430424,0.46815068493150686,0.3116561036098099,95888.0,154228.0
3,11,1,18178,9910,8268,18178,0,4827,830,4250,8.089001009081736,8.63950929695236,0.2337990978105402,0.3638698630136986,0.45483551545824624,80162.0,157049.0
3,11,2,18285,12497,5788,18285,0,5877,989,5619,7.777706649595903,8.617500683620454,0.3073010664479081,0.4810787671232877,0.31654361498496036,97198.0,157571.0
3,12,1,18211,9868,8343,18211,0,4801,829,4238,7.913761653830563,8.477733238152766,0.23271649003349623,0.36284246575342466,0.45812970182856516,78093.0,154388.0
3,12,2,18375,12669,5706,18375,0,6057,1031,5581,7.620254163706686,8.437278911564626,0.3037278911564626,0.4778253424657534,0.310530612244898,96541.0,155035.0
3,13,1,18177,9914,8263,18177,0,4797,826,4288,7.888238854145652,8.463937943555042,0.23590251416625405,0.36712328767123287,0.4545854651482643,78204.0,153849.0
3,13,2,18006,12443,5563,18006,0,5863,1032,5545,7.663746684883066,8.465289347995112,0.30795290458735974,0.4747431506849315,0.3089525713651005,95360.0,152426.0
3,14,1,18406,10189,8217,18406,0,4985,845,4354,8.061046226322505,8.645170053243508,0.23655329783766163,0.3727739726027397,0.44643051178963383,82134.0,159123.0
3,14,2,18366,12504,5862,18366,0,6042,1028,5431,7.8110204734484965,8.65430687139279,0.2957094631384079,0.46498287671232874,0.3191767396275727,97669.0,158945.0
3,15,1,18073,9861,8212,18073,0,4789,846,4225,7.896055166818781,8.448735683063132,0.23377413821723012,0.3617294520547945,0.4543794610745311,77863.0,152694.0
3,15,2,18299,12613,5686,18299,0,6014,1019,5580,7.5547451042575124,8.386633149352424,0.30493469588502103,0.4777397260273973,0.3107273621509372,95288.0,153467.0
3,16,1,18151,9982,8169,18151,0,4879,816,4286,8.01061911440593,8.56503773896755,0.23613024075808495,0.36695205479452053,0.4500578480524489,79962.0,155464.0
3,16,2,18124,12437,5687,18124,0,5845,1045,5545,7.681434429524805,8.517876848377842,0.30594791436768926,0.4747431506849315,0.313782829397484,95534.0,154378.0
3,17,1,18125,10030,8095,18125,0,4830,858,4342,7.800797607178465,8.422344827586207,0.23955862068965517,0.37174657534246575,0.44662068965517243,78242.0,152655.0
