class1_no_show_threshold,class1_high_no_show,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked,class1_high_delay_exposure_share,class1_no_show_slot_loss,class1_served_rate
3,0.0,1,0.9185787671232877,0.2920797472491557,10724,11920.0,8.373185784209406,9.338707920252752,0.3600882449068526,36716,23495,36716,13221,0,11815,954,2,0.849758495042793,0.0,0.3192019950124688
3,0.0,2,0.9173801369863014,0.29404657293497366,10708,11924.0,8.423729532535845,9.382222100175747,0.35264718804920914,36416,23574,36416,12842,0,11902,957,7,0.8541984732824427,0.0,0.32212885154061627
3,0.0,3,0.9224315068493151,0.2961365135194548,10777,11982.0,8.355521485456327,9.318586502528028,0.35477577489558143,36392,23481,36392,12911,0,11786,902,16,0.8540430581454483,0.0,0.3179475934656288
3,0.0,4,0.9161815068493151,0.29042608151834026,10681,11903.0,8.392910147139888,9.355004486499714,0.35875683171547434,36777,23583,36777,13194,0,11913,981,8,0.848857191957381,0.0,0.31323255559206925
3,0.0,5,0.9185787671232877,0.29577853144732125,10727,11930.0,8.25201862690648,9.195136074116967,0.35459232911462213,36267,23407,36267,12860,0,11723,947,10,0.8456122273742057,0.0,0.32460965716508305
3,0.0,6,0.9232876712328767,0.2967181095430662,10786,11977.0,8.379796264855688,9.330142224422987,0.35187477648482846,36351,23560,36351,12791,0,11863,882,29,0.8500466220225481,0.0,0.32357616620073454
3,0.0,7,0.9184075342465754,0.294796734559248,10725,11932.0,8.408399710354816,9.361644814601028,0.35469063522168165,36381,23477,36381,12904,0,11793,940,19,0.8518455519646199,0.0,0.32080861349154033
3,0.0,8,0.9200342465753425,0.2955008535712319,10732,11951.0,8.32797552357149,9.291067790076546,0.3610330965361529,36318,23206,36318,13112,0,11515,937,22,0.8502024291497976,0.0,0.3194398682042834
3,0.0,9,0.9173801369863014,0.29267693315858456,10719,11920.0,8.276792141254182,9.222012887723897,0.35514962865880295,36624,23617,36624,13007,0,11923,963,12,0.8530215090474564,0.0,0.32051635681579965
3,0.0,10,0.9230308219178082,0.29454495614035087,10745,11976.0,8.310518670426386,9.283991228070175,0.3583881578947368,36480,23406,36480,13074,0,11743,913,5,0.8561713702822169,0.0,0.3144437144108629
3,0.0,11,0.9199486301369864,0.2917414721723519,10725,11934.0,8.518009780990857,9.502148958163321,0.36034492138621405,36762,23515,36762,13247,0,11844,933,13,0.8547180909167297,0.0,0.3178754381234834
3,0.0,12,0.9225171232876712,0.2971570521667127,10766,11989.0,8.35020934803042,9.307673199006349,0.35396080596191004,36230,23406,36230,12824,0,11748,890,2,0.8527031680440771,0.0,0.3216108276015088
3,0.0,13,0.925,0.2963613895372786,10792,12002.0,8.27007486631016,9.231607853906358,0.35809419195386516,36415,23375,36415,13040,0,11698,871,14,0.8496948118006104,0.0,0.32059564217672176
3,0.0,14,0.9184075342465754,0.2934154688569473,10717,11924.0,8.336116198832901,9.310965092402464,0.3572347707049966,36525,23477,36525,13048,0,11806,949,5,0.8502415458937198,0.0,0.3189570350934733
3,0.0,15,0.9174657534246575,0.2925010244502117,10707,11911.0,8.35183859146624,9.31217046851523,0.35142740062832944,36605,23741,36605,12864,0,12070,953,11,0.8494286923402454,0.0,0.31622244159262913
3,0.0,16,0.9170376712328767,0.2906477556787306,10697,11913.0,8.426293139819425,9.410634713618085,0.3559939137050321,36804,23702,36804,13102,0,12037,961,7,0.8476389469285416,0.0,0.3155502651228222
3,0.0,17,0.9195205479452054,0.29470444365055376,10724,11946.0,8.182179657103767,9.133391959108522,0.3572508175547556,36389,23389,36389,13000,0,11704,943,18,0.8479718116191131,0.0,0.3207265075585581
3,0.0,18,0.925,0.29581588813178994,10810,12002.0,8.186201906707526,9.149002544947049,0.35703144241031115,36543,23496,36543,13047,0,11802,871,13,0.8458627214863238,0.0,0.3212101173747727
3,0.0,19,0.9195205479452054,0.2905783960808726,10736,11946.0,8.455068053089864,9.431320540233306,0.3596773757003275,36947,23658,36947,13289,0,11974,931,17,0.8554002541296061,0.0,0.3136465080833923
3,0.0,20,0.9213184931506849,0.29551132463967056,10764,11970.0,8.321171941830624,9.279231297185998,0.3581331503088538,36425,23380,36425,13045,0,11693,914,9,0.854087089381207,0.0,0.319202403714832
3,0.0,21,0.920804794520548,0.2959003746969363,10740,11958.0,8.354588134869825,9.310750495922417,0.3544743222393652,36296,23430,36296,12866,0,11771,919,0,0.8555860648704308,0.0,0.31842467639768657
3,0.0,22,0.9196917808219178,0.29397590361445786,10736,11940.0,8.350851911502925,9.303203723986856,0.3539430449069003,36520,23594,36520,12926,0,11902,935,21,0.8490921548475505,0.0,0.3195558975486424
3,0.0,23,0.9220890410958904,0.29302109773738366,10736,11966.0,8.388963604269984,9.347826086956522,0.3505827124102732,36639,23794,36639,12845,0,12147,905,6,0.8494997456333729,0.0,0.3223749312809236
3,0.0,24,0.9252568493150685,0.2945818996122126,10787,12005.0,8.410423452768729,9.381779452728166,0.35444317002567044,36618,23639,36618,12979,0,11963,868,21,0.8588494450563416,0.0,0.31881542550306446
3,0.0,25,0.9173801369863014,0.29146261834802484,10713,11909.0,8.343934189882543,9.311894656654696,0.35839046686255305,36756,23583,36756,13173,0,11887,971,12,0.8538369916624128,0.0,0.3154862205794423
