class1_balk_threshold,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced
3,91,2,18157,12599,5558,18157,0,6001,1059,5537,7.631240574648782,8.434157625158342,0.3049512584678086
3,92,1,18299,9879,8420,18299,0,4788,790,4301,7.8359145662516445,8.432264058145254,0.23504016612929668
3,92,2,18111,12511,5600,18111,0,5925,1013,5573,7.673567260810486,8.480647120534481,0.30771354425487274
3,93,1,18235,10008,8227,18235,0,4856,815,4335,7.871802557953637,8.45434603783932,0.2377296408006581
3,93,2,18273,12640,5633,18273,0,6114,1034,5490,7.725158227848102,8.529196081650523,0.3004432769660154
3,94,1,18140,9971,8169,18140,0,4868,799,4301,7.9919767325243205,8.547243660418964,0.2371003307607497
3,94,2,18385,12696,5689,18385,0,6126,1017,5549,7.706127914303718,8.540658145227088,0.30182213761218385
3,95,1,18053,9883,8170,18053,0,4827,825,4225,7.901548112921178,8.489226167396001,0.23403312468841744
3,95,2,18245,12627,5618,18245,0,5998,999,5626,7.670230458541221,8.478870923540697,0.3083584543710606
3,96,1,18261,10003,8258,18261,0,4918,844,4241,7.966610016994902,8.55791030064071,0.23224357921252944
3,96,2,18250,12606,5644,18250,0,6016,1025,5565,7.708472156116136,8.535671232876712,0.3049315068493151
3,97,1,18139,10076,8063,18139,0,4889,790,4394,7.960202461294164,8.54054799051767,0.2422404763217377
3,97,2,18096,12431,5665,18096,0,5938,1032,5461,7.776687313973132,8.597866931918656,0.30177939876215737
3,98,1,18328,9977,8351,18328,0,4850,813,4312,7.90899067856069,8.490233522479267,0.23526844172850284
3,98,2,18227,12563,5664,18227,0,6010,1022,5526,7.714081031600732,8.521149942393153,0.30317660613375763
3,99,1,18269,9979,8290,18269,0,4831,882,4256,8.009419781541236,8.581093655919863,0.2329629426898024
3,99,2,18311,12504,5807,18311,0,5943,974,5578,7.744401791426744,8.579323903664465,0.30462563486428923
3,100,1,18384,10072,8312,18384,0,4909,833,4330,7.993546465448769,8.582898172323759,0.2355308964316797
3,100,2,18253,12522,5731,18253,0,6004,1061,5457,7.7130650055901615,8.559743603791159,0.29896455377198267
4,1,1,18305,10364,7941,18305,0,5034,821,4503,7.909301428020069,8.625785304561596,0.24599836110352363
4,1,2,18150,12285,5865,18150,0,5927,968,5385,7.8217338217338215,8.657906336088153,0.29669421487603304
4,2,1,18465,10429,8036,18465,0,5074,861,4489,7.91351040368204,8.624857839155158,0.24310858380720282
4,2,2,18088,12334,5754,18088,0,5999,1051,5284,7.819117885519701,8.644626271561256,0.29212737726669613
4,3,1,18305,10330,7975,18305,0,5005,841,4480,7.960212971926428,8.666429937175636,0.2447418738049713
4,3,2,18251,12377,5874,18251,0,6007,985,5379,7.8105356710026665,8.654155936661004,0.29472357679031286
4,4,1,18061,10228,7833,18061,0,4957,859,4407,7.9723308564724285,8.661037594817563,0.24400642267869996
4,4,2,18272,12433,5839,18272,0,6012,1045,5371,7.8437223518056784,8.671136164623467,0.2939470227670753
4,5,1,18053,10137,7916,18053,0,4811,828,4493,7.849659662622077,8.561790284163298,0.248878302775162
4,5,2,18142,12327,5815,18142,0,5976,1032,5315,7.773505313539385,8.586870245838385,0.29296659684709514
4,6,1,18313,10366,7947,18313,0,5034,816,4516,7.972988616631294,8.69109375853219,0.24660077540544967
4,6,2,18178,12211,5967,18178,0,5876,1013,5322,7.865531078535747,8.714269996699306,0.2927714820112224
4,7,1,18318,10255,8063,18318,0,4969,784,4501,7.994441735738664,8.715798667976854,0.24571459766350037
4,7,2,18155,12324,5831,18155,0,5935,1025,5363,7.895326192794547,8.722280363536216,0.29540071605618284
4,8,1,18229,10277,7952,18229,0,4982,827,4466,8.068794395251533,8.770585331065885,0.24499423994733666
4,8,2,18161,12300,5861,18161,0,5931,1004,5362,7.874308943089431,8.732393590661307,0.2952480590275866
4,9,1,18185,10324,7861,18185,0,5023,868,4433,7.935683843471523,8.633489139400606,0.2437723398405279
4,9,2,18174,12255,5919,18174,0,5873,1007,5375,7.775438596491228,8.621602288984263,0.2957521734345769
4,10,1,18237,10239,7998,18237,0,4956,834,4446,7.953901748217599,8.670998519493338,0.24379009705543675
4,10,2,18343,12425,5918,18343,0,6019,1020,5385,7.79307847082495,8.642642970070327,0.2935724799651093
4,11,1,18281,10260,8021,18281,0,4945,864,4446,8.057797270955165,8.737869919588643,0.2432033258574476
4,11,2,18319,12389,5930,18319,0,6001,1004,5376,7.877633384453951,8.73240897428899,0.2934658005349637
4,12,1,18164,10315,7849,18164,0,4982,816,4516,7.861754726127,8.55378771195772,0.2486236511781546
4,12,2,18079,12393,5686,18079,0,6045,967,5381,7.741466957153231,8.55766358758781,0.2976381437026384
4,13,1,18185,10171,8014,18185,0,4953,827,4389,7.940418837872382,8.646301897167996,0.24135276326642838
4,13,2,18469,12530,5939,18469,0,6064,1007,5456,7.819553072625698,8.657642536141642,0.29541393686718287
4,14,1,18347,10385,7962,18347,0,5076,832,4475,7.950409244102071,8.662887665558403,0.24390908595410693
4,14,2,18250,12305,5945,18250,0,5935,1019,5346,7.7838277123120685,8.632219178082192,0.29293150684931507
4,15,1,18469,10249,8220,18469,0,4976,861,4411,7.9300419553127135,8.659591748335048,0.2388326384752829
4,15,2,18099,12363,5736,18099,0,5959,1062,5340,7.8270646283264576,8.647991601745952,0.2950439250787336
4,16,1,18416,10386,8030,18416,0,5049,850,4487,8.018582707490854,8.729311468288445,0.24364682884448305
4,16,2,18262,12345,5917,18262,0,6036,1000,5309,7.914945321992709,8.77160223414741,0.29071295586463697
4,17,1,18181,10162,8019,18181,0,4872,823,4460,7.867545758708916,8.583191243605961,0.24531103899675485
4,17,2,18390,12365,6025,18390,0,5969,1016,5372,7.731904569348969,8.574823273518216,0.2921152800435019
4,18,1,17898,10045,7853,17898,0,4823,790,4428,7.857939273270284,8.541010168733937,0.24740194435132418
4,18,2,18268,12539,5729,18268,0,6081,1004,5451,7.704043384639923,8.521841471425443,0.2983906284212831
4,19,1,18128,10166,7962,18128,0,4965,818,4380,7.947570332480819,8.636473962930273,0.24161518093556927
4,19,2,18429,12483,5946,18429,0,6012,1023,5446,7.798445886405512,8.630636496825655,0.2955125074610668
4,20,1,18404,10350,8054,18404,0,5052,812,4484,8.108888888888888,8.844272984133884,0.2436426863725277
4,20,2,18582,12531,6051,18582,0,6135,1016,5379,8.029446971510653,8.87993757399634,0.2894736842105263
4,21,1,18097,10143,7954,18097,0,4944,811,4388,7.900226757369614,8.61352710393988,0.24247112781123945
4,21,2,18521,12471,6050,18521,0,5989,1038,5444,7.822788870178814,8.661573349171212,0.29393661249392583
4,22,1,18264,10252,8012,18264,0,5016,846,4390,7.922454155286773,8.648817345597898,0.2403635567236093
4,22,2,18411,12470,5941,18411,0,6024,973,5473,7.7732959101844425,8.619412307859433,0.29726793764597254
4,23,1,18169,10227,7942,18169,0,4906,821,4500,7.817150679573677,8.534536848478178,0.24767461060047333
4,23,2,18048,12315,5733,18048,0,5962,1028,5325,7.707754770604954,8.523326684397164,0.2950465425531915
4,24,1,18073,10132,7941,18073,0,4854,803,4475,7.8420844848006315,8.525701322414651,0.2476069274608532
4,24,2,17948,12275,5673,17948,0,5866,1044,5365,7.679348268839104,8.49426119901939,0.2989190996211277
4,25,1,18434,10374,8060,18434,0,5087,861,4422,7.973684210526316,8.64684821525442,0.23988282521427798
4,25,2,17999,12314,5685,17999,0,5899,1048,5361,7.768312489848952,8.601644535807544,0.29784988054891937
4,26,1,17995,10164,7831,17995,0,4905,835,4424,7.857044470680834,8.558321756043345,0.2458460683523201
4,26,2,18047,12485,5562,18047,0,6072,951,5462,7.74016820184221,8.545132154928798,0.3026541807502632
4,27,1,18110,10289,7821,18110,0,4976,822,4487,8.073379337156187,8.758862506902265,0.24776366648260628
