background_id,variant,selection_objective,policy,selected_source_stage,selected_horizon_days,selected_Q,selected_window,n_seeds,average_utilization,average_utilization_sd,weighted_utilization,weighted_utilization_sd,class_1_percent_serviced,class_1_percent_serviced_sd,class_2_percent_serviced,class_2_percent_serviced_sd,class_1_slot_utilization,class_1_slot_utilization_sd,class_2_slot_utilization,class_2_slot_utilization_sd,access_advantage_class_1,access_advantage_class_1_sd,class_1_balking_rate,class_1_balking_rate_sd,class_2_balking_rate,class_2_balking_rate_sd,class_1_no_show_rate,class_1_no_show_rate_sd,class_2_no_show_rate,class_2_no_show_rate_sd,class_1_no_offer_rate,class_1_no_offer_rate_sd,class_2_no_offer_rate,class_2_no_offer_rate_sd,class_1_mean_offered_booking_delay,class_1_mean_offered_booking_delay_sd,class_2_mean_offered_booking_delay,class_2_mean_offered_booking_delay_sd,design_note,horizon_days,rho,class1_share,slots_per_day,lambda_1,lambda_2,cancel_1,cancel_2,balk_threshold_1,balk_low_1,balk_high_1,balk_threshold_2,balk_low_2,balk_high_2,noshow_threshold_1,noshow_low_1,noshow_high_1,noshow_threshold_2,noshow_low_2,noshow_high_2
BG00001,strict,average_utilization,baseline,baseline,2,0,-1,10,0.7204383561643835,0.008353244493220708,0.9006044558197928,0.008526693290919356,0.899625884832363,0.012381365551789317,0.9025615977946521,0.003622555309303518,0.0720639269406392,0.0016687052717175481,0.6484018264840182,0.008068636570269069,-0.0029357129622886906,0.012345394124377157,0.05340428570682174,0.009642319642615974,0.048894475257332023,0.0019530963498110823,0.04640161985563994,0.005934810394205814,0.04761642268707446,0.003282070506137767,0.0,0.0,0.0,0.0,0.00978933990926759,0.0022872625543434843,0.00866775822233232,0.0016092247574816029,anchor,2,0.8,0.1,30,2.4000000000000004,21.6,0.1,0.1,9,0.05,0.1,9,0.05,0.1,4,0.05,0.1,4,0.05,0.1
BG00001,strict,average_utilization,horizon_only,horizon_only,2,0,-1,10,0.7204383561643835,0.008353244493220708,0.9006044558197928,0.008526693290919356,0.899625884832363,0.012381365551789317,0.9025615977946521,0.003622555309303518,0.0720639269406392,0.0016687052717175481,0.6484018264840182,0.008068636570269069,-0.0029357129622886906,0.012345394124377157,0.05340428570682174,0.009642319642615974,0.048894475257332023,0.0019530963498110823,0.04640161985563994,0.005934810394205814,0.04761642268707446,0.003282070506137767,0.0,0.0,0.0,0.0,0.00978933990926759,0.0022872625543434843,0.00866775822233232,0.0016092247574816029,anchor,2,0.8,0.1,30,2.4000000000000004,21.6,0.1,0.1,9,0.05,0.1,9,0.05,0.1,4,0.05,0.1,4,0.05,0.1
BG00001,strict,average_utilization,reservation_only,baseline,2,0,-1,10,0.7204383561643835,0.008353244493220708,0.9006044558197928,0.008526693290919356,0.899625884832363,0.012381365551789317,0.9025615977946521,0.003622555309303518,0.0720639269406392,0.0016687052717175481,0.6484018264840182,0.008068636570269069,-0.0029357129622886906,0.012345394124377157,0.05340428570682174,0.009642319642615974,0.048894475257332023,0.0019530963498110823,0.04640161985563994,0.005934810394205814,0.04761642268707446,0.003282070506137767,0.0,0.0,0.0,0.0,0.00978933990926759,0.0022872625543434843,0.00866775822233232,0.0016092247574816029,anchor,2,0.8,0.1,30,2.4000000000000004,21.6,0.1,0.1,9,0.05,0.1,9,0.05,0.1,4,0.05,0.1,4,0.05,0.1
BG00001,strict,average_utilization,both_flexible,horizon_only,2,0,-1,10,0.7204383561643835,0.008353244493220708,0.9006044558197928,0.008526693290919356,0.899625884832363,0.012381365551789317,0.9025615977946521,0.003622555309303518,0.0720639269406392,0.0016687052717175481,0.6484018264840182,0.008068636570269069,-0.0029357129622886906,0.012345394124377157,0.05340428570682174,0.009642319642615974,0.048894475257332023,0.0019530963498110823,0.04640161985563994,0.005934810394205814,0.04761642268707446,0.003282070506137767,0.0,0.0,0.0,0.0,0.00978933990926759,0.0022872625543434843,0.00866775822233232,0.0016092247574816029,anchor,2,0.8,0.1,30,2.4000000000000004,21.6,0.1,0.1,9,0.05,0.1,9,0.05,0.1,4,0.05,0.1,4,0.05,0.1
BG00001,strict,weighted_utilization,baseline,baseline,2,0,-1,10,0.7204383561643835,0.008353244493220708,0.9006044558197928,0.008526693290919356,0.899625884832363,0.012381365551789317,0.9025615977946521,0.003622555309303518,0.0720639269406392,0.0016687052717175481,0.6484018264840182,0.008068636570269069,-0.0029357129622886906,0.012345394124377157,0.05340428570682174,0.009642319642615974,0.048894475257332023,0.0019530963498110823,0.04640161985563994,0.005934810394205814,0.04761642268707446,0.003282070506137767,0.0,0.0,0.0,0.0,0.00978933990926759,0.0022872625543434843,0.00866775822233232,0.0016092247574816029,anchor,2,0.8,0.1,30,2.4000000000000004,21.6,0.1,0.1,9,0.05,0.1,9,0.05,0.1,4,0.05,0.1,4,0.05,0.1
BG00001,strict,weighted_utilization,horizon_only,horizon_only,2,0,-1,10,0.7204383561643835,0.008353244493220708,0.9006044558197928,0.008526693290919356,0.899625884832363,0.012381365551789317,0.9025615977946521,0.003622555309303518,0.0720639269406392,0.0016687052717175481,0.6484018264840182,0.008068636570269069,-0.0029357129622886906,0.012345394124377157,0.05340428570682174,0.009642319642615974,0.048894475257332023,0.0019530963498110823,0.04640161985563994,0.005934810394205814,0.04761642268707446,0.003282070506137767,0.0,0.0,0.0,0.0,0.00978933990926759,0.0022872625543434843,0.00866775822233232,0.0016092247574816029,anchor,2,0.8,0.1,30,2.4000000000000004,21.6,0.1,0.1,9,0.05,0.1,9,0.05,0.1,4,0.05,0.1,4,0.05,0.1
BG00001,strict,weighted_utilization,reservation_only,baseline,2,0,-1,10,0.7204383561643835,0.008353244493220708,0.9006044558197928,0.008526693290919356,0.899625884832363,0.012381365551789317,0.9025615977946521,0.003622555309303518,0.0720639269406392,0.0016687052717175481,0.6484018264840182,0.008068636570269069,-0.0029357129622886906,0.012345394124377157,0.05340428570682174,0.009642319642615974,0.048894475257332023,0.0019530963498110823,0.04640161985563994,0.005934810394205814,0.04761642268707446,0.003282070506137767,0.0,0.0,0.0,0.0,0.00978933990926759,0.0022872625543434843,0.00866775822233232,0.0016092247574816029,anchor,2,0.8,0.1,30,2.4000000000000004,21.6,0.1,0.1,9,0.05,0.1,9,0.05,0.1,4,0.05,0.1,4,0.05,0.1
BG00001,strict,weighted_utilization,both_flexible,horizon_only,2,0,-1,10,0.7204383561643835,0.008353244493220708,0.9006044558197928,0.008526693290919356,0.899625884832363,0.012381365551789317,0.9025615977946521,0.003622555309303518,0.0720639269406392,0.0016687052717175481,0.6484018264840182,0.008068636570269069,-0.0029357129622886906,0.012345394124377157,0.05340428570682174,0.009642319642615974,0.048894475257332023,0.0019530963498110823,0.04640161985563994,0.005934810394205814,0.04761642268707446,0.003282070506137767,0.0,0.0,0.0,0.0,0.00978933990926759,0.0022872625543434843,0.00866775822233232,0.0016092247574816029,anchor,2,0.8,0.1,30,2.4000000000000004,21.6,0.1,0.1,9,0.05,0.1,9,0.05,0.1,4,0.05,0.1,4,0.05,0.1
BG00002,strict,average_utilization,baseline,baseline,2,0,-1,10,0.7221917808219177,0.006864788879835113,0.9009992169055734,0.0033116122312926576,0.9012734932564784,0.0044551591793977885,0.9004506642037635,0.0037829450082046694,0.35960730593607304,0.005100192943152257,0.3625844748858447,0.004376802246690208,0.0008228290527149101,0.005626797426330089,0.0508789948449417,0.003844154396600827,0.05092612968350156,0.003044457890983236,0.04720557199859379,0.0020588824803344677,0.0479186976114852,0.001944935141876024,0.0,0.0,0.0,0.0,0.007909659340673132,0.0022170268685150485,0.00760372156531588,0.0017704581642394154,anchor,2,0.8,0.5,30,12.0,12.0,0.1,0.1,9,0.05,0.1,9,0.05,0.1,4,0.05,0.1,4,0.05,0.1
BG00002,strict,average_utilization,horizon_only,horizon_only,2,0,-1,10,0.7221917808219177,0.006864788879835113,0.9009992169055734,0.0033116122312926576,0.9012734932564784,0.0044551591793977885,0.9004506642037635,0.0037829450082046694,0.35960730593607304,0.005100192943152257,0.3625844748858447,0.004376802246690208,0.0008228290527149101,0.005626797426330089,0.0508789948449417,0.003844154396600827,0.05092612968350156,0.003044457890983236,0.04720557199859379,0.0020588824803344677,0.0479186976114852,0.001944935141876024,0.0,0.0,0.0,0.0,0.007909659340673132,0.0022170268685150485,0.00760372156531588,0.0017704581642394154,anchor,2,0.8,0.5,30,12.0,12.0,0.1,0.1,9,0.05,0.1,9,0.05,0.1,4,0.05,0.1,4,0.05,0.1
BG00002,strict,average_utilization,reservation_only,reservation_only,2,11,1,10,0.7258538812785388,0.007628404763261668,0.9017358697858805,0.0032349308946456492,0.9016341623353986,0.004074670866122717,0.9019392846868444,0.003917974938858749,0.3615251141552512,0.0053280364708936994,0.364337899543379,0.0044150001498047655,-0.00030512235144573017,0.005073767723780553,0.05071051929000532,0.003213109787143475,0.049231221033576994,0.003087632881285035,0.04699514429769268,0.00191140543770823,0.04799353981835624,0.002157182378185378,0.0,0.0,0.0,0.0,0.00804127895361469,0.002053159026408013,0.011064197119825871,0.004029848002190253,anchor,2,0.8,0.5,30,12.0,12.0,0.1,0.1,9,0.05,0.1,9,0.05,0.1,4,0.05,0.1,4,0.05,0.1
BG00002,strict,average_utilization,both_flexible,both_flexible,2,11,1,10,0.7258538812785388,0.007628404763261668,0.9017358697858805,0.0032349308946456492,0.9016341623353986,0.004074670866122717,0.9019392846868444,0.003917974938858749,0.3615251141552512,0.0053280364708936994,0.364337899543379,0.0044150001498047655,-0.00030512235144573017,0.005073767723780553,0.05071051929000532,0.003213109787143475,0.049231221033576994,0.003087632881285035,0.04699514429769268,0.00191140543770823,0.04799353981835624,0.002157182378185378,0.0,0.0,0.0,0.0,0.00804127895361469,0.002053159026408013,0.011064197119825871,0.004029848002190253,anchor,2,0.8,0.5,30,12.0,12.0,0.1,0.1,9,0.05,0.1,9,0.05,0.1,4,0.05,0.1,4,0.05,0.1
BG00002,strict,weighted_utilization,baseline,baseline,2,0,-1,10,0.7221917808219177,0.006864788879835113,0.9009992169055734,0.0033116122312926576,0.9012734932564784,0.0044551591793977885,0.9004506642037635,0.0037829450082046694,0.35960730593607304,0.005100192943152257,0.3625844748858447,0.004376802246690208,0.0008228290527149101,0.005626797426330089,0.0508789948449417,0.003844154396600827,0.05092612968350156,0.003044457890983236,0.04720557199859379,0.0020588824803344677,0.0479186976114852,0.001944935141876024,0.0,0.0,0.0,0.0,0.007909659340673132,0.0022170268685150485,0.00760372156531588,0.0017704581642394154,anchor,2,0.8,0.5,30,12.0,12.0,0.1,0.1,9,0.05,0.1,9,0.05,0.1,4,0.05,0.1,4,0.05,0.1
BG00002,strict,weighted_utilization,horizon_only,horizon_only,2,0,-1,10,0.7221917808219177,0.006864788879835113,0.9009992169055734,0.0033116122312926576,0.9012734932564784,0.0044551591793977885,0.9004506642037635,0.0037829450082046694,0.35960730593607304,0.005100192943152257,0.3625844748858447,0.004376802246690208,0.0008228290527149101,0.005626797426330089,0.0508789948449417,0.003844154396600827,0.05092612968350156,0.003044457890983236,0.04720557199859379,0.0020588824803344677,0.0479186976114852,0.001944935141876024,0.0,0.0,0.0,0.0,0.007909659340673132,0.0022170268685150485,0.00760372156531588,0.0017704581642394154,anchor,2,0.8,0.5,30,12.0,12.0,0.1,0.1,9,0.05,0.1,9,0.05,0.1,4,0.05,0.1,4,0.05,0.1
