background_id,variant,selection_objective,comparison,first_policy,second_policy,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,average_utilization_change_status,delta_weighted_utilization,delta_weighted_utilization_ci_low,delta_weighted_utilization_ci_high,weighted_utilization_change_status,delta_class_1_percent_serviced,delta_class_1_percent_serviced_ci_low,delta_class_1_percent_serviced_ci_high,class_1_percent_serviced_change_status,delta_class_2_percent_serviced,delta_class_2_percent_serviced_ci_low,delta_class_2_percent_serviced_ci_high,class_2_percent_serviced_change_status,delta_class_1_slot_utilization,delta_class_1_slot_utilization_ci_low,delta_class_1_slot_utilization_ci_high,class_1_slot_utilization_change_status,delta_class_2_slot_utilization,delta_class_2_slot_utilization_ci_low,delta_class_2_slot_utilization_ci_high,class_2_slot_utilization_change_status,n_paired_seeds,class_1_served_rate_direction,class_2_served_rate_direction,patient_group_tradeoff,patient_group_supported_tradeoff,design_note,horizon_days,rho,class1_share,slots_per_day,lambda_1,lambda_2,cancel_1,cancel_2,balk_threshold_1,balk_low_1,balk_high_1,balk_threshold_2,balk_low_2,balk_high_2,noshow_threshold_1,noshow_low_1,noshow_high_1,noshow_threshold_2,noshow_low_2,noshow_high_2
BG00089,strict,weighted_utilization,horizon_only_vs_baseline,horizon_only,baseline,0.0002082191780821252,-0.00013150684931511057,0.0006520547945204069,practical_tie,0.0003843225512674575,-0.0003413602401689753,0.001350046336792332,practical_tie,0.0001371936850294575,-0.000703659704467996,0.0010244049753086125,practical_tie,0.0008785802837434243,0.0,0.002066351475738992,practical_tie,-8.767123287672929e-05,-0.0003506849315068894,0.00015342465753423462,practical_tie,0.0003452054794520487,0.0,0.000723287671232864,practical_tie,10,tie,tie,both_groups_tied,both_groups_tied,sobol,2,1.2,0.5,50,30.0,30.0,0.3,0.2,24,0.05,0.1,5,0.2,0.4,20,0.1,0.2,4,0.05,0.4
BG00089,strict,weighted_utilization,reservation_only_vs_baseline,reservation_only,baseline,-0.0013150684931509283,-0.0035506849315070535,0.0013095890410954533,practical_tie,0.007591582136165354,0.005055582975975575,0.01006795758816688,supported_increase,0.015302040217534696,0.011523832615643402,0.019232372080757502,supported_increase,-0.007829334026573431,-0.011049273141263133,-0.005052098728247591,supported_decrease,0.00563835616438354,0.0020761643835616093,0.009359589041095873,supported_increase,-0.006427397260273965,-0.009074109589041075,-0.0036000000000000034,supported_decrease,10,increase,decrease,priority_gains_general_loses,priority_gains_general_loses,sobol,2,1.2,0.5,50,30.0,30.0,0.3,0.2,24,0.05,0.1,5,0.2,0.4,20,0.1,0.2,4,0.05,0.4
BG00089,strict,weighted_utilization,both_flexible_vs_baseline,both_flexible,baseline,-0.0013150684931509283,-0.0034249315068495476,0.0012609589041096775,practical_tie,0.007591582136165354,0.00510444247598485,0.010067577621264505,supported_increase,0.015302040217534696,0.011179483587713996,0.01919337673890173,supported_increase,-0.007829334026573431,-0.010938126254617942,-0.004995958245338116,supported_decrease,0.00563835616438354,0.002185616438356142,0.0094306849315068,supported_increase,-0.006427397260273965,-0.009150684931506814,-0.0036435616438356072,supported_decrease,10,increase,decrease,priority_gains_general_loses,priority_gains_general_loses,sobol,2,1.2,0.5,50,30.0,30.0,0.3,0.2,24,0.05,0.1,5,0.2,0.4,20,0.1,0.2,4,0.05,0.4
BG00089,strict,weighted_utilization,both_flexible_vs_horizon_only,both_flexible,horizon_only,-0.0015232876712330534,-0.003813698630137123,0.0010630136986296927,practical_tie,0.007207259584897896,0.005048065760926383,0.009358743674352188,supported_increase,0.015164846532505239,0.011705975864252049,0.01873736959911872,supported_increase,-0.008707914310316856,-0.01254254366708785,-0.005316847502231505,supported_decrease,0.00572602739726027,0.002164246575342431,0.009874383561643841,supported_increase,-0.006772602739726014,-0.009715753424657528,-0.0038627397260273914,supported_decrease,10,increase,decrease,priority_gains_general_loses,priority_gains_general_loses,sobol,2,1.2,0.5,50,30.0,30.0,0.3,0.2,24,0.05,0.1,5,0.2,0.4,20,0.1,0.2,4,0.05,0.4
BG00089,strict,weighted_utilization,both_flexible_vs_reservation_only,both_flexible,reservation_only,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,10,tie,tie,both_groups_tied,both_groups_tied,sobol,2,1.2,0.5,50,30.0,30.0,0.3,0.2,24,0.05,0.1,5,0.2,0.4,20,0.1,0.2,4,0.05,0.4
BG00089,strict,weighted_utilization,reservation_only_vs_horizon_only,reservation_only,horizon_only,-0.0015232876712330534,-0.003813972602739882,0.001008493150684557,practical_tie,0.007207259584897896,0.005039103487547905,0.00951639681454151,supported_increase,0.015164846532505239,0.011808159655929292,0.018525859711272574,supported_increase,-0.008707914310316856,-0.01206651130471795,-0.005410641536183239,supported_decrease,0.00572602739726027,0.002147808219178059,0.009885205479452087,supported_increase,-0.006772602739726014,-0.009797397260273977,-0.003901369863013692,supported_decrease,10,increase,decrease,priority_gains_general_loses,priority_gains_general_loses,sobol,2,1.2,0.5,50,30.0,30.0,0.3,0.2,24,0.05,0.1,5,0.2,0.4,20,0.1,0.2,4,0.05,0.4
BG00090,strict,average_utilization,horizon_only_vs_baseline,horizon_only,baseline,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,10,tie,tie,both_groups_tied,both_groups_tied,sobol,2,1.0,0.3,30,9.0,21.0,0.2,0.1,24,0.1,0.3,24,0.05,0.1,20,0.05,0.4,14,0.2,0.3
BG00090,strict,average_utilization,reservation_only_vs_baseline,reservation_only,baseline,0.002091324200913325,-0.0013794520547944383,0.0057173515981739035,practical_tie,-0.00022518067843740885,-0.001877207388987936,0.0013047061833085117,practical_tie,-0.0011025876818585134,-0.004514878529854898,0.0017461472877111945,practical_tie,0.0015296333284048002,-0.0007752886241465459,0.004080577627078171,practical_tie,-0.000493150684931501,-0.0017990867579908535,0.0005296803652968197,practical_tie,0.002566210045662087,-0.001169178082191781,0.0065757990867579726,practical_tie,10,tie,tie,both_groups_tied,both_groups_tied,sobol,2,1.0,0.3,30,9.0,21.0,0.2,0.1,24,0.1,0.3,24,0.05,0.1,20,0.05,0.4,14,0.2,0.3
BG00090,strict,average_utilization,both_flexible_vs_baseline,both_flexible,baseline,0.002091324200913325,-0.001452283105022847,0.005589269406392965,practical_tie,-0.00022518067843740885,-0.0019149602760935279,0.0013559097753955392,practical_tie,-0.0011025876818585134,-0.004331711004571298,0.0018227672121287934,practical_tie,0.0015296333284048002,-0.00095700734015193,0.0042436215400486945,practical_tie,-0.000493150684931501,-0.0017173515981735146,0.0005481735159817593,practical_tie,0.002566210045662087,-0.0012148401826484036,0.006466666666666633,practical_tie,10,tie,tie,both_groups_tied,both_groups_tied,sobol,2,1.0,0.3,30,9.0,21.0,0.2,0.1,24,0.1,0.3,24,0.05,0.1,20,0.05,0.4,14,0.2,0.3
BG00090,strict,average_utilization,both_flexible_vs_horizon_only,both_flexible,horizon_only,0.002091324200913325,-0.001479908675799059,0.0057175799086761885,practical_tie,-0.00022518067843740885,-0.001964984432877079,0.0013995905907519344,practical_tie,-0.0011025876818585134,-0.004397885787550413,0.001727561300845743,practical_tie,0.0015296333284048002,-0.0007107640556847683,0.0041067368988592316,practical_tie,-0.000493150684931501,-0.0017901826484018131,0.0005570776255707844,practical_tie,0.002566210045662087,-0.001168949771689477,0.006593607305936044,practical_tie,10,tie,tie,both_groups_tied,both_groups_tied,sobol,2,1.0,0.3,30,9.0,21.0,0.2,0.1,24,0.1,0.3,24,0.05,0.1,20,0.05,0.4,14,0.2,0.3
