alpha,policy,n,median_rev_pct_gain_vs_avg,rev_pct_gain_vs_avg_ci_low,rev_pct_gain_vs_avg_ci_high,median_dU_pp,dU_pp_ci_low,dU_pp_ci_high,median_dSR1_pp,dSR1_pp_ci_low,dSR1_pp_ci_high,median_dSR2_pp,dSR2_pp_ci_low,dSR2_pp_ci_high,same_policy_cell_pct,avg_median_H,rev_median_H,avg_median_Q_fraction,rev_median_Q_fraction,avg_median_W,rev_median_W
1.3,horizon_only,3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.25,4.0,4.0,0.0,0.0,-1.0,-1.0
1.3,reservation_only,3600,0.0913942861129529,0.07471521254091534,0.10638526720499131,0.0,0.0,0.0,1.1016565922791322,0.9164521357544864,1.2149685620049366,-0.41888147776021345,-0.5751423752012208,-0.32732058161912825,35.55555555555556,14.0,14.0,0.96,1.0,10.0,14.0
1.3,both_flexible,3600,0.7698669772596164,0.7431430659886831,0.7910593861109672,-0.009132420091328974,-0.01150684931506829,-0.005479452054812928,4.422541669867286,4.362702314247424,4.6034532160048265,-6.72945729894954,-7.49440279748565,-5.85253337410812,9.0,4.0,4.0,0.72,1.0,4.0,4.0
1.6,horizon_only,3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.08333333333333,4.0,2.0,0.0,0.0,-1.0,-1.0
1.6,reservation_only,3600,0.22749499469038745,0.186832349578809,0.2953310247450207,0.0,0.0,0.0,1.3199686032955849,1.2505334065485374,1.3817863059034652,-0.7790283143739501,-0.9071754653926178,-0.528710651892117,30.027777777777775,14.0,14.0,0.96,1.0,10.0,14.0
1.6,both_flexible,3600,1.407512260623576,1.2881432557932087,1.5890663292558935,-0.02109589041093818,-0.02374429223748753,-0.01735159817352061,4.614618218467104,4.463677214179851,4.691702375504292,-7.073223986092936,-7.6840836458748285,-5.85253337410812,2.083333333333333,4.0,6.0,0.72,1.0,4.0,6.0
2.0,horizon_only,3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.24999999999999,4.0,2.0,0.0,0.0,-1.0,-1.0
2.0,reservation_only,3600,0.41779146998750744,0.3801468537968235,0.4998702027855042,0.0,0.0,0.0,1.3795216510781472,1.281089310235996,1.5158471767108161,-0.9143768421479681,-0.9598017213091146,-0.7932011756604435,25.944444444444443,14.0,14.0,0.96,1.0,10.0,14.0
2.0,both_flexible,3600,2.0831576702361407,1.9104643777252894,2.2082840037952254,-0.02557077625572335,-0.030684931506841373,-0.02374429223748198,4.7215207963233645,4.691702375504292,5.025268508805825,-7.596240890486277,-7.731282655264579,-6.4000067996199785,1.3333333333333335,4.0,6.0,0.72,1.0,4.0,6.0
