class1_high_balk,seed,average_utilization,overall_percent_serviced,total_served
0.0,1,0.8407534246575342,0.26771997922532326,9794
0.0,2,0.8458904109589042,0.2711384683026023,9867
0.0,3,0.8382705479452055,0.264892578125,9765
0.0,4,0.8359589041095891,0.26350931257264887,9748
0.0,5,0.8377568493150684,0.26631946338005125,9767
0.0,6,0.848458904109589,0.27276735278719244,9899
0.0,7,0.8425513698630137,0.2698569585152239,9829
0.0,8,0.8365582191780822,0.26795269324698845,9765
0.0,9,0.8361301369863013,0.26738202124165117,9768
0.0,10,0.8413527397260274,0.2679000874508089,9803
0.0,11,0.8375,0.2680834685068595,9751
0.0,12,0.8363869863013699,0.26772129301584685,9748
0.0,13,0.844777397260274,0.2722788647010196,9881
0.0,14,0.8393835616438357,0.27000911073686534,9780
0.0,15,0.835445205479452,0.2672700762056728,9715
0.0,16,0.8401541095890411,0.26996699669966995,9816
0.0,17,0.8428938356164384,0.2707189939049615,9816
0.0,18,0.8443493150684932,0.2700944328538487,9839
0.0,19,0.8381849315068494,0.2675566032564004,9761
0.0,20,0.8348458904109589,0.2662900394910048,9710
0.0,21,0.8419520547945205,0.2695879840154334,9782
0.0,22,0.8403253424657534,0.2684331797235023,9786
0.0,23,0.8386130136986302,0.266732229689122,9764
0.0,24,0.8346746575342465,0.26945181255526085,9752
0.0,25,0.8409246575342466,0.26997275504306906,9810
0.0,26,0.8425513698630137,0.27014400351764317,9830
0.0,27,0.8398116438356165,0.2683968462549277,9804
0.0,28,0.8444349315068493,0.2691349916536683,9835
0.0,29,0.8409246575342466,0.2716777408637874,9813
0.0,30,0.8417808219178082,0.26673927842069434,9796
0.0,31,0.8388698630136986,0.26751278754889357,9780
0.0,32,0.842722602739726,0.26868322540098916,9833
0.0,33,0.8342465753424657,0.26713382797471835,9721
0.0,34,0.839041095890411,0.2661384736856435,9775
0.0,35,0.8398116438356165,0.2673643368490081,9785
0.0,36,0.8426369863013699,0.2709666740233944,9822
0.0,37,0.8458047945205479,0.27015411568257097,9869
0.0,38,0.8363013698630137,0.26752554664322603,9739
0.0,39,0.8359589041095891,0.26630732187807815,9733
0.0,40,0.841181506849315,0.2675822229488542,9820
0.0,41,0.8404965753424658,0.2689802984090347,9789
0.0,42,0.8361301369863013,0.2671418779986292,9744
0.0,43,0.8417808219178082,0.2685808039376538,9822
0.0,44,0.8383561643835616,0.26701327130934466,9758
0.0,45,0.8410102739726028,0.27021505673191065,9788
0.0,46,0.8379280821917808,0.2702127659574468,9779
0.0,47,0.8422945205479452,0.2692908637372879,9824
0.0,48,0.839041095890411,0.2689346020570926,9779
0.0,49,0.842722602739726,0.2679742132867133,9810
0.0,50,0.8384417808219178,0.26560674004620194,9773
0.0,51,0.8394691780821918,0.268011843403882,9776
0.0,52,0.844263698630137,0.2697733135737417,9830
0.0,53,0.8451198630136987,0.27258425105572576,9876
0.0,54,0.8329623287671233,0.26494791809060336,9691
0.0,55,0.8446917808219178,0.27033130456335547,9816
0.0,56,0.8392123287671233,0.26843504233688653,9796
0.0,57,0.8394691780821918,0.26737880032867706,9762
0.0,58,0.8471746575342466,0.2709458163181407,9886
0.0,59,0.8479452054794521,0.2686133369550455,9889
0.0,60,0.8404965753424658,0.2682445759368836,9792
0.0,61,0.8441780821917808,0.2724957790140884,9845
0.0,62,0.8412671232876713,0.2687049669872058,9808
0.0,63,0.8385273972602739,0.2678963548528766,9760
0.0,64,0.8415239726027397,0.2670479302832244,9806
0.0,65,0.8395547945205479,0.2692793584532572,9805
0.0,66,0.8389554794520548,0.26780712834312703,9753
0.0,67,0.8358732876712329,0.26668858027227654,9736
0.0,68,0.84375,0.26845527566799626,9826
0.0,69,0.8422945205479452,0.26964565092086845,9824
0.0,70,0.8467465753424658,0.26913620717915093,9852
0.0,71,0.8436643835616439,0.2672071385820774,9822
0.0,72,0.8446917808219178,0.27087346579338434,9843
0.0,73,0.8466609589041096,0.2699843797100655,9852
0.0,74,0.8395547945205479,0.26718703092164514,9790
0.0,75,0.8450342465753424,0.27164335279215773,9865
0.0,76,0.843236301369863,0.26894498169698955,9845
0.0,77,0.8375856164383562,0.26719019344953077,9765
0.0,78,0.8417808219178082,0.26585299701654463,9802
0.0,79,0.8357876712328767,0.2665318614056181,9754
0.0,80,0.8396404109589041,0.2697130887743571,9786
0.0,81,0.8355308219178083,0.2677228048981385,9751
0.0,82,0.8394691780821918,0.26652510072960905,9790
0.0,83,0.8450342465753424,0.26907916347311944,9830
0.0,84,0.8423801369863013,0.2690928991654125,9834
0.0,85,0.8426369863013699,0.2689606165787532,9841
0.0,86,0.8425513698630137,0.2703163686382393,9826
0.0,87,0.8436643835616439,0.27129172072992297,9827
0.0,88,0.8439212328767123,0.26747472551364276,9842
0.0,89,0.8327054794520548,0.26331248300244764,9682
0.0,90,0.8404109589041096,0.26990125227561096,9785
0.0,91,0.841181506849315,0.2660630285232618,9785
0.0,92,0.8426369863013699,0.2690146635603673,9815
0.0,93,0.84375,0.2699945145364783,9844
0.0,94,0.8452054794520548,0.2684287891986063,9861
0.0,95,0.8400684931506849,0.26779910970314336,9806
0.0,96,0.8384417808219178,0.26866000385451944,9758
0.0,97,0.8448630136986301,0.27044869336547417,9873
0.0,98,0.8333904109589041,0.26722171846234166,9725
0.0,99,0.8379280821917808,0.2675113817124678,9754
0.0,100,0.8388698630136986,0.2676356483252281,9796
0.1,1,0.8414383561643836,0.2683266823375062,9817
0.1,2,0.8436643835616439,0.27002552070470076,9840
0.1,3,0.8384417808219178,0.2683537340118278,9756
0.1,4,0.8416095890410958,0.26725596115021555,9796
0.1,5,0.8420376712328768,0.2686713782847163,9846
0.1,6,0.8345890410958904,0.26761493383222823,9727
0.1,7,0.8387842465753425,0.26925724986918564,9777
0.1,8,0.8388698630136986,0.2673726731808505,9796
0.1,9,0.8351883561643836,0.2667636483407899,9719
0.1,10,0.8454623287671232,0.27023473664028047,9866
0.1,11,0.8392123287671233,0.2673091138062255,9764
0.1,12,0.8403253424657534,0.2659814558011801,9782
0.1,13,0.8401541095890411,0.2665230668557095,9775
0.1,14,0.8361301369863013,0.26900181888331587,9761
0.1,15,0.8357020547945205,0.26509436531495956,9734
0.1,16,0.8353595890410959,0.26508950010914645,9715
0.1,17,0.8418664383561644,0.26828400098573424,9798
0.1,18,0.8421232876712329,0.26847492883731117,9809
0.1,19,0.8418664383561644,0.26590082016185973,9791
0.1,20,0.8412671232876713,0.2685672034176799,9807
0.1,21,0.8417808219178082,0.2664034848897359,9785
0.1,22,0.8408390410958904,0.26853938760925733,9770
0.1,23,0.842208904109589,0.26981677917068464,9793
0.1,24,0.8363869863013699,0.2671390271926465,9765
0.1,25,0.8416095890410958,0.26821137767091097,9816
0.1,26,0.8389554794520548,0.2665432670060157,9792
0.1,27,0.8353595890410959,0.2652094618504505,9743
0.1,28,0.8361301369863013,0.2675668986001485,9729
0.1,29,0.8380993150684931,0.26557439512288056,9758
0.1,30,0.8430650684931507,0.2690750970847235,9839
0.1,31,0.8388698630136986,0.2659661127403063,9795
0.1,32,0.8428082191780822,0.26972980386778217,9833
0.1,33,0.8407534246575342,0.2671578660117342,9790
0.1,34,0.8488013698630137,0.26844379228825305,9879
0.1,35,0.8434075342465753,0.2697563384919328,9831
0.1,36,0.839041095890411,0.26508568179972386,9792
0.1,37,0.8388698630136986,0.2682633091556042,9801
0.1,38,0.8445205479452055,0.27100308302136095,9845
0.1,39,0.844777397260274,0.2711644948896664,9843
0.1,40,0.8389554794520548,0.26489439381236984,9795
0.1,41,0.8485445205479452,0.2709194993015421,9891
0.1,42,0.8440924657534247,0.26870274843745734,9845
0.1,43,0.8404109589041096,0.26792442527166493,9813
0.1,44,0.836472602739726,0.26678915183590646,9729
0.1,45,0.8421232876712329,0.26805108333788136,9823
0.1,46,0.8456335616438356,0.2711286954610397,9868
0.1,47,0.8413527397260274,0.27095812515527096,9816
0.1,48,0.8385273972602739,0.2646795827123696,9768
0.1,49,0.844777397260274,0.26786881673567225,9834
0.1,50,0.8405821917808219,0.26750914351220045,9801
0.1,51,0.8417808219178082,0.2664638122147359,9808
0.1,52,0.8402397260273973,0.2660243324895893,9774
0.1,53,0.8461472602739726,0.2713736263736264,9878
0.1,54,0.8359589041095891,0.2660655737704918,9738
0.1,55,0.8434075342465753,0.2687457256189304,9824
0.1,56,0.8402397260273973,0.2661661089801137,9784
0.1,57,0.8430650684931507,0.2649909554793596,9815
0.1,58,0.8376712328767123,0.26812751197489404,9740
0.1,59,0.8475171232876713,0.2690330477356181,9891
0.1,60,0.842208904109589,0.27047755676331836,9804
0.1,61,0.84375,0.26810511155194433,9866
0.1,62,0.8393835616438357,0.2663835116665305,9784
0.1,63,0.8449486301369863,0.2701590784421284,9850
0.1,64,0.8351027397260274,0.26505039498774174,9730
0.1,65,0.8449486301369863,0.2665352310476139,9869
0.1,66,0.8415239726027397,0.2705171367073238,9803
0.1,67,0.8464041095890411,0.27075158466646543,9867
0.1,68,0.8393835616438357,0.267309425613853,9787
0.1,69,0.8468321917808219,0.2704781192698213,9883
0.1,70,0.8416095890410958,0.26972941726994965,9799
0.1,71,0.8404965753424658,0.2660351239108602,9801
0.1,72,0.8458904109589042,0.2711705759277613,9850
0.1,73,0.8363869863013699,0.26824046115838596,9772
0.1,74,0.8433219178082192,0.2705999227330427,9806
0.1,75,0.8376712328767123,0.2682692571554019,9776
0.1,76,0.8418664383561644,0.2682780445220428,9834
0.1,77,0.8454623287671232,0.2713710566953452,9841
0.1,78,0.8407534246575342,0.2677395557255663,9799
0.1,79,0.8392123287671233,0.26783325598536756,9811
0.1,80,0.8363869863013699,0.26694613403474166,9743
0.1,81,0.843236301369863,0.26907916347311944,9830
0.1,82,0.8417808219178082,0.26841817186644773,9808
0.1,83,0.8404109589041096,0.26791430682098005,9792
0.1,84,0.8446917808219178,0.2686542714391023,9840
0.1,85,0.8363869863013699,0.26617193681281204,9756
0.1,86,0.8415239726027397,0.27028738163400134,9819
0.1,87,0.838013698630137,0.264904432696218,9771
0.1,88,0.8374143835616439,0.266113228089276,9777
0.1,89,0.8418664383561644,0.2705089985646461,9800
0.1,90,0.8386986301369863,0.26653055668980535,9791
0.1,91,0.8392123287671233,0.268477366255144,9786
0.1,92,0.8368150684931507,0.2660775650466372,9756
0.1,93,0.8470890410958904,0.2708378970427163,9891
0.1,94,0.8420376712328768,0.2672040521772283,9812
0.1,95,0.8435787671232877,0.26881867008369914,9860
0.1,96,0.8429794520547945,0.2676950750865335,9822
0.1,97,0.8416952054794521,0.269186587167004,9842
0.1,98,0.8389554794520548,0.26529394210683377,9779
0.1,99,0.8416095890410958,0.2674909447425039,9822
0.1,100,0.8399828767123287,0.26858993714144547,9785
0.2,1,0.8436643835616439,0.2674807582474367,9835
0.2,2,0.8415239726027397,0.26981116516863196,9816
0.2,3,0.8398116438356165,0.2703322194913148,9789
0.2,4,0.8440924657534247,0.2685498852584417,9830
0.2,5,0.8346746575342465,0.2688647930958177,9720
0.2,6,0.8416095890410958,0.2696926297234769,9792
0.2,7,0.8395547945205479,0.26916524701873934,9796
0.2,8,0.8387842465753425,0.2690677966101695,9779
0.2,9,0.8460616438356164,0.2683635770944257,9879
0.2,10,0.8431506849315068,0.2686591629330128,9834
0.2,11,0.8412671232876713,0.2701717567791462,9784
0.2,12,0.8404109589041096,0.26936304856238824,9790
0.2,13,0.8394691780821918,0.2678615473156294,9774
0.2,14,0.8392979452054794,0.2679454600103834,9806
0.2,15,0.8430650684931507,0.26979689170298493,9843
0.2,16,0.8417808219178082,0.26699531539383375,9803
0.2,17,0.8367294520547945,0.26587290750703185,9736
0.2,18,0.8440068493150685,0.2713077961060777,9852
0.2,19,0.8410958904109589,0.2683500670259623,9809
0.2,20,0.843236301369863,0.27071975329037945,9832
0.2,21,0.8357020547945205,0.265023743245456,9711
0.2,22,0.8401541095890411,0.26690469052356164,9793
0.2,23,0.8360445205479452,0.267200263143468,9748
0.2,24,0.843236301369863,0.26564144071226226,9846
0.2,25,0.8417808219178082,0.26890319046967,9819
0.2,26,0.8404109589041096,0.2687356195902268,9811
0.2,27,0.8383561643835616,0.26605404817573813,9786
0.2,28,0.839041095890411,0.26709384156192667,9754
0.2,29,0.8369006849315068,0.26889598942265314,9762
0.2,30,0.8386986301369863,0.2683535966188215,9778
0.2,31,0.839041095890411,0.26780579972069335,9780
0.2,32,0.8416095890410958,0.2709461700011053,9805
0.2,33,0.8360445205479452,0.26606455837812765,9751
0.2,34,0.8420376712328768,0.27030002752546106,9820
0.2,35,0.8446061643835616,0.271758044468996,9839
0.2,36,0.8475171232876713,0.27271724137931036,9886
0.2,37,0.8369006849315068,0.26797224279327464,9770
0.2,38,0.8322773972602739,0.26541591566988915,9719
0.2,39,0.8424657534246576,0.2670462284453404,9803
0.2,40,0.8403253424657534,0.2678415061295972,9788
0.2,41,0.8398116438356165,0.26864116275880984,9796
0.2,42,0.8410102739726028,0.2678126625242931,9784
0.2,43,0.8400684931506849,0.2714732847685788,9801
0.2,44,0.8385273972602739,0.26766748085737024,9753
0.2,45,0.8420376712328768,0.2687147472756147,9814
0.2,46,0.8401541095890411,0.26529783026789827,9794
0.2,47,0.8413527397260274,0.2685195316774264,9816
0.2,48,0.8382705479452055,0.2676118134203527,9759
0.2,49,0.8404965753424658,0.2700910666629983,9817
0.2,50,0.8403253424657534,0.26922020867655133,9805
0.2,51,0.8404109589041096,0.26814405946005027,9813
0.2,52,0.8405821917808219,0.2669425763062597,9804
0.2,53,0.8397260273972603,0.26931221296372687,9793
0.2,54,0.8422945205479452,0.27190768121168407,9802
0.2,55,0.8393835616438357,0.2664813452157087,9778
0.2,56,0.8355308219178083,0.2674150518746226,9743
0.2,57,0.8404965753424658,0.270100814804585,9779
0.2,58,0.8386130136986302,0.265121214594727,9744
0.2,59,0.8420376712328768,0.2691611842105263,9819
0.2,60,0.8413527397260274,0.2665888040850694,9815
0.2,61,0.8386130136986302,0.2686423949994517,9799
0.2,62,0.8423801369863013,0.26743679163034,9816
0.2,63,0.8400684931506849,0.269741015528036,9780
0.2,64,0.8404109589041096,0.2669246702278426,9794
0.2,65,0.8425513698630137,0.2686269146608315,9821
0.2,66,0.8363869863013699,0.2689860342120486,9765
0.2,67,0.8381849315068494,0.2708864972817042,9766
0.2,68,0.8377568493150684,0.2657658884742161,9756
0.2,69,0.844263698630137,0.2688075148139046,9844
0.2,70,0.8421232876712329,0.2690579273305201,9819
0.2,71,0.8361301369863013,0.2675414516306138,9746
0.2,72,0.8457191780821918,0.2718610175109098,9843
0.2,73,0.8351027397260274,0.26497005988023953,9735
0.2,74,0.84375,0.26891238423080077,9843
0.2,75,0.8449486301369863,0.27132103565224586,9840
0.2,76,0.8401541095890411,0.267612564586238,9789
0.2,77,0.8394691780821918,0.2651891686357587,9764
0.2,78,0.8398116438356165,0.2684305868145139,9780
0.2,79,0.8383561643835616,0.2670473172330893,9775
0.2,80,0.8386986301369863,0.27101975233398895,9783
0.2,81,0.8405821917808219,0.26896684233640755,9799
0.2,82,0.839041095890411,0.2658661160617257,9786
0.2,83,0.8386986301369863,0.26691996501202714,9765
0.2,84,0.8490582191780822,0.2689762235476755,9876
0.2,85,0.8428082191780822,0.2699582142071696,9820
0.2,86,0.8440924657534247,0.2670952342203054,9847
0.2,87,0.8422945205479452,0.2698068097501992,9818
0.2,88,0.8428082191780822,0.26940676805041786,9832
0.2,89,0.8435787671232877,0.26870813397129184,9828
0.2,90,0.8305650684931507,0.2653117125013696,9686
0.2,91,0.8421232876712329,0.27016627731207915,9830
0.2,92,0.8405821917808219,0.2702247965797821,9797
0.2,93,0.8422945205479452,0.2692307692307692,9814
0.2,94,0.8499143835616438,0.27217570350034315,9914
0.2,95,0.8422945205479452,0.2689140011492051,9828
0.2,96,0.8420376712328768,0.267881075462925,9794
0.2,97,0.8448630136986301,0.2701982753885868,9839
0.2,98,0.8418664383561644,0.26885731526688245,9802
0.2,99,0.846318493150685,0.27292805477334214,9886
0.2,100,0.8352739726027397,0.26452595230974196,9729
0.3,1,0.8419520547945205,0.26885075403016123,9823
0.3,2,0.8468321917808219,0.27006700396554084,9875
0.3,3,0.8428082191780822,0.2686501739678365,9806
0.3,4,0.8459760273972603,0.27018505825908157,9855
0.3,5,0.8368150684931507,0.2662458326501612,9743
0.3,6,0.8402397260273973,0.2680003283982376,9793
0.3,7,0.8431506849315068,0.2711308375144732,9835
0.3,8,0.8429794520547945,0.2677135301654808,9820
0.3,9,0.8387842465753425,0.269301647550678,9791
0.3,10,0.8401541095890411,0.2683207046530076,9809
0.3,11,0.8371575342465754,0.26415860892175186,9753
0.3,12,0.8382705479452055,0.27079127139972897,9791
0.3,13,0.8508561643835616,0.2724254314957605,9928
0.3,14,0.8416952054794521,0.26852737760039364,9823
0.3,15,0.8402397260273973,0.26559361598175996,9785
0.3,16,0.8404109589041096,0.27018976169461606,9796
0.3,17,0.8367294520547945,0.26844437106139407,9755
0.3,18,0.841181506849315,0.2679342184341365,9808
0.3,19,0.8421232876712329,0.26749207390401225,9787
0.3,20,0.8353595890410959,0.2642346092113496,9713
0.3,21,0.8425513698630137,0.2685672034176799,9807
0.3,22,0.8438356164383561,0.26741719693261545,9834
0.3,23,0.8428082191780822,0.2664314789687924,9818
0.3,24,0.8378424657534247,0.26573769153308113,9764
0.3,25,0.8399828767123287,0.26779133568094343,9810
0.3,26,0.841181506849315,0.2693750171096937,9840
