class_1_step,class_2_step,average_utilization,overall_percent_serviced,mean_accepted_booking_delay,mean_offered_booking_delay,class_1_percent_serviced,class_2_percent_serviced,class_1_mean_offered_booking_delay,class_2_mean_offered_booking_delay,access_advantage_class_1,delay_advantage_class_1
0.0,0.5,0.8414383561643836,0.267639040348964,9.445358493508518,9.94206450348005,0.29485720479054894,0.24008339276896912,9.949353938055971,9.934679647414814,0.054773812021579826,-0.014674290641156773
0.05,0.5,0.8367294520547945,0.26597836774827927,9.439132981839485,9.998976622213695,0.29338409755559236,0.23911514954838012,10.053140096618357,9.94556656504065,0.05426894800721224,-0.10757353157770666
0.1,0.5,0.8428938356164384,0.26863222383283647,9.460165586190737,10.076297841861045,0.2908702557642806,0.24644886363636365,10.046258673501281,10.106118902817427,0.04442139212791696,0.05986022931614521
0.15000000000000002,0.5,0.8434075342465753,0.2701714851049797,9.428604896333606,10.095869485518758,0.2943623426382047,0.24577767965559114,10.091611882152423,10.100159470068695,0.048584662982613575,0.008547587916272192
0.2,0.5,0.8375856164383562,0.268408616331465,9.429406457180965,10.158719752056264,0.28884374656857364,0.24793752062479374,10.18279761904762,10.134578658391025,0.040906225943779906,-0.04821896065659459
0.25,0.5,0.8370719178082192,0.26976423548876327,9.38371453273599,10.183461259956553,0.2854696132596685,0.2541150564271952,10.189683184402924,10.177259846162743,0.031354556832473346,-0.012423338240180826
0.30000000000000004,0.5,0.8389554794520548,0.26729705425511624,9.307119792076868,10.169403532532025,0.2827173913043478,0.25178991091435754,10.199200495467597,10.139471749335446,0.03092748038999027,-0.0597287461321514
0.35000000000000003,0.5,0.8400684931506849,0.2686223440712817,9.246705680958637,10.157388354374062,0.2804157549234136,0.2567738389667491,10.126663708961846,10.188287785833799,0.023641915956664483,0.06162407687195248
0.4,0.5,0.8425513698630137,0.2686236423822942,9.04245283018868,9.97488791704486,0.2791411042944785,0.25812974804612776,9.950751941827797,9.998956273346517,0.021011356248350765,0.04820433151872017
0.45,0.5,0.834332191780822,0.2670192940144705,8.667234998128665,9.616769913930158,0.27176896892500274,0.26228521396519644,9.608335163628377,9.625177887246853,0.009483754959806301,0.01684272361847583
0.5,0.5,0.8385273972602739,0.2681413986167527,8.239743040685225,9.203727083104623,0.26882850976703004,0.2674652872311462,9.191909689557855,9.215355295398856,0.0013632225358838346,0.023445605841001083
0.55,0.5,0.8430650684931507,0.27063551041752676,8.065326195760978,9.011587262268462,0.2659732540861813,0.2753000770840216,8.998073853943096,9.025107367030063,-0.009326822997840323,0.027033513086967886
0.6000000000000001,0.5,0.8387842465753425,0.26736974399606567,7.819924056287693,8.780689052211688,0.2555041831792162,0.27906472088102857,8.787153236459709,8.774317799598546,-0.02356053770181238,-0.012835436861163174
0.65,0.5,0.8455479452054795,0.27124138120484576,7.634854771784233,8.604126033568662,0.256182869732856,0.2862231477422183,8.610134949049849,8.598147742218325,-0.03004027800936232,-0.011987206831523878
0.7000000000000001,0.5,0.8444349315068493,0.26968320840400506,7.554936341805989,8.547710236909777,0.24891262456642624,0.2901962916644011,8.566261080218025,8.529389375237889,-0.04128366709797485,-0.036871704980136144
0.75,0.5,0.8452054794520548,0.27128947078886567,7.458386104577529,8.460501705358125,0.24718236296662818,0.2954257720041834,8.460992907801419,8.460009908075081,-0.048243409037555224,-0.0009829997263377521
0.8,0.5,0.8355308219178083,0.26761142481223615,7.464159596422839,8.487336220601941,0.24351704013654132,0.2915006277635242,8.470406871111601,8.504121404006769,-0.047983587626982876,0.03371453289516779
0.8500000000000001,0.5,0.8413527397260274,0.27039819477696136,7.403881615342062,8.451250722364401,0.24542834977280284,0.29503088613130707,8.434001994901918,8.468266550046465,-0.04960253635850423,0.034264555144547515
0.9,0.5,0.8402397260273973,0.26801286243732286,7.3491677747718835,8.424651188140396,0.23498223558349277,0.300853214499212,8.42208253621208,8.427205043204173,-0.06587097891571922,0.0051225069920928235
0.9500000000000001,0.5,0.8399828767123287,0.26934176171499247,7.305717727736076,8.401868902020063,0.23559482135911541,0.3023711115945182,8.416291604156248,8.387752882314553,-0.06677629023540277,-0.028538721841695036
1.0,0.5,0.8386986301369863,0.2682170116962276,7.286877996555416,8.399703475921147,0.23077768014059755,0.3056440101021192,8.40927065026362,8.390139453167892,-0.07486632996152168,-0.01913119709572797
