sweep,point,low,high,step,label,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay
fixed_step,1,0.0,0.3,0.3,b₁=0.30,13,2,18103,11316,6253,17569,534,5884,735,4679,8.83227288794627,10.065228527520064,0.25846544771584823,0.40059931506849317,0.35591097956628154,99946.0,176836.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,14,1,18252,13889,3718,17607,645,7706,980,5180,9.581395348837209,10.170670755949338,0.28380451457374534,0.4434931506849315,0.21116601351735106,133076.0,179075.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,14,2,18329,11495,6208,17703,626,5994,848,4643,8.973553719008265,10.16624300965938,0.2533144197719461,0.39751712328767125,0.35067502683161045,103151.0,179973.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,15,1,18433,13962,3808,17770,663,7696,1075,5164,9.56138089098983,10.155543050084411,0.28014973145988176,0.4421232876712329,0.21429375351716376,133496.0,180464.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,15,2,18409,11473,6181,17654,755,6037,796,4621,8.997298004009414,10.16812053925456,0.2510185235482644,0.3956335616438356,0.3501189532117367,103226.0,179508.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,16,1,18058,13752,3777,17529,529,7554,1017,5163,9.525596276905178,10.127902333276285,0.2859120611363385,0.44203767123287674,0.2154715043641965,130996.0,177532.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,16,2,18198,11457,6235,17692,506,5981,823,4633,9.001134677489745,10.172789961564549,0.25458841630948453,0.3966609589041096,0.35241917250734794,103126.0,179977.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,17,1,18152,13866,3812,17678,474,7662,1101,5086,9.550194720900043,10.135026586717954,0.28018951079770826,0.43544520547945204,0.215635252856658,132423.0,179167.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,17,2,18187,11417,6287,17704,483,5951,789,4669,8.908294648331436,10.099130140081337,0.256721834277231,0.3997431506849315,0.35511748757342976,101706.0,178795.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,18,1,18270,13886,3739,17625,645,7683,1021,5162,9.527941811896875,10.127148936170213,0.28253968253968254,0.44195205479452054,0.21214184397163122,132305.0,178491.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,18,2,18336,11583,6120,17703,633,6104,824,4646,8.93645860312527,10.10608371462464,0.2533813263525305,0.3977739726027397,0.34570411794611083,103511.0,178908.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,19,1,18249,13866,3770,17636,613,7621,1043,5189,9.57615750757248,10.158992968927194,0.2843443476354869,0.444263698630137,0.21376729417101384,132783.0,179164.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,19,2,18339,11397,6303,17700,639,5993,800,4598,8.976660524699483,10.151242937853107,0.2507225039533235,0.39366438356164385,0.35610169491525423,102307.0,179677.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,20,1,18247,13853,3644,17497,750,7607,1071,5155,9.618638562044323,10.192604446476539,0.28251219378527975,0.4413527397260274,0.20826427387552152,133247.0,178340.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,20,2,18512,11477,6291,17768,744,6062,843,4558,9.08756643722227,10.259230076542098,0.24621866897147796,0.39023972602739726,0.3540634849167042,104298.0,182286.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,21,1,18261,13953,3680,17633,628,7761,1030,5143,9.598365942807998,10.171666761186412,0.2816384644871584,0.44032534246575344,0.20869959734588556,133926.0,179357.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,21,2,18255,11408,6112,17520,735,5938,798,4664,8.922598176718093,10.123173515981735,0.2554916461243495,0.3993150684931507,0.34885844748858447,101789.0,177358.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,22,1,18564,14120,3856,17976,588,7918,1022,5160,9.596175637393769,10.187861593235425,0.2779573367808662,0.4417808219178082,0.21450823319982198,135498.0,183137.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,22,2,18210,11529,6121,17650,560,6049,796,4674,8.939457021424234,10.127308781869688,0.25667215815485994,0.4001712328767123,0.3467988668555241,103063.0,178747.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,23,1,18429,14061,3708,17769,660,7749,1087,5201,9.574212360429557,10.148066858011143,0.2822182429865972,0.44529109589041094,0.20867803477967245,134623.0,180321.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,23,2,18421,11579,6204,17783,638,6186,765,4617,8.937473011486311,10.12517572962942,0.2506378589653113,0.39529109589041095,0.3488725186976326,103487.0,180056.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,24,1,18368,13894,3741,17635,733,7671,1092,5115,9.635310205844249,10.220924298270484,0.27847343205574915,0.4379280821917808,0.21213495888857387,133873.0,180246.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,24,2,18375,11441,6151,17592,783,5995,782,4649,9.037584127261603,10.216462028194634,0.25300680272108844,0.3980308219178082,0.34964756707594363,103399.0,179728.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,25,1,18385,13962,3758,17720,665,7736,1014,5196,9.520269302392208,10.112133182844245,0.28262170247484364,0.4448630136986301,0.2120767494356659,132922.0,179187.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,25,2,18248,11476,6175,17651,597,6017,837,4614,8.942401533635413,10.118520197155968,0.25284962735642263,0.3950342465753425,0.34983853606027987,102623.0,178602.0
