background_id,policy,point_type,comparison,lhs_horizon_days,lhs_Q,lhs_window,rhs_horizon_days,rhs_Q,rhs_window,n_eval_seeds,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,delta_priority_weighted_utilization,delta_priority_weighted_utilization_ci_low,delta_priority_weighted_utilization_ci_high,delta_class_1_percent_serviced,delta_class_1_percent_serviced_ci_low,delta_class_1_percent_serviced_ci_high,delta_class_2_percent_serviced,delta_class_2_percent_serviced_ci_low,delta_class_2_percent_serviced_ci_high,utilization_status,access_status,c1_supported_gain,c2_supported_gain,c1_supported_neutral,c2_supported_neutral,utilization_within_0_5pp_budget_mean,utilization_budget_supported_by_ci,rho,class1_share,capacity,noshow_level,balk_level
PBF_NS_LOW_BK_LOW_C001,both_flexible,c1_win_c2_neutral_if_better,vs_avg_util_optimum,3,19,3,2,10,2,10,0.00010958904109594769,-0.001570776255707366,0.0019180365296802347,0.0016438356164383606,0.00042454337899540146,0.002821917808219177,0.0202221612336821,0.01353438321578188,0.027131402417430037,-0.002274526839432367,-0.00839159441038233,0.004332855129537015,Supported neutral,Uncertain / mixed,True,False,False,False,True,True,1.2,0.1,30,low,low
PBF_NS_LOW_BK_LOW_C001,both_flexible,c1_win_c2_neutral_if_better,vs_baseline,3,19,3,100,0,-1,10,-0.0014520547945203854,-0.0030502283105021243,0.0003015981735160801,0.00203196347031962,0.0008310502283104704,0.0032375570776255634,0.04078440806622696,0.02943095945254371,0.05269719072680959,-0.002158624489679695,-0.006232491961993572,0.002121441272844251,Supported neutral,Uncertain / mixed,True,False,False,False,True,True,1.2,0.1,30,low,low
PBF_NS_LOW_BK_LOW_C002,horizon_only,avg_util_optimum,vs_baseline,2,0,-1,100,0,-1,10,-0.0003397260273973024,-0.0018794520547945055,0.0010795890410961555,-0.00014520547945204854,-0.001309657534246556,0.0008904794520547825,-0.0024903919682630394,-0.0079390532525462,0.003050098293571928,0.0023124570369212226,-0.003434305126661379,0.008679470996968561,Supported neutral,Uncertain / mixed,False,False,False,False,True,True,1.2,0.1,50,low,low
PBF_NS_LOW_BK_LOW_C002,horizon_only,access_recovery,vs_avg_util_optimum,3,0,-1,2,0,-1,10,0.0003397260273973024,-0.0010794520547947398,0.0017426027397261883,0.00014520547945204854,-0.0009370547945205535,0.00130424657534245,0.0024903919682630394,-0.0030221410240010922,0.008099778089602987,-0.0023124570369212226,-0.008296776174115374,0.003430516797250413,Supported neutral,Uncertain / mixed,False,False,False,False,True,True,1.2,0.1,50,low,low
PBF_NS_LOW_BK_LOW_C002,horizon_only,access_recovery,vs_baseline,3,0,-1,100,0,-1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Supported neutral,Both neutral,False,False,True,True,True,True,1.2,0.1,50,low,low
PBF_NS_LOW_BK_LOW_C002,reservation_only,avg_util_optimum,vs_baseline,100,40,3,100,0,-1,10,0.00037808219178091517,-0.0007616438356158617,0.0015617808219178034,0.0035095890410959175,0.0028273287671233267,0.004243972602739775,0.05976383229475031,0.05311730817446923,0.06688116308421413,-0.002417723707503039,-0.006432337690584217,0.0018486367047385749,Supported neutral,Uncertain / mixed,True,False,False,False,True,True,1.2,0.1,50,low,low
PBF_NS_LOW_BK_LOW_C002,reservation_only,access_recovery,vs_avg_util_optimum,100,44,9,100,40,3,10,-0.0021808219178084285,-0.003436027397260646,-0.0009093150684932453,-0.0003534246575342626,-0.0015726712328767108,0.0012855479452054679,0.007599318416250056,-0.0009385871571664026,0.015687974425371114,-0.0019694148232642815,-0.005534952547715212,0.0017670739718969309,Supported neutral,Uncertain / mixed,False,False,False,False,True,True,1.2,0.1,50,low,low
PBF_NS_LOW_BK_LOW_C002,reservation_only,access_recovery,vs_baseline,100,44,9,100,0,-1,10,-0.0018027397260275135,-0.0029260273972603786,-0.0006847945205481477,0.003156164383561655,0.0018876027397260128,0.004578219178082232,0.06736315071100037,0.05765151952730561,0.07590535340845556,-0.00438713853076732,-0.00976579754222324,0.000752576641005188,Supported neutral,Uncertain / mixed,True,False,False,False,True,True,1.2,0.1,50,low,low
PBF_NS_LOW_BK_LOW_C002,reservation_only,c1_win_c2_neutral_if_better,vs_avg_util_optimum,100,48,3,100,40,3,10,-0.0022520547945206306,-0.0033589041095892693,-0.0010683561643830347,-0.00035068493150687275,-0.0011043150684931682,0.00020821917808217015,0.002198433727993443,-0.0024021119627063766,0.006582542383091662,-0.0023781115013568276,-0.006074866266054546,0.0023937079737385665,Supported neutral,Uncertain / mixed,False,False,False,False,True,True,1.2,0.1,50,low,low
PBF_NS_LOW_BK_LOW_C002,reservation_only,c1_win_c2_neutral_if_better,vs_baseline,100,48,3,100,0,-1,10,-0.0018739726027397151,-0.003052054794520457,-0.0006904109589042063,0.0031589041095890446,0.0020273287671232713,0.004189109589041107,0.06196226602274375,0.0563480197225179,0.06800402731817826,-0.004795835208859867,-0.008896363555969278,-0.0012084908404378304,Supported neutral,Uncertain / mixed,True,False,False,False,True,True,1.2,0.1,50,low,low
