rho,n,win_win_pct,win_neutral_pct,favorable_pct,genuine_reservation_favorable_pct
1.2,600,0.0,9.5,9.5,9.5
1.4,600,0.0,9.0,9.0,9.0
1.7,600,0.0,7.5,7.5,1.5
2.0,600,14.000000000000002,11.666666666666666,25.666666666666664,13.666666666666666
2.25,600,12.166666666666668,16.333333333333332,28.499999999999996,4.5
2.5,600,5.0,18.0,23.0,1.0
