Outcome,Reservation use,n,Share of all backgrounds (%),Median H,Median Q,Median W,Median ΔU (pp),Median ΔSR1 (pp),Median ΔSR2 (pp),Median baseline SR1 (%),Median policy SR1 (%),Median baseline SR2 (%),Median policy SR2 (%)
Win-win,Q=0 (effectively horizon-only),120,3.3333333333333335,4.0,0.0,-1.0,2.061826484018225,1.6342507096712748,0.67957061427536,41.13022739141281,42.22321567370487,41.54492472503546,42.25562918665149
Win-win,Q>0 (genuine reservation),67,1.8611111111111112,4.0,5.0,2.0,2.05589041095896,1.38306978378623,0.87169763243418,46.30911361168183,47.66812892328474,46.49279434049697,47.476927796551834
C1 win / C2 neutral,Q=0 (effectively horizon-only),264,7.333333333333333,4.0,0.0,-1.0,1.8318721461186702,2.5220338882876203,0.02302810595531,37.815599550746796,42.01172144712625,42.203018539546854,42.18374489650294
C1 win / C2 neutral,Q>0 (genuine reservation),168,4.666666666666667,4.0,3.0,4.0,0.001826484018260244,1.03202255455074,-0.028032850026009998,67.70640248160295,68.37727022895817,67.82211333049985,67.68549782943204
