Policy,Win-win,C1 win / C2 neutral,Both neutral,Uncertain / mixed,C1 gain / C2 harm,Reverse favorable
Horizon only,5.555555555555555,8.0,63.22222222222222,23.22222222222222,0.0,0.0
Reservation only,0.0,1.5555555555555556,86.75,11.527777777777779,0.08333333333333333,0.08333333333333333
Both flexible,5.194444444444445,12.0,47.888888888888886,34.333333333333336,0.5,0.08333333333333333
