average_utilization,booked_slot_utilization,overall_percent_serviced,mean_accepted_booking_delay,mean_offered_booking_delay,class_1_percent_serviced,class_2_percent_serviced,overall_balking_rate,class_1_balking_rate,class_2_balking_rate,class_1_slot_utilization,class_2_slot_utilization,class_1_booked_slot_utilization,class_2_booked_slot_utilization,class_1_mean_offered_booking_delay,class_2_mean_offered_booking_delay,access_advantage_class_1,balking_rate_gap_class_1,delay_advantage_class_1,seed,reserved_slot_fill_rate,class_1_no_show_rate,class_2_no_show_rate,class_1_no_offer_rate,class_2_no_offer_rate,class_1_standby_joined,class_2_standby_joined,class_1_standby_recalled,class_2_standby_recalled,class_1_standby_expired,class_2_standby_expired,class_1_standby_recall_rate,class_2_standby_recall_rate,class_1_mean_standby_wait_days,class_2_mean_standby_wait_days,class_1_mean_original_offered_delay_recalled,class_2_mean_original_offered_delay_recalled,stage,background_id,arm,source_background_id,standby_prob
0.72310502283105,0.7618264840182648,0.9008988508362726,0.009350275713258211,0.009216065536466037,0.9049826187717266,0.9004542013626041,0.05085902833086813,0.04171494785631518,0.05185465556396669,0.07132420091324201,0.6517808219178082,0.07552511415525114,0.6863013698630137,0.009269988412514484,0.009210194297249558,0.004528417409122465,-0.010139707707651512,-5.979411526492624e-05,1000,0.0,0.05330243337195829,0.04769114307342922,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,screen,BG00001,off,BG00001,0.0
0.7243835616438355,0.7606392694063927,0.9041158362786456,0.006004563468235859,0.005928628434614069,0.9084967320261438,0.9036037183242073,0.050621365864781664,0.05010893246187364,0.05068126830510633,0.07616438356164383,0.6480365296803653,0.07963470319634704,0.6808219178082192,0.004357298474945534,0.006112313765439959,0.0048930137019365105,-0.0005723358432326922,0.001755015290494425,1001,0.0,0.04139433551198257,0.04571501337068636,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,screen,BG00001,off,BG00001,0.0
0.7261187214611869,0.7652054794520547,0.9058903953514869,0.013128058240840196,0.01344422923550188,0.8864168618266979,0.90798939795532,0.04534579013330295,0.05152224824355972,0.044680045437334344,0.0691324200913242,0.656986301369863,0.07397260273972603,0.6912328767123288,0.01990632318501171,0.012747696579578442,-0.02157253612862209,0.006842202806225377,-0.007158626605433269,1002,0.0,0.06206088992974239,0.047330556607345704,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,screen,BG00001,off,BG00001,0.0
0.7097716894977164,0.7457534246575342,0.9012059369202227,0.007837374479549351,0.008000927643784787,0.8997668997668997,0.9013649240278135,0.05310760667903525,0.05944055944055944,0.05240793201133145,0.07050228310502284,0.639269406392694,0.0736986301369863,0.672054794520548,0.002331002331002331,0.008627349987123358,-0.0015980242609138218,0.007032627429227993,0.006296347656121027,1003,0.0,0.04079254079254079,0.04622714396085501,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,screen,BG00001,off,BG00001,0.0
0.7271232876712325,0.7646575342465753,0.9020052112835618,0.005971575301564553,0.005891016200294551,0.8902857142857142,0.90329476861167,0.05143310297949473,0.046857142857142854,0.05193661971830986,0.07114155251141553,0.6559817351598174,0.07616438356164383,0.6884931506849316,0.006857142857142857,0.005784708249496982,-0.013009054325955782,-0.005079476861167005,-0.0010724346076458752,1004,0.0,0.06285714285714286,0.04476861167002012,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,screen,BG00001,off,BG00001,0.0
0.7225570776255703,0.7618264840182648,0.9012415992709876,0.009590026372572525,0.009340471579906594,0.9204927211646137,0.8990616282018767,0.049777879029502224,0.03919372900335946,0.05097641389804717,0.07506849315068494,0.6474885844748859,0.07835616438356165,0.6834703196347032,0.010078387458006719,0.009256910981486177,0.02143109296273693,-0.011782684894687707,-0.0008214764765205416,1005,0.0,0.040313549832026875,0.049961957900076084,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,screen,BG00001,off,BG00001,0.0
0.7235616438356158,0.7614611872146119,0.9010576595018764,0.005516910530103142,0.005686341407938132,0.9022379269729093,0.9009315206445115,0.05174570681223701,0.048292108362779744,0.05211480362537765,0.06995433789954338,0.6536073059360731,0.07378995433789955,0.6876712328767123,0.008244994110718492,0.00541289023162135,0.0013064063283977356,-0.0038226952625979027,-0.002832103879097142,1006,0.0,0.04946996466431095,0.04695367573011078,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,screen,BG00001,off,BG00001,0.0
0.7221004566210042,0.757716894977169,0.9045875757922435,0.010967819693865252,0.011325935247683331,0.9096109839816934,0.9040294902758358,0.05079510353506464,0.05491990846681922,0.05033685013346892,0.07260273972602739,0.6494977168949772,0.0754337899543379,0.6822831050228311,0.016018306636155607,0.010804626922588026,0.0055814937058575875,0.0045830583333503,-0.005213679713567581,1007,0.0,0.03546910755148741,0.04563365959069531,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,screen,BG00001,off,BG00001,0.0
0.705570776255708,0.7451141552511416,0.8971202972596377,0.0029415369530579726,0.002786809103576405,0.8851203501094091,0.898545076643284,0.052601021830004646,0.061269146608315096,0.05157183684073786,0.07388127853881278,0.631689497716895,0.07835616438356165,0.6667579908675799,0.002188183807439825,0.0028578851649779164,-0.013424726533874831,0.009697309767577239,0.0006697013575380916,1008,0.0,0.053610503282275714,0.04988308651597818,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,screen,BG00001,off,BG00001,0.0
0.720365296803653,0.7587214611872146,0.9043797294198578,0.01059220028887819,0.010548039440495299,0.8963486454652533,0.905245776705195,0.047466177482228845,0.045936395759717315,0.047631144417629875,0.06949771689497716,0.6508675799086758,0.07397260273972603,0.6847488584474886,0.01060070671378092,0.010542359964435413,-0.008897131239941736,-0.0016947486579125606,-5.834674934550657e-05,1009,0.0,0.05771495877502945,0.04712307887717516,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,screen,BG00001,off,BG00001,0.0
0.7272146118721466,0.7666666666666667,0.8968352291924766,0.013222156045265039,0.013515035476968126,0.8956422018348624,0.8969651554889472,0.05451064309043811,0.05389908256880734,0.054577244910703135,0.07132420091324201,0.6558904109589041,0.07534246575342465,0.691324200913242,0.017201834862385322,0.013113525665043087,-0.0013229536540847464,-0.0006781623418957924,-0.004088309197342235,1010,0.0,0.05045871559633028,0.04845759960034969,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,screen,BG00001,off,BG00001,0.0
0.721095890410959,0.7617351598173516,0.8977828311540648,0.016424889102026136,0.016600341102899374,0.8971098265895954,0.8978562421185372,0.051620238772029564,0.05433526011560694,0.05132408575031526,0.0708675799086758,0.6502283105022831,0.07470319634703196,0.6870319634703196,0.015028901734104046,0.016771752837326608,-0.000746415528941835,0.0030111743652916773,0.0017428511032225626,1011,0.0,0.048554913294797684,0.05081967213114754,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,screen,BG00001,off,BG00001,0.0
0.7192694063926944,0.7567123287671232,0.902302141793609,0.008807915057915058,0.00859008131943649,0.9096045197740112,0.9014784603619679,0.050738746993471535,0.04293785310734463,0.05161865918939587,0.07351598173515982,0.6459360730593607,0.07735159817351599,0.6795433789954338,0.006779661016949152,0.008794290084119296,0.008126059412043363,-0.00868080608205124,0.002014629067170144,1012,0.0,0.04745762711864407,0.04690288044863625,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,screen,BG00001,off,BG00001,0.0
0.714155251141552,0.7529680365296804,0.8979216902055345,0.011522134627046696,0.012171317028361465,0.907292954264524,0.8969620253164557,0.05327821793546905,0.0580964153275649,0.05278481012658228,0.06703196347031963,0.6471232876712328,0.06958904109589041,0.68337899543379,0.00865265760197775,0.012531645569620253,0.010330928948068308,0.0053116052009826165,0.003878987967642503,1013,0.0,0.034610630407911,0.05025316455696203,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,screen,BG00001,off,BG00001,0.0
0.7330593607305936,0.7703196347031963,0.9040432481135263,0.008061647895672793,0.007771145399256673,0.9180887372013652,0.9025,0.05000563126478207,0.04323094425483504,0.05075,0.0736986301369863,0.6593607305936073,0.07680365296803653,0.6935159817351598,0.009101251422070534,0.007625,0.015588737201365221,-0.007519055745164961,-0.0014762514220705344,1014,0.0,0.038680318543799774,0.04675,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,screen,BG00001,off,BG00001,0.0
0.7152511415525112,0.7522374429223744,0.9060620083294771,0.008255432803205051,0.008213789912077742,0.918013856812933,0.9047312933916174,0.0470846830171217,0.04387990762124711,0.047441501671380816,0.07260273972602739,0.642648401826484,0.07561643835616438,0.67662100456621,0.008083140877598153,0.008228336333247621,0.013282563421315619,-0.003561594050133704,0.00014519545564946855,1015,0.0,0.03810623556581986,0.0478272049370018,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,screen,BG00001,off,BG00001,0.0
0.7181735159817348,0.7556164383561644,0.9025593940089521,0.005438723712835388,0.005509009525995639,0.9265212399540758,0.8998979852078551,0.05038448295650178,0.040183696900114814,0.05151747003315481,0.0736986301369863,0.6444748858447489,0.07634703196347031,0.6792694063926941,0.002296211251435132,0.005865850548329507,0.026623254746220626,-0.011333773133039994,0.0035696392968943753,1016,0.0,0.03329506314580941,0.04858454475899005,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,screen,BG00001,off,BG00001,0.0
0.7156164383561642,0.757716894977169,0.8972861559601512,0.008677835362179101,0.008931638612160769,0.8943181818181818,0.8976187444288807,0.049925569678231994,0.05568181818181818,0.04928052973385967,0.07187214611872146,0.6437442922374429,0.07589041095890411,0.6818264840182648,0.00909090909090909,0.008913790907933273,-0.0033005626106988872,0.006401288447958509,-0.0001771181829758172,1017,0.0,0.05,0.053100725837259645,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,screen,BG00001,off,BG00001,0.0
0.7140639269406391,0.7505022831050229,0.9027825886156333,0.007787782915551229,0.007504907054612631,0.9176201372997712,0.9011172466932066,0.051148828079898394,0.04919908466819222,0.051367664055477075,0.07324200913242009,0.6408219178082192,0.07589041095890411,0.6746118721461187,0.0011441647597254005,0.008218826248876333,0.016502890606564624,-0.002168579387284854,0.007074661489150933,1018,0.0,0.03318077803203661,0.0475150892513163,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,screen,BG00001,off,BG00001,0.0
0.7312328767123283,0.7652054794520547,0.9095762808133591,0.012411982336794367,0.012495740088606157,0.8981173864894795,0.9108860759493671,0.04816539815971828,0.05647840531561462,0.047215189873417725,0.07406392694063926,0.6571689497716895,0.07780821917808219,0.6873972602739726,0.013289036544850499,0.01240506329113924,-0.012768689459887628,0.009263215442196895,-0.0008839732537112583,1019,0.0,0.04540420819490587,0.04189873417721519,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,screen,BG00001,off,BG00001,0.0
0.7273972602739728,0.769406392694064,0.8996950186377499,0.00771513353115727,0.007598434262030854,0.9095920617420066,0.8985653158822049,0.03004835367257656,0.03139013452914798,0.02989479086476777,0.07534246575342465,0.6520547945205479,0.0789041095890411,0.6905022831050228,0.007847533632286996,0.0075699255837823965,0.011026745859801679,0.0014953436643802137,-0.00027760804850459914,1000,0.0,0.04299889746416759,0.052982632771205636,0.0,0.0,15,152,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,screen,BG00001,on,BG00001,0.4
