hypothesis,background_id,stage1_classification,selection_reason,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,start_within_step,start_post_gap,baseline_class1_low,baseline_class1_high,baseline_class2_low,baseline_class2_high,n_paired_seeds,mean_class1_low_regime_offer_share,mean_class1_high_regime_offer_share,mean_class2_high_regime_offer_share,exposure_active,delta_step_effect,delta_step_effect_ci_low,delta_step_effect_ci_high,absolute_step_effect,delta_gap_effect,delta_gap_effect_ci_low,delta_gap_effect_ci_high,absolute_gap_effect,absolute_effect_difference,absolute_effect_difference_ci_low,absolute_effect_difference_ci_high,share_seeds_gap_effect_larger,failure_component
H8,H8B0067,reversed,stage1_reversed,S036,sobol_symmetric,4.0,0.7,32,128.0,89.6,38.400000000000006,28,28,0.3,0.3,4,4,0.2,0.0,0.5,0.4,4,4,0.3,0.3,0.5,0.5,0.3,0.1,0.2,0.5,0.0,0.4,20,0.335896872753936,0.6641031272460639,0.6514950127861632,True,0.0049445852805762,0.0037856926687812,0.0061034778923712,0.0049445852805762,-0.0013250242679652,-0.002520470688429,-0.0001295778475014,0.0022040947361499,-0.0027404905444263,-0.0045947450887922,-0.0008862360000605,0.15,within_class_effect_larger
H8,H8B0068,reversed,stage1_reversed,S037,sobol_symmetric,3.1,0.5,16,49.6,24.8,24.8,28,28,0.3,0.3,6,6,0.2,0.0,0.5,0.3,9,9,0.0,0.0,0.3,0.3,0.3,0.2,0.2,0.5,0.0,0.3,20,0.7618678278479616,0.2381321721520382,0.2138715686251732,True,0.0182540311288103,0.0152905444209476,0.021217517836673,0.0182540311288103,-0.000887781469161,-0.0034906373188726,0.0017150743805506,0.0042623355632623,-0.013991695565548,-0.0178665371195443,-0.0101168540115517,0.1,within_class_effect_larger
H8,H8B0069,inconclusive,uncertainty_limited_inconclusive,S038,sobol_symmetric,1.25,0.5,64,80.0,40.0,40.0,14,14,0.0,0.0,9,9,0.2,0.0,0.5,0.2,4,4,0.3,0.3,0.7,0.7,0.3,0.3,0.2,0.5,0.0,0.2,20,0.5906221893144138,0.4093778106855861,0.3988041346323649,True,-0.0016231547305671,-0.0048830710322435,0.0016367615711092,0.0049191466965627,-0.0081199736194494,-0.0108086860753027,-0.0054312611635961,0.0083864861911597,0.003467339494597,-6.4094239803423e-05,0.0069987732289974,0.85,absolute_effect_difference_inconclusive
H8,H8B0082,inconclusive,uncertainty_limited_inconclusive,S051,sobol_symmetric,2.0,0.1,64,128.0,12.8,115.2,28,28,0.1,0.1,6,6,0.4,0.0,0.5,0.4,6,6,0.0,0.0,0.7,0.7,0.1,0.1,0.4,0.5,0.0,0.4,20,0.5079237010142948,0.492076298985705,0.5425857268768792,True,0.028770970696269,0.023729594092788,0.03381234729975,0.028770970696269,-0.0348770188367977,-0.0390924958053795,-0.0306615418682159,0.0348770188367977,0.0061060481405287,-0.0018212781189816,0.0140333744000391,0.6,absolute_effect_difference_inconclusive
H8,H8B0096,inconclusive,uncertainty_limited_inconclusive,S065,sobol_symmetric,3.1,0.1,64,198.4,19.840000000000003,178.56,14,14,0.1,0.1,9,9,0.1,0.0,0.5,0.5,12,12,0.3,0.3,0.5,0.5,0.4,0.0,0.1,0.5,0.0,0.5,20,0.2921317618085304,0.7078682381914696,0.7048728430271587,True,0.0150557166287311,0.0099243398665167,0.0201870933909455,0.0158618400840415,-0.0218798553228922,-0.0253356461896398,-0.0184240644561447,0.0218798553228922,0.0060180152388507,-0.0011940736790672,0.0132301041567686,0.65,absolute_effect_difference_inconclusive
H8,H8B0098,reversed,stage1_reversed,S067,sobol_symmetric,2.0,0.5,64,128.0,64.0,64.0,7,7,0.3,0.3,4,4,0.1,0.0,0.5,0.3,4,4,0.0,0.0,0.5,0.5,0.4,0.2,0.1,0.5,0.0,0.3,20,0.9337867577293448,0.0662132422706552,0.0382586590429759,True,0.0197912101786746,0.0178274908248841,0.0217549295324651,0.0197912101786746,-0.0024105483733325,-0.0045274421562479,-0.0002936545904171,0.0041403696996218,-0.0156508404790528,-0.0181971030467339,-0.0131045779113717,0.0,within_class_effect_larger
H8,H8B0106,reversed,stage1_reversed,S075,sobol_symmetric,1.25,0.1,32,40.0,4.0,36.0,14,14,0.0,0.0,6,6,0.4,0.0,0.5,0.5,12,12,0.5,0.5,0.5,0.5,0.1,0.0,0.4,0.5,0.0,0.5,20,0.6456876585549958,0.3543123414450043,0.3917527722280338,True,0.0410510350193801,0.0326102805274291,0.0494917895113312,0.0410510350193801,0.0001014076224726,-0.0084916203455516,0.0086944355904968,0.0137980940845758,-0.0272529409348043,-0.0381202958557526,-0.0163855860138561,0.05,within_class_effect_larger
H8,H8B0111,reversed,stage1_reversed,S080,sobol_symmetric,3.1,0.7,32,99.2,69.44,29.760000000000005,7,7,0.5,0.5,4,4,0.3,0.0,0.5,0.5,4,4,0.5,0.5,0.7,0.7,0.2,0.0,0.3,0.5,0.0,0.5,20,0.9311400422843846,0.0688599577156153,0.0345947800348922,True,0.0079876131351361,0.0067268237183289,0.0092484025519433,0.0079876131351361,0.0005049996729555,-0.0004674079821843,0.0014774073280955,0.001677414791689,-0.0063101983434471,-0.0076028802471657,-0.0050175164397285,0.0,within_class_effect_larger
H8,H8B0123,reversed,stage1_reversed,S092,sobol_symmetric,3.1,0.7,64,198.4,138.88,59.52000000000001,14,14,0.5,0.5,4,4,0.1,0.0,0.5,0.3,9,9,0.0,0.0,0.5,0.5,0.4,0.2,0.1,0.5,0.0,0.3,20,0.7710104455075928,0.2289895544924072,0.192261148954755,True,0.0099009203915112,0.0085713651066062,0.0112304756764163,0.0099009203915112,-0.0006994537488439,-0.0018438602821599,0.0004449527844719,0.0019592809346918,-0.0079416394568194,-0.0095309844437122,-0.0063522944699266,0.0,within_class_effect_larger
H8,H8B0124,reversed,stage1_reversed,S093,sobol_symmetric,4.0,0.3,32,128.0,38.4,89.6,14,14,0.5,0.5,6,6,0.1,0.0,0.5,0.2,4,4,0.7,0.7,0.7,0.7,0.4,0.3,0.1,0.5,0.0,0.2,20,0.826530592346448,0.173469407653552,0.1576201415507652,True,0.0064258543603808,0.0051488157527352,0.0077028929680263,0.0064291746609986,0.0007673150399963,-0.0008180976802598,0.0023527277602525,0.0030600791701711,-0.0033690954908275,-0.0047559398134891,-0.0019822511681658,0.2,within_class_effect_larger
H8,H8B0125,inconclusive,uncertainty_limited_inconclusive,S094,sobol_symmetric,2.0,0.5,32,64.0,32.0,32.0,28,28,0.1,0.1,9,9,0.1,0.0,0.5,0.1,9,9,0.0,0.0,0.7,0.7,0.4,0.4,0.1,0.5,0.0,0.1,20,0.7846695801876469,0.2153304198123531,0.1788326512572612,True,-0.0017654214908308,-0.0069768089877962,0.0034459660061344,0.0088289231449207,-0.0125156536457242,-0.0166074688225866,-0.0084238384688618,0.0130784199174068,0.0042494967724861,-0.0009382209661725,0.0094372145111448,0.6,absolute_effect_difference_inconclusive
H8,H8B0126,reversed,stage1_reversed,S095,sobol_symmetric,1.25,0.1,64,80.0,8.0,72.0,7,7,0.0,0.0,4,4,0.5,0.0,0.5,0.5,4,4,0.0,0.0,0.3,0.3,0.0,0.0,0.5,0.5,0.0,0.5,20,0.6612122846867357,0.3387877153132642,0.3763253068302145,True,0.0638758117889776,0.0578903185603312,0.0698613050176241,0.0638758117889776,-0.0140090918582782,-0.019307775798586,-0.0087104079179703,0.0148406438501198,-0.0490351679388578,-0.0573976635115537,-0.0406726723661619,0.0,within_class_effect_larger
