hypothesis,background_id,stage1_classification,selection_reason,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,start_within_step,start_post_gap,baseline_class1_low,baseline_class1_high,baseline_class2_low,baseline_class2_high,n_paired_seeds,mean_class1_low_regime_offer_share,mean_class1_high_regime_offer_share,mean_class2_high_regime_offer_share,exposure_active,delta_step_effect,delta_step_effect_ci_low,delta_step_effect_ci_high,absolute_step_effect,delta_gap_effect,delta_gap_effect_ci_low,delta_gap_effect_ci_high,absolute_gap_effect,absolute_effect_difference,absolute_effect_difference_ci_low,absolute_effect_difference_ci_high,share_seeds_gap_effect_larger,failure_component
H8,H8B0215,reversed,stage1_reversed,S184,sobol_symmetric,2.0,0.9,32,64.0,57.6,6.399999999999999,21,21,0.1,0.1,6,6,0.3,0.0,0.5,0.1,4,4,0.0,0.0,0.0,0.0,0.2,0.4,0.3,0.5,0.0,0.1,20,0.8793515580241881,0.120648441975812,0.0260178752889437,True,0.0074305396070288,0.0053306976656655,0.0095303815483921,0.0074305396070288,0.0007958156513439,-0.0010663898044018,0.0026580211070897,0.003061333429771,-0.0043692061772577,-0.0059260393574435,-0.0028123729970719,0.1,within_class_effect_larger
H8,H8B0218,inconclusive,uncertainty_limited_inconclusive,S187,sobol_symmetric,1.25,0.1,16,20.0,2.0,18.0,21,21,0.0,0.0,12,12,0.2,0.0,0.5,0.3,9,9,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.5,0.0,0.3,20,0.4312342857349779,0.568765714265022,0.6729137716457607,True,0.0310212320593015,0.0185776975115126,0.0434647666070903,0.0349920294291682,-0.0439995351641458,-0.0560841899864848,-0.0319148803418068,0.0439995351641458,0.0090075057349775,-0.010684878627667,0.0286998900976222,0.65,absolute_effect_difference_inconclusive
H8,H8B0220,reversed,stage1_reversed,S189,sobol_symmetric,4.0,0.3,64,256.0,76.8,179.2,7,7,0.3,0.3,4,4,0.2,0.0,0.5,0.1,4,4,0.5,0.5,0.5,0.5,0.3,0.4,0.2,0.5,0.0,0.1,20,0.4302576482224595,0.5697423517775404,0.5551058964192632,True,0.0067495761958913,0.0054587550467206,0.0080403973450621,0.0067495761958913,-0.001383633080128,-0.002223702944126,-0.0005435632161301,0.0018855218792986,-0.0048640543165927,-0.0063131527600146,-0.0034149558731707,0.05,within_class_effect_larger
H8,H8B0224,reversed,stage1_reversed,S193,sobol_symmetric,3.1,0.5,64,198.4,99.2,99.2,14,14,0.3,0.3,6,6,0.1,0.0,0.5,0.2,12,12,0.3,0.3,0.3,0.3,0.4,0.3,0.1,0.5,0.0,0.2,20,0.6804295358169503,0.3195704641830496,0.2990388344511196,True,0.0114192890628948,0.0098207625337397,0.0130178155920499,0.0114192890628948,-0.0008735366508466,-0.0025612586242305,0.0008141853225372,0.0030703860731481,-0.0083489029897467,-0.0103808508569676,-0.0063169551225258,0.0,within_class_effect_larger
H8,H8B0226,reversed,stage1_reversed,S195,sobol_symmetric,2.0,0.1,32,64.0,6.4,57.6,7,7,0.1,0.1,4,4,0.5,0.0,0.5,0.5,4,4,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.5,20,0.3985379464608334,0.6014620535391666,0.6531281113627143,True,0.0289839453248055,0.0235552768197138,0.0344126138298972,0.0289839453248055,-0.0167861140824324,-0.0215270177511483,-0.0120452104137166,0.0167861140824324,-0.012197831242373,-0.0210528010987724,-0.0033428613859737,0.35,within_class_effect_larger
H8,H8B0227,reversed,stage1_reversed,S196,sobol_symmetric,4.0,0.9,16,64.0,57.6,6.399999999999999,21,21,0.5,0.5,4,4,0.5,0.0,0.5,0.4,9,9,0.5,0.5,0.5,0.5,0.0,0.1,0.5,0.5,0.0,0.4,20,0.947813461680283,0.0521865383197168,0.0123544232488797,True,0.0045858170910344,0.003381246704291,0.0057903874777777,0.0045858170910344,0.0005670538247624,-0.0001834158832253,0.0013175235327501,0.0012239802562929,-0.0033618368347414,-0.0047055712533478,-0.002018102416135,0.1,within_class_effect_larger
H8,H8B0228,reversed,stage1_reversed,S197,sobol_symmetric,4.0,0.3,16,64.0,19.2,44.8,21,21,0.5,0.5,6,6,0.5,0.0,0.5,0.3,4,4,0.0,0.0,0.7,0.7,0.0,0.2,0.5,0.5,0.0,0.3,20,0.9465593599523114,0.0534406400476885,0.0424300620121222,True,0.0229957204803389,0.0203169114012362,0.0256745295594415,0.0229957204803389,0.0002947881826928,-0.0020136595773001,0.0026032359426858,0.0036351741880354,-0.0193605462923034,-0.0223214284586349,-0.0163996641259719,0.0,within_class_effect_larger
H8,H8B0231,reversed,stage1_reversed,S200,sobol_symmetric,3.1,0.7,32,99.2,69.44,29.760000000000005,14,14,0.3,0.3,4,4,0.4,0.0,0.5,0.5,6,6,0.0,0.0,0.1,0.1,0.1,0.0,0.4,0.5,0.0,0.5,20,0.6516702512029097,0.3483297487970903,0.3012590906034205,True,0.0171845030881391,0.0157597574135601,0.018609248762718,0.0171845030881391,-0.0007353953645259,-0.0021356799929518,0.0006648892638999,0.0025788625529814,-0.0146056405351576,-0.0163177651632481,-0.0128935159070671,0.0,within_class_effect_larger
H8,H8B0235,reversed,stage1_reversed,S204,sobol_symmetric,4.0,0.7,64,256.0,179.2,76.80000000000001,28,28,0.1,0.1,6,6,0.4,0.0,0.5,0.1,6,6,0.0,0.0,0.3,0.3,0.1,0.4,0.4,0.5,0.0,0.1,20,0.1990824007456411,0.8009175992543588,0.7918885129066736,True,0.0063178310085538,0.005420408355582,0.0072152536615256,0.0063178310085538,-0.0034696998903293,-0.0044196335278786,-0.00251976625278,0.0035023493308226,-0.0028154816777312,-0.0044005009443108,-0.0012304624111515,0.3,within_class_effect_larger
H8,H8B0243,reversed,stage1_reversed,S212,sobol_symmetric,4.0,0.7,16,64.0,44.8,19.200000000000003,7,7,0.3,0.3,4,4,0.2,0.0,0.5,0.3,4,4,0.3,0.3,0.7,0.7,0.3,0.2,0.2,0.5,0.0,0.3,20,0.3734007716431744,0.6265992283568256,0.6100851861313655,True,0.0046669161804732,0.0030039484756015,0.0063298838853448,0.0050235131059389,-0.0006385656830801,-0.0019338980220181,0.0006567666558577,0.0019501745869279,-0.0030733385190109,-0.004503410477814,-0.0016432665602079,0.2,within_class_effect_larger
H8,H8B0244,reversed,stage1_reversed,S213,sobol_symmetric,4.0,0.3,32,128.0,38.4,89.6,7,7,0.3,0.3,4,4,0.2,0.0,0.5,0.2,4,4,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,0.0,0.2,20,0.4069359311097899,0.59306406889021,0.5782432444488829,True,0.0153331679289,0.0131657094795716,0.0175006263782283,0.0153331679289,-0.0035180005567112,-0.0057633093842798,-0.0012726917291426,0.0046457620905664,-0.0106874058383336,-0.0141984322352628,-0.0071763794414043,0.1,within_class_effect_larger
H8,H8B0248,reversed,stage1_reversed,S217,sobol_symmetric,2.0,0.3,16,32.0,9.6,22.4,21,21,0.1,0.1,9,9,0.1,0.0,0.5,0.3,12,12,0.0,0.0,0.1,0.1,0.4,0.2,0.1,0.5,0.0,0.3,20,0.7828182511071773,0.2171817488928227,0.2079365009702883,True,0.0300418118081772,0.0246192080546243,0.0354644155617301,0.0300418118081772,-0.0074620929780555,-0.0124011487232093,-0.0025230372329017,0.0106589367889408,-0.0193828750192363,-0.0262358915495711,-0.0125298584889015,0.1,within_class_effect_larger
H8,H8B0255,reversed,stage1_reversed,S224,sobol_symmetric,3.1,0.5,32,99.2,49.6,49.6,21,21,0.1,0.1,12,12,0.5,0.0,0.5,0.1,6,6,0.5,0.5,0.5,0.5,0.0,0.4,0.5,0.5,0.0,0.1,20,0.5204050119189412,0.4795949880810588,0.460908044140017,True,0.0093811292329079,0.0077688756671045,0.0109933827987113,0.0093811292329079,-0.0020653500523426,-0.0034354711477807,-0.0006952289569045,0.0029574868758299,-0.006423642357078,-0.0085050999459719,-0.0043421847681841,0.05,within_class_effect_larger
H8,H8B0256,reversed,stage1_reversed,X001,asymmetric_stress,4.0,0.3,32,128.0,38.4,89.6,21,21,0.1,0.3,12,12,0.4,0.0,0.5,0.5,12,4,0.0,0.0,0.7,0.7,0.1,0.0,0.4,0.5,0.0,0.5,20,0.9528286849112554,0.0471713150887446,0.0195162495368291,True,0.0303274191539136,0.0281177705558026,0.0325370677520246,0.0303274191539136,-9.04444804092852e-05,-0.0021178938203166,0.001937004859498,0.0030935084162005,-0.027233910737713,-0.029530612778741,-0.024937208696685,0.0,within_class_effect_larger
H8,H8B0259,reversed,stage1_reversed,X005,asymmetric_stress,4.0,0.5,32,128.0,64.0,64.0,21,28,0.1,0.1,4,4,0.4,0.0,0.5,0.2,4,4,0.0,0.0,0.7,0.7,0.1,0.3,0.4,0.5,0.0,0.2,20,0.1214080881734971,0.8785919118265028,0.874783648326995,True,0.0065267958103107,0.0053637050020141,0.0076898866186072,0.0065267958103107,-0.0026653301959063,-0.0040585736821818,-0.0012720867096309,0.003219514447868,-0.0033072813624426,-0.0051863071717642,-0.001428255553121,0.2,within_class_effect_larger
H8,H8B0260,reversed,stage1_reversed,X006,asymmetric_stress,2.0,0.1,32,64.0,6.4,57.6,7,21,0.1,0.1,4,4,0.4,0.0,0.5,0.1,4,4,0.0,0.0,0.5,0.5,0.1,0.4,0.4,0.5,0.0,0.1,20,0.6289454487363979,0.371054551263602,0.7912698494595897,True,0.0162415240502914,0.0102279866384379,0.0222550614621448,0.0167920286284587,-0.0005632196837212,-0.0048902334425622,0.0037637940751196,0.0077327683407037,-0.0090592602877549,-0.0151248303948639,-0.0029936901806459,0.25,within_class_effect_larger
H8,H8B0262,reversed,stage1_reversed,X008,asymmetric_stress,3.1,0.1,32,99.2,9.920000000000002,89.28,14,14,0.1,0.1,9,9,0.3,0.0,0.5,0.4,6,6,0.0,0.3,0.3,0.3,0.2,0.1,0.3,0.5,0.0,0.4,20,0.3031130793706614,0.6968869206293384,0.6837434890860854,True,0.0188751452600783,0.013270544381898,0.0244797461382586,0.0195561316111282,-0.0056174406681098,-0.0091280734144182,-0.0021068079218014,0.0075781326818035,-0.0119779989293246,-0.0177740594521909,-0.0061819384064584,0.1,within_class_effect_larger
H8,H8B0278,reversed,stage1_reversed,X027,asymmetric_stress,4.0,0.7,32,128.0,89.6,38.400000000000006,21,7,0.1,0.1,4,4,0.5,0.0,0.5,0.3,4,4,0.3,0.3,0.7,0.7,0.0,0.2,0.5,0.5,0.0,0.3,20,0.1470534290645344,0.8529465709354656,0.3738908327418063,True,0.0050906356632948,0.0041322638290105,0.0060490074975792,0.0050906356632948,-0.0006925813520392,-0.0016647140082852,0.0002795513042067,0.0016817005920582,-0.0034089350712365,-0.0046397023223597,-0.0021781678201134,0.1,within_class_effect_larger
H8,H8B0287,reversed,stage1_reversed,X040,asymmetric_stress,3.1,0.5,32,99.2,49.6,49.6,14,21,0.1,0.1,12,12,0.3,0.0,0.5,0.4,6,6,0.5,0.5,0.5,0.5,0.2,0.1,0.3,0.5,0.0,0.4,20,0.5273337624373564,0.4726662375626436,0.4816527387066804,True,0.0076986911843084,0.0059300189040455,0.0094673634645714,0.0078944673545596,-0.0044603250209178,-0.006255854190064,-0.0026647958517716,0.0045941223683396,-0.00330034498622,-0.0062825364995958,-0.0003181534728443,0.3,within_class_effect_larger
H8,H8B0293,reversed,stage1_reversed,X048,asymmetric_stress,4.0,0.3,32,128.0,38.4,89.6,14,14,0.0,0.5,6,6,0.2,0.0,0.5,0.3,4,4,0.7,0.7,0.7,0.7,0.3,0.2,0.2,0.5,0.0,0.3,20,0.3428060355724179,0.657193964427582,0.6414922769635484,True,0.0073734330371772,0.0053267317612385,0.009420134313116,0.0073734330371772,0.0001233008203707,-0.0017087074998073,0.0019553091405489,0.0030709796647947,-0.0043024533723825,-0.0064134237383134,-0.0021914830064516,0.15,within_class_effect_larger
H8,H8B0294,reversed,stage1_reversed,X049,asymmetric_stress,4.0,0.3,16,64.0,19.2,44.8,14,21,0.3,0.3,6,6,0.2,0.0,0.5,0.2,6,6,0.0,0.0,0.7,0.7,0.3,0.3,0.2,0.5,0.0,0.2,20,0.47129940390749,0.52870059609251,0.5213870345615153,True,0.0184068802405797,0.0155466846578023,0.0212670758233571,0.0184068802405797,0.0001954125608276,-0.0022619254387838,0.002652750560439,0.004211362589474,-0.0141955176511057,-0.016944785392109,-0.0114462499101023,0.0,within_class_effect_larger
H8,H8B0297,reversed,stage1_reversed,X052,asymmetric_stress,4.0,0.7,32,128.0,89.6,38.400000000000006,21,14,0.1,0.1,12,12,0.1,0.0,0.5,0.4,12,12,0.0,0.0,0.5,0.5,0.4,0.1,0.1,0.5,0.0,0.4,20,0.3118697799836407,0.6881302200163593,0.3358670235241879,True,0.0059469480113899,0.0047159122198208,0.007177983802959,0.0059469480113899,-0.0007985296088911,-0.0019218553193681,0.0003247961015857,0.0020128794842377,-0.0039340685271522,-0.0051701897826238,-0.0026979472716806,0.05,within_class_effect_larger
H8,H8B0299,reversed,stage1_reversed,X055,asymmetric_stress,4.0,0.3,64,256.0,76.8,179.2,7,7,0.3,0.3,4,4,0.1,0.0,0.5,0.2,4,4,0.5,0.5,0.5,0.7,0.4,0.3,0.1,0.5,0.0,0.2,20,0.3988951452851992,0.6011048547148008,0.5858447002830482,True,0.0061675120475554,0.0052176735282638,0.0071173505668469,0.0061675120475554,-0.0023224384398893,-0.0038352417832241,-0.0008096350965545,0.0032481454960734,-0.0029193665514819,-0.0046626788866073,-0.0011760542163565,0.2,within_class_effect_larger
H8,H8B0312,reversed,stage1_reversed,X071,asymmetric_stress,1.25,0.3,16,20.0,6.0,14.0,21,21,0.0,0.0,6,6,0.3,0.0,0.5,0.4,6,6,0.7,0.5,0.7,0.5,0.2,0.1,0.3,0.5,0.0,0.4,20,0.6573441007292915,0.3426558992707084,0.3515685222203822,True,0.0168950853363057,0.0122002074424015,0.0215899632302098,0.017214773804498,-0.0050571008160071,-0.0102656985457065,0.0001514969136923,0.0098461820748466,-0.0073685917296513,-0.0136776327686013,-0.0010595506907013,0.25,within_class_effect_larger
H8,H8B0318,reversed,stage1_reversed,X079,asymmetric_stress,3.1,0.5,64,198.4,99.2,99.2,28,7,0.3,0.3,4,4,0.2,0.0,0.5,0.3,4,4,0.0,0.0,0.3,0.3,0.3,0.2,0.2,0.5,0.0,0.3,20,0.4232748704228019,0.5767251295771981,0.5654775027515437,True,0.0130594103309287,0.0119595419451714,0.014159278716686,0.0130594103309287,-0.0039639381731513,-0.0054624687560694,-0.0024654075902332,0.0043683593965469,-0.0086910509343818,-0.0106310069125385,-0.006751094956225,0.0,within_class_effect_larger
H8,H8B0319,reversed,stage1_reversed,X080,asymmetric_stress,2.0,0.5,32,64.0,32.0,32.0,14,28,0.1,0.1,9,9,0.2,0.0,0.5,0.2,9,9,0.0,0.0,0.7,0.7,0.3,0.3,0.2,0.5,0.0,0.2,20,0.9021613536213752,0.0978386463786245,0.0569619378446007,True,0.0174877779527255,0.0135155330314072,0.0214600228740439,0.0174877779527255,0.0024598473574462,-0.0022975806707929,0.0072172753856854,0.0077077772068901,-0.0097800007458353,-0.0150395325307448,-0.0045204689609259,0.2,within_class_effect_larger
H8,H8B0322,reversed,stage1_reversed,X085,asymmetric_stress,2.0,0.3,16,32.0,9.6,22.4,14,21,0.1,0.1,4,9,0.1,0.0,0.5,0.4,6,6,0.0,0.0,0.3,0.3,0.4,0.1,0.1,0.5,0.0,0.4,20,0.2052047544158871,0.7947952455841127,0.0346274340849548,True,0.0106232487674955,0.0061990581461495,0.0150474393888415,0.0124183331674409,-0.0012768153619172,-0.0055785540461351,0.0030249233223005,0.0074421633766571,-0.0049761697907837,-0.0091144341265026,-0.0008379054550649,0.35,within_class_effect_larger
H8,H8B0324,reversed,stage1_reversed,X088,asymmetric_stress,4.0,0.7,32,128.0,89.6,38.400000000000006,21,14,0.1,0.5,9,12,0.1,0.0,0.5,0.2,12,12,0.0,0.0,0.5,0.5,0.4,0.3,0.1,0.5,0.0,0.2,20,0.3610314888807221,0.6389685111192779,0.1486495453848448,True,-0.0050219011896505,-0.00774000663853,-0.0023037957407709,0.0057907105679976,-0.0001551859584097,-0.0019340123714501,0.0016236404546306,0.002783082498596,-0.0030076280694016,-0.0052445593671926,-0.0007706967716105,0.3,within_class_effect_larger
H8,H8B0326,reversed,stage1_reversed,X091,asymmetric_stress,2.0,0.3,64,128.0,38.4,89.6,14,14,0.5,0.1,4,4,0.5,0.0,0.5,0.5,9,4,0.0,0.0,0.0,0.3,0.0,0.0,0.5,0.5,0.0,0.5,20,0.7226089856750653,0.2773910143249347,0.2912093684519906,True,0.0188928120181634,0.0171923109308209,0.020593313105506,0.0188928120181634,-0.0028910341786811,-0.0044607261387764,-0.0013213422185857,0.0035182264696378,-0.0153745855485256,-0.0179842369480989,-0.0127649341489523,0.0,within_class_effect_larger
H8,H8B0336,reversed,stage1_reversed,X102,asymmetric_stress,4.0,0.3,32,128.0,38.4,89.6,28,14,0.1,0.5,4,6,0.3,0.0,0.5,0.5,12,12,0.3,0.3,0.7,0.7,0.2,0.0,0.3,0.5,0.0,0.5,20,0.3680454825155884,0.6319545174844116,0.3454220841629782,True,0.0164585567649592,0.0138385224896945,0.0190785910402239,0.0164585567649592,0.0005161358961534,-0.0021380538237917,0.0031703256160986,0.0044413640156584,-0.0120171927493008,-0.0148806690463452,-0.0091537164522564,0.05,within_class_effect_larger
H8,H8B0337,reversed,stage1_reversed,X103,asymmetric_stress,3.1,0.7,64,198.4,138.88,59.52000000000001,14,14,0.1,0.5,4,4,0.3,0.0,0.5,0.4,9,9,0.0,0.0,0.5,0.7,0.2,0.1,0.3,0.5,0.0,0.4,20,0.2839775836192622,0.7160224163807378,0.6951263469689513,True,0.0079658126442656,0.0066281334083868,0.0093034918801444,0.0079658126442656,-0.0013768195556437,-0.0022838844588344,-0.000469754652453,0.0017394829063229,-0.0062263297379427,-0.0078778562430447,-0.0045748032328406,0.05,within_class_effect_larger
H8,H8B0351,reversed,stage1_reversed,X119,asymmetric_stress,4.0,0.7,32,128.0,89.6,38.400000000000006,7,7,0.1,0.3,4,4,0.5,0.0,0.5,0.5,4,4,0.3,0.3,0.7,0.7,0.0,0.0,0.5,0.5,0.0,0.5,20,0.2736524249803521,0.7263475750196478,0.7062909526624608,True,0.0048409629309003,0.0038470938587521,0.0058348320030485,0.0048409629309003,0.0004707307910922,-0.0003672473480926,0.0013087089302772,0.0014425995027861,-0.0033983634281142,-0.0045331685671947,-0.0022635582890337,0.1,within_class_effect_larger
