hypothesis,background_id,stage1_classification,selection_reason,source_scenario_ids,scenario_type,rho,demand_regime,class1_share,slots_per_day,horizon_class1,horizon_class2,cancel_class2_background,n_paired_seeds,delta_class1_served_rate,delta_class1_served_rate_ci_low,delta_class1_served_rate_ci_high,class1_served_component,delta_class2_served_rate,delta_class2_served_rate_ci_low,delta_class2_served_rate_ci_high,delta_mean_offered_delay,delta_mean_offered_delay_ci_low,delta_mean_offered_delay_ci_high,offered_delay_component,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,class1_served_monotonic_fraction,offered_delay_monotonic_fraction,cancel_class1,cancel_class2,n_supported_targets,n_reversed_targets,n_inconclusive_targets,n_inactive_targets,n_loss_matched_targets,failure_component,lambda_total,lambda_class1,lambda_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,valid_h5_steps,n_active_primary_comparisons,n_supported_primary_comparisons,n_reversed_primary_comparisons,n_strong_selection_primary_comparisons,valid_h6_thresholds,n_transitions,n_exposed_transitions,spearman_bucket_mass_vs_jump,median_bucket_mass,largest_jump_lower_threshold,largest_jump_higher_threshold,largest_jump_bucket_delay,largest_jump_bucket_mass,largest_absolute_served_rate_jump,largest_jump_material,largest_jump_in_upper_mass_half,valid_h7_gaps,n_active_gaps,n_supported_gap_comparisons,n_reversed_gap_comparisons,n_inconclusive_gap_comparisons,n_complete_paired_seeds,average_pre_minus_post_absolute_served_gap,average_pre_minus_post_absolute_served_gap_ci_low,average_pre_minus_post_absolute_served_gap_ci_high,start_within_step,start_post_gap,baseline_class1_low,baseline_class1_high,baseline_class2_low,baseline_class2_high,mean_class1_low_regime_offer_share,mean_class1_high_regime_offer_share,mean_class2_high_regime_offer_share,exposure_active,delta_step_effect,delta_step_effect_ci_low,delta_step_effect_ci_high,absolute_step_effect,delta_gap_effect,delta_gap_effect_ci_low,delta_gap_effect_ci_high,absolute_gap_effect,absolute_effect_difference,absolute_effect_difference_ci_low,absolute_effect_difference_ci_high,share_seeds_gap_effect_larger,baseline_equal_noshow_high,mean_class1_arrivals,mean_class2_arrivals,estimated_class1_post_threshold_accepted_share,estimated_class2_post_threshold_accepted_share,mean_absolute_common_utilization_effect,mean_absolute_gap_utilization_effect,common_minus_gap_utilization_effect,common_minus_gap_utilization_effect_ci_low,common_minus_gap_utilization_effect_ci_high,mean_absolute_common_served_gap_effect,mean_absolute_between_gap_effect,gap_minus_common_served_gap_effect,gap_minus_common_served_gap_effect_ci_low,gap_minus_common_served_gap_effect_ci_high,utilization_component,served_gap_component
H1,H1B0116,reversed,stage1_reversed,S084,sobol_symmetric,4.0,high,0.7,32.0,7.0,7.0,0.1,20.0,0.0067684350995063,0.0060131521513326,0.0075237180476799,reversed,0.1888526799073321,0.1872473247717297,0.1904580350429346,-1.250170936339948,-1.254949332646438,-1.245392540033458,supported,0.2445333904109589,0.2421797810987327,0.2468869997231851,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1,H1B0124,reversed,stage1_reversed,S092,sobol_symmetric,3.1,high,0.7,64.0,14.0,14.0,0.5,20.0,0.0752675928173528,0.0740191730120948,0.0765160126226109,reversed,0.3214454684923717,0.3199526992621787,0.3229382377225647,-9.03016055415909,-9.038569540429345,-9.021751567888836,supported,0.4594306506849315,0.4578941052880008,0.4609671960818621,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1,H1B0128,reversed,stage1_reversed,S096,sobol_symmetric,3.1,high,0.9,16.0,21.0,21.0,0.3,20.0,0.1100988141547638,0.1083564234651514,0.1118412048443761,reversed,0.3241280882383324,0.3197659259429534,0.3284902505337115,-16.18327642335779,-16.195639278072434,-16.170913568643144,supported,0.4010530821917809,0.3976136861212547,0.4044924782623071,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1,H1B0144,reversed,stage1_reversed,S112,sobol_symmetric,3.1,high,0.9,32.0,21.0,21.0,0.5,20.0,0.0753136186650964,0.0743547758304349,0.0762724614997579,reversed,0.3194288945583532,0.3156909425388426,0.3231668465778639,-16.62745320113631,-16.645199408387963,-16.609706993884654,supported,0.296986301369863,0.2954395017493444,0.2985331009903816,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1,H1B0164,reversed,stage1_reversed,S132,sobol_symmetric,4.0,high,0.7,64.0,14.0,14.0,0.1,20.0,0.0250013047109596,0.0242031416416974,0.0257994677802219,reversed,0.4328348155613311,0.4317346236194889,0.4339350075031732,-6.744406728822665,-6.792578211429729,-6.696235246215601,supported,0.5826541095890412,0.5786331548477731,0.5866750643303092,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1,H1B0174,reversed,stage1_reversed,S142,sobol_symmetric,2.0,boundary,0.9,64.0,21.0,21.0,0.1,20.0,0.1707489930621152,0.1689382792366153,0.172559706887615,reversed,0.3863272978803224,0.3825611359925676,0.3900934597680773,-7.623939960152517,-7.633919467477507,-7.613960452827528,supported,0.3852333047945206,0.3830443451146998,0.3874222644743413,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1,H1B0198,reversed,stage1_reversed,S166,sobol_symmetric,1.25,low,0.9,32.0,14.0,14.0,0.5,20.0,0.2731525776467977,0.2698531162304676,0.2764520390631277,reversed,0.5456209592572773,0.538045142469048,0.5531967760455065,-4.631450994606992,-4.6525124763189405,-4.610389512895044,supported,0.3762457191780822,0.3734923942599849,0.3789990440961795,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1,H1B0200,reversed,stage1_reversed,S168,sobol_symmetric,2.0,boundary,0.5,64.0,7.0,7.0,0.0,20.0,0.0381071910627854,0.0362229432439228,0.039991438881648,reversed,0.5618021415646536,0.5582247254041715,0.5653795577251357,-1.7804652148410434,-1.830845575650262,-1.7300848540318248,supported,0.5994263698630138,0.5959913499540439,0.6028613897719837,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1,H1B0204,reversed,stage1_reversed,S172,sobol_symmetric,4.0,high,0.7,64.0,21.0,21.0,0.5,20.0,0.1418755814458348,0.1410817431928361,0.1426694196988336,reversed,0.2496943172083513,0.2488198759289324,0.2505687584877702,-15.177591931809378,-15.187592202025249,-15.167591661593509,supported,0.6894327910958905,0.6878011029422109,0.6910644792495702,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1,H1B0208,reversed,stage1_reversed,S176,sobol_symmetric,3.1,high,0.9,32.0,14.0,14.0,0.3,20.0,0.0333459885216406,0.0320158973409555,0.0346760797023258,reversed,0.3114465307096589,0.3073855741876493,0.3155074872316686,-9.058175144075545,-9.06912776767553,-9.047222520475556,supported,0.186070205479452,0.1830906288699527,0.1890497820889514,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
