hypothesis,background_id,stage1_classification,selection_reason,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,valid_h7_gaps,n_active_gaps,failure_component,n_supported_gap_comparisons,n_reversed_gap_comparisons,n_inconclusive_gap_comparisons,n_complete_paired_seeds,average_pre_minus_post_absolute_served_gap,average_pre_minus_post_absolute_served_gap_ci_low,average_pre_minus_post_absolute_served_gap_ci_high
H7,H7B0165,reversed,stage1_reversed,S133,sobol_symmetric,3.1,0.5,32,99.2,49.6,49.6,14,14,0.1,0.1,4,4,0.1,0.1,0.3,0.3,4,4,0.5,0.5,0.5,0.5,0.05;0.10;0.20,3,average_pre_minus_post_effect_reversed,0.0,3.0,0.0,20.0,-0.0090449255409055,-0.0105782113016011,-0.0075116397802099
H7,H7B0184,reversed,stage1_reversed,S152,sobol_symmetric,2.0,0.7,16,32.0,22.4,9.6,7,7,0.1,0.1,4,4,0.0,0.0,0.5,0.5,4,4,0.7,0.7,0.7,0.7,0.05;0.10;0.20;0.30;0.50,5,average_pre_minus_post_effect_reversed,0.0,2.0,3.0,20.0,-0.0057660183735381,-0.0085960143783967,-0.0029360223686795
H7,H7B0275,reversed,stage1_reversed,X023,asymmetric_stress,3.1,0.9,32,99.2,89.28,9.919999999999998,21,21,0.1,0.1,4,6,0.3,0.3,0.5,0.5,9,9,0.5,0.5,0.7,0.7,0.05;0.10;0.20,3,average_pre_minus_post_effect_reversed,0.0,3.0,0.0,20.0,-0.0153605233850512,-0.0173545806767453,-0.0133664660933571
H7,H7B0277,reversed,stage1_reversed,X025,asymmetric_stress,1.25,0.1,32,40.0,4.0,36.0,14,21,0.0,0.0,4,6,0.0,0.0,0.7,0.7,12,12,0.5,0.3,0.5,0.5,0.05;0.10;0.20;0.30;0.50,5,average_pre_minus_post_effect_reversed,0.0,3.0,2.0,20.0,-0.2121616887950433,-0.2176605097133962,-0.2066628678766904
H7,H7B0278,reversed,stage1_reversed,X026,asymmetric_stress,3.1,0.7,32,99.2,69.44,29.760000000000005,28,14,0.0,0.0,6,6,0.5,0.5,0.7,0.7,6,6,0.0,0.0,0.1,0.1,0.05;0.10;0.20,3,average_pre_minus_post_effect_reversed,0.0,3.0,0.0,20.0,-0.0498273778358036,-0.0526026618289002,-0.0470520938427071
H7,H7B0281,reversed,stage1_reversed,X030,asymmetric_stress,4.0,0.9,64,256.0,230.4,25.599999999999994,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.3,0.0,0.3,0.3,0.05;0.10;0.20;0.30;0.50,5,average_pre_minus_post_effect_reversed,0.0,5.0,0.0,20.0,-0.0450263590976605,-0.0459479269376697,-0.0441047912576513
H7,H7B0310,reversed,stage1_reversed,X064,asymmetric_stress,4.0,0.7,16,64.0,44.8,19.200000000000003,7,7,0.3,0.5,4,4,0.3,0.3,0.5,0.5,4,4,0.7,0.3,0.7,0.7,0.05;0.10;0.20,3,average_pre_minus_post_effect_reversed,0.0,3.0,0.0,20.0,-0.0183078560579446,-0.0200038325030483,-0.0166118796128408
H7,H7B0317,reversed,stage1_reversed,X071,asymmetric_stress,1.25,0.3,16,20.0,6.0,14.0,21,21,0.0,0.0,6,6,0.1,0.1,0.3,0.3,6,6,0.7,0.5,0.7,0.5,0.05;0.10;0.20,3,average_pre_minus_post_effect_reversed,0.0,3.0,0.0,20.0,-0.0753477308772721,-0.0799061878658147,-0.0707892738887295
H7,H7B0329,reversed,stage1_reversed,X085,asymmetric_stress,2.0,0.3,16,32.0,9.6,22.4,14,21,0.1,0.1,4,9,0.0,0.0,0.1,0.1,6,6,0.0,0.0,0.3,0.3,0.05;0.10,2,average_pre_minus_post_effect_reversed,0.0,2.0,0.0,20.0,-0.0110941234484229,-0.0148743210229191,-0.0073139258739268
H7,H7B0332,reversed,stage1_reversed,X089,asymmetric_stress,4.0,0.3,64,256.0,76.8,179.2,28,28,0.1,0.1,4,4,0.0,0.0,0.7,0.7,12,12,0.3,0.3,0.5,0.5,0.05;0.10;0.20;0.30;0.50,5,average_pre_minus_post_effect_reversed,0.0,5.0,0.0,20.0,-0.0283401582031084,-0.0291091682925995,-0.0275711481136174
H7,H7B0344,reversed,stage1_reversed,X101,asymmetric_stress,3.1,0.9,16,49.6,44.64,4.959999999999999,28,28,0.0,0.0,12,12,0.1,0.1,0.7,0.7,12,12,0.7,0.7,0.7,0.7,0.05;0.10;0.20;0.30;0.50,5,average_pre_minus_post_effect_reversed,0.0,5.0,0.0,20.0,-0.060617380411339,-0.0627445688908785,-0.0584901919317995
H7,H7B0353,reversed,stage1_reversed,X111,asymmetric_stress,4.0,0.5,32,128.0,64.0,64.0,14,14,0.3,0.3,4,6,0.0,0.0,0.7,0.7,6,12,0.7,0.7,0.7,0.7,0.05;0.10;0.20;0.30;0.50,5,average_pre_minus_post_effect_reversed,1.0,4.0,0.0,20.0,-0.0039878567401979,-0.0049222448517635,-0.0030534686286322
H7,H7B0362,reversed,stage1_reversed,X120,asymmetric_stress,3.1,0.5,32,99.2,49.6,49.6,14,21,0.0,0.0,4,4,0.5,0.5,0.7,0.7,4,4,0.3,0.5,0.5,0.5,0.05;0.10;0.20,3,average_pre_minus_post_effect_reversed,0.0,3.0,0.0,20.0,-0.0606872857992019,-0.0626709066056009,-0.0587036649928029
H7,H7B0364,reversed,stage1_reversed,X122,asymmetric_stress,2.0,0.7,64,128.0,89.6,38.400000000000006,28,28,0.1,0.0,9,9,0.0,0.0,0.5,0.5,9,12,0.7,0.7,0.7,0.7,0.05;0.10;0.20;0.30;0.50,5,average_pre_minus_post_effect_reversed,0.0,5.0,0.0,20.0,-0.0824854702849591,-0.0837297573375387,-0.0812411832323794
H7,H7B0366,reversed,stage1_reversed,X124,asymmetric_stress,3.1,0.9,64,198.4,178.56,19.84,14,28,0.1,0.1,12,12,0.0,0.0,0.1,0.1,9,9,0.0,0.0,0.7,0.7,0.05;0.10,2,average_pre_minus_post_effect_reversed,0.0,2.0,0.0,20.0,-0.0157929169968482,-0.0182374757324313,-0.013348358261265
