class1_high_balk,mean,std,n,se,ci95,metric
0.0,0.8406412671232877,0.003512323507244677,100,0.00035123235072446774,0.0006884154074199568,average_utilization
0.1,0.8409940068493151,0.0032781529623504336,100,0.00032781529623504335,0.0006425179806206849,average_utilization
0.2,0.8406489726027396,0.003201406350714631,100,0.0003201406350714631,0.0006274756447400676,average_utilization
0.3,0.8403287671232877,0.0034971807604519734,100,0.0003497180760451973,0.0006854474290485868,average_utilization
0.4,0.8411087328767124,0.0031963788831583084,100,0.00031963788831583084,0.0006264902610990284,average_utilization
0.5,0.8408467465753425,0.003391724848073015,100,0.0003391724848073015,0.0006647780702223109,average_utilization
0.6,0.8404691780821918,0.0029883949104285057,100,0.00029883949104285055,0.000585725402443987,average_utilization
0.7,0.8406823630136987,0.003409708078600888,100,0.0003409708078600888,0.000668302783405774,average_utilization
0.8,0.8409940068493151,0.0032362353643198834,100,0.00032362353643198834,0.0006343021314066972,average_utilization
0.9,0.8409614726027397,0.0032435611983245606,100,0.00032435611983245606,0.0006357379948716138,average_utilization
0.0,0.2685102525298961,0.0018511462501214979,100,0.00018511462501214979,0.00036282466502381356,overall_percent_serviced
0.1,0.26801403251971334,0.0018194339430803353,100,0.00018194339430803352,0.0003566090528437457,overall_percent_serviced
0.2,0.26850169898227255,0.001867984446803554,100,0.0001867984446803554,0.0003661249515734966,overall_percent_serviced
0.3,0.268339518507384,0.0018399565688016282,100,0.00018399565688016282,0.0003606314874851191,overall_percent_serviced
0.4,0.2686907399803994,0.0015457148697357538,100,0.0001545714869735754,0.00030296011446820777,overall_percent_serviced
0.5,0.26873068333974687,0.0018875263833138555,100,0.00018875263833138556,0.0003699551711295157,overall_percent_serviced
0.6,0.26891431406328153,0.0017953533500375887,100,0.00017953533500375887,0.0003518892566073674,overall_percent_serviced
0.7,0.2691812030495711,0.001850472980128688,100,0.0001850472980128688,0.0003626927041052229,overall_percent_serviced
0.8,0.2690228514286877,0.0018979449158983241,100,0.00018979449158983242,0.00037199720351607156,overall_percent_serviced
0.9,0.2692379329406292,0.001758323589587387,100,0.0001758323589587387,0.00034463142355912785,overall_percent_serviced
0.0,9798.15,44.9107701195073,100,4.49107701195073,8.80251094342343,total_served
0.1,9803.24,41.806219632968386,100,4.180621963296838,8.194019048061802,total_served
0.2,9798.45,39.506392527097134,100,3.9506392527097134,7.743252935311038,total_served
0.3,9796.86,41.301312132163154,100,4.130131213216315,8.095057177903978,total_served
0.4,9809.74,37.658384715676625,100,3.7658384715676627,7.381043404272619,total_served
0.5,9814.18,40.01852601286582,100,4.001852601286582,7.8436310985217,total_served
0.6,9813.04,36.05969237447012,100,3.605969237447012,7.0676997053961435,total_served
0.7,9818.7,40.32556899972434,100,4.032556899972434,7.90381152394597,total_served
0.8,9822.7,40.45910767601558,100,4.0459107676015575,7.929985104499052,total_served
0.9,9821.48,39.119986366732384,100,3.911998636673238,7.667517327879547,total_served
0.0,10944.96,42.291418046738656,100,4.229141804673866,8.289117937160777,total_value
0.1,10948.98,39.771056934622095,100,3.9771056934622093,7.79512715918593,total_value
0.2,10944.54,40.022322054401954,100,4.002232205440196,7.844375122662783,total_value
0.3,10940.65,42.49382010922007,100,4.249382010922007,8.328788741407134,total_value
0.4,10948.55,37.56001930916712,100,3.7560019309167116,7.3617637845967545,total_value
0.5,10947.75,41.77461773456082,100,4.177461773456082,8.18782507597392,total_value
0.6,10944.2,36.12743997561885,100,3.6127439975618847,7.080978235221294,total_value
0.7,10944.88,41.939176737920654,100,4.193917673792066,8.220078640632448,total_value
0.8,10947.59,39.32385479013385,100,3.932385479013385,7.707475538866235,total_value
0.9,10949.86,40.90763678672673,100,4.090763678672673,8.017896810198438,total_value
