background_id,source_scenario_ids,scenario_type,demand_regime,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,exposure_active,n_complete_seeds,curve_shape,peak_level,trough_level,spearman_level_vs_delay,delay_range,max_exposure_increase,mean_delay_level_0_0,mean_delay_level_0_1,mean_delay_level_0_3,mean_delay_level_0_5,mean_delay_level_0_7,max_exposure_increase_ci_low,max_exposure_increase_ci_high,n_exposure_paired_seeds,high_minus_low_delay,high_minus_low_delay_ci_low,high_minus_low_delay_ci_high,endpoint_n_paired_seeds,failure_component,classification,hump_rise_from_low,hump_rise_from_low_ci_low,hump_rise_from_low_ci_high,hump_fall_to_high,hump_fall_to_high_ci_low,hump_fall_to_high_ci_high,hump_n_paired_seeds,u_drop_from_low,u_drop_from_low_ci_low,u_drop_from_low_ci_high,u_rebound_to_high,u_rebound_to_high_ci_low,u_rebound_to_high_ci_high,u_n_paired_seeds
H4B0011,A011,anchor,high,3.1,0.1,32,99.2,9.920000000000002,89.28,14,14,0.1,0.1,9,9,0.0,0.0,0.0,0.0,6,6,0.0,0.0,0.3,0.3,True,20,hump,0.3,0.7,-0.6,1.6402004455864656,0.40104351300713253,9.4495853880362,9.638102346512877,10.049549165125487,9.221358546965119,8.409348719539022,0.39902663487281065,0.4030603911414544,20,,,,,,supported,0.5999637770892876,0.5889406002428355,0.6109869539357398,1.6402004455864663,1.6285055004205347,1.6518953907523979,20.0,,,,,,,
H4B0012,A012,anchor,high,3.1,0.3,64,198.4,59.52,138.88,14,14,0.1,0.1,9,9,0.0,0.0,0.0,0.0,6,6,0.0,0.0,0.3,0.3,True,20,hump,0.3,0.7,-0.6,1.6565788965131052,0.4028359238846429,9.455712005048227,9.641228481768579,10.071656649931965,9.19304951793736,8.41507775341886,0.4017122621740348,0.403959585595251,20,,,,,,supported,0.6159446448837393,0.610812651603688,0.6210766381637907,1.6565788965131087,1.6494039231029658,1.6637538699232517,20.0,,,,,,,
H4B0013,A013,anchor,high,4.0,0.5,16,64.0,32.0,32.0,14,14,0.1,0.1,9,9,0.0,0.0,0.0,0.0,6,6,0.0,0.0,0.3,0.3,True,20,hump,0.5,0.7,0.0,1.5420656568773907,0.5240849762796704,9.4420347361192,9.638376633910566,10.072723692099633,10.540471812980426,8.998406156103036,0.5218282215992681,0.5263417309600728,20,,,,,,supported,1.098437076861226,1.0796239711395745,1.1172501825828773,1.5420656568773894,1.5293633021703594,1.5547680115844194,20.0,,,,,,,
H4B0014,A014,anchor,high,4.0,0.7,32,128.0,89.6,38.400000000000006,14,14,0.1,0.1,9,9,0.0,0.0,0.0,0.0,6,6,0.0,0.0,0.3,0.3,True,20,hump,0.5,0.7,0.0,1.6619174107055006,0.5246855369202363,9.456278328643048,9.648381187980984,10.073545726214544,10.574605502825134,8.912688092119634,0.5237950666021363,0.5255760072383364,20,,,,,,supported,1.1183271741820842,1.1080432018816526,1.1286111464825157,1.6619174107054988,1.6491799128405265,1.6746549085704712,20.0,,,,,,,
H4B0015,A015;X036,anchor,high,4.0,0.9,64,256.0,230.4,25.599999999999994,14,14,0.1,0.1,9,9,0.0,0.0,0.0,0.0,6,6,0.0,0.0,0.3,0.3,True,20,hump,0.5,0.7,0.0,1.7109803824797751,0.5266293933628099,9.455680414103577,9.647578657027314,10.072526042896317,10.59194829290244,8.880967910422665,0.5258812229948824,0.5273775637307374,20,,,,,,supported,1.1362678787988658,1.128624868954534,1.1439108886431977,1.7109803824797758,1.7030279341777983,1.7189328307817533,20.0,,,,,,,
H4B0016,A016,anchor,low,0.8,0.5,32,25.6,12.8,12.8,7,7,0.0,0.0,4,4,0.0,0.0,0.0,0.0,4,4,0.0,0.0,0.0,0.0,False,20,flat,0.0,0.0,,0.0,0.0,0.014919804979595492,0.014919804979595492,0.014919804979595492,0.014919804979595492,0.014919804979595492,0.0,0.0,20,0.0,0.0,0.0,20.0,insufficient_realized_balking_exposure,inactive,,,,,,,,,,,,,,
H4B0017,A017,anchor,low,1.25,0.3,64,80.0,24.0,56.0,21,21,0.3,0.3,6,6,0.0,0.0,0.0,0.0,9,9,0.0,0.0,0.1,0.1,False,20,flat,0.0,0.0,,0.0,0.0,1.6771078874314462,1.6771078874314462,1.6771078874314462,1.6771078874314462,1.6771078874314462,0.0,0.0,20,0.0,0.0,0.0,20.0,insufficient_realized_balking_exposure,inactive,,,,,,,,,,,,,,
H4B0018,A018,anchor,boundary,2.0,0.7,16,32.0,22.4,9.6,28,28,0.5,0.5,12,12,0.0,0.0,0.0,0.0,12,12,0.3,0.3,0.3,0.3,False,20,flat,0.0,0.0,,0.0,0.0,2.2898395643714755,2.2898395643714755,2.2898395643714755,2.2898395643714755,2.2898395643714755,0.0,0.0,20,0.0,0.0,0.0,20.0,insufficient_realized_balking_exposure,inactive,,,,,,,,,,,,,,
H4B0019,A019,anchor,high,3.1,0.5,32,99.2,49.6,49.6,14,14,0.0,0.0,4,4,0.0,0.0,0.0,0.0,4,4,0.5,0.5,0.5,0.5,True,20,decreasing,0.0,0.7,-0.8944271909999157,7.924007410666567,0.6773206793578399,13.0,13.0,13.0,12.99967265917179,5.075992589333433,0.6764000467297114,0.6782413119859684,20,-7.924007410666569,-7.935568795127287,-7.912446026205851,20.0,active_but_decreasing_curve,inconclusive,,,,,,,,,,,,,,
H4B0020,A020,anchor,high,4.0,0.5,32,128.0,64.0,64.0,14,14,0.3,0.3,6,6,0.0,0.0,0.0,0.0,6,6,0.7,0.7,0.7,0.7,True,20,decreasing,0.0,0.7,-0.9999999999999999,1.5536150397140487,0.3323739699676811,6.902626032615092,6.650257677039322,6.158061646616732,5.609256149109052,5.349010992901043,0.3309206259105536,0.3338273140248086,20,-1.5536150397140496,-1.5681763219201317,-1.5390537575079675,20.0,active_but_decreasing_curve,inconclusive,,,,,,,,,,,,,,
