background_id,source_scenario_ids,scenario_type,demand_regime,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,exposure_active,n_complete_seeds,curve_shape,peak_level,trough_level,spearman_level_vs_delay,delay_range,max_exposure_increase,mean_delay_level_0_0,mean_delay_level_0_1,mean_delay_level_0_3,mean_delay_level_0_5,mean_delay_level_0_7,max_exposure_increase_ci_low,max_exposure_increase_ci_high,n_exposure_paired_seeds,high_minus_low_delay,high_minus_low_delay_ci_low,high_minus_low_delay_ci_high,endpoint_n_paired_seeds,failure_component,classification,hump_rise_from_low,hump_rise_from_low_ci_low,hump_rise_from_low_ci_high,hump_fall_to_high,hump_fall_to_high_ci_low,hump_fall_to_high_ci_high,hump_n_paired_seeds,u_drop_from_low,u_drop_from_low_ci_low,u_drop_from_low_ci_high,u_rebound_to_high,u_rebound_to_high_ci_low,u_rebound_to_high_ci_high,u_n_paired_seeds
H4B0052,S020,sobol_symmetric,high,4.0,0.5,64,256.0,128.0,128.0,28,28,0.5,0.5,4,4,0.0,0.0,0.0,0.0,6,6,0.0,0.0,0.0,0.0,True,20,decreasing,0.0,0.7,-0.9999999999999999,0.6987933819890633,0.3087715226603955,4.389074695905913,4.281764014113129,4.039219196948837,3.7855451399796123,3.69028131391685,0.30779563328788945,0.3097474120329015,20,-0.6987933819890623,-0.7057041477664154,-0.6918826162117091,20.0,active_but_decreasing_curve,inconclusive,,,,,,,,,,,,,,
H4B0053,S021,sobol_symmetric,high,4.0,0.3,32,128.0,38.4,89.6,28,28,0.5,0.5,6,6,0.0,0.0,0.0,0.0,12,12,0.3,0.3,0.7,0.7,True,20,flat,0.0,0.7,-0.9999999999999999,0.12818238297986806,0.10465067754564654,4.400189034376473,4.37051131517857,4.3121735910849495,4.292115663800611,4.272006651396605,0.10276602624360119,0.10653532884769189,20,-0.1281823829798671,-0.14089606412002711,-0.11546870183970707,20.0,active_but_flat_curve,inconclusive,,,,,,,,,,,,,,
H4B0059,S028,sobol_symmetric,high,3.1,0.9,32,99.2,89.28,9.919999999999998,21,21,0.1,0.1,6,6,0.0,0.0,0.0,0.0,9,9,0.5,0.5,0.7,0.7,True,20,decreasing,0.0,0.7,-0.9999999999999999,7.134162717550813,0.49465353007418866,13.357720657186755,13.196494193243236,10.877462691376412,8.05885236479715,6.223557939635942,0.4934392712217745,0.4958677889266028,20,-7.134162717550812,-7.1560249544733,-7.112300480628325,20.0,active_but_decreasing_curve,inconclusive,,,,,,,,,,,,,,
H4B0060,S029,sobol_symmetric,high,4.0,0.1,16,64.0,6.4,57.6,21,21,0.1,0.1,4,4,0.0,0.0,0.0,0.0,4,4,0.0,0.0,0.3,0.3,True,20,irregular,0.1,0.7,-0.7,8.12363369344655,0.6282626816860061,13.441288113633235,13.579863713750678,13.518691920525592,10.152541174999318,5.456230020304128,0.6267803496944362,0.629745013677576,20,-7.985058093329104,-8.023577147551363,-7.946539039106845,20.0,active_but_irregular_curve,inconclusive,0.1385756001174448,0.11764334751618465,0.15950785271870493,8.12363369344655,8.085180975740775,8.162086411152325,20.0,,,,,,,
H4B0063,S032,sobol_symmetric,high,3.1,0.7,32,99.2,69.44,29.760000000000005,14,14,0.0,0.0,6,6,0.0,0.0,0.0,0.0,6,6,0.0,0.0,0.1,0.1,True,20,decreasing,0.0,0.7,-0.8944271909999157,5.918284572986289,0.6776168487379605,13.0,13.0,13.0,12.999733106007517,7.081715427013711,0.6768687726586188,0.6783649248173022,20,-5.91828457298629,-5.9386888314945265,-5.897880314478054,20.0,active_but_decreasing_curve,inconclusive,,,,,,,,,,,,,,
H4B0064,S033,sobol_symmetric,high,3.1,0.1,64,198.4,19.840000000000003,178.56,7,7,0.5,0.5,4,4,0.0,0.0,0.0,0.0,4,4,0.5,0.5,0.5,0.5,True,20,flat,0.0,0.7,-0.9999999999999999,0.20097398168231217,0.1590438637872061,3.460032442350331,3.4046256237950203,3.330567801438496,3.2909301764093115,3.259058460668019,0.15775450940900151,0.1603332181654107,20,-0.20097398168231217,-0.21166239021050456,-0.19028557315411979,20.0,active_but_flat_curve,inconclusive,,,,,,,,,,,,,,
H4B0067,S036,sobol_symmetric,high,4.0,0.7,32,128.0,89.6,38.400000000000006,28,28,0.3,0.3,4,4,0.0,0.0,0.0,0.0,4,4,0.3,0.3,0.5,0.5,True,20,decreasing,0.0,0.7,-0.9999999999999999,2.671725415893029,0.4647250089526177,6.898805746242113,6.529707315295298,5.805378969087933,4.970579384942649,4.227080330349084,0.4632954313361222,0.4661545865691132,20,-2.671725415893029,-2.6885182255346343,-2.6549326062514234,20.0,active_but_decreasing_curve,inconclusive,,,,,,,,,,,,,,
H4B0068,S037,sobol_symmetric,high,3.1,0.5,16,49.6,24.8,24.8,28,28,0.3,0.3,6,6,0.0,0.0,0.0,0.0,9,9,0.0,0.0,0.3,0.3,True,20,decreasing,0.0,0.7,-0.9999999999999999,0.5508169336751552,0.17421462386519734,5.3438462558163895,5.191966377809704,4.971418277421894,4.847713992811322,4.793029322141234,0.17006919398836587,0.17836005374202882,20,-0.5508169336751563,-0.5729279115692129,-0.5287059557810997,20.0,active_but_decreasing_curve,inconclusive,,,,,,,,,,,,,,
H4B0075,S044,sobol_symmetric,high,4.0,0.7,64,256.0,179.2,76.80000000000001,21,21,0.0,0.0,6,6,0.0,0.0,0.0,0.0,12,12,0.3,0.3,0.3,0.3,True,20,irregular,0.0,0.7,-0.7071067811865475,0.48446722305324386,0.5952595737556807,20.0,20.0,20.0,20.0,19.515532776946756,0.5930389356725517,0.5974802118388097,20,-0.4844672230532467,-0.5406306940758598,-0.4283037520306336,20.0,active_but_irregular_curve,inconclusive,,,,,,,,,,,,,,
H4B0076,S045,sobol_symmetric,high,4.0,0.1,32,128.0,12.8,115.2,21,21,0.0,0.0,4,4,0.0,0.0,0.0,0.0,6,6,0.5,0.5,0.7,0.7,True,20,irregular,0.0,0.7,-0.7071067811865475,0.792486557139533,0.6006742530944595,20.0,20.0,20.0,20.0,19.207513442860467,0.5967229825087479,0.6046255236801712,20,-0.7924865571395326,-0.8548372203951194,-0.7301358938839458,20.0,active_but_irregular_curve,inconclusive,,,,,,,,,,,,,,
H4B0088,S057,sobol_symmetric,high,3.1,0.1,16,49.6,4.960000000000001,44.64,28,28,0.0,0.0,9,9,0.0,0.0,0.0,0.0,6,6,0.0,0.0,0.5,0.5,True,20,decreasing,0.0,0.7,-0.9746794344808964,16.785146870435703,0.6760316413445338,27.0,27.0,26.999988165680474,26.94334959787243,10.214853129564295,0.6745895211973736,0.6774737614916939,20,-16.785146870435703,-16.83446397330293,-16.735829767568475,20.0,active_but_decreasing_curve,inconclusive,,,,,,,,,,,,,,
H4B0091,S060,sobol_symmetric,high,4.0,0.5,32,128.0,64.0,64.0,7,7,0.1,0.1,4,4,0.0,0.0,0.0,0.0,4,4,0.0,0.0,0.0,0.0,True,20,increasing,0.5,0.0,0.8999999999999998,0.3851506011396193,0.6181497890744402,4.998491546272081,5.067880379135365,5.217134588620128,5.383642147411701,5.273724711804625,0.6160818102243405,0.6202177679245399,20,0.27523316553254323,0.2586574398027526,0.2918088912623339,20.0,active_but_increasing_curve,inconclusive,0.38515060113961785,0.37991872815656946,0.39038247412266625,0.10991743560707463,0.09393617495212608,0.12589869626202319,20.0,,,,,,,
H4B0092,S061,sobol_symmetric,high,4.0,0.3,64,256.0,76.8,179.2,7,7,0.1,0.1,4,4,0.0,0.0,0.0,0.0,4,4,0.3,0.3,0.5,0.5,True,20,increasing,0.5,0.0,0.8999999999999998,0.3849141367849196,0.6242482547383076,4.998660314959793,5.0663519755437445,5.217128581720486,5.383574451744712,5.328963733202906,0.6228045451930828,0.6256919642835324,20,0.33030341824311243,0.3176349859760057,0.34297185051021917,20.0,active_but_increasing_curve,inconclusive,0.38491413678491887,0.38192731852393713,0.3879009550459006,0.054610718541806456,0.04166742772829816,0.06755400935531476,20.0,,,,,,,
H4B0095,S064;X101,sobol_symmetric,high,3.1,0.9,16,49.6,44.64,4.959999999999999,28,28,0.0,0.0,12,12,0.0,0.0,0.0,0.0,12,12,0.7,0.7,0.7,0.7,True,20,decreasing,0.0,0.7,-0.9746794344808964,13.743969088972321,0.6774882188462175,27.0,27.0,26.999951336009765,26.98390851771356,13.256030911027679,0.676002639851976,0.678973797840459,20,-13.743969088972317,-13.810083061616462,-13.677855116328173,20.0,active_but_decreasing_curve,inconclusive,,,,,,,,,,,,,,
H4B0099,S068,sobol_symmetric,high,4.0,0.7,16,64.0,44.8,19.200000000000003,21,21,0.0,0.0,12,12,0.0,0.0,0.0,0.0,9,9,0.5,0.5,0.5,0.5,True,20,flat,0.0,0.7,-0.8944271909999157,0.12034754936021841,0.5879165933434993,20.0,20.0,20.0,19.99998284831693,19.87965245063978,0.5833713761830381,0.5924618105039605,20,-0.12034754936021344,-0.14698700404416795,-0.09370809467625893,20.0,active_but_flat_curve,inconclusive,,,,,,,,,,,,,,
H4B0100,S069,sobol_symmetric,high,4.0,0.3,32,128.0,38.4,89.6,21,21,0.0,0.0,9,9,0.0,0.0,0.0,0.0,4,4,0.0,0.0,0.7,0.7,True,20,flat,0.0,0.7,-0.7071067811865475,0.22051682874913325,0.5918069047977481,20.0,20.0,20.0,20.0,19.779483171250867,0.5883177760823723,0.5952960335131239,20,-0.22051682874912776,-0.2576609233525292,-0.18337273414572627,20.0,active_but_flat_curve,inconclusive,,,,,,,,,,,,,,
H4B0103,S072,sobol_symmetric,high,3.1,0.9,64,198.4,178.56,19.84,14,14,0.1,0.1,12,12,0.0,0.0,0.0,0.0,6,6,0.0,0.0,0.3,0.3,True,20,increasing,0.5,0.0,0.8999999999999998,0.9460186667816775,0.30887801677057014,9.453048800684709,9.621748185547137,10.022988841866008,10.399067467466386,10.313293152895795,0.3075757774478511,0.3101802560932892,20,0.8602443522110856,0.85111848235602,0.8693702220661513,20.0,active_but_increasing_curve,inconclusive,0.946018666781676,0.9383222237581316,0.9537151098052205,0.08577431457059026,0.0753260755843606,0.09622255355681993,20.0,,,,,,,
H4B0107,S076,sobol_symmetric,high,4.0,0.9,32,128.0,115.2,12.799999999999995,28,28,0.3,0.3,9,9,0.0,0.0,0.0,0.0,6,6,0.0,0.0,0.1,0.1,True,20,decreasing,0.0,0.7,-0.9999999999999999,0.4019952614313729,0.13394892993535934,6.890995911743038,6.796446435049283,6.621896037159469,6.526005132227556,6.489000650311665,0.13191770741195943,0.13598015245875925,20,-0.4019952614313723,-0.42408553449480646,-0.3799049883679382,20.0,active_but_decreasing_curve,inconclusive,,,,,,,,,,,,,,
