background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,balk_step_class1_focal,balk_high_class1_focal,is_primary_step,n_paired_seeds,estimated_post_threshold_offer_share,estimated_post_threshold_offer_share_ci_low,estimated_post_threshold_offer_share_ci_high,delta_class1_accepted_delay,delta_class1_accepted_delay_ci_low,delta_class1_accepted_delay_ci_high,delta_class1_offered_delay,delta_class1_offered_delay_ci_low,delta_class1_offered_delay_ci_high,selection_gap,selection_gap_ci_low,selection_gap_ci_high,delta_class1_served_rate,delta_class1_served_rate_ci_low,delta_class1_served_rate_ci_high,accepted_delay_component,selection_gap_component,served_rate_component,strong_selection_evidence,failure_component,classification
H5B0005,A005,anchor,1.25,0.9,32,40.0,36.0,3.999999999999999,14,14,0.1,0.1,9,9,0.0,0.0,0.0,0.5,6,6,0.0,0.0,0.3,0.3,0.3,0.3,True,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,inconclusive,inconclusive,False,insufficient_post_threshold_offer_exposure,inactive
H5B0005,A005,anchor,1.25,0.9,32,40.0,36.0,3.999999999999999,14,14,0.1,0.1,9,9,0.0,0.0,0.0,0.5,6,6,0.0,0.0,0.3,0.3,0.5,0.5,False,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,inconclusive,inconclusive,False,insufficient_post_threshold_offer_exposure,inactive
H5B0006,A006,anchor,1.25,0.1,64,80.0,8.0,72.0,14,14,0.1,0.1,9,9,0.0,0.0,0.0,0.5,6,6,0.0,0.0,0.3,0.3,0.1,0.1,True,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,inconclusive,inconclusive,False,insufficient_post_threshold_offer_exposure,inactive
H5B0006,A006,anchor,1.25,0.1,64,80.0,8.0,72.0,14,14,0.1,0.1,9,9,0.0,0.0,0.0,0.5,6,6,0.0,0.0,0.3,0.3,0.3,0.3,True,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,inconclusive,inconclusive,False,insufficient_post_threshold_offer_exposure,inactive
H5B0006,A006,anchor,1.25,0.1,64,80.0,8.0,72.0,14,14,0.1,0.1,9,9,0.0,0.0,0.0,0.5,6,6,0.0,0.0,0.3,0.3,0.5,0.5,False,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,inconclusive,inconclusive,False,insufficient_post_threshold_offer_exposure,inactive
H5B0007,A007,anchor,2.0,0.3,16,32.0,9.6,22.4,14,14,0.1,0.1,9,9,0.0,0.0,0.0,0.5,6,6,0.0,0.0,0.3,0.3,0.1,0.1,True,20,0.2298778760620804,0.2196842445140695,0.2400715076100913,-0.0960180544806617,-0.12279638172482235,-0.06923972723650104,-0.034281299855605595,-0.06096802225027074,-0.007594577460940451,0.0617367546250561,0.05917822607267882,0.06429528317743338,0.0007421753719867224,-0.003700945194904618,0.0051852959388780625,inconclusive,inconclusive,inconclusive,False,accepted_delay;selection_gap;served_rate,inconclusive
H5B0007,A007,anchor,2.0,0.3,16,32.0,9.6,22.4,14,14,0.1,0.1,9,9,0.0,0.0,0.0,0.5,6,6,0.0,0.0,0.3,0.3,0.3,0.3,True,20,0.21236935138663218,0.19994618991917437,0.22479251285409,-0.23231991178030822,-0.2639353720890127,-0.2007044514716038,-0.05282026581582975,-0.08520646729784453,-0.02043406433381497,0.17949964596447848,0.17055880192422657,0.1884404900047304,-0.011041486790438962,-0.0161060266118155,-0.0059769469690624235,inconclusive,inconclusive,supported,False,accepted_delay;selection_gap,inconclusive
H5B0007,A007,anchor,2.0,0.3,16,32.0,9.6,22.4,14,14,0.1,0.1,9,9,0.0,0.0,0.0,0.5,6,6,0.0,0.0,0.3,0.3,0.5,0.5,False,20,0.18945613840344505,0.18148896080159066,0.19742331600529944,-0.36483120271507036,-0.38918572606290774,-0.34047667936723297,-0.08514824412751358,-0.1099291226505238,-0.060367365604503356,0.27968295858755676,0.26896904163548613,0.2903968755396274,-0.01842879036933552,-0.023882398543363215,-0.012975182195307826,supported,supported,supported,True,,supported
H5B0008,A008,anchor,2.0,0.5,32,64.0,32.0,32.0,14,14,0.1,0.1,9,9,0.0,0.0,0.0,0.5,6,6,0.0,0.0,0.3,0.3,0.1,0.1,True,20,0.27014469267332264,0.25889005734343185,0.28139932800321343,-0.11246208735823222,-0.13392787463343372,-0.09099630008303072,-0.04210191506540051,-0.0641996826942802,-0.02000414743652082,0.07036017229283172,0.06787231255651209,0.07284803202915134,-0.006947387248535597,-0.008855994140386382,-0.0050387803566848115,inconclusive,inconclusive,supported,False,accepted_delay;selection_gap,inconclusive
H5B0008,A008,anchor,2.0,0.5,32,64.0,32.0,32.0,14,14,0.1,0.1,9,9,0.0,0.0,0.0,0.5,6,6,0.0,0.0,0.3,0.3,0.3,0.3,True,20,0.22307048957128525,0.21328244583919082,0.2328585333033797,-0.277670292595042,-0.30809070296995966,-0.2472498822201243,-0.09258063200972004,-0.12406372559474638,-0.06109753842469371,0.18508966058532197,0.17800191952310734,0.1921774016475366,-0.01603618330062189,-0.01827194950301048,-0.013800417098233302,supported,inconclusive,supported,False,selection_gap,inconclusive
H5B0008,A008,anchor,2.0,0.5,32,64.0,32.0,32.0,14,14,0.1,0.1,9,9,0.0,0.0,0.0,0.5,6,6,0.0,0.0,0.3,0.3,0.5,0.5,False,20,0.17888716661028592,0.17337785941127556,0.18439647380929627,-0.42278504882520984,-0.44908063021212624,-0.39648946743829344,-0.16201972205386378,-0.18768339716125687,-0.1363560469464707,0.2607653267713462,0.25341419688805095,0.2681164566546414,-0.020147109138543874,-0.022583165791844103,-0.017711052485243645,supported,supported,supported,True,,supported
H5B0009,A009,anchor,2.0,0.7,64,128.0,89.6,38.400000000000006,14,14,0.1,0.1,9,9,0.0,0.0,0.0,0.5,6,6,0.0,0.0,0.3,0.3,0.1,0.1,True,20,0.33010928928210714,0.32290566978658364,0.33731290877763065,-0.19645498093895872,-0.22088630275536986,-0.17202365912254758,-0.11188286881963268,-0.13684534359997103,-0.08692039403929432,0.08457211211932605,0.08304523813227163,0.08609898610638048,-0.005860743223452888,-0.007770835889992839,-0.003950650556912937,inconclusive,inconclusive,supported,False,accepted_delay;selection_gap,inconclusive
H5B0009,A009,anchor,2.0,0.7,64,128.0,89.6,38.400000000000006,14,14,0.1,0.1,9,9,0.0,0.0,0.0,0.5,6,6,0.0,0.0,0.3,0.3,0.3,0.3,True,20,0.23518169033542602,0.22954449056398485,0.2408188901068672,-0.4037284807293668,-0.4260304097977707,-0.3814265516609629,-0.2088318342754439,-0.23059458929912724,-0.18706907925176058,0.19489664645392293,0.1909002572863946,0.19889303562145128,-0.012048568728077353,-0.013615038255857678,-0.010482099200297027,supported,inconclusive,supported,False,selection_gap,inconclusive
H5B0009,A009,anchor,2.0,0.7,64,128.0,89.6,38.400000000000006,14,14,0.1,0.1,9,9,0.0,0.0,0.0,0.5,6,6,0.0,0.0,0.3,0.3,0.5,0.5,False,20,0.18198053212647708,0.1777587881364798,0.18620227611647436,-0.5269856454735672,-0.5536467246608426,-0.5003245662862917,-0.26432584185419794,-0.29170313262226827,-0.2369485510861276,0.26265980361936936,0.256999207303651,0.2683203999350877,-0.017018228247653176,-0.019146899188391776,-0.014889557306914575,supported,supported,supported,False,,supported
H5B0010,A010,anchor,3.1,0.9,16,49.6,44.64,4.959999999999999,14,14,0.1,0.1,9,9,0.0,0.0,0.0,0.5,6,6,0.0,0.0,0.3,0.3,0.1,0.1,True,20,0.6444336509275559,0.6326319549732425,0.6562353468818692,-0.011047466134123506,-0.027352746497759445,0.005257814229512433,0.1763229711750693,0.1580590923364759,0.1945868500136627,0.1873704373091928,0.18410739622007402,0.1906334783983116,-0.00037812683682338923,-0.002608355903492699,0.001852102229845921,inconclusive,inconclusive,inconclusive,False,accepted_delay;selection_gap;served_rate,inconclusive
