background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,valid_h5_steps,n_active_primary_comparisons,n_supported_primary_comparisons,n_reversed_primary_comparisons,n_strong_selection_primary_comparisons,failure_component,classification
H5B0022,A022,anchor,4.0,0.9,16,64.0,57.6,6.399999999999999,7,7,0.5,0.5,4,4,0.5,0.5,0.5,0.7,4,4,0.5,0.5,0.7,0.7,0.0;0.1,1,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0023,A023,anchor,3.1,0.1,32,99.2,9.920000000000002,89.28,21,21,0.3,0.3,9,9,0.3,0.3,0.3,0.7,6,6,0.3,0.3,0.7,0.7,0.0;0.1;0.3,0,0,0,0.0,no_active_low_to_moderate_comparison,inactive
H5B0024,A024,anchor,3.1,0.9,32,99.2,89.28,9.919999999999998,21,21,0.3,0.3,9,9,0.3,0.3,0.3,0.7,6,6,0.3,0.3,0.7,0.7,0.0;0.1;0.3,0,0,0,0.0,no_active_low_to_moderate_comparison,inactive
H5B0025,A025,anchor,4.0,0.5,32,128.0,64.0,64.0,28,28,0.1,0.1,4,4,0.0,0.0,0.0,0.7,4,4,0.0,0.0,0.7,0.7,0.0;0.1;0.3;0.5,2,1,0,0.0,,supported
H5B0026,A026,anchor,2.0,0.5,32,64.0,32.0,32.0,14,14,0.1,0.1,12,12,0.0,0.0,0.0,0.7,12,12,0.0,0.0,0.7,0.7,0.0;0.1;0.3;0.5,0,0,0,0.0,no_active_low_to_moderate_comparison,inactive
H5B0027,A027,anchor,1.25,0.5,16,20.0,10.0,10.0,21,21,0.0,0.0,6,6,0.0,0.0,0.0,0.3,9,9,0.0,0.0,0.3,0.3,0.0;0.1;0.3;0.5,2,0,2,0.0,one_or_more_primary_comparisons_reversed,reversed
H5B0028,A028,anchor,1.25,0.5,64,80.0,40.0,40.0,21,21,0.0,0.0,6,6,0.0,0.0,0.0,0.3,9,9,0.0,0.0,0.3,0.3,0.0;0.1;0.3;0.5,2,0,2,0.0,one_or_more_primary_comparisons_reversed,reversed
H5B0029,A029,anchor,3.1,0.3,32,99.2,29.76,69.44,14,14,0.5,0.5,9,9,0.0,0.0,0.0,0.5,6,6,0.0,0.0,0.0,0.0,0.0;0.1;0.3;0.5,0,0,0,0.0,no_active_low_to_moderate_comparison,inactive
H5B0030,A030,anchor,3.1,0.7,32,99.2,69.44,29.760000000000005,14,14,0.0,0.0,9,9,0.0,0.0,0.0,0.5,6,6,0.5,0.5,0.7,0.7,0.0;0.1;0.3;0.5,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0031,A031,anchor,3.1,0.5,32,99.2,49.6,49.6,14,14,0.1,0.1,6,6,0.3,0.3,0.3,0.7,9,9,0.0,0.0,0.1,0.1,0.0;0.1;0.3,2,1,0,0.0,,supported
H5B0032,A032,anchor,3.1,0.5,32,99.2,49.6,49.6,14,14,0.1,0.1,6,6,0.0,0.0,0.0,0.1,9,9,0.3,0.3,0.7,0.7,0.0;0.1;0.3;0.5,2,1,0,1.0,,supported
H5B0033,S001,sobol_symmetric,3.1,0.3,16,49.6,14.88,34.72,21,21,0.5,0.5,12,12,0.1,0.1,0.1,0.7,12,12,0.0,0.0,0.3,0.3,0.0;0.1;0.3;0.5,0,0,0,0.0,no_active_low_to_moderate_comparison,inactive
H5B0034,S002,sobol_symmetric,1.25,0.7,64,80.0,56.0,24.000000000000004,7,7,0.1,0.1,4,4,0.0,0.0,0.0,0.7,4,4,0.3,0.3,0.7,0.7,0.0;0.1;0.3;0.5,0,0,0,0.0,no_active_low_to_moderate_comparison,inactive
H5B0035,S003,sobol_symmetric,2.0,0.1,16,32.0,3.2,28.8,28,28,0.0,0.0,6,6,0.3,0.3,0.3,0.7,4,4,0.7,0.7,0.7,0.7,0.0;0.1;0.3,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0036,S004,sobol_symmetric,4.0,0.9,64,256.0,230.4,25.599999999999994,14,14,0.3,0.3,9,9,0.0,0.0,0.0,0.0,9,9,0.3,0.3,0.3,0.3,0.0;0.1;0.3;0.5,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0037,S005,sobol_symmetric,3.1,0.1,64,198.4,19.840000000000003,178.56,14,14,0.3,0.3,12,12,0.5,0.5,0.5,0.7,4,4,0.5,0.5,0.7,0.7,0.0;0.1,0,0,0,0.0,no_active_low_to_moderate_comparison,inactive
H5B0038,S006,sobol_symmetric,1.25,0.9,16,20.0,18.0,2.0,28,28,0.0,0.0,4,4,0.0,0.0,0.0,0.3,9,9,0.0,0.0,0.5,0.5,0.0;0.1;0.3;0.5,2,0,2,0.0,one_or_more_primary_comparisons_reversed,reversed
H5B0039,S007,sobol_symmetric,0.8,0.5,32,25.6,12.8,12.8,7,7,0.1,0.1,4,4,0.3,0.3,0.3,0.5,4,4,0.0,0.0,0.0,0.0,0.0;0.1;0.3,0,0,0,0.0,no_active_low_to_moderate_comparison,inactive
H5B0040,S008,sobol_symmetric,3.1,0.7,32,99.2,69.44,29.760000000000005,21,21,0.5,0.5,9,9,0.1,0.1,0.1,0.3,6,6,0.3,0.3,0.5,0.5,0.0;0.1;0.3;0.5,0,0,0,0.0,no_active_low_to_moderate_comparison,inactive
H5B0041,S009,sobol_symmetric,2.0,0.3,32,64.0,19.2,44.8,28,28,0.1,0.1,9,9,0.7,0.7,0.7,0.7,4,4,0.5,0.5,0.5,0.5,0.0,0,0,0,,no_valid_low_to_moderate_step_increase,inactive
H5B0042,S010,sobol_symmetric,0.8,0.9,32,25.6,23.040000000000003,2.56,14,14,0.5,0.5,6,6,0.0,0.0,0.0,0.3,9,9,0.0,0.0,0.7,0.7,0.0;0.1;0.3;0.5,0,0,0,0.0,no_active_low_to_moderate_comparison,inactive
H5B0043,S011,sobol_symmetric,1.25,0.3,64,80.0,24.0,56.0,21,21,0.3,0.3,4,4,0.3,0.3,0.3,0.7,12,12,0.0,0.0,0.0,0.0,0.0;0.1;0.3,0,0,0,0.0,no_active_low_to_moderate_comparison,inactive
H5B0044,S012,sobol_symmetric,4.0,0.7,16,64.0,44.8,19.200000000000003,7,7,0.0,0.0,4,4,0.1,0.1,0.1,0.5,4,4,0.3,0.3,0.5,0.5,0.0;0.1;0.3;0.5,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0045,S013,sobol_symmetric,4.0,0.5,16,64.0,32.0,32.0,7,7,0.0,0.0,4,4,0.3,0.3,0.3,0.3,4,4,0.0,0.0,0.3,0.3,0.0;0.1;0.3,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0046,S014,sobol_symmetric,2.0,0.5,64,128.0,64.0,64.0,21,21,0.3,0.3,6,6,0.1,0.1,0.1,0.1,6,6,0.3,0.3,0.7,0.7,0.0;0.1;0.3;0.5,0,0,0,0.0,no_active_low_to_moderate_comparison,inactive
H5B0047,S015,sobol_symmetric,0.8,0.1,16,12.8,1.2800000000000002,11.52,14,14,0.5,0.5,4,4,0.5,0.5,0.5,0.5,4,4,0.7,0.7,0.7,0.7,0.0;0.1,0,0,0,0.0,no_active_low_to_moderate_comparison,inactive
H5B0048,S016,sobol_symmetric,3.1,0.9,64,198.4,178.56,19.84,28,28,0.1,0.1,12,12,0.0,0.0,0.0,0.1,9,9,0.0,0.0,0.7,0.7,0.0;0.1;0.3;0.5,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0049,S017,sobol_symmetric,3.1,0.1,32,99.2,9.920000000000002,89.28,7,7,0.3,0.3,4,4,0.0,0.0,0.0,0.7,4,4,0.0,0.0,0.5,0.5,0.0;0.1;0.3;0.5,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0050,S018,sobol_symmetric,0.8,0.9,32,25.6,23.040000000000003,2.56,21,21,0.0,0.0,9,9,0.1,0.1,0.1,0.5,9,9,0.5,0.5,0.5,0.5,0.0;0.1;0.3;0.5,0,0,0,0.0,no_active_low_to_moderate_comparison,inactive
