demand_band,n_backgrounds,lambda_min,lambda_max,estimate,standard_error,z,p_value_two_sided,ci_low_95,ci_high_95,p_value_one_sided_balk_more_negative
low,334,40.021054163799775,83.29211874033038,0.20710922370923737,0.033330215416514604,6.2138579400425344,5.169927159667617e-10,0.14178320189590707,0.2724352455225677,0.9999999997415037
moderate,333,83.47315757102933,126.7098040459622,0.07955182541755916,0.019737970150724038,4.030395466711201,5.568308862154908e-05,0.040866114794213426,0.1182375360409049,0.9999721584556892
high,333,126.72429427018614,169.91690033203452,0.04339786454363126,0.014698146097141464,2.9526080538872446,0.003151017682416106,0.014590027553726032,0.07220570153353649,0.998424491158792
